year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_debt_coll,share_debt_coll_quality,index_air_hazard,index_air_hazard_quality,share_transit_commuter,share_transit_commuter_quality,share_transportation_cost,share_transportation_cost_quality
2014,01,009,Alabama,Blount County,TRUE,All,all,NA,NA,26,Strong,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,TRUE,White neighborhoods,race-ethnicity,NA,NA,26,Strong,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,TRUE,All,all,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,6,Strong,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,TRUE,White neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,TRUE,All,all,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,TRUE,White neighborhoods,race-ethnicity,NA,NA,14,Strong,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,015,Alabama,Calhoun County,TRUE,All,all,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,015,Alabama,Calhoun County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,13,Strong,NA,NA,NA,NA
2014,01,015,Alabama,Calhoun County,TRUE,White neighborhoods,race-ethnicity,NA,NA,16,Strong,NA,NA,NA,NA
2014,01,015,Alabama,Calhoun County,TRUE,Mixed neighborhoods,race-ethnicity,NA,NA,15,Strong,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,TRUE,All,all,NA,NA,12,Strong,NA,NA,NA,NA
2014,01,017,Alabama,Chambers County,TRUE,Neighborhoods of color,race-ethnicity,NA,NA,10,Strong,NA,NA,NA,NA
