year,state,place,state_name,place_name,in_universe,subgroup,subgroup_type,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2014,01,03076,Alabama,Auburn city,TRUE,All,all,0.9039,0.8661,0.9417,Marginal,0.7527,0.7311,0.7744,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4124,0.333,0.4919,Marginal
2014,01,03076,Alabama,Auburn city,TRUE,Without Disability,disability,0.9066,0.8673,0.9459,Marginal,0.7918,0.7694,0.8143,Marginal
2014,01,07000,Alabama,Birmingham city,TRUE,All,all,0.8578,0.7927,0.9228,Weak,0.6875,0.6711,0.7038,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,With Disability,disability,NA,NA,NA,NA,0.2503,0.2091,0.2915,Weak
2014,01,07000,Alabama,Birmingham city,TRUE,Without Disability,disability,0.8647,0.7993,0.93,Weak,0.7518,0.7371,0.7665,Weak
2014,01,35896,Alabama,Hoover city,TRUE,All,all,0.9225,0.8869,0.9581,Weak,0.8055,0.7937,0.8174,Weak
2014,01,35896,Alabama,Hoover city,TRUE,With Disability,disability,NA,NA,NA,NA,0.4126,0.3597,0.4655,Weak
2014,01,35896,Alabama,Hoover city,TRUE,Without Disability,disability,0.9348,0.903,0.9666,Weak,0.8324,0.821,0.8437,Weak
2014,01,37000,Alabama,Huntsville city,TRUE,All,all,0.9414,0.9121,0.9706,Weak,0.7616,0.746,0.7772,Weak
2014,01,37000,Alabama,Huntsville city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3726,0.3128,0.4324,Weak
2014,01,37000,Alabama,Huntsville city,TRUE,Without Disability,disability,0.9503,0.9303,0.9703,Weak,0.8025,0.7874,0.8177,Weak
2014,01,50000,Alabama,Mobile city,TRUE,All,all,0.7771,0.6939,0.8603,Weak,0.6982,0.6824,0.7139,Weak
2014,01,50000,Alabama,Mobile city,TRUE,With Disability,disability,NA,NA,NA,NA,0.2768,0.2235,0.33,Weak
2014,01,50000,Alabama,Mobile city,TRUE,Without Disability,disability,0.7842,0.699,0.8694,Weak,0.7508,0.7334,0.7681,Weak
2014,01,51000,Alabama,Montgomery city,TRUE,All,all,0.832,0.7733,0.8908,Weak,0.7332,0.7125,0.7539,Weak
2014,01,51000,Alabama,Montgomery city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3253,0.2679,0.3828,Weak
2014,01,51000,Alabama,Montgomery city,TRUE,Without Disability,disability,0.8509,0.7901,0.9116,Weak,0.7927,0.7731,0.8124,Weak
2014,01,77256,Alabama,Tuscaloosa city,TRUE,All,all,0.9371,0.9033,0.9709,Marginal,0.7249,0.6988,0.751,Marginal
2014,01,77256,Alabama,Tuscaloosa city,TRUE,With Disability,disability,NA,NA,NA,NA,0.3201,0.2369,0.4032,Marginal
2014,01,77256,Alabama,Tuscaloosa city,TRUE,Without Disability,disability,0.9527,0.92490000000000006,0.9806,Marginal,0.765,0.7398,0.7901,Marginal
2014,02,03000,Alaska,Anchorage municipality,TRUE,All,all,0.8471,0.7836,0.9107,Marginal,0.8168,0.7979,0.8356,Marginal
2014,02,03000,Alaska,Anchorage municipality,TRUE,With Disability,disability,NA,NA,NA,NA,0.5462,0.462,0.6305,Marginal
2014,02,03000,Alaska,Anchorage municipality,TRUE,Without Disability,disability,0.8933,0.8442,0.9424,Marginal,0.8397,0.8209,0.8585,Marginal
