year,state,place,state_name,place_name,subgroup,subgroup_type,share_affordable_available_30_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami,share_affordable_available_50_ami_quality,share_affordable_available_80_ami,share_affordable_available_80_ami_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2021,02,03000,Alaska,Anchorage municipality,Renter,tenure,0.3647381457891012,Marginal,0.7262353487891775,Marginal,0.9643028763643852,Marginal,1.1941031097686552,0.9294160169360252,0.53706652512385,Marginal,Marginal,Marginal
2021,02,03000,Alaska,Anchorage municipality,Owner,tenure,0.4214944268611532,Marginal,0.5886931235032501,Marginal,0.8232843768788113,Marginal,1.9963067937816712,2.2544474854601435,1.8795926792348976,Marginal,Marginal,Marginal
2021,04,04720,Arizona,Avondale city,All,all,0.353742073243389,Marginal,0.4770767378535291,Marginal,0.7941024963089446,Marginal,NA,NA,NA,NA,NA,NA
2021,04,04720,Arizona,Avondale city,Renter,tenure,NA,NA,NA,NA,0.6676115884418448,Marginal,0.8963709998483673,NA,NA,Marginal,NA,NA
2021,04,04720,Arizona,Avondale city,Owner,tenure,NA,NA,0.7028623043172724,Marginal,0.9117811485465354,Marginal,2.1564828452734224,2.2173640938839903,NA,Marginal,Marginal,NA
2021,04,07940,Arizona,Buckeye city,All,all,NA,NA,0.6218960286688796,Marginal,0.8602536903715645,Marginal,NA,NA,NA,NA,NA,NA
2021,04,07940,Arizona,Buckeye city,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,04,07940,Arizona,Buckeye city,Owner,tenure,NA,NA,0.6886567304161711,Marginal,0.8721992803178492,Marginal,2.0368156772613815,2.0624770900181173,NA,Marginal,Marginal,NA
2021,04,12000,Arizona,Chandler city,All,all,0.3053491145100607,Weak,0.3969338778189175,Weak,0.7166093303336384,Weak,NA,NA,NA,NA,NA,NA
2021,04,12000,Arizona,Chandler city,Renter,tenure,0.12494264005582709,Weak,0.1495021938758788,Weak,0.6257183590582641,Weak,0.966783091468064,0.235245342471809,0.10093349889682318,Weak,Weak,Weak
2021,04,12000,Arizona,Chandler city,Owner,tenure,0.49777252464157423,Weak,0.6379219505084855,Weak,0.7985888763000023,Weak,1.9575426515191237,2.2605842653647787,2.542596505927951,Weak,Weak,Weak
2021,04,23620,Arizona,Flagstaff city,All,all,0.3991000610128127,Weak,0.5871357929081354,Weak,0.8881986015685118,Weak,NA,NA,NA,NA,NA,NA
2021,04,23620,Arizona,Flagstaff city,Renter,tenure,NA,NA,0.4573914383649185,Weak,0.9124708937765216,Weak,1.279201087078999,0.5313002986815458,NA,Weak,Weak,NA
2021,04,23620,Arizona,Flagstaff city,Owner,tenure,0.7867441360017214,Weak,0.7906434353134861,Weak,0.8564605704969492,Weak,1.718778121226746,2.056797914665935,2.757047557564019,Weak,Weak,Weak
2021,04,27400,Arizona,Gilbert town,All,all,0.4053262001309053,Strong,0.42953189907359857,Strong,0.6262562184484259,Strong,NA,NA,NA,NA,NA,NA
2021,04,27400,Arizona,Gilbert town,Renter,tenure,NA,NA,0.12906703353694335,Strong,0.49605886729064785,Strong,0.8306902328101032,0.19485372044109417,NA,Strong,Strong,NA
2021,04,27400,Arizona,Gilbert town,Owner,tenure,0.5754176963688878,Strong,0.683569943210044,Strong,0.7004256708015857,Strong,2.149661946186753,3.0934214818413146,4.059948311374309,Strong,Strong,Strong
2021,04,27820,Arizona,Glendale city,All,all,0.35266167294942735,Strong,0.530752071593696,Strong,0.9039169027661956,Strong,NA,NA,NA,NA,NA,NA
2021,04,27820,Arizona,Glendale city,Renter,tenure,0.1586795918697153,Strong,0.3978291606102825,Strong,0.904690730265476,Strong,1.135628677800435,0.5381969830979711,0.16130918855765197,Strong,Strong,Strong
2021,04,27820,Arizona,Glendale city,Owner,tenure,0.6346677403071346,Strong,0.6936892352033835,Strong,0.9029937210005804,Strong,1.9515142865923572,1.9346440203824833,2.2458801181602737,Strong,Strong,Strong
2021,04,28380,Arizona,Goodyear city,All,all,NA,NA,0.3834398111957916,Marginal,0.7082398827761236,Marginal,NA,NA,NA,NA,NA,NA
2021,04,28380,Arizona,Goodyear city,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,04,28380,Arizona,Goodyear city,Owner,tenure,NA,NA,NA,NA,0.7660461366458914,Marginal,2.0442979830268055,NA,NA,Marginal,NA,NA
2021,04,46000,Arizona,Mesa city,All,all,0.34457625257511504,Marginal,0.5304330438349149,Marginal,0.86563878562683,Marginal,NA,NA,NA,NA,NA,NA
2021,04,46000,Arizona,Mesa city,Renter,tenure,0.16899056820268815,Marginal,0.3413299392476163,Marginal,0.8583305439220655,Marginal,1.1103162403018123,0.5151412035976003,0.20726665004882133,Marginal,Marginal,Marginal
2021,04,46000,Arizona,Mesa city,Owner,tenure,0.5088313910090264,Marginal,0.72983104463086,Marginal,0.8728433018734457,Marginal,1.7844397672110706,2.053963331039159,2.1386018651274363,Marginal,Marginal,Marginal
2021,04,54050,Arizona,Peoria city,All,all,0.44360377743548873,Marginal,0.5930372365282572,Marginal,0.8885315393713461,Marginal,NA,NA,NA,NA,NA,NA
2021,04,54050,Arizona,Peoria city,Renter,tenure,0.16248172255838456,Marginal,0.32005762129339566,Marginal,0.8468887839438213,Marginal,1.065090396424773,0.37131522254071847,0.14666576756952623,Marginal,Marginal,Marginal
2021,04,54050,Arizona,Peoria city,Owner,tenure,0.6659267603704302,Marginal,0.7865078874907703,Marginal,0.9154817649557604,Marginal,1.9973399218814607,2.317488210971116,2.747208067561684,Marginal,Marginal,Marginal
2021,04,55000,Arizona,Phoenix city,All,all,0.3178725385598225,Marginal,0.49973977489595006,Marginal,0.8474652113628142,Marginal,NA,NA,NA,NA,NA,NA
2021,04,55000,Arizona,Phoenix city,Renter,tenure,0.2003560900036615,Marginal,0.40102726591413373,Marginal,0.8579989721192871,Marginal,1.157554968324065,0.5516220025103821,0.2325359273475827,Marginal,Marginal,Marginal
2021,04,55000,Arizona,Phoenix city,Owner,tenure,0.49447653934472313,Marginal,0.6410564101905508,Marginal,0.834459204069693,Marginal,1.7788050564817297,1.8908325997893056,2.1668011718746416,Marginal,Marginal,Marginal
2021,04,65000,Arizona,Scottsdale city,All,all,0.28062998057081673,Weak,0.4586718287960262,Weak,0.6577438456899789,Weak,NA,NA,NA,NA,NA,NA
2021,04,65000,Arizona,Scottsdale city,Renter,tenure,0.18424283586431625,Weak,0.2371561815667223,Weak,0.5922211761409426,Weak,0.95787858868299,0.25608218270566513,0.1267775206643863,Weak,Weak,Weak
2021,04,65000,Arizona,Scottsdale city,Owner,tenure,0.3657834977364262,Weak,0.6360726031752799,Weak,0.7121621593596181,Weak,1.9791436188638192,2.3511813754417403,2.5463968005842155,Weak,Weak,Weak
2021,04,71510,Arizona,Surprise city,All,all,0.4706287500629866,Strong,0.5267154953426622,Strong,0.8513616334943382,Strong,NA,NA,NA,NA,NA,NA
2021,04,71510,Arizona,Surprise city,Renter,tenure,NA,NA,0.22985735637321175,Strong,0.6147332198913732,Strong,0.7367243847028925,0.243075847257923,NA,Strong,Strong,NA
2021,04,71510,Arizona,Surprise city,Owner,tenure,0.7088688000839033,Strong,0.7364689977473543,Strong,0.9766281781018248,Strong,2.356695802145841,3.047966289537899,4.317771584090975,Strong,Strong,Strong
2021,04,73000,Arizona,Tempe city,All,all,0.2408453258196302,Weak,0.28762896783277947,Weak,0.7832034698222193,Weak,NA,NA,NA,NA,NA,NA
2021,04,73000,Arizona,Tempe city,Renter,tenure,0.11340524403256091,Weak,0.17820800144176976,Weak,0.7750050782711444,Weak,1.1240739186548103,0.3145195321353307,0.1886682430270634,Weak,Weak,Weak
2021,04,73000,Arizona,Tempe city,Owner,tenure,0.6323006455786915,Weak,0.7006117126905101,Weak,0.8054356381957328,Weak,1.9788576280005703,2.614227648893746,2.758621554889243,Weak,Weak,Weak
2021,04,77000,Arizona,Tucson city,All,all,0.43567814091186674,Marginal,0.6449248586775481,Marginal,0.9549695204915696,Marginal,NA,NA,NA,NA,NA,NA
