year,state,place,state_name,place_name,share_in_preschool,share_in_preschool_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality,share_hs_degree,share_hs_degree_quality,share_digital_access,share_digital_access_quality,pctl_income_20,pctl_20_quality,pctl_income_50,pctl_50_quality,pctl_income_80,pctl_80_quality,pctl_income_quality,share_debt_col,share_debt_col_quality,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,homeless_quality,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_quality,share_election_turnout,share_election_turnout_quality,share_desc_rep_asian_other,share_desc_rep_black_nonhispanic,share_desc_rep_hispanic,share_desc_rep_white_nonhispanic,share_poverty_exposure,share_poverty_exposure_quality,share_black_nh_exposure,share_black_nh_exposure_quality,share_hispanic_exposure,share_hispanic_exposure_quality,share_other_nh_exposure,share_other_nh_exposure_quality,share_white_nh_exposure,share_white_nh_exposure_quality,index_air_quality,index_air_quality_quality,ratio_high_low_ses_fb_friends,ratio_high_low_ses_fb_friends_quality,count_membership_associations_per_10k,count_membership_associations_per_10k_quality,rate_juv_arrest,rate_juv_arrest_quality,rate_violent_crime,rate_property_crime,rate_crime_quality,share_employed,share_employed_quality
2014,01,03076,Alabama,Auburn city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9%:24.6%,3,4.0%:3.0%,3,2.6%:2.7%,3,81.5%:69.7%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,01,03076,Alabama,Auburn city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3%:25.5%,3,0.6%:3.6%,3,5.8%:6.5%,3,77.2%:64.4%,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,03076,Alabama,Auburn city,NA,NA,0.78304815,0.59634668,0.96974963,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2%:22.5%,3,1.6%:3.9%,3,5.3%:5.0%,3,78.9%:68.7%,3,24,24,24,0.0028093175,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,01,03076,Alabama,Auburn city,NA,NA,0.75042897,0.55912179,0.94173616,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9%:21.8%,3,3.9%:3.7%,3,2.2%:5.1%,3,83.0%:69.4%,3,29,29,29,0.0033607602,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,03076,Alabama,Auburn city,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,NA,NA,NA,NA,14275.926120171427,2,47157.5006128205,2,109341.870715,2,2,NA,NA,11.1%:25.4%,3,1.7%:3.4%,3,6.4%:5.6%,3,80.8%:65.6%,3,31,31,31,0.0035477227,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8047409335068229,2
2019,01,03076,Alabama,Auburn city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7%:19.3%,3,1.0%:2.1%,3,8.4%:7.7%,3,75.9%:70.8%,3,34,34,34,0.0038073908,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,01,03076,Alabama,Auburn city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43047810869591713,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0665089202470588,2,3.6,2,NA,NA,NA,NA,NA,NA,NA
2021,01,03076,Alabama,Auburn city,0.5468936678614098,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8776486030376898,2,0.8509452416361858,1,18480.29092666667,2,51878.07919999999,2,103057.02433117904,2,2,NA,NA,7.6%:21.0%,3,3.7%:3.6%,3,5.7%:4.9%,3,83.0%:70.5%,3,NA,NA,NA,NA,NA,1.5810639806684668,1.548563278902093,1.0693511305231398,2,NA,NA,0.10248268285166874,0.17720433565121857,0.03403137853879443,0.6862816029583183,0.4509541886023975,1,0.7353047024927499,1,0.9383778630444196,1,0.8812354229697016,1,0.295436364396506,1,NA,NA,NA,NA,NA,NA,308.5966201322557,2,735.5601109369347,2095.4754344360035,2,0.7918990052192533,2
2014,01,07000,Alabama,Birmingham city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7%:61.3%,2,1.5%:3.2%,3,1.7%:2.2%,2,66.1%:33.3%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,01,07000,Alabama,Birmingham city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7%:61.6%,2,1.5%:2.0%,2,1.2%:1.7%,2,64.6%:34.7%,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,01,07000,Alabama,Birmingham city,NA,NA,0.81266242,0.71087229,0.91445255,1,0.92518163,1,0.68657297,1,0.12218045,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2%:60.3%,2,1.2%:2.9%,3,3.0%:2.7%,2,68.7%:34.1%,2,420,420,420,0.0062322863,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
