year,state,county,state_name,county_name,subgroup,subgroup_type,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality,share_employed,share_employed_lb,share_employed_ub,share_employed_quality
2018,01,001,Alabama,Autauga County,All,all,0.8544034090909091,0.7660940282210568,0.9427127899607614,Weak,0.7331012215625883,0.7041974059693098,0.7620050371558668,Weak
2018,01,001,Alabama,Autauga County,With Disability,disability,NA,NA,NA,NA,0.2820281124497992,0.21694709820823777,0.3471091266913606,Weak
2018,01,001,Alabama,Autauga County,Without Disability,disability,0.8760944547625366,0.7860235525440249,0.9661653569810482,Weak,0.8115774948034027,0.7867575568384821,0.8363974327683232,Weak
2018,01,003,Alabama,Baldwin County,All,all,0.8233636757693975,0.7478834807782174,0.8988438707605776,Strong,0.7878338473653127,0.7633470408105636,0.8123206539200618,Strong
2018,01,003,Alabama,Baldwin County,With Disability,disability,NA,NA,NA,NA,0.46150174992045817,0.3690353176507248,0.5539681821901915,Strong
2018,01,003,Alabama,Baldwin County,Without Disability,disability,0.8618311533888229,0.7836999269458281,0.9399623798318176,Strong,0.8171766153141942,0.7942979038351471,0.8400553267932412,Strong
2018,01,005,Alabama,Barbour County,All,all,0.9012615643397814,0.8600413349328889,0.942481793746674,Weak,0.6686541411042946,0.6446990439516321,0.692609238256957,Weak
2018,01,005,Alabama,Barbour County,With Disability,disability,NA,NA,NA,NA,0.26828617191671117,0.2121239284052346,0.32444841542818775,Weak
2018,01,005,Alabama,Barbour County,Without Disability,disability,0.9268638214981408,0.889168389225909,0.9645592537703724,Weak,0.7358063938389899,0.7106151818879098,0.76099760579007,Weak
2018,01,007,Alabama,Bibb County,All,all,0.886893203883495,0.8132198508471765,0.9605665569198136,Weak,0.6057161266568483,0.5747377737885742,0.6366944795251224,Weak
2018,01,007,Alabama,Bibb County,With Disability,disability,NA,NA,NA,NA,0.19371534195933457,0.14250194093593752,0.2449287429827316,Weak
2018,01,007,Alabama,Bibb County,Without Disability,disability,NA,NA,NA,NA,0.700319741942786,0.6681452767192887,0.7324942071662833,Weak
2018,01,009,Alabama,Blount County,All,all,0.9213806327900288,0.8535092170626243,0.9892520485174332,Marginal,0.7313247817182279,0.7073670381026999,0.755282525333756,Marginal
2018,01,009,Alabama,Blount County,With Disability,disability,NA,NA,NA,NA,0.3251271951419662,0.24372610775662215,0.4065282825273102,Marginal
2018,01,009,Alabama,Blount County,Without Disability,disability,0.9563586771224004,0.9169680658117269,0.995749288433074,Marginal,0.7812544130404083,0.7575073749465276,0.805001451134289,Marginal
2018,01,011,Alabama,Bullock County,All,all,NA,NA,NA,NA,0.6686541411042946,0.6446990439516321,0.692609238256957,Weak
2018,01,011,Alabama,Bullock County,With Disability,disability,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,011,Alabama,Bullock County,Without Disability,disability,NA,NA,NA,NA,0.7358063938389899,0.7106151818879098,0.76099760579007,Weak
2018,01,013,Alabama,Butler County,All,all,0.8592564491654022,0.7945723014999247,0.9239405968308796,Weak,0.73770564400062,0.7150977835524104,0.7603135044488296,Weak
2018,01,013,Alabama,Butler County,With Disability,disability,NA,NA,NA,NA,0.36531525032462847,0.31111918125479787,0.419511319394459,Weak
2018,01,013,Alabama,Butler County,Without Disability,disability,NA,NA,NA,NA,0.805215526260724,0.7840628535813061,0.8263681989401419,Weak
2018,01,015,Alabama,Calhoun County,All,all,0.943808532778356,0.899579200107598,0.9880378654491138,Strong,0.7285793639772253,0.7028321045802874,0.7543266233741632,Strong
2018,01,015,Alabama,Calhoun County,With Disability,disability,NA,NA,NA,NA,0.31496062992125984,0.24593560110611715,0.38398565873640256,Strong
2018,01,015,Alabama,Calhoun County,Without Disability,disability,0.9434397845325124,0.8952234096348205,0.9916561594302046,Strong,0.8049074708704592,0.7800865296454937,0.8297284120954247,Strong
2018,01,017,Alabama,Chambers County,All,all,0.8633912522468543,0.7924667682021836,0.934315736291525,Weak,0.6740728117078159,0.6527156599307825,0.6954299634848492,Weak
2018,01,017,Alabama,Chambers County,With Disability,disability,NA,NA,NA,NA,0.270722214213637,0.2081113321519371,0.3333330962753369,Weak
2018,01,017,Alabama,Chambers County,Without Disability,disability,0.8827629911280102,0.8178705736127788,0.9476554086432416,Weak,0.7440133979903014,0.7205678405055265,0.7674589554750764,Weak
2018,01,019,Alabama,Cherokee County,All,all,NA,NA,NA,NA,0.70597341589708,0.683430077855278,0.7285167539388819,Weak
2018,01,019,Alabama,Cherokee County,With Disability,disability,NA,NA,NA,NA,0.2943722943722944,0.23555511875614163,0.35318946998844714,Weak
2018,01,019,Alabama,Cherokee County,Without Disability,disability,NA,NA,NA,NA,0.7774575527849132,0.7550677590971694,0.7998473464726571,Weak
2018,01,021,Alabama,Chilton County,All,all,0.8633912522468544,0.7924667682021839,0.934315736291525,Weak,0.674072811707816,0.6527156599307827,0.6954299634848492,Weak
2018,01,021,Alabama,Chilton County,With Disability,disability,NA,NA,NA,NA,0.27072221421363707,0.20811133215193717,0.33333309627533697,Weak
2018,01,021,Alabama,Chilton County,Without Disability,disability,0.8827629911280102,0.8178705736127788,0.9476554086432416,Weak,0.7440133979903014,0.7205678405055264,0.7674589554750765,Weak
2018,01,023,Alabama,Choctaw County,All,all,NA,NA,NA,NA,0.5953312356492899,0.5681120775934531,0.6225503937051268,Weak
2018,01,023,Alabama,Choctaw County,With Disability,disability,NA,NA,NA,NA,0.2569908607284136,0.18078198130161505,0.33319974015521214,Weak
