year,state,county,state_name,county_name,subgroup,subgroup_type,index_air_hazard,index_air_hazard_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_digital_access,share_digital_access_quality,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2014,01,001,Alabama,Autauga County,All,all,6,Strong,0.98,0.87,1.09,Strong,NA,NA,0.4293,0.3188,0.5398,Weak
2014,01,001,Alabama,Autauga County,Economically Disadvantaged,income,NA,NA,0.95,0.82,1.09,Strong,NA,NA,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,Not Economically Disadvantaged,income,NA,NA,1.01,0.87,1.14,Strong,NA,NA,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.359,0.2294,0.4886,Weak
2014,01,001,Alabama,Autauga County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,001,Alabama,Autauga County,Not High-Poverty,income,6,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,All,all,39,Strong,0.75,0.68,0.81,Strong,NA,NA,0.3453,0.2548,0.4358,Strong
2014,01,003,Alabama,Baldwin County,Economically Disadvantaged,income,NA,NA,0.8,0.72,0.88,Strong,NA,NA,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,Not Economically Disadvantaged,income,NA,NA,0.64,0.57,0.72,Strong,NA,NA,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2226,0.1124,0.3328,Strong
2014,01,003,Alabama,Baldwin County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.4754,0.3333,0.6176,Strong
2014,01,003,Alabama,Baldwin County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,003,Alabama,Baldwin County,Not High-Poverty,income,39,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,All,all,9,Strong,1.05,0.87,1.23,Strong,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,Economically Disadvantaged,income,NA,NA,1.02,0.85,1.19,Strong,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,Not Economically Disadvantaged,income,NA,NA,1.04,0.65,1.42,Strong,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,005,Alabama,Barbour County,Not High-Poverty,income,9,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,All,all,13,Strong,0.91,0.72,1.1,Strong,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,Economically Disadvantaged,income,NA,NA,0.95,0.75,1.15,Strong,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,Not Economically Disadvantaged,income,NA,NA,0.82,0.53,1.1,Strong,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,007,Alabama,Bibb County,Not High-Poverty,income,13,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,All,all,26,Strong,0.81,0.7,0.92,Strong,NA,NA,0.3148,0.2229,0.4067,Marginal
2014,01,009,Alabama,Blount County,Economically Disadvantaged,income,NA,NA,0.83,0.7,0.95,Strong,NA,NA,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,Not Economically Disadvantaged,income,NA,NA,0.7,0.55,0.86,Strong,NA,NA,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,0.3353,0.2161,0.4545,Marginal
2014,01,009,Alabama,Blount County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,0.2933,0.1769,0.4097,Marginal
2014,01,009,Alabama,Blount County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,009,Alabama,Blount County,Not High-Poverty,income,26,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,All,all,6,Strong,0.57,0.27,0.87,Strong,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,Economically Disadvantaged,income,NA,NA,0.58,0.31,0.85,Strong,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,Not Economically Disadvantaged,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,"Less than $50,000",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,"$50,000 or More",income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,High-Poverty,income,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,011,Alabama,Bullock County,Not High-Poverty,income,6,Strong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,013,Alabama,Butler County,All,all,14,Strong,0.85,0.65,1.06,Strong,NA,NA,0.3503,0.2564,0.4442,Weak
2014,01,013,Alabama,Butler County,Economically Disadvantaged,income,NA,NA,0.84,0.64,1.03,Strong,NA,NA,NA,NA,NA,NA
