year,state,county,state_name,county_name,in_universe,subgroup,subgroup_type,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2014,01,023,Alabama,Choctaw County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,023,Alabama,Choctaw County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,TRUE,All,all,1.384,1.396,1.3882,Weak,Weak,Weak,0.7221,0.7221,0.8356,Weak,Weak,Weak
2014,01,025,Alabama,Clarke County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,025,Alabama,Clarke County,TRUE,Owner,tenure,NA,NA,1.7054,NA,NA,Weak,NA,NA,0.9296,NA,NA,Weak
2014,01,027,Alabama,Clay County,TRUE,All,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,027,Alabama,Clay County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,TRUE,All,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,029,Alabama,Cleburne County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,031,Alabama,Coffee County,TRUE,All,all,1.9006,1.9913,1.7907,Marginal,Marginal,Marginal,0.9112,1.0563,1.1486,Marginal,Marginal,Marginal
2014,01,031,Alabama,Coffee County,TRUE,Renter,tenure,0.9566,1.3604,1.4604,Marginal,Marginal,Marginal,0.65,0.9341,1.1583,Marginal,Marginal,Marginal
2014,01,031,Alabama,Coffee County,TRUE,Owner,tenure,2.8395,2.5572,2.0268,Marginal,Marginal,Marginal,1.1711,1.1659,1.1417,Marginal,Marginal,Marginal
2014,01,033,Alabama,Colbert County,TRUE,All,all,1.7449,1.7431,1.7752,Weak,Weak,Weak,0.8313,0.8533,1.1433,Weak,Weak,Weak
2014,01,033,Alabama,Colbert County,TRUE,Renter,tenure,1.0142,1.0839,1.4117,Weak,Weak,Weak,0.7538,0.7928,1.2386,Weak,Weak,Weak
2014,01,033,Alabama,Colbert County,TRUE,Owner,tenure,2.7006,2.5587,2.1332,Weak,Weak,Weak,0.9326,0.9282,1.0494,Weak,Weak,Weak
2014,01,035,Alabama,Conecuh County,TRUE,All,all,NA,NA,1.3949,NA,NA,Weak,NA,NA,0.838,NA,NA,Weak
2014,01,035,Alabama,Conecuh County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,035,Alabama,Conecuh County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,TRUE,All,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,TRUE,Renter,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,037,Alabama,Coosa County,TRUE,Owner,tenure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,01,039,Alabama,Covington County,TRUE,All,all,1.9913,1.9913,2.0909,Weak,Weak,Weak,0.9967,0.9967,1.2534,Weak,Weak,Weak
