state,place,subgroup_type,subgroup,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,share_poverty_exposure,share_poverty_exposure_quality
04,28380,race-ethnicity,Hispanic,NA,NA,NA,NA,0,2
04,28380,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,2
04,46000,all,All,1.0414534,0.9561522,1.1267545,1,0.11436208986077882,1
04,46000,race-ethnicity,"Black, Non-Hispanic",1.1697983,0.80803937,1.5315571,2,NA,NA
04,46000,race-ethnicity,Hispanic,1.1076345,1.0109676,1.2043015,1,0.20397066655132365,1
04,46000,race-ethnicity,"White, Non-Hispanic",1.0266799,0.94491494,1.1084448,1,0.04425499840323713,1
04,54050,all,All,NA,NA,NA,NA,0,1
04,54050,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
04,54050,race-ethnicity,Hispanic,NA,NA,NA,NA,0,2
04,54050,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,0,1
04,55000,all,All,1.100279,0.92852730000000006,1.2720307,1,0.08829036991385546,1
04,55000,race-ethnicity,"Black, Non-Hispanic",1.0453328,0.35956597,1.7310995,2,NA,NA
04,55000,race-ethnicity,Hispanic,1.1060667,0.93735349,1.27478,1,0.1041930606114292,1
04,55000,race-ethnicity,"White, Non-Hispanic",1.0926483,0.93774724,1.2475494,1,0.04253601922169148,1
04,65000,all,All,1.0788422,0.8904832,1.2672013,1,0,1
04,65000,race-ethnicity,"Black, Non-Hispanic",1.2766068,0.79668534,1.7565283,1,NA,NA
04,65000,race-ethnicity,Hispanic,1.1333189,0.80117416,1.4654635,1,0,2
04,65000,race-ethnicity,"White, Non-Hispanic",1.0677609,0.92320722,1.2123147,1,0,1
04,71510,all,All,1.069913,0.94338882,1.1964372,1,0,1
04,71510,race-ethnicity,"Black, Non-Hispanic",0.99572974,0.68948281,1.3019767,1,NA,NA
04,71510,race-ethnicity,Hispanic,1.1675165,1.0055577,1.3294753,1,0,2
04,71510,race-ethnicity,"White, Non-Hispanic",1.0204284,0.90877628,1.1320806,1,0,1
04,73000,all,All,1.09008,0.940274,1.2398859,1,0.05725891022837336,1
04,73000,race-ethnicity,"Black, Non-Hispanic",1.1180803,0.57210803,1.6640525,2,NA,NA
04,73000,race-ethnicity,Hispanic,1.1041504,0.85024995,1.3580508,2,0.03525866691842535,1
04,73000,race-ethnicity,"White, Non-Hispanic",1.1694376,0.90484548,1.4340297,2,0.05241606520858891,1
04,77000,all,All,1.1345824,0.95070326,1.3184615,2,0.08051017473170434,1
04,77000,race-ethnicity,"Black, Non-Hispanic",1.2498008,0.5963155,1.903286,2,NA,NA
04,77000,race-ethnicity,Hispanic,1.1620946,0.99962789,1.3245612,2,0.03113201363850023,1
04,77000,race-ethnicity,"White, Non-Hispanic",1.1866541,0.91052794,1.4627804,2,0.15095588542526803,1
04,85540,all,All,1.0327247,0.82317227,1.2422771,1,0.1170901769149542,1
04,85540,race-ethnicity,"Black, Non-Hispanic",1.0891286,-0.13555737,2.3138146,3,NA,NA
04,85540,race-ethnicity,Hispanic,1.0692022,0.89047289,1.2479315,1,0.12306763998267532,1
04,85540,race-ethnicity,"White, Non-Hispanic",1.0249999,0.71950823,1.3304914,2,0.08654591924820788,1
05,23290,all,All,0.89648151,0.71484071,1.0781224,1,0.21138409196569077,1
05,23290,race-ethnicity,"Black, Non-Hispanic",0.6332289,0.26541412,1.0010437,1,NA,NA
05,23290,race-ethnicity,Hispanic,0.83158493,0.46350643,1.1996634,1,0.0751232602779501,2
05,23290,race-ethnicity,"White, Non-Hispanic",0.95376128,0.80564654,1.101876,1,0.23487299045867516,1
05,24550,all,All,1.0500624,0.88975453,1.2103703,1,0,1
05,24550,race-ethnicity,"Black, Non-Hispanic",0.910483,0.58472013,1.2362459,1,NA,NA
05,24550,race-ethnicity,Hispanic,0.95839882,0.7559554,1.1608422,1,0,2
05,24550,race-ethnicity,"White, Non-Hispanic",1.175149,1.0172786,1.3330194,1,0,1
05,35710,all,All,0.99228662,0.70674312,1.2778302,1,0.21258457257341565,1
05,35710,race-ethnicity,"Black, Non-Hispanic",0.91702926,0.66330492,1.1707536,1,NA,NA
05,35710,race-ethnicity,Hispanic,1.0341029,0.44544995,1.6227558,2,0.469709659751169,2
05,35710,race-ethnicity,"White, Non-Hispanic",1.0918585,0.84330297,1.3404139,1,0.15377791362616453,1
05,41000,all,All,0.84009838,0.72116882,0.95902801,1,0.09242745898663708,1
05,41000,race-ethnicity,"Black, Non-Hispanic",0.8908627,0.78704393,0.99468148,1,NA,NA
05,41000,race-ethnicity,Hispanic,0.90328723,0.62425476,1.1823198,1,0.08268245006522326,2
05,41000,race-ethnicity,"White, Non-Hispanic",0.86542183,0.72383785,1.0070058,1,0.04257843380060833,1
05,66080,all,All,0.97905791,0.86227655,1.0958393,1,0.11540553525391804,1
05,66080,race-ethnicity,"Black, Non-Hispanic",0.74486727,0.20184106,1.2878935,1,NA,NA
05,66080,race-ethnicity,Hispanic,0.94757062,0.82111186,1.0740294,1,0.19184142979906585,2
05,66080,race-ethnicity,"White, Non-Hispanic",1.0427656,0.92006665,1.1654645,1,0.02952838786236634,2
06,00562,all,All,1.0466795,0.86225927,1.2310997,1,0,1
06,00562,race-ethnicity,"Black, Non-Hispanic",1.0295129,0.65676194,1.4022639,2,NA,NA
06,00562,race-ethnicity,Hispanic,1.0000544,0.62712979,1.3729789,1,0,2
06,00562,race-ethnicity,"White, Non-Hispanic",1.0487405,0.84029341,1.2571876,1,0,2
06,00884,all,All,1.2848969,1.1302552,1.4395385,1,0,1
06,00884,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
06,00884,race-ethnicity,Hispanic,1.2505702,1.0785940999999999,1.4225463,1,0,2
06,00884,race-ethnicity,"White, Non-Hispanic",1.1310343,0.44183964,1.8202289,3,0,2
06,02000,all,All,0.93655139,0.79025978,1.0828429,1,0,1
06,02000,race-ethnicity,"Black, Non-Hispanic",1.1844864,0.37267885,1.9962939,3,NA,NA
06,02000,race-ethnicity,Hispanic,0.97389346,0.86026794,1.087519,1,0,1
06,02000,race-ethnicity,"White, Non-Hispanic",0.80882847,0.32970566,1.2879512,2,0,1
06,02252,all,All,0.99355137,0.8511188,1.1359839,2,0,1
