state,county,subgroup_type,subgroup,share_in_preschool,share_in_preschool_ub,share_in_preschool_lb,share_in_preschool_quality,share_hs_degree,share_hs_degree_ub,share_hs_degree_lb,share_hs_degree_quality,rate_learning,rate_learning_lb,rate_learning_ub,rate_learning_quality,pctl_income_20,pctl_income_50,pctl_income_80,pctl_income_quality,rate_low_birth_weight,rate_low_birth_weight_lb,rate_low_birth_weight_ub,rate_low_birth_weight_quality,share_employed,share_employed_ub,share_employed_lb,share_employed_quality
01,009,all,All,0.2309973046,0.3930054254,0.0689891838,3,0.903599752,1,0.7773665638,3,0.84716487,0.72689116,0.96743858,1,22592.06,52468.29,95940.29,2,0.10317565,0.099224299,0.107127,3,0.7213033192,0.765187576,0.6774190623,2
01,009,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25902.617424,48010.105825,83516.431504,3,0.16537568,0.15524253,0.17550883,3,0.8960876369,0.9602093769,0.831965897,3
01,009,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,0.93201637,0.68489581,1.179137,1,16003.70475,34191.333657,63825.111,3,0.083648391,0.07185176,0.095445022,3,0.6420701169,0.7351050808,0.5490351529,2
01,009,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24866.148699,52976.961864,98565.429424,3,0.1152,0.090169765,0.14023022,3,NA,NA,NA,NA
01,009,race-ethnicity,"White, Non-Hispanic",0.251345895,0.3331585897,0.1695332004,2,0.945861122,0.9945450194,0.8971772247,3,0.84007406,0.73189747,0.94825065,1,22191.40055,53344.674075,97393.679724,2,0.083810166,0.079354003,0.088266328,3,0.7288771597,0.7486030975,0.7091512219,2
01,011,all,All,0.3492307692,0.5324787311,0.1659828074,3,0.8433018583,1,0.6798451599,3,0.85014945,0.51848865,1.1818103,1,12157.16,34040.06,75982.27,2,0.10317565,0.099224299,0.107127,3,0.6406170466,0.6862353982,0.594998695,2
01,011,race-ethnicity,"Black, Non-Hispanic",0.4034416826,0.5286251283,0.2782582369,3,0.8947612425,0.9693615866,0.8201608983,3,0.80562568,0.51514155,1.0961099,1,9539.042128,25902.617424,59351.926128,2,0.16537568,0.15524253,0.17550883,3,0.6277314413,0.6570834165,0.5983794661,2
01,011,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,0.90777403,-0.016419375,1.8319675,3,12400.65464,41334.3576,85708.0062,3,0.083648391,0.07185176,0.095445022,3,0.6090438059,0.7391948049,0.478892807,3
01,011,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15399.0744,31053.201696,61365.468032,3,0.1152,0.090169765,0.14023022,3,0.7176079734,0.8365799206,0.5986360263,3
01,011,race-ethnicity,"White, Non-Hispanic",0.4140401146,0.5419116254,0.2861686038,3,0.8701657459,0.9525153887,0.7878161031,3,NA,NA,NA,NA,20825.437455,47693.208112,92302.523104,2,0.083810166,0.079354003,0.088266328,3,0.7200853731,0.746461637,0.6937091091,2
01,013,all,All,0.3583836858,0.5150287214,0.2017386502,2,0.7598039264,0.9055620672,0.6140457856,2,0.63963914,0.42159915,0.85767913,1,16918.72,47615.56,97257.31,2,0.10317565,0.099224299,0.107127,3,0.7444219945,0.7774752582,0.7113687307,2
01,013,race-ethnicity,"Black, Non-Hispanic",0.2673521851,0.4206975243,0.1140068459,3,0.7611336032,0.9137156447,0.6085515618,3,0.5754903,0.36675528,0.78422534,1,10174.844768,29145.793776,58042.10674,2,0.16537568,0.15524253,0.17550883,3,0.6925423372,0.7335256835,0.6515589909,2
01,013,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26382.684192,69004.548549,101755.46268,3,0.083648391,0.07185176,0.095445022,3,0.7718191377,0.8566569625,0.686981313,3
01,013,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15367.399872,38497.686,94907.165973,3,0.1152,0.090169765,0.14023022,3,0.6331747919,0.7311251418,0.5352244421,3
01,013,race-ethnicity,"White, Non-Hispanic",0.3226555246,0.399548426,0.2457626232,2,0.8975084938,0.9477491467,0.8472678408,2,0.93555176,0.58544809,1.2856555,1,21338.273,50989.3692,101354.7799,2,0.083810166,0.079354003,0.088266328,3,0.7545522574,0.7714119569,0.7376925579,2
01,015,all,All,0.422954726,0.6248583148,0.2210511371,3,0.8845771144,1,0.7640490998,3,0.77834934,0.6902169,0.86648178,1,19451.46,47311.63,95433.74,1,0.097464345,0.08110065,0.11382804,1,0.7416833904,0.790887879,0.6924789018,1
01,015,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,0.81249309,0.67922449,0.94576168,1,12055.720875,29379.813,67214.551525,1,0.14239483,0.10343046,0.18135919,1,0.6585773127,0.7120586392,0.6050959862,1
01,015,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,0.99022156,0.62054926,1.3598938,1,25499.03455,42480.04989,101733.1376,3,NA,NA,NA,3,0.7820738137,0.8801989328,0.6839486947,3
01,015,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15905.6229,35650.88343,63318.845096,3,NA,NA,NA,3,0.7470101196,0.8699945885,0.6240256507,3
01,015,race-ethnicity,"White, Non-Hispanic",0.324019025,0.4344482484,0.2135898016,3,0.9234863606,0.9796676262,0.867305095,3,0.73593831,0.64843303,0.82344359,1,21757.753713,52992.898464,99625.768,1,0.084725536,0.065870956,0.10358012,1,0.7450443858,0.7692059155,0.720882856,1
01,017,all,All,0.4688385269,0.721381548,0.2162955058,3,0.8803399657,0.9984690515,0.7622108798,3,0.80904579,0.64070064,0.97739094,1,15804.31,42854,84593.6,2,0.10317565,0.099224299,0.107127,3,0.6645565676,0.7111187307,0.6179944046,2
01,017,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,0.89300323,0.71127588,1.0747306,1,12718.055328,27974.543685,60785.82,2,0.16537568,0.15524253,0.17550883,3,0.638836773,0.6834162899,0.5942572561,2
01,017,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26496.449232,37788.5181,63318.845096,3,0.083648391,0.07185176,0.095445022,3,0.6227786753,0.7659957233,0.4795616273,3
01,017,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10881.914175,52132.60312,70415.292475,3,0.1152,0.090169765,0.14023022,3,0.4665042631,0.6294706759,0.3035378503,3
01,017,race-ethnicity,"White, Non-Hispanic",0.3576874206,0.4691815355,0.2461933057,3,0.8672659968,0.9347867783,0.7997452153,3,0.70492584,0.48157069,0.92828095,1,19501.618928,50654.85,94218.021,2,0.083810166,0.079354003,0.088266328,3,0.6963345865,0.7191464764,0.6735226965,2
01,019,all,All,0.3743206522,0.5640278773,0.1846134271,3,0.7960679601,0.9726550207,0.6194808994,3,0.88938707,0.71413046,1.0646436,1,15500.38,38497.69,80034.66,2,0.10317565,0.099224299,0.107127,3,0.7148604061,0.7558527261,0.6738680861,2
01,019,race-ethnicity,"Black, Non-Hispanic",0.4777911164,0.6565372297,0.2990450032,3,NA,NA,NA,NA,NA,NA,NA,NA,13474.1901,30798.1488,62263.90046,2,0.16537568,0.15524253,0.17550883,3,0.7168210477,0.759757064,0.6738850314,2
01,019,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9709.117968,19893.121197,37340.969325,3,0.083648391,0.07185176,0.095445022,3,0.5964391691,0.7589789355,0.4338994028,3
01,019,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9523.1118,25236.24627,69903.693,3,0.1152,0.090169765,0.14023022,3,0.5809018568,0.7574668876,0.4043368259,3
01,019,race-ethnicity,"White, Non-Hispanic",0.3495717345,0.4470101056,0.2521333633,3,0.7819837087,0.8677673337,0.6962000837,3,0.92039925,0.76745445,1.073344,1,19819.019616,44809.364875,84575.768816,2,0.083810166,0.079354003,0.088266328,3,0.707552841,0.7276607753,0.6874449067,2
01,021,all,All,0.4688385269,0.721381548,0.2162955058,3,0.880339953,0.9984690443,0.7622108618,3,0.72913039,0.59924167,0.8590191,1,15804.31,42854,84593.6,2,0.10317565,0.099224299,0.107127,3,0.6645565676,0.7111187306,0.6179944045,2
01,021,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,0.83961195,0.55058408,1.1286398,1,12718.055328,27974.543685,60785.82,2,0.16537568,0.15524253,0.17550883,3,0.638836773,0.6834162899,0.5942572561,2
01,021,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,0.63224,0.3282885,0.9361915,1,26496.449232,37788.5181,63318.845096,3,0.083648391,0.07185176,0.095445022,3,0.6227786753,0.7659957233,0.4795616273,3
01,021,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10881.914175,52132.60312,70415.292475,3,0.1152,0.090169765,0.14023022,3,0.4665042631,0.6294706759,0.3035378503,3
01,021,race-ethnicity,"White, Non-Hispanic",0.3576874206,0.4691815355,0.2461933057,3,0.8672659968,0.9347867783,0.7997452153,3,0.72289062,0.60060591,0.84517533,1,19501.618928,50654.85,94218.021,2,0.083810166,0.079354003,0.088266328,3,0.6963345865,0.7191464764,0.6735226965,2
01,023,all,All,0.1334205363,0.2788532009,0,3,0.8312048652,0.9724938127,0.6899159177,3,0.54772037,0.23902421,0.85641652,1,13778.12,37484.59,81047.76,2,0.10317565,0.099224299,0.107127,3,0.6224577197,0.6673482556,0.5775671838,2
