year,state,place,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2022,01,03076,tenure,All,2,2,2,0.4123705139814411,0.7634370459038693,1.019799514081893,1.0105683808442583,1.3609894934563171,1.5072756135082792,2,2,2
2022,01,03076,tenure,Owner,NA,2,2,NA,0.8475935653798837,0.9533931737896741,NA,2.0274540081132817,1.7334865495255156,NA,2,2
2022,01,03076,tenure,Renter,2,2,2,0.29636281122643393,0.7154202289156326,1.0789175975213667,0.5280375035752836,0.9807277522544575,1.3058918761792788,2,2,2
2022,01,07000,tenure,All,2,2,2,0.5166936294032638,0.8216076651910386,1.0379719349219625,0.9984506815368072,1.257853830144917,1.3225290232579114,2,2,2
2022,01,07000,tenure,Owner,2,2,2,0.8584358626562294,1.0507490238435868,1.0705430367797746,2.191197018288286,2.071298874279468,1.6364537487872444,2,2,2
2022,01,07000,tenure,Renter,2,2,2,0.3551207456052448,0.7111674061692953,1.017809659396287,0.4345301399226044,0.865794177961414,1.1282022596723469,2,2,2
2022,01,35896,tenure,All,3,3,3,0.33626397395747243,0.5126326985529751,0.9658485732152096,1.3575785311466426,1.48333842979255,1.7486262267275254,3,3,3
2022,01,35896,tenure,Owner,NA,3,3,NA,0.9059206570170188,0.9994148414154794,NA,3.179052427565828,2.3629153205597784,NA,3,3
2022,01,35896,tenure,Renter,NA,3,3,NA,0.25785745808694915,0.9346152821256085,NA,0.38484066944530304,1.1770324479268262,NA,3,3
2022,01,37000,tenure,All,2,2,2,0.44663009213189314,0.9078170656728407,1.0949520496550111,1.3796074657815807,1.802361493839487,1.8245975521778375,2,2,2
2022,01,37000,tenure,Owner,2,2,2,0.6886056713054295,0.9557374817892176,1.0366539111888433,2.4457806669139788,2.455350250334662,2.288713324819941,2,2,2
2022,01,37000,tenure,Renter,2,2,2,0.23842931240821902,0.8686065704387,1.1441072821037173,0.4622500508126258,1.2680586934981628,1.4332691275048435,2,2,2
2022,01,50000,tenure,All,2,2,2,0.4537150791541351,0.49781966631573793,0.8966235587908425,1.0058056413729923,1.0332787973574267,1.4454983014648617,2,2,2
2022,01,50000,tenure,Owner,2,2,2,0.6550526278562588,0.7202588917429064,0.9921222950439544,2.0391237854238367,2.1100101391891886,1.939236034599168,2,2,2
2022,01,50000,tenure,Renter,2,2,2,0.349319372373922,0.38947847100464095,0.8311069974324694,0.47001895542002103,0.5088462905504401,1.106771321852251,2,2,2
2022,01,51000,tenure,All,1,1,1,0.31098096074758497,0.6346150558537594,0.9823948520912342,1.0622999364315489,1.361788945285181,1.5404155184729622,1,1,1
2022,01,51000,tenure,Owner,1,1,1,0.5464562823756701,0.8302116286263584,0.9664462737972266,2.3123700099443205,2.2603179663935276,1.9641165272623928,1,1,1
2022,01,51000,tenure,Renter,1,1,1,0.16206939412957608,0.49985647380121623,0.995781578802758,0.27177169023560305,0.7427367037185882,1.1847744382776109,1,1,1
2022,01,77256,tenure,All,2,2,2,0.4074548985505118,0.6813627610878937,0.9904883792810107,0.8734873610073607,1.293126059962348,1.418139601614417,2,2,2
2022,01,77256,tenure,Owner,NA,2,2,NA,0.9010547710401096,0.9910599402976642,NA,2.528460844189414,2.0137387299031624,NA,2,2
2022,01,77256,tenure,Renter,2,2,2,0.2857741004864819,0.6151891401573686,0.990277531575207,0.3904145905659062,0.9210297977836998,1.198424284930376,2,2,2
2022,02,03000,tenure,All,1,1,1,0.18397330835869818,0.6820881843793489,0.9535630671594141,0.8846874268321236,1.5800210447710532,1.6241123773774742,1,1,1
2022,02,03000,tenure,Owner,1,1,1,0.33548109965635736,0.5894755811857992,0.870200950820982,2.6572164948453607,2.2761758875473057,1.8891374695377732,1,1,1
