year,state,place,share_employed,share_employed_quality
2021,01,03076,0.7918990052192532,2
2021,01,07000,0.7381509170775707,2
2021,01,35896,0.8394427760469824,3
2021,01,37000,0.7989734102438377,2
2021,01,50000,0.7722854180116845,1
2021,01,51000,0.7520572954192921,1
2021,01,77256,0.7788573021295577,2
2021,02,03000,0.8125051525443577,1
2021,04,04720,0.7912079335313801,2
2021,04,07940,0.7690366499769782,2
2021,04,12000,0.833838254638812,1
2021,04,23620,0.7791996749949218,2
2021,04,27400,0.8424623898078242,1
2021,04,27820,0.7671410207331759,1
2021,04,28380,0.8145438159524766,2
2021,04,46000,0.8175338689553897,1
2021,04,54050,0.7974742465742946,2
2021,04,55000,0.781091775094367,1
2021,04,65000,0.8293343291688985,2
2021,04,71510,0.8108875458876993,1
2021,04,73000,0.8056796886972533,1
2021,04,77000,0.7862569159340596,1
2021,04,85540,0.7446019186737385,2
2021,05,23290,0.8168726391854164,2
2021,05,24550,0.7208135235076598,2
2021,05,35710,0.7283213075767251,2
2021,05,41000,0.8127853395304382,1
2021,05,66080,0.8198140787578101,3
2021,06,00562,0.8043262290963514,2
2021,06,00884,0.7893594108164365,2
2021,06,02000,0.7811456513752781,1
2021,06,02252,0.754500644971665,1
2021,06,02364,0.6520912494599335,2
2021,06,03526,0.7280971560406932,2
2021,06,04982,0.7593260254060953,2
2021,06,06000,0.7994341485928976,1
2021,06,08786,0.7877415455879668,3
2021,06,08954,0.8006879321565278,1
2021,06,11194,0.823854399611034,1
2021,06,11530,0.7421430147488376,1
2021,06,13014,0.7869529118728502,1
2021,06,13210,0.766020104745812,2
2021,06,13214,0.7667905171095343,2
2021,06,13392,0.7714951079861662,1
2021,06,13588,0.7572740298782753,1
2021,06,14218,0.8442440174331145,1
2021,06,15044,0.7607717489969629,2
2021,06,16000,0.8101175685483227,3
2021,06,16350,0.7760293991169019,2
2021,06,16532,0.8679167587433039,2
2021,06,17918,0.8498553077454115,2
2021,06,19766,0.742671458466853,1
2021,06,21712,0.7393196914394843,2
2021,06,22020,0.7958228099724606,1
2021,06,22230,0.7422761501198333,1
2021,06,22804,0.756919051826882,1
2021,06,23182,0.7577310859643938,1
2021,06,24638,0.832976344592209,2
2021,06,24680,0.7337263333537012,1
2021,06,26000,0.8187388615104161,1
2021,06,27000,0.7418725526077323,1
2021,06,28000,0.774239278713025,2
2021,06,29000,0.7479396264451974,1
2021,06,30000,0.7820535223237657,1
2021,06,32548,0.7857106930211835,2
2021,06,33000,0.7978015374131294,1
2021,06,33182,0.7107956957125439,2
2021,06,33434,0.6518318659142688,2
2021,06,36000,0.8243737859670535,1
2021,06,36448,0.768768305935107,2
2021,06,36546,0.7695563342585156,1
2021,06,36770,0.794354164909302,2
2021,06,37692,0.80705194856473494,2
2021,06,39496,0.8151089396080837,3
2021,06,39892,0.7970643668686761,2
2021,06,40130,0.6527995011695725,1
2021,06,41992,0.8292585909152647,2
2021,06,43000,0.7949511303402708,1
2021,06,44000,0.74715288873101815,1
2021,06,45484,0.7378928775079633,3
2021,06,46842,0.7278810360160797,2
2021,06,46898,0.7071315434473793,2
2021,06,47766,0.817683421095635,2
2021,06,48256,0.7941572426294076,1
2021,06,48354,0.7098700947614299,1
2021,06,49270,0.7392711312161308,1
2021,06,49670,0.8087366313419477,2
2021,06,50076,0.7296117849723224,2
2021,06,50258,0.8335742469820682,2
2021,06,51182,0.794387983149703,3
2021,06,52526,0.7565849420440338,1
2021,06,53000,0.7938776472081162,1
2021,06,53322,0.7176014894691043,2
2021,06,53896,0.7536536879723663,1
2021,06,53980,0.8153599390240706,2
2021,06,54652,0.7816655300924312,1
2021,06,55156,0.6919968118448598,1
2021,06,56000,0.8240388294034181,1
2021,06,56700,0.7199545864220455,2
2021,06,57456,0.7681720334207983,2
2021,06,57792,0.8292585909152648,3
2021,06,58072,0.7231206056261706,1
