year,state,county,share_employed,share_employed_ub,share_employed_lb,employed_quality
2018,1,1,0.7633750483,0.8005175651,0.7262325315,2
2018,1,3,0.8160460653,0.8498387161,0.7822534144,1
2018,1,5,0.6406170531,0.6862354046,0.5949987017,2
2018,1,7,0.6030012788,0.657119675,0.5488828826,2
2018,1,9,0.7213033192,0.765187576,0.6774190623,2
2018,1,11,0.6406170466,0.6862353982,0.594998695,2
2018,1,13,0.7444219945,0.7774752582,0.7113687307,2
2018,1,15,0.7416833904,0.790887879,0.6924789018,1
2018,1,17,0.6645565676,0.7111187307,0.6179944046,2
2018,1,19,0.7148604061,0.7558527261,0.6738680861,2
2018,1,21,0.6645565676,0.7111187306,0.6179944045,2
2018,1,23,0.6224577197,0.6673482556,0.5775671838,2
2018,1,25,0.6224577196,0.6673482556,0.5775671837,2
2018,1,27,0.714860394,0.7558527145,0.6738680735,2
2018,1,29,0.7148604041,0.7558527241,0.673868084,2
2018,1,31,0.7444219971,0.7774752607,0.7113687335,2
2018,1,33,0.7660744261,0.7999757762,0.732173076,2
2018,1,35,0.6224577178,0.6673482537,0.5775671818,2
2018,1,37,0.6645565516,0.7111187152,0.617994388,2
2018,1,39,0.7444219877,0.7774752517,0.7113687237,2
2018,1,41,0.7444220022,0.7774752656,0.7113687388,2
2018,1,43,0.711729469,0.7560639351,0.6673950028,1
2018,1,45,0.7152931693,0.7375733622,0.6930129764,2
2018,1,47,0.6030012584,0.6571196551,0.5488828617,2
2018,1,49,0.642552912,0.6855166889,0.5995891351,2
2018,1,51,0.7633750513,0.8005175679,0.7262325346,2
2018,1,53,0.6224577269,0.6673482627,0.5775671912,2
2018,1,55,0.7607541937,0.8057075752,0.7158008121,1
2018,1,57,0.6965470413,0.7426517523,0.6504423303,2
2018,1,59,0.7660744118,0.7999757626,0.732173061,2
2018,1,61,0.7152931648,0.7375733578,0.6930129718,2
2018,1,63,0.6030012628,0.6571196594,0.5488828663,2
2018,1,65,0.6030012593,0.6571196559,0.5488828626,2
2018,1,67,0.7152931641,0.7375733571,0.693012971,2
2018,1,69,0.7152931668,0.7375733598,0.6930129738,2
2018,1,71,0.642552912,0.6855166889,0.5995891351,2
2018,1,73,0.779264214,0.7977295803,0.7607988478,1
2018,1,75,0.6965470232,0.7426517349,0.6504423114,2
2018,1,77,0.766074416,0.7999757667,0.7321730654,2
2018,1,79,0.7435449571,0.783494238,0.7035956762,2
2018,1,81,0.8047409335,0.8456327234,0.7638491436,1
2018,1,83,0.8019341999,0.8366259497,0.7672424501,2
2018,1,85,0.7633750499,0.8005175665,0.7262325332,2
2018,1,87,0.6406170483,0.6862353998,0.5949986967,2
2018,1,89,0.7944103699,0.8126063109,0.7762144289,1
2018,1,91,0.603001266,0.6571196625,0.5488828695,2
2018,1,93,0.7147060822,0.7429634408,0.6864487236,2
2018,1,95,0.7450203419,0.7779743518,0.712066332,1
2018,1,97,0.7085383151,0.7355414402,0.6815351899,1
2018,1,99,0.6224577281,0.6673482638,0.5775671923,2
2018,1,101,0.7589758503,0.7840360938,0.7339156068,1
2018,1,103,0.7435449605,0.7834942412,0.7035956797,1
2018,1,105,0.603001266,0.6571196625,0.5488828695,2
2018,1,107,0.7979642591,0.8373130959,0.7586154224,2
2018,1,109,0.6406170488,0.6862354003,0.5949986972,2
2018,1,111,0.7148604137,0.7558527334,0.673868094,2
2018,1,113,0.6406170569,0.6862354082,0.5949987055,2
2018,1,115,0.7213033212,0.765187578,0.6774190645,2
2018,1,117,0.7965975313,0.8258986807,0.767296382,1
2018,1,119,0.6030012626,0.6571196592,0.5488828661,2
2018,1,121,0.7148603853,0.7558527061,0.6738680644,2
2018,1,123,0.6645565685,0.7111187315,0.6179944055,2
2018,1,125,0.7785532183,0.8102797036,0.746826733,1
2018,1,127,0.6965470241,0.7426517358,0.6504423124,2
2018,1,129,0.6224577308,0.6673482665,0.5775671951,2
2018,1,131,0.6224577353,0.6673482709,0.5775671998,2
2018,1,133,0.7117294683,0.7560639344,0.6673950021,2
2018,2,13,0.7150504264,0.7458526052,0.6842482476,2
2018,2,16,0.7150504276,0.7458526064,0.6842482488,2
2018,2,20,0.8316824266,0.8638102055,0.7995546476,1
2018,2,50,0.7150504205,0.7458525995,0.6842482415,2
2018,2,60,0.7150504255,0.7458526044,0.6842482467,2
2018,2,68,0.8285227038,0.8642326921,0.7928127156,2
2018,2,70,0.7150504276,0.7458526064,0.6842482489,2
2018,2,90,0.8285227081,0.864232696,0.7928127202,2
2018,2,100,0.8285226957,0.8642326846,0.7928127068,2
2018,2,105,0.7150504244,0.7458526033,0.6842482455,2
2018,2,110,0.8285227019,0.8642326903,0.7928127134,2
2018,2,122,0.7421835269,0.7782852147,0.7060818391,2
2018,2,130,0.8285226951,0.864232684,0.7928127061,2
2018,2,150,0.7150504284,0.7458526071,0.6842482496,2
2018,2,158,0.7150504268,0.7458526056,0.684248248,2
2018,2,164,0.7150504355,0.745852614,0.6842482569,2
2018,2,170,0.7421835284,0.7782852161,0.7060818406,2
2018,2,180,0.7150504211,0.7458526001,0.6842482421,2
2018,2,185,0.7150504306,0.7458526093,0.684248252,2
2018,2,188,0.7150504244,0.7458526033,0.6842482456,2
2018,2,195,0.715050411,0.7458525904,0.6842482317,2
2018,2,198,0.7150504276,0.7458526064,0.6842482488,2
2018,2,220,0.7150504241,0.745852603,0.6842482452,2
2018,2,230,0.8285227071,0.8642326951,0.7928127192,2
2018,2,240,0.8285227007,0.8642326892,0.7928127122,2
2018,2,261,0.8285227026,0.864232691,0.7928127143,2
2018,2,275,0.7150504276,0.7458526064,0.6842482489,2
2018,2,282,0.7150504286,0.7458526074,0.6842482499,2
2018,2,290,0.7150504276,0.7458526064,0.6842482488,2
2018,4,1,0.5206230941,0.553389636,0.4878565521,2
2018,4,3,0.6667641032,0.7082896602,0.6252385462,2
2018,4,5,0.7922871091,0.8273922248,0.7571819934,1
2018,4,7,0.6662054264,0.7130077577,0.619403095,2
2018,4,9,0.6662054422,0.713007773,0.6194031114,2
2018,4,11,0.6662054448,0.7130077754,0.6194031141,2
2018,4,12,0.6958275392,0.7363973843,0.6552576941,2
2018,4,13,0.8059126698,0.8122425641,0.7995827754,1
2018,4,15,0.6958275479,0.7363973926,0.6552577031,1
2018,4,17,0.5206230968,0.5533896388,0.4878565549,2
2018,4,19,0.7868042008,0.8009419805,0.772666421,1
2018,4,21,0.7363349524,0.7589755854,0.7136943195,1
2018,4,23,0.6667641015,0.7082896585,0.6252385445,2
2018,4,25,0.7370161781,0.7771184154,0.6969139408,1
2018,4,27,0.7529247989,0.7878169224,0.7180326755,1
2018,5,1,0.6975079717,0.7323416547,0.6626742887,2
2018,5,3,0.6718946456,0.7206002808,0.6231890103,2
2018,5,5,0.7545309756,0.7914153237,0.7176466275,2
2018,5,7,0.8331322629,0.8557934453,0.8104710805,1
2018,5,9,0.7545309931,0.7914153403,0.7176466459,2
2018,5,11,0.6718946345,0.7206002702,0.6231889988,2
2018,5,13,0.7030303004,0.7549964977,0.651064103,2
2018,5,15,0.7545309863,0.7914153338,0.7176466387,2
2018,5,17,0.6718946325,0.7206002683,0.6231889968,2
2018,5,19,0.7563086625,0.7967926965,0.7158246285,2
2018,5,21,0.7665875948,0.7979464604,0.7352287292,2
2018,5,23,0.7393108943,0.7783824043,0.7002393843,2
2018,5,25,0.6718946343,0.72060027,0.6231889986,2
2018,5,27,0.7030302992,0.7549964966,0.6510641018,2
2018,5,29,0.703882376,0.7433514271,0.6644133249,2
2018,5,31,0.7626039051,0.7872495182,0.7379582921,2
2018,5,33,0.7571012983,0.7921227724,0.7220798242,2
2018,5,35,0.7209504109,0.7625780741,0.6793227477,2
2018,5,37,0.6246751094,0.6764497648,0.572900454,2
2018,5,39,0.7030302941,0.7549964918,0.6510640965,2
2018,5,41,0.6718946542,0.7206002891,0.6231890192,2
2018,5,43,0.6718946401,0.7206002755,0.6231890046,2
2018,5,45,0.7838935178,0.8139997414,0.7537872942,2
2018,5,47,0.747742483,0.790093464,0.705391502,2
2018,5,49,0.7393108962,0.7783824061,0.7002393863,2
2018,5,51,0.7563086789,0.796792712,0.7158246458,2
2018,5,53,0.7147316468,0.764916676,0.6645466177,2
2018,5,55,0.7665876013,0.7979464666,0.735228736,2
2018,5,57,0.6648612368,0.712322808,0.6173996657,2
2018,5,59,0.7563086648,0.7967926987,0.7158246309,2
2018,5,61,0.7477424737,0.7900934553,0.7053914922,2
2018,5,63,0.7393108874,0.7783823978,0.700239377,2
2018,5,65,0.7393108835,0.778382394,0.7002393729,2
2018,5,67,0.769950037,0.8108385412,0.7290615329,2
2018,5,69,0.7147316382,0.7649166677,0.6645466086,2
