year,state,county,adults,children,wage
2021,01,019,1 Adult,2 Children,33.43
2021,01,019,1 Adult,3 Children,43.53
2021,01,019,2 Adults (1 Working),0 Children,23.33
2021,01,019,2 Adults (1 Working),1 Child,28.19
2021,01,019,2 Adults (1 Working),2 Children,33.62
2021,01,019,2 Adults (1 Working),3 Children,36.44
2021,01,019,2 Adults (Both Working),0 Children,11.66
2021,01,019,2 Adults (Both Working),1 Child,15.44
2021,01,019,2 Adults (Both Working),2 Children,19.49
2021,01,019,2 Adults (Both Working),3 Children,22.25
2021,01,021,1 Adult,0 Children,15.69
2021,01,021,1 Adult,1 Child,29.08
2021,01,021,1 Adult,2 Children,36.1
2021,01,021,1 Adult,3 Children,47.72
2021,01,021,2 Adults (1 Working),0 Children,24.44
2021,01,021,2 Adults (1 Working),1 Child,28.8
2021,01,021,2 Adults (1 Working),2 Children,34.22
2021,01,021,2 Adults (1 Working),3 Children,37.54
2021,01,021,2 Adults (Both Working),0 Children,12.22
2021,01,021,2 Adults (Both Working),1 Child,16.26
2021,01,021,2 Adults (Both Working),2 Children,20.83
2021,01,021,2 Adults (Both Working),3 Children,24.34
2021,01,023,1 Adult,0 Children,14.8
2021,01,023,1 Adult,1 Child,28.17
2021,01,023,1 Adult,2 Children,34.89
2021,01,023,1 Adult,3 Children,45.05
2021,01,023,2 Adults (1 Working),0 Children,23.33
2021,01,023,2 Adults (1 Working),1 Child,28.19
2021,01,023,2 Adults (1 Working),2 Children,33.62
2021,01,023,2 Adults (1 Working),3 Children,35.76
2021,01,023,2 Adults (Both Working),0 Children,11.66
2021,01,023,2 Adults (Both Working),1 Child,15.81
2021,01,023,2 Adults (Both Working),2 Children,20.23
2021,01,023,2 Adults (Both Working),3 Children,23.01
2021,01,025,1 Adult,0 Children,14.8
2021,01,025,1 Adult,1 Child,28.57
2021,01,025,1 Adult,2 Children,35.7
2021,01,025,1 Adult,3 Children,47.16
2021,01,025,2 Adults (1 Working),0 Children,23.42
2021,01,025,2 Adults (1 Working),1 Child,28.19
2021,01,025,2 Adults (1 Working),2 Children,33.62
2021,01,025,2 Adults (1 Working),3 Children,36.67
2021,01,025,2 Adults (Both Working),0 Children,11.71
2021,01,025,2 Adults (Both Working),1 Child,16.01
2021,01,025,2 Adults (Both Working),2 Children,20.63
2021,01,025,2 Adults (Both Working),3 Children,24.06
2021,01,027,1 Adult,0 Children,14.8
2021,01,027,1 Adult,1 Child,27.72
2021,01,027,1 Adult,2 Children,33.99
2021,01,027,1 Adult,3 Children,44.3
2021,01,027,2 Adults (1 Working),0 Children,23.91
2021,01,027,2 Adults (1 Working),1 Child,28.19
2021,01,027,2 Adults (1 Working),2 Children,33.62
2021,01,027,2 Adults (1 Working),3 Children,36.37
2021,01,027,2 Adults (Both Working),0 Children,11.95
2021,01,027,2 Adults (Both Working),1 Child,15.58
2021,01,027,2 Adults (Both Working),2 Children,19.77
2021,01,027,2 Adults (Both Working),3 Children,22.63
2021,01,029,1 Adult,0 Children,14.8
2021,01,029,1 Adult,1 Child,27.72
2021,01,029,1 Adult,2 Children,33.99
2021,01,029,1 Adult,3 Children,44.48
2021,01,029,2 Adults (1 Working),0 Children,23.33
2021,01,029,2 Adults (1 Working),1 Child,28.19
2021,01,029,2 Adults (1 Working),2 Children,33.62
2021,01,029,2 Adults (1 Working),3 Children,36.55
2021,01,029,2 Adults (Both Working),0 Children,11.66
2021,01,029,2 Adults (Both Working),1 Child,15.58
2021,01,029,2 Adults (Both Working),2 Children,19.77
2021,01,029,2 Adults (Both Working),3 Children,22.72
2021,01,031,1 Adult,0 Children,15.13
2021,01,031,1 Adult,1 Child,28.16
2021,01,031,1 Adult,2 Children,34.43
2021,01,031,1 Adult,3 Children,45.24
2021,01,031,2 Adults (1 Working),0 Children,23.87
2021,01,031,2 Adults (1 Working),1 Child,28.64
2021,01,031,2 Adults (1 Working),2 Children,34.06
2021,01,031,2 Adults (1 Working),3 Children,37.31
2021,01,031,2 Adults (Both Working),0 Children,11.93
2021,01,031,2 Adults (Both Working),1 Child,15.8
2021,01,031,2 Adults (Both Working),2 Children,20
2021,01,031,2 Adults (Both Working),3 Children,23.1
2021,01,033,1 Adult,0 Children,15.15
2021,01,033,1 Adult,1 Child,29.75
2021,01,033,1 Adult,2 Children,37.17
2021,01,033,1 Adult,3 Children,48.33
2021,01,033,2 Adults (1 Working),0 Children,24.09
2021,01,033,2 Adults (1 Working),1 Child,29.07
2021,01,033,2 Adults (1 Working),2 Children,34.49
2021,01,033,2 Adults (1 Working),3 Children,36.95
2021,01,033,2 Adults (Both Working),0 Children,12.04
2021,01,033,2 Adults (Both Working),1 Child,16.59
2021,01,033,2 Adults (Both Working),2 Children,21.36
2021,01,033,2 Adults (Both Working),3 Children,24.64
2021,01,035,1 Adult,0 Children,14.8
2021,01,035,1 Adult,1 Child,28.57
2021,01,035,1 Adult,2 Children,35.7
2021,01,035,1 Adult,3 Children,47.16
2021,01,035,2 Adults (1 Working),0 Children,23.72
2021,01,035,2 Adults (1 Working),1 Child,28.19
2021,01,035,2 Adults (1 Working),2 Children,33.62
2021,01,035,2 Adults (1 Working),3 Children,36.67
2021,01,035,2 Adults (Both Working),0 Children,11.86
2021,01,035,2 Adults (Both Working),1 Child,16.01
2021,01,035,2 Adults (Both Working),2 Children,20.63
2021,01,035,2 Adults (Both Working),3 Children,24.06
2021,01,037,1 Adult,0 Children,15.11
2021,01,037,1 Adult,1 Child,28.14
2021,01,037,1 Adult,2 Children,34.41
2021,01,037,1 Adult,3 Children,44.22
2021,01,037,2 Adults (1 Working),0 Children,23.65
2021,01,037,2 Adults (1 Working),1 Child,28.62
2021,01,037,2 Adults (1 Working),2 Children,34.04
2021,01,037,2 Adults (1 Working),3 Children,36.28
2021,01,037,2 Adults (Both Working),0 Children,11.83
2021,01,037,2 Adults (Both Working),1 Child,15.79
2021,01,037,2 Adults (Both Working),2 Children,19.98
2021,01,037,2 Adults (Both Working),3 Children,22.59
2021,01,039,1 Adult,0 Children,14.8
2021,01,039,1 Adult,1 Child,28.47
2021,01,039,1 Adult,2 Children,35.49
2021,01,039,1 Adult,3 Children,46.38
2021,01,039,2 Adults (1 Working),0 Children,23.47
2021,01,039,2 Adults (1 Working),1 Child,28.19
2021,01,039,2 Adults (1 Working),2 Children,33.62
2021,01,039,2 Adults (1 Working),3 Children,36.2
2021,01,039,2 Adults (Both Working),0 Children,11.73
2021,01,039,2 Adults (Both Working),1 Child,15.95
2021,01,039,2 Adults (Both Working),2 Children,20.52
2021,01,039,2 Adults (Both Working),3 Children,23.67
2021,01,041,1 Adult,0 Children,14.8
2021,01,041,1 Adult,1 Child,27.72
2021,01,041,1 Adult,2 Children,33.99
2021,01,041,1 Adult,3 Children,43.69
2021,01,041,2 Adults (1 Working),0 Children,23.33
2021,01,041,2 Adults (1 Working),1 Child,28.19
2021,01,041,2 Adults (1 Working),2 Children,33.62
2021,01,041,2 Adults (1 Working),3 Children,35.76
2021,01,041,2 Adults (Both Working),0 Children,11.66
2021,01,041,2 Adults (Both Working),1 Child,15.58
