year,state,county,ratio_living_wage,ratio_living_wage_quality
2018,01,001,.6653613,1
2018,01,003,.6283375,1
2018,01,005,.6872869,1
2018,01,007,.6866431,1
2018,01,009,.6100525,1
2018,01,011,.6360889,1
2018,01,013,.6323138,1
2018,01,015,.7116392,1
2018,01,017,.6802334,1
2018,01,019,.6257076,1
2018,01,021,.6861078,1
2018,01,023,.9086344,1
2018,01,025,.7304641,1
2018,01,027,.6219326,1
2018,01,029,.8012455,1
2018,01,031,.6204866,1
2018,01,033,.7968056,1
2018,01,035,.6502452,1
2018,01,037,.6640722,1
2018,01,039,.6596827,1
2018,01,041,.6672327,1
2018,01,043,.6952785,1
2018,01,045,.975478,1
2018,01,047,.6842203,1
2018,01,049,.6755519,1
2018,01,051,.6104397,1
2018,01,053,.7181953,1
2018,01,055,.6587834,1
2018,01,057,.6040013,1
2018,01,059,.6644015,1
2018,01,061,.59232,1
2018,01,063,.6266513,1
2018,01,065,.6396846,1
2018,01,067,.7616079,1
2018,01,069,.7655456,1
2018,01,071,.6484365,1
2018,01,073,.9636158,1
2018,01,075,.7266891,1
2018,01,077,.6288606,1
2018,01,079,.6270083,1
2018,01,081,.684162,1
2018,01,083,.8650041,1
2018,01,085,.7842079,1
2018,01,087,.7738767,1
2018,01,089,1.033124,1
2018,01,091,.7314078,1
2018,01,093,.6521327,1
2018,01,095,.6591263,1
2018,01,097,.8185797,1
2018,01,099,.7804829,1
2018,01,101,.7959126,1
2018,01,103,.8105456,1
2018,01,105,.5690825,1
2018,01,107,.7021515,1
2018,01,109,.7229141,1
2018,01,111,.6096638,1
2018,01,113,.6481541,1
2018,01,115,.6492384,1
2018,01,117,.9262111,1
2018,01,119,.691418,1
2018,01,121,.8254015,1
2018,01,123,.6238201,1
2018,01,125,.7875108,1
2018,01,127,.6940876,1
2018,01,129,1.140249,1
2018,01,131,.8050205,1
2018,01,133,.6719515,1
2018,02,013,.8700728,1
2018,02,016,.8470072,1
2018,02,020,.8550318,1
2018,02,050,.6102043,1
2018,02,060,.832979,1
2018,02,068,.6808051,1
2018,02,070,.6783912,1
2018,02,090,.7706853,1
2018,02,100,.6480562,1
2018,02,105,.5875052,1
2018,02,110,.7492272,1
2018,02,122,.7472728,1
2018,02,130,.6918966,1
2018,02,150,.6874788,1
2018,02,158,.4634552,1
2018,02,164,.6614293,1
2018,02,170,.6632624,1
2018,02,180,.7179604,1
2018,02,185,1.471916,1
2018,02,188,1.055479,1
2018,02,195,.6757854,1
2018,02,198,.6411213,1
2018,02,220,.6941025,1
2018,02,230,.572164,1
2018,02,240,1.01549,1
2018,02,261,.8393907,1
2018,02,275,.6489294,1
2018,02,282,.6376942,1
2018,02,290,.6318602,1
2018,04,001,.7209079,1
2018,04,003,.7517117,1
2018,04,005,.6477954,1
2018,04,007,.6756248,1
2018,04,009,.6929433,1
2018,04,011,1.162324,1
2018,04,012,.6185077,1
2018,04,013,.8395869,1
2018,04,015,.6316113,1
2018,04,017,.6442176,1
2018,04,019,.7570035,1
2018,04,021,.6658793,1
2018,04,023,.8251529,1
2018,04,025,.6328229,1
2018,04,027,.6448547,1
2018,05,001,.7661273,1
2018,05,003,.8188291,1
2018,05,005,.6519269,1
2018,05,007,1.083106,1
2018,05,009,.7316883,1
2018,05,011,.6528654,1
2018,05,013,1.027238,1
2018,05,015,.568434,1
2018,05,017,.6119259,1
2018,05,019,.6536415,1
2018,05,021,.5660558,1
2018,05,023,.6129535,1
2018,05,025,.5875983,1
2018,05,027,.7563677,1
2018,05,029,.7304156,1
2018,05,031,.7213899,1
2018,05,033,.6678881,1
2018,05,035,.6612607,1
2018,05,037,.6259879,1
2018,05,039,.609974,1
2018,05,041,.6714593,1
2018,05,043,.6636516,1
2018,05,045,.7326953,1
2018,05,047,.6887625,1
2018,05,049,.5699596,1
2018,05,051,.6630453,1
2018,05,053,.7378378,1
2018,05,055,.7002226,1
2018,05,057,.682909,1
2018,05,059,.6742708,1
2018,05,061,.6236374,1
2018,05,063,.7251371,1
2018,05,065,.6129018,1
2018,05,067,.6987861,1
2018,05,069,.7556207,1
2018,05,071,.6135123,1
2018,05,073,.5748395,1
2018,05,075,.6294931,1
2018,05,077,.6431565,1
2018,05,079,.6471263,1
2018,05,081,.9496074,1
2018,05,083,.6226614,1
2018,05,085,.6206909,1
2018,05,087,.6337121,1
2018,05,089,.5816712,1
2018,05,091,.7179533,1
2018,05,093,.9515861,1
2018,05,095,.5933827,1
2018,05,097,.5211617,1
2018,05,099,.6979815,1
2018,05,101,.5016426,1
2018,05,103,.6636516,1
2018,05,105,.5870896,1
2018,05,107,.6129018,1
2018,05,109,.6011903,1
2018,05,111,.6880506,1
2018,05,113,.6002144,1
2018,05,115,.7780517,1
2018,05,117,.6060701,1
2018,05,119,.8876347,1
2018,05,121,.6002144,1
2018,05,123,.6919544,1
2018,05,125,.6449586,1
2018,05,127,.5787433,1
2018,05,129,.5074983,1
2018,05,131,.7922136,1
2018,05,133,.6236374,1
2018,05,135,.5289694,1
2018,05,137,.5514165,1
2018,05,139,.9183768,1
2018,05,141,.6636516,1
2018,05,143,.8427325,1
2018,05,145,.6918886,1
2018,05,147,.6704834,1
2018,05,149,.5972865,1
2018,06,001,.9356592,1
2018,06,003,.5557973,1
2018,06,005,.662718,1
2018,06,007,.6268048,1
2018,06,009,.615452,1
2018,06,011,.6833932,1
2018,06,013,.8469439,1
2018,06,015,.5960962,1
2018,06,017,.7263709,1
2018,06,019,.6707315,1
2018,06,021,.6630748,1
2018,06,023,.6131929,1
2018,06,025,.610207,1
2018,06,027,.6719082,1
2018,06,029,.7113153,1
2018,06,031,.6561671,1
2018,06,033,.5958261,1
2018,06,035,.7449065,1
2018,06,037,.843253,1
2018,06,039,.6517403,1
2018,06,041,.760758,1
2018,06,043,.6044101,1
2018,06,045,.5940832,1
2018,06,047,.655362,1
2018,06,049,.6258934,1
2018,06,051,.5550125,1
2018,06,053,.6529308,1
2018,06,055,.7338912,1
2018,06,057,.6569969,1
2018,06,059,.7773885,1
2018,06,061,.8036603,1
2018,06,063,.6617298,1
2018,06,065,.6490513,1
2018,06,067,.8719452,1
2018,06,069,.6336026,1
2018,06,071,.6752529,1
2018,06,073,.7676504,1
2018,06,075,1.24052,1
2018,06,077,.6971104,1
2018,06,079,.6546872,1
2018,06,081,1.323839,1
2018,06,083,.6828211,1
2018,06,085,1.479427,1
2018,06,087,.5985368,1
