year,state,county,ratio_living_wage,ratio_living_wage_quality
2015,01,001,.6448209,1
2015,01,003,.613037,NA
2015,01,005,.6677132,1
2015,01,007,.6840596,1
2015,01,009,.602916,1
2015,01,011,.6309088,1
2015,01,013,.6279092,1
2015,01,015,.699597,NA
2015,01,017,.6566773,1
2015,01,019,.6349083,1
2015,01,021,.6609045,1
2015,01,023,.900192,1
2015,01,025,.7278948,1
2015,01,027,.6129114,1
2015,01,029,.8278803,1
2015,01,031,.618878,NA
2015,01,033,.7947488,NA
2015,01,035,.6469065,1
2015,01,037,.6788462,1
2015,01,039,.6419072,1
2015,01,041,.6799017,1
2015,01,043,.6989376,NA
2015,01,045,.9764969,1
2015,01,047,.677902,1
2015,01,049,.6520044,NA
2015,01,051,.6142968,NA
2015,01,053,.7248952,1
2015,01,055,.6711784,NA
2015,01,057,.6179107,1
2015,01,059,.6429071,1
2015,01,061,.589051,1
2015,01,063,.6129114,1
2015,01,065,.6255074,1
2015,01,067,.7288947,1
2015,01,069,.7469206,NA
2015,01,071,.6504635,1
2015,01,073,NA,NA
2015,01,075,.7018986,1
2015,01,077,.6346129,NA
2015,01,079,.6267744,1
2015,01,081,.6655464,NA
2015,01,083,.8302419,NA
2015,01,085,.8127033,1
2015,01,087,.7908857,1
2015,01,089,NA,NA
2015,01,091,.7368935,1
2015,01,093,.6289091,1
2015,01,095,.6445168,NA
2015,01,097,.8150557,NA
2015,01,099,.7738882,1
2015,01,101,.8060261,NA
2015,01,103,.8024687,NA
2015,01,105,.5669181,1
2015,01,107,.6839011,1
2015,01,109,.7548909,1
2015,01,111,.5979136,1
2015,01,113,.6507428,1
2015,01,115,.6406572,NA
2015,01,117,.9029587,NA
2015,01,119,.6897175,1
2015,01,121,.8428144,NA
2015,01,123,.6199104,1
2015,01,125,.7830706,NA
2015,01,127,.6758869,NA
2015,01,129,NA,NA
2015,01,131,.7738882,1
2015,01,133,.6219101,1
2015,02,013,.7037188,1
2015,02,016,NA,NA
2015,02,020,NA,NA
2015,02,050,.6011258,1
2015,02,060,NA,NA
2015,02,068,.6932361,1
2015,02,070,.6687078,1
2015,02,090,.7917094,NA
2015,02,100,.5957229,1
2015,02,105,.6065163,1
2015,02,110,.7678829,NA
2015,02,122,.7875205,NA
2015,02,130,.7000738,1
2015,02,150,.7160305,1
2015,02,158,.4500165,1
2015,02,164,.6471162,1
2015,02,170,.6959268,NA
2015,02,180,.7079461,1
2015,02,185,NA,NA
2015,02,188,NA,NA
2015,02,195,.6789845,1
