year,state,county,ratio_living_wage,ratio_living_wage_quality
2020,01,001,.7250488,1
2020,01,003,.6854076,NA
2020,01,005,.708562,1
2020,01,007,.7638446,1
2020,01,009,.6316407,1
2020,01,011,.7407686,1
2020,01,013,.6730098,1
2020,01,015,.7574202,NA
2020,01,017,.7131804,1
2020,01,019,.642793,1
2020,01,021,.7242867,1
2020,01,023,NA,NA
2020,01,025,.7599974,1
2020,01,027,.6684315,1
2020,01,029,.8268405,1
2020,01,031,.661676,NA
2020,01,033,.836455,NA
2020,01,035,.6940699,1
2020,01,037,.6922658,1
2020,01,039,.6968169,1
2020,01,041,.7023109,1
2020,01,043,.7435839,NA
2020,01,045,NA,NA
2020,01,047,.7499251,1
2020,01,049,.7156087,NA
2020,01,051,.63682,NA
2020,01,053,.7599974,1
2020,01,055,.7181622,NA
2020,01,057,.6308894,1
2020,01,059,.6876603,1
2020,01,061,.6090251,1
2020,01,063,.6391304,1
2020,01,065,.6884444,1
2020,01,067,.844238,1
2020,01,069,.8023952,NA
2020,01,071,.699641,NA
2020,01,073,NA,NA
2020,01,075,.7490095,1
2020,01,077,.683467,NA
2020,01,079,.6824664,1
2020,01,081,.7426115,NA
2020,01,083,NA,NA
2020,01,085,.8246338,1
2020,01,087,.8314188,1
2020,01,089,NA,NA
2020,01,091,.7838045,1
2020,01,093,.6711784,1
2020,01,095,.7051901,NA
2020,01,097,.8654665,NA
2020,01,099,.8131056,1
2020,01,101,.859576,NA
2020,01,103,.8813307,NA
2020,01,105,.6043352,1
2020,01,107,.7380216,1
2020,01,109,.7673227,1
2020,01,111,.6327207,1
2020,01,113,.6842974,1
2020,01,115,.7076796,NA
2020,01,117,NA,NA
2020,01,119,.7046902,1
2020,01,121,.8397865,NA
2020,01,123,.6785037,1
2020,01,125,.8336088,NA
2020,01,127,.7151756,NA
2020,01,129,NA,NA
2020,01,131,.8359971,1
2020,01,133,.7087204,1
2020,02,013,NA,NA
2020,02,016,NA,NA
2020,02,020,NA,NA
2020,02,050,.6645495,1
2020,02,060,NA,NA
2020,02,063,,
2020,02,066,,
2020,02,068,NA,NA
2020,02,070,NA,NA
2020,02,090,NA,NA
2020,02,100,.6209158,1
2020,02,105,.6177883,1
2020,02,110,NA,NA
2020,02,122,NA,NA
2020,02,130,NA,NA
2020,02,150,.7241659,1
2020,02,158,.5590794,1
2020,02,164,.6409354,1
2020,02,170,.7240559,NA
2020,02,180,NA,NA
2020,02,185,NA,NA
2020,02,188,NA,NA
2020,02,195,.6795258,1
2020,02,198,.6747784,1
2020,02,220,NA,NA
2020,02,230,.6430162,1
2020,02,240,NA,NA
2020,02,275,.6777411,1
2020,02,282,NA,NA
2020,02,290,.6963871,1
2020,04,001,.806344,1
2020,04,003,NA,NA
2020,04,005,.693401,NA
2020,04,007,.7277174,1
2020,04,009,.7297095,1
2020,04,011,NA,NA
2020,04,012,.647841,1
2020,04,013,NA,NA
2020,04,015,.6843187,NA
2020,04,017,.6920987,NA
2020,04,019,NA,NA
2020,04,021,.7162818,NA
2020,04,023,NA,NA
2020,04,025,.6843383,NA
