year,state,place,subgroup_type,subgroup,share_employed,share_employed_ub,share_employed_lb,share_employed_quality
2021,01,03076,race-ethnicity,"Black, Non-Hispanic",0.7519615287269046,0.8021022960007425,0.7018207614530667,2
2021,01,03076,race-ethnicity,Hispanic,0.8611111111111112,0.9493567829485053,0.772865439273717,2
2021,01,03076,race-ethnicity,Other Races and Ethnicities,0.7380704313398625,0.8045583285415471,0.6715825341381779,2
2021,01,03076,race-ethnicity,"White, Non-Hispanic",0.824791192103265,0.8456088314849372,0.8039735527215929,2
2021,01,07000,race-ethnicity,"Black, Non-Hispanic",0.6835176408714242,0.698337023962513,0.6686982577803354,2
2021,01,07000,race-ethnicity,Hispanic,0.8209290979840812,0.8533581507916606,0.7885000451765019,2
2021,01,07000,race-ethnicity,Other Races and Ethnicities,0.6503979202218066,0.6867777513936769,0.6140180890499364,2
2021,01,07000,race-ethnicity,"White, Non-Hispanic",0.7908031724591348,0.7995143208543405,0.7820920240639291,2
2021,01,35896,race-ethnicity,"Black, Non-Hispanic",0.8024348878304274,0.823374323712097,0.7814954519487578,3
2021,01,35896,race-ethnicity,Hispanic,0.7896052006162885,0.8330582462393283,0.7461521549932486,3
2021,01,35896,race-ethnicity,Other Races and Ethnicities,0.8065545166959448,0.8425345645498203,0.7705744688420693,3
2021,01,35896,race-ethnicity,"White, Non-Hispanic",0.8184007393283779,0.8281776097335988,0.808623868923157,3
2021,01,37000,race-ethnicity,"Black, Non-Hispanic",0.7121396172559237,0.7361327272679,0.6881465072439473,2
2021,01,37000,race-ethnicity,Hispanic,0.7378649275335394,0.7724557804670328,0.703274074600046,2
2021,01,37000,race-ethnicity,Other Races and Ethnicities,0.7070999691136369,0.7436063704267536,0.6705935678005203,2
2021,01,37000,race-ethnicity,"White, Non-Hispanic",0.7934019437677005,0.802774035415148,0.7840298521202529,2
2021,01,50000,race-ethnicity,"Black, Non-Hispanic",0.6773429643138174,0.698023929491662,0.6566619991359727,1
2021,01,50000,race-ethnicity,Hispanic,0.8242363143289928,0.8861893395361441,0.7622832891218415,1
2021,01,50000,race-ethnicity,Other Races and Ethnicities,0.8053009890708487,0.8489599624190788,0.7616420157226186,1
2021,01,50000,race-ethnicity,"White, Non-Hispanic",0.7801939394020584,0.7941241377302702,0.7662637410738465,1
2021,01,51000,race-ethnicity,"Black, Non-Hispanic",0.7030004356100247,0.7214281650810123,0.6845727061390371,1
2021,01,51000,race-ethnicity,Hispanic,0.6688282200013655,0.7334122205786311,0.6042442194241,1
2021,01,51000,race-ethnicity,Other Races and Ethnicities,0.7429649449254963,0.78962244454753,0.6963074453034626,1
2021,01,51000,race-ethnicity,"White, Non-Hispanic",0.7843743176468877,0.7990591310219719,0.7696895042718035,1
2021,01,77256,race-ethnicity,"Black, Non-Hispanic",0.7112109210867789,0.7407871224113016,0.6816347197622561,2
2021,01,77256,race-ethnicity,Hispanic,0.828839444862155,0.8881357006478698,0.7695431890764401,2
2021,01,77256,race-ethnicity,Other Races and Ethnicities,0.6946524614898745,0.7753912197927744,0.6139137031869746,2
2021,01,77256,race-ethnicity,"White, Non-Hispanic",0.8058683398551663,0.8226383776549665,0.789098302055366,2
2021,02,03000,race-ethnicity,"Black, Non-Hispanic",0.7641826370904657,0.8330424939575827,0.6953227802233488,1
2021,02,03000,race-ethnicity,Hispanic,0.7833424088945058,0.8261374893348514,0.7405473284541602,1
2021,02,03000,race-ethnicity,Other Races and Ethnicities,0.7510443711683495,0.7750062677426441,0.727082474594055,1
2021,02,03000,race-ethnicity,"White, Non-Hispanic",0.8444360691500346,0.8556055927574785,0.8332665455425906,1
2021,04,04720,race-ethnicity,"Black, Non-Hispanic",0.8176004438292036,0.8601793968131537,0.7750214908452535,2
2021,04,04720,race-ethnicity,Hispanic,0.7749408947742362,0.7950311110112815,0.7548506785371909,2
2021,04,04720,race-ethnicity,Other Races and Ethnicities,0.8018948098142792,0.8414524518409743,0.7623371677875841,2
2021,04,04720,race-ethnicity,"White, Non-Hispanic",0.815156821703505,0.8317433502685584,0.7985702931384516,2
2021,04,07940,race-ethnicity,"Black, Non-Hispanic",0.7212217183105728,0.7744127745521348,0.6680306620690108,2
