year,state,county,transit_cost,transit_trips,transit_cost_quality,transit_trips_quality
2016,01,001,16.43,18.5,1,1
2016,01,003,27.47,22.51,1,1
2016,01,005,1.29,7.16,1,1
2016,01,007,21.53,26.37,1,1
2016,01,009,20.31,20.54,1,1
2016,01,011,0,9.23,1,1
2016,01,013,1.61,2.62,1,1
2016,01,015,13.22,24.45,1,1
2016,01,017,2.89,2.92,1,1
2016,01,019,4.36,51.95,1,1
2016,01,021,22.54,25.12,1,1
2016,01,023,0.79,11.8,1,1
2016,01,025,0.67,7.52,1,1
2016,01,027,4.52,13.75,1,1
2016,01,029,2.53,7.85,1,1
2016,01,031,18.25,17.25,1,1
2016,01,033,17.04,22.68,1,1
2016,01,035,0,7.09,1,1
2016,01,037,3.39,14.43,1,1
2016,01,039,3.09,8.85,1,1
2016,01,041,3.32,10.98,1,1
2016,01,043,5.98,7.72,1,1
2016,01,045,14.04,14.61,1,1
2016,01,047,0.31,4.49,1,1
2016,01,049,3.43,23.48,1,1
2016,01,051,17.58,14.21,1,1
2016,01,053,0.77,0.79,1,1
2016,01,055,10.74,15.82,1,1
2016,01,057,2.61,3.18,1,1
2016,01,059,2.67,2.59,1,1
2016,01,061,5.91,19.38,1,1
2016,01,063,0,4.62,1,1
2016,01,065,14.02,27.24,1,1
2016,01,067,6.27,21.1,1,1
2016,01,069,13.33,8.86,1,1
2016,01,071,4.39,8.43,1,1
2016,01,073,44.38,42.25,1,1
2016,01,075,1,0,1,1
2016,01,077,20.36,19.94,1,1
2016,01,079,11.09,25.94,1,1
2016,01,081,26.05,33.38,1,1
2016,01,083,39.16,37.68,1,1
2016,01,085,18.39,39.87,1,1
2016,01,087,1.03,1.21,1,1
2016,01,089,56.3,59.22,1,1
2016,01,091,0.39,1.67,1,1
2016,01,093,1.15,5.02,1,1
2016,01,095,6.21,5.57,1,1
2016,01,097,24.19,34.16,1,1
2016,01,099,0,0.73,1,1
2016,01,101,31.1,37.4,1,1
2016,01,103,21.4,28.44,1,1
2016,01,105,0,0,1,1
2016,01,107,12,18,1,1
2016,01,109,1.51,2.78,1,1
2016,01,111,3.15,3.25,1,1
2016,01,113,20.05,35.75,1,1
2016,01,115,22.22,19.82,1,1
2016,01,117,27.65,25.56,1,1
2016,01,119,0,0,1,1
2016,01,121,4.88,9.43,1,1
2016,01,123,5.73,5.1,1,1
2016,01,125,28.58,36.12,1,1
2016,01,127,23.52,21.93,1,1
2016,01,129,5.37,25.91,1,1
2016,01,131,0,3.66,1,1
2016,01,133,1.23,6.5,1,1
2016,02,013,60,23,1,1
2016,02,016,85.24,74.8,1,1
2016,02,020,88.07,76.15,1,1
2016,02,050,27.74,6.39,1,1
2016,02,060,87,51,1,1
2016,02,068,85,62,1,1
2016,02,070,35.03,15.88,1,1
2016,02,090,77.28,54.54,1,1
2016,02,100,25,0,1,1
2016,02,105,30.76,20.1,1,1
2016,02,110,86.05,81.28,1,1
2016,02,122,54.61,35.03,1,1
2016,02,130,60.95,27.77,1,1
2016,02,150,69.47,59.61,1,1
2016,02,158,3,0,1,1
2016,02,164,21,18,1,1
2016,02,170,74.2,35.32,1,1
2016,02,180,24,8.75,1,1
2016,02,185,69.99,36.3,3,3
2016,02,188,43.07,34.16,1,1
2016,02,195,50,34,1,1
2016,02,198,27.69,46.18,1,1
2016,02,220,68.65,59.26,1,1
2016,02,230,61,31,1,1
2016,02,240,51.25,30.85,1,1
2016,02,261,80.52,54.1,1,1
2016,02,275,31,26,1,1
2016,02,282,71,30,1,1
2016,02,290,8.43,0,1,1
2016,04,001,1.39,32.29,1,1
2016,04,003,18.26,25.73,1,1
2016,04,005,37.21,49.91,1,1
2016,04,007,7.81,13.44,1,1
2016,04,009,19.65,26.55,1,1
2016,04,011,28.21,52.41,1,1
2016,04,012,9.74,26.74,1,1
2016,04,013,62.06,69.91,1,1
2016,04,015,12.83,23.79,1,1
2016,04,017,4.41,17.57,1,1
2016,04,019,41.24,55.77,1,1
2016,04,021,39.02,42.74,1,1
2016,04,023,8.2,2.42,1,1
2016,04,025,20.38,26.62,1,1
2016,04,027,23.07,35.42,1,1
2016,05,001,3.81,8.73,1,1
2016,05,003,2.56,11.53,1,1
2016,05,005,5.71,13.08,1,1
2016,05,007,28.09,44.32,1,1
2016,05,009,4.8,1.1,1,1
2016,05,011,1.26,2.38,1,1
2016,05,013,0,9.19,1,1
2016,05,015,4.32,6.91,1,1
2016,05,017,0,0,1,1
2016,05,019,3.02,4.43,1,1
2016,05,021,0.81,1.04,1,1
2016,05,023,7.57,12.69,1,1
2016,05,025,2,10.16,1,1
2016,05,027,3.62,8.88,1,1
2016,05,029,3.79,4.4,1,1
2016,05,031,19.84,14.79,1,1
2016,05,033,6.64,19.86,1,1
2016,05,035,28.51,25.19,1,1
2016,05,037,6.24,4.35,1,1
2016,05,039,2.38,6.72,1,1
2016,05,041,0,0,1,1
2016,05,043,1.23,5.74,1,1
2016,05,045,30.93,24.41,1,1
2016,05,047,4.57,3.38,1,1
2016,05,049,2,0,1,1
2016,05,051,14.64,15.57,1,1
2016,05,053,20.21,23.92,1,1
2016,05,055,12.65,12.77,1,1
2016,05,057,1.07,3.74,1,1
2016,05,059,10.58,14.35,1,1
2016,05,061,2.51,2.17,1,1
2016,05,063,3.74,8.03,1,1
2016,05,065,1.9,0.87,1,1
2016,05,067,0.27,3.58,1,1
2016,05,069,7.41,11.8,1,1
2016,05,071,1.37,1.63,1,1
2016,05,073,0,3.83,1,1
2016,05,075,0.78,0,1,1
2016,05,077,0,0,1,1
2016,05,079,3.5,20.13,1,1
2016,05,081,6.68,10.47,1,1
2016,05,083,2.29,0,1,1
2016,05,085,21.93,10.39,1,1
2016,05,087,20.51,28.84,1,1
2016,05,089,1,3.24,1,1
2016,05,091,13.7,23.5,1,1
2016,05,093,2.43,1.73,1,1
2016,05,095,0.49,0,1,1
2016,05,097,1.76,14.09,1,1
2016,05,099,1,3.67,1,1
2016,05,101,4,4.68,1,1
2016,05,103,0.72,0,1,1
2016,05,105,19.94,31.13,1,1
2016,05,107,0,0,1,1
2016,05,109,1.17,0,1,1
2016,05,111,9.98,3.98,1,1
2016,05,113,1.29,4.22,1,1
2016,05,115,10.23,12.47,1,1
2016,05,117,3.65,0,1,1
2016,05,119,41.96,46.79,1,1
2016,05,121,2.54,4.91,1,1
2016,05,123,2.29,0,1,1
2016,05,125,24.8,19.22,1,1
2016,05,127,4.6,3.49,1,1
2016,05,129,2,0,1,1
2016,05,131,15.84,34.27,1,1
2016,05,133,4.59,10.52,1,1
2016,05,135,0,0,1,1
2016,05,137,0,1.45,1,1
2016,05,139,8.9,13.07,1,1
2016,05,141,1.35,12.43,1,1
2016,05,143,38.42,49.28,1,1
2016,05,145,10.63,10.72,1,1
2016,05,147,0,0,1,1
2016,05,149,5.4,9.2,1,1
2016,06,001,92.73,79.45,1,1
2016,06,003,47,60,1,1
2016,06,005,33.75,17.13,1,1
2016,06,007,21.6,38.78,1,1
2016,06,009,26.69,14.71,1,1
2016,06,011,29.29,38.29,1,1
2016,06,013,88.41,37.71,1,1
2016,06,015,17.36,26.04,1,1
2016,06,017,49.57,36.85,1,1
2016,06,019,32.2,60.83,1,1
2016,06,021,10.62,7.22,1,1
2016,06,023,19.95,15.48,1,1
2016,06,025,19.2,33.17,1,1
2016,06,027,23.98,14.84,1,1
2016,06,029,35.46,49.98,1,1
2016,06,031,23.87,44.71,1,1
2016,06,033,4.83,4.45,1,1
2016,06,035,27.34,26.1,1,1
2016,06,037,80.78,88.43,1,1
2016,06,039,16.44,24.23,1,1
2016,06,041,88.17,63.73,1,1
2016,06,043,20.37,18.15,1,1
2016,06,045,17.21,7.15,1,1
2016,06,047,16.77,10.94,1,1
2016,06,049,8.76,9.99,1,1
2016,06,051,46.5,59.63,1,1
2016,06,053,58.81,73.38,1,1
2016,06,055,78.28,46.59,1,1
2016,06,057,40.65,23.47,1,1
2016,06,059,77.88,79.03,1,1
2016,06,061,56.65,43.73,1,1
2016,06,063,22.21,20.01,1,1
2016,06,065,48.08,53.06,1,1
2016,06,067,70.39,68.82,1,1
2016,06,069,88.71,75.07,1,1
2016,06,071,49.47,53.92,1,1
2016,06,073,77.27,82.13,1,1
2016,06,075,97.06,95.26,1,1
2016,06,077,49.06,58.6,1,1
2016,06,079,61.11,66.61,1,1
2016,06,081,91.12,79.03,1,1
2016,06,083,71.78,52.65,1,1
2016,06,085,94.34,78.62,1,1
2016,06,087,76.04,68.99,1,1
2016,06,089,23.64,31.78,1,1
2016,06,091,12,16,1,1
2016,06,093,6.14,6.79,1,1
2016,06,095,74.09,33.81,1,1
2016,06,097,69.37,45.79,1,1
2016,06,099,38.36,45.6,1,1
2016,06,101,32.54,28.29,1,1
2016,06,103,9.15,13.37,1,1
2016,06,105,2.41,2.39,1,1
2016,06,107,16.48,33.52,1,1
2016,06,109,26.2,9.41,1,1
2016,06,111,82.63,72.58,1,1
2016,06,113,65.12,64.64,1,1
2016,06,115,32.16,35.55,1,1
2016,08,001,78.16,74.6,1,1
2016,08,003,1.62,6.9,1,1
2016,08,005,82.24,79.69,1,1
2016,08,007,11.96,20.41,1,1
2016,08,009,2.72,0,1,1
2016,08,011,1,0,1,1
2016,08,013,80.99,68,1,1
2016,08,014,75.24,68.62,1,1
2016,08,015,25.94,15.51,1,1
2016,08,017,25,34,1,1
2016,08,019,60.66,39.97,1,1
2016,08,021,1,5.03,1,1
2016,08,023,0,0,1,1
2016,08,025,0,0,1,1
2016,08,027,4,0,1,1
2016,08,029,7.48,10.79,1,1
2016,08,031,86.85,87.98,1,1
2016,08,033,1,0,1,1
2016,08,035,64.74,59.69,1,1
2016,08,037,77.41,68.43,1,1
2016,08,039,45.61,33.39,1,1
2016,08,041,66.87,55.08,1,1
2016,08,043,12.99,3.4,2,2
2016,08,045,51.34,52,1,1
2016,08,047,58,55,1,1
2016,08,049,61.67,47.78,1,1
2016,08,051,34.45,24.55,1,1
2016,08,053,30,13,1,1
2016,08,055,1,0,1,1
2016,08,057,12,15,1,1
2016,08,059,78.17,73.56,1,1
2016,08,061,3,14,1,1
2016,08,063,9.15,12.7,1,1
2016,08,065,16.35,6.47,1,1
2016,08,067,51.59,64.01,1,1
2016,08,069,63.33,51.51,1,1
2016,08,071,11.1,8.69,1,1
2016,08,073,6,0,1,1
2016,08,075,12.57,2.34,1,1
2016,08,077,37.39,59.7,1,1
2016,08,079,19,0,1,1
2016,08,081,36.8,44.92,1,1
2016,08,083,10.67,14.73,1,1
2016,08,085,15.62,21.13,1,1
2016,08,087,26.03,33.42,1,1
2016,08,089,3.2,0,1,1
2016,08,091,44,59,1,1
2016,08,093,51.94,32.91,1,1
2016,08,095,12,11.6,1,1
2016,08,097,61.97,79.71,1,1
2016,08,099,10.57,7.61,1,1
2016,08,101,24.42,37.29,1,1
2016,08,103,32.45,42.11,1,1
2016,08,105,6.84,18.26,1,1
2016,08,107,59.39,55.5,1,1
2016,08,109,0.67,0,1,1
2016,08,111,8,30,1,1
2016,08,113,43.35,69.62,1,1
2016,08,115,13,21,1,1
2016,08,117,70.34,62.45,1,1
2016,08,119,39.66,26.33,1,1
2016,08,121,9.45,9.01,1,1
2016,08,123,59.1,49.49,1,1
2016,08,125,7.24,0,1,1
2016,09,001,90.69,30.11,1,1
2016,09,003,83.1,64.91,1,1
2016,09,005,72.9,32.19,1,1
2016,09,007,71.73,35.64,1,1
2016,09,009,74.03,47.25,1,1
2016,09,011,70.18,34.01,1,1
2016,09,013,71.53,38.24,1,1
2016,09,015,62.97,31.45,1,1
2016,10,001,40.18,32.94,1,1
2016,10,003,74.62,68.35,1,1
2016,10,005,32.37,27.92,1,1
2016,11,001,97.33,92.33,1,1
2016,12,001,34.14,66.17,1,1
2016,12,003,30.44,42.68,1,1
2016,12,005,33.99,28.06,1,1
2016,12,007,13.19,14.63,1,1
2016,12,009,34.29,43.62,1,1
2016,12,011,60.56,74.29,1,1
2016,12,013,3.31,13.06,1,1
2016,12,015,22.39,11.02,1,1
2016,12,017,7.91,16.97,1,1
2016,12,019,35.48,28.45,1,1
2016,12,021,60.42,50.91,1,1
2016,12,023,13.84,33.45,1,1
2016,12,027,3.74,4.5,1,1
2016,12,029,2.81,41.39,1,1
2016,12,031,51.34,53.14,1,1
2016,12,033,41.95,39.3,1,1
2016,12,035,13.24,15.63,1,1
2016,12,037,7.91,17.87,1,1
2016,12,039,17.1,25.7,1,1
2016,12,041,12.6,59.21,1,1
2016,12,043,2.22,36.13,1,1
2016,12,045,16.88,22.46,1,1
2016,12,047,6.33,21.16,1,1
2016,12,049,2.97,19.39,1,1
2016,12,051,5.36,24.97,1,1
2016,12,053,24.03,22.62,1,1
2016,12,055,5.39,21.99,1,1
2016,12,057,45.58,64.48,1,1
2016,12,059,3.35,9,1,1
2016,12,061,30.14,19.49,1,1
2016,12,063,2.62,7.31,1,1
2016,12,065,15.14,32.51,1,1
2016,12,067,4,28.03,1,1
2016,12,069,30.85,32.93,1,1
2016,12,071,39.61,50.12,1,1
2016,12,073,45.08,62.14,1,1
2016,12,075,3.15,39.17,1,1
2016,12,077,4,39.52,1,1
2016,12,079,0.27,7.36,1,1
2016,12,081,50.8,69.76,1,1
2016,12,083,11.4,25.43,1,1
2016,12,085,31.75,17.57,1,1
2016,12,086,64.92,76.11,1,1
2016,12,087,59.52,41.39,1,1
2016,12,089,30.3,30.37,1,1
2016,12,091,44.1,44.67,1,1
2016,12,093,4.78,9.18,1,1
2016,12,095,49.41,63.14,1,1
2016,12,097,34.41,42.48,1,1
2016,12,099,50.69,63.58,1,1
2016,12,101,32.59,42,1,1
2016,12,103,50.94,70.36,1,1
2016,12,105,22.26,49.29,1,1
2016,12,107,1.79,17.08,1,1
2016,12,109,35.69,36.64,1,1
2016,12,111,28.35,14.19,1,1
2016,12,113,23.67,15.38,1,1
2016,12,115,45.56,55.45,1,1
2016,12,117,42.55,54.38,1,1
2016,12,119,34.29,39.82,1,1
2016,12,121,5.67,33.59,1,1
2016,12,123,3.32,18.24,1,1
2016,12,125,4.88,37.66,1,1
2016,12,127,22.88,35.71,1,1
2016,12,129,14.34,22.99,1,1
2016,12,131,38.11,47.58,1,1
2016,12,133,4.26,17.37,1,1
2016,13,001,4.03,16.49,1,1
2016,13,003,0.85,24.64,1,1
2016,13,005,3,17.87,1,1
2016,13,007,3.74,29.91,1,1
2016,13,009,1.29,3.69,1,1
2016,13,011,6.17,20.55,1,1
2016,13,013,38.15,34.61,1,1
2016,13,015,42.93,42.25,1,1
2016,13,017,0.24,4.86,1,1
2016,13,019,1.99,17.14,1,1
2016,13,021,17.01,22.3,1,1
2016,13,023,2.68,10.17,1,1
2016,13,025,12.84,45.82,1,1
2016,13,027,4.12,13.18,1,1
2016,13,029,24.14,20.87,1,1
2016,13,031,7.42,10.78,1,1
2016,13,033,15.36,29.51,1,1
2016,13,035,37.9,22.41,1,1
2016,13,037,0,0,1,1
2016,13,039,30.13,15.39,1,1
2016,13,043,1,3.04,1,1
2016,13,045,42.84,29.18,1,1
2016,13,047,23.28,23.3,1,1
2016,13,049,11,36.05,1,1
2016,13,051,49.17,46.42,1,1
2016,13,053,12.53,37.56,1,1
2016,13,055,2.65,0,1,1
2016,13,057,42.85,36.96,1,1
2016,13,059,20.98,73.38,1,1
2016,13,061,0,0,1,1
2016,13,063,54.91,58.34,1,1
2016,13,065,0,0,1,1
2016,13,067,60.07,66.26,1,1
2016,13,069,1.89,18.29,1,1
2016,13,071,1.95,8.49,1,1
2016,13,073,14.85,19.77,1,1
2016,13,075,1.59,16.14,1,1
2016,13,077,41.07,25.47,1,1
2016,13,079,5,21.58,1,1
2016,13,081,0.73,0,1,1
2016,13,083,17.45,22.77,1,1
2016,13,085,36.26,23.51,1,1
2016,13,087,1.66,4.86,1,1
2016,13,089,62.65,70.73,1,1
2016,13,091,2.24,3.64,1,1
2016,13,093,1,2.02,1,1
2016,13,095,13.01,19.17,1,1
2016,13,097,45.17,40.88,1,1
2016,13,099,0,0,1,1
2016,13,101,3.49,30.03,1,1
2016,13,103,21.89,24.95,1,1
2016,13,105,2.25,20.01,1,1
2016,13,107,0.22,1.21,1,1
2016,13,109,9.06,7,1,1
2016,13,111,3.92,0,1,1
2016,13,113,38.22,30.78,1,1
2016,13,115,14.54,16.8,1,1
2016,13,117,37.33,40.42,1,1
2016,13,119,3.68,15.92,1,1
2016,13,121,68.02,77.96,1,1
2016,13,123,11.44,7.67,1,1
2016,13,125,10,29,1,1
2016,13,127,20.88,17.45,1,1
2016,13,129,9.82,16.15,1,1
2016,13,131,1.87,4.26,1,1
2016,13,133,9.67,33.28,1,1
2016,13,135,52.83,57.68,1,1
2016,13,137,9.14,8.63,1,1
2016,13,139,32.2,32.27,1,1
2016,13,141,0.78,47.49,1,1
2016,13,143,40.73,30.28,1,1
2016,13,145,5.86,10.67,1,1
2016,13,147,3.57,10.88,1,1
2016,13,149,40.29,45.44,1,1
2016,13,151,41.56,34.55,1,1
2016,13,153,35.93,27.08,1,1
2016,13,155,0,4.03,1,1
2016,13,157,27.85,41.03,1,1
2016,13,159,39.59,36.61,1,1
2016,13,161,2.52,10.09,1,1
2016,13,163,0,1,1,1
2016,13,165,0,0,1,1
2016,13,167,1,0,1,1
2016,13,169,4.82,18.71,1,1
2016,13,171,39.71,33.28,1,1
2016,13,173,3,13.72,1,1
2016,13,175,1.45,5.78,1,1
2016,13,177,3.25,4.15,1,1
2016,13,179,14.47,12.92,1,1
2016,13,181,16.47,24.69,1,1
2016,13,183,11.74,35.48,1,1
2016,13,185,10.78,10.69,1,1
2016,13,187,8.31,5.87,1,1
2016,13,189,15.72,9.59,1,1
2016,13,191,11.62,30.08,1,1
2016,13,193,0,0,1,1
2016,13,195,5.69,26.7,1,1
2016,13,197,9.97,38.81,1,1
2016,13,199,38.52,31.08,1,1
2016,13,201,2.21,0,1,1
2016,13,205,0.17,5.69,1,1
2016,13,207,6.52,8.62,1,1
2016,13,209,1.54,4.59,1,1
2016,13,211,36.32,57.37,1,1
2016,13,213,8.77,16.88,1,1
2016,13,215,28.81,37.8,1,1
2016,13,217,39.89,27.12,1,1
2016,13,219,6.6,1.4,1,1
2016,13,221,5.15,30.58,1,1
2016,13,223,36.62,26.74,1,1
2016,13,225,30.08,30.78,1,1
2016,13,227,38.67,29.66,1,1
2016,13,229,3.19,8.18,1,1
2016,13,231,36.29,33.9,1,1
2016,13,233,4.75,0,1,1
2016,13,235,26.34,23.61,1,1
2016,13,237,13.26,44.06,1,1
2016,13,239,2,41,1,1
2016,13,241,3.86,0,1,1
2016,13,243,0,0,1,1
2016,13,245,30.97,32.5,1,1
2016,13,247,46.97,40.46,1,1
2016,13,249,2,14.57,1,1
2016,13,251,1.56,10.31,1,1
2016,13,253,2,15.28,1,1
2016,13,255,44.65,30.09,1,1
2016,13,257,4.13,5.99,1,1
2016,13,259,0,0,1,1
2016,13,261,2.79,0.52,1,1
2016,13,263,3,19.33,1,1
2016,13,265,0,0,1,1
2016,13,267,2.78,16.57,1,1
2016,13,269,0,0,1,1
2016,13,271,0,0,1,1
2016,13,273,4.18,3,1,1
2016,13,275,4.77,8.62,1,1
2016,13,277,5.62,18.04,1,1
2016,13,279,2.19,6.61,1,1
2016,13,281,4.41,0,1,1
2016,13,283,5.85,11.77,1,1
2016,13,285,12.83,12.72,1,1
2016,13,287,1.81,0,1,1
2016,13,289,6.14,15.42,1,1
2016,13,291,6.81,4.17,1,1
2016,13,293,2.47,2,1,1
2016,13,295,21.41,23.98,1,1
2016,13,297,38.85,27.07,1,1
2016,13,299,5.1,6.05,1,1
2016,13,301,0.66,3.4,1,1
2016,13,303,3.47,10.01,1,1
2016,13,305,6.48,11.56,1,1
2016,13,307,3.46,34.69,1,1
2016,13,309,0,0,1,1
2016,13,311,8.68,9.45,1,1
2016,13,313,14.33,20.92,1,1
2016,13,315,1.37,5.14,1,1
2016,13,317,0.87,4.72,1,1
2016,13,319,4,25.13,1,1
2016,13,321,4.85,22.16,1,1
2016,15,001,33.33,16.21,1,1
2016,15,003,87.26,77.38,1,1
2016,15,005,67,0,1,1
2016,15,007,62.15,37.13,1,1
2016,15,009,66.91,50.16,1,1
2016,16,001,50.74,52.35,1,1
2016,16,003,6.78,7.3,1,1
2016,16,005,30.59,48.09,1,1
2016,16,007,10.16,13.08,1,1
2016,16,009,9.39,12.33,1,1
2016,16,011,19.57,27.57,1,1
2016,16,013,27.81,28.39,1,1
2016,16,015,23,27,1,1
2016,16,017,13.27,20.12,1,1
2016,16,019,47.75,56.45,1,1
2016,16,021,4.49,10.62,1,1
2016,16,023,28,19,1,1
2016,16,025,22,40,1,1
2016,16,027,37.88,33.09,1,1
2016,16,029,32.56,49.55,1,1
2016,16,031,17.5,12.13,1,1
2016,16,033,1,13,1,1
2016,16,035,7.28,6.16,1,1
2016,16,037,5,0,1,1
