year,state,county,election_turnout,election_turnout_quality
2020,01,001,0.6618207816968541,1
2020,01,003,0.6529094859660088,1
2020,01,005,0.5402157164869029,1
2020,01,007,0.5456354847881717,1
2020,01,009,0.6418799441600744,1
2020,01,011,0.5906530089628681,1
2020,01,013,0.6291777188328912,1
2020,01,015,0.5785633227417158,1
2020,01,017,0.5852575148382155,1
2020,01,019,0.5951136913401064,1
2020,01,021,0.5950693374422188,1
2020,01,023,0.7328424153166421,1
2020,01,025,0.7029702970297029,1
2020,01,027,0.6641111643507427,1
2020,01,029,0.6314547837483617,1
2020,01,031,0.572107358417876,1
2020,01,033,0.6482854818086714,1
2020,01,035,0.6660806618407445,1
2020,01,037,0.6170045045045045,1
2020,01,039,0.6034273844555998,1
2020,01,041,0.6251299008030231,1
2020,01,043,0.6578277271298334,1
2020,01,045,0.5293108071869134,1
2020,01,047,0.6218973020017406,1
2020,01,049,0.588532477947073,1
2020,01,051,0.6574793686403333,1
2020,01,053,0.5592267135325132,1
2020,01,055,0.6033881163084703,1
2020,01,057,0.6795348837209302,1
2020,01,059,0.572899111819631,1
2020,01,061,0.614800294045577,1
2020,01,063,0.7414596273291926,1
2020,01,065,0.6978798586572438,1
2020,01,067,0.6877218934911242,1
2020,01,069,0.5784278108362042,1
2020,01,071,0.5843985659537644,1
2020,01,073,0.6601258065496389,1
2020,01,075,0.6703634669151911,1
2020,01,077,0.6044441415036467,1
2020,01,079,0.6257220921155348,1
2020,01,081,0.5774823196605375,1
2020,01,083,0.6695451145712926,1
2020,01,085,0.8917155903457273,1
2020,01,087,0.5736928641894113,1
2020,01,089,0.6989664453615647,1
2020,01,091,0.7463197535090722,1
2020,01,093,0.5908001711596064,1
2020,01,095,0.5907194994786236,1
2020,01,097,0.5874595080021809,1
2020,01,099,0.6508846857840146,1
2020,01,101,0.5920160038218082,1
2020,01,103,0.6081276884763414,1
2020,01,105,0.7355836849507735,1
2020,01,107,0.6257605177993527,1
2020,01,109,0.5328585178055822,1
2020,01,111,0.6103632779498733,1
2020,01,113,0.4925866050808314,1
2020,01,115,0.6530639235855988,1
2020,01,117,0.7174957867798515,1
2020,01,119,0.6338539042821159,1
2020,01,121,0.5727155933836519,1
2020,01,123,0.6615505830444375,1
2020,01,125,0.5620994888417903,1
2020,01,127,0.6343101343101343,1
2020,01,129,0.6918160561184723,1
2020,01,131,0.737875,1
2020,01,133,0.6065036280569739,1
2020,02,013,NA,NA
2020,02,016,NA,NA
2020,02,020,NA,NA
2020,02,050,NA,NA
2020,02,060,NA,NA
2020,02,063,NA,NA
2020,02,066,NA,NA
2020,02,068,NA,NA
2020,02,070,NA,NA
2020,02,090,NA,NA
2020,02,100,NA,NA
2020,02,105,NA,NA
2020,02,110,NA,NA
2020,02,122,NA,NA
2020,02,130,NA,NA
2020,02,150,NA,NA
2020,02,158,NA,NA
2020,02,164,NA,NA
2020,02,170,NA,NA
2020,02,180,NA,NA
2020,02,185,NA,NA
2020,02,188,NA,NA
2020,02,195,NA,NA
2020,02,198,NA,NA
2020,02,220,NA,NA
2020,02,230,NA,NA
2020,02,240,NA,NA
2020,02,275,NA,NA
2020,02,282,NA,NA
2020,02,290,NA,NA
2020,04,001,0.6753456221198156,1
2020,04,003,0.6401059041567382,1
2020,04,005,0.6651416122004358,1
2020,04,007,0.6534845263406568,1
2020,04,009,0.5447774750227067,1
2020,04,011,0.5483630952380952,1
2020,04,012,0.4583896742470805,1
2020,04,013,0.6856082028569439,1
2020,04,015,0.6208066429418743,1
2020,04,017,0.6491973915224479,1
2020,04,019,0.6829356955380578,1
2020,04,021,0.5675615967598416,1
2020,04,023,0.6909026673732556,1
2020,04,025,0.7584853700516351,1
2020,04,027,0.535343011452867,1
2020,05,001,0.46298749080206036,1
2020,05,003,0.5268195413758724,1
2020,05,005,0.6143295803480041,1
2020,05,007,0.6606357776431051,1
2020,05,009,0.59382373351839,1
2020,05,011,0.47640156453715776,1
2020,05,013,0.5220095693779905,1
2020,05,015,0.5811330049261084,1
2020,05,017,0.5177287066246057,1
2020,05,019,0.472558401350971,1
2020,05,021,0.4508916920400174,1
2020,05,023,0.6311597809855649,1
2020,05,025,0.5773857257417803,1
2020,05,027,0.4668653481441344,1
2020,05,029,0.5465701699181875,1
2020,05,031,0.48646497821006757,1
2020,05,033,0.5191466436806379,1
2020,05,035,0.4719434832756632,1
2020,05,037,0.5618777822743828,1
2020,05,039,0.47430617726051927,1
2020,05,041,0.5035066505441355,1
2020,05,043,0.4864788732394366,1
2020,05,045,0.585940359565077,1
2020,05,047,0.5222710622710622,1
2020,05,049,0.5266460905349795,1
2020,05,051,0.5770104438642297,1
2020,05,053,0.5873925501432665,1
2020,05,055,0.4741569724635547,1
2020,05,057,0.4509713533091867,1
2020,05,059,0.47763408139977176,1
2020,05,061,0.5294633077765608,1
2020,05,063,0.5205164992826399,1
2020,05,065,0.5201432408236347,1
2020,05,067,0.3775305895439377,1
2020,05,069,0.4774720060732587,1
2020,05,071,0.513961038961039,1
2020,05,073,0.4998134328358209,1
2020,05,075,0.4572209211553474,1
2020,05,077,0.39418685121107266,1
2020,05,079,0.35730751498386354,1
2020,05,081,0.5403966597077244,1
2020,05,083,0.4894376673609045,1
2020,05,085,0.5704558139534883,1
2020,05,087,0.5942603071948261,1
2020,05,089,0.5559836976658021,1
2020,05,091,0.505010693553315,1
2020,05,093,0.4107154742096506,1
2020,05,095,0.5186003683241253,1
2020,05,097,0.5447257383966245,1
2020,05,099,0.5263322884012539,1
2020,05,101,0.6438003220611916,1
2020,05,103,0.5300853289292595,1
2020,05,105,0.5765732087227414,1
2020,05,107,0.46254168210448315,1
2020,05,109,0.524521309450278,1
2020,05,111,0.4199329983249581,1
2020,05,113,0.5711402623612513,1
2020,05,115,0.5172983273343214,1
2020,05,117,0.54186046511627906,1
2020,05,119,0.5866114418845457,1
2020,05,121,0.5060921248142645,1
2020,05,123,0.36943866943866943,1
2020,05,125,0.6279241538970345,1
2020,05,127,0.45760309278350514,1
2020,05,129,0.6359177215189873,1
2020,05,131,0.5150786713286714,1
2020,05,133,0.5155599603567889,1
2020,05,135,0.5565281353438765,1
2020,05,137,0.5885034687809713,1
2020,05,139,0.5689277149708805,1
2020,05,141,0.5921122487675389,1
2020,05,143,0.5798843503937008,1
2020,05,145,0.5245859872611465,1
2020,05,147,0.4874015748031496,1
2020,05,149,0.4556269009800608,1
2020,06,001,0.7058904410955891,1
2020,06,003,0.8372881355932204,2
2020,06,005,0.6936401803763023,1
2020,06,007,0.5972963483146068,1
2020,06,009,0.7267959866220736,1
2020,06,011,0.6288309636650868,1
2020,06,013,0.751078523208114,1
2020,06,015,0.5584105314480741,1
2020,06,017,0.7980145644407804,1
2020,06,019,0.604552570761164,1
2020,06,021,0.6468365302032637,1
2020,06,023,0.6438137099036753,1
2020,06,025,0.5487452250858276,1
2020,06,027,0.698379970544919,1
2020,06,029,0.5762618445392427,1
2020,06,031,0.4705106200386183,1
2020,06,033,0.5992512479201331,1
2020,06,035,0.48976506639427986,1
2020,06,037,0.669692115615651,1
2020,06,039,0.5755972147830745,1
2020,06,041,0.8403483700488041,1
2020,06,043,0.730892285815855,1
2020,06,045,0.6946069396586265,1
2020,06,047,0.5951235541535226,1
2020,06,049,0.6386764705882353,1
2020,06,051,0.661561119293078,1
2020,06,053,0.6923008700059127,1
2020,06,055,0.749883074364704,1
2020,06,057,0.8125745121415574,1
2020,06,059,0.7267207608516612,1
2020,06,061,0.8081959604641169,1
2020,06,063,0.7288025889967638,1
