STNAM,FIPST,LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
ALABAMA,01,0100005,Albertville City,No,88,,S,S,14,72,.,.,.,.,15OCT16
ALABAMA,01,0100006,Marshall County,Yes,273,Y,17,3,4,249,11,9,11,3,15OCT16
ALABAMA,01,0100007,Hoover City,No,64,,S,.,S,49,12,.,.,8,15OCT16
ALABAMA,01,0100008,Madison City,Yes,116,,54,S,S,57,16,9,.,5,15OCT16
ALABAMA,01,0100011,Leeds City,Yes,157,Y,.,.,.,157,21,10,.,.,15OCT16
ALABAMA,01,0100012,Boaz City,Yes,67,Y,S,.,S,63,.,15,S,S,15OCT16
ALABAMA,01,0100013,Trussville City,No,4,,.,.,.,4,.,.,.,.,15OCT16
ALABAMA,01,0100030,Alexander City,No,12,,S,.,.,S,.,.,.,5,15OCT16
ALABAMA,01,0100060,Andalusia City,No,17,,S,S,S,12,.,.,.,.,15OCT16
ALABAMA,01,0100090,Anniston City,Yes,222,Y,S,.,S,219,12,4,.,.,15OCT16
ALABAMA,01,0100100,Arab City,No,35,,S,.,S,30,4,.,.,.,15OCT16
ALABAMA,01,0100120,Athens City,No,85,,19,S,S,59,S,26,.,S,15OCT16
ALABAMA,01,0100180,Attalla City,Yes,51,,.,S,S,44,4,4,.,4,15OCT16
ALABAMA,01,0100185,Saraland City,No,289,,5,.,.,284,.,.,.,.,15OCT16
ALABAMA,01,0100188,Chickasaw City,No,29,,.,.,.,29,5,.,.,.,15OCT16
ALABAMA,01,0100189,Satsuma City,No,5,,.,.,.,5,.,.,.,.,15OCT16
ALABAMA,01,0100190,Alabaster City,No,55,,6,.,10,39,.,.,.,.,15OCT16
ALABAMA,01,0100194,Pelham City,No,15,,.,S,.,S,3,S,.,.,15OCT16
ALABAMA,01,0100210,Auburn City,No,25,,S,.,S,17,3,.,.,S,15OCT16
ALABAMA,01,0100240,Autauga County,Yes,73,,S,.,.,S,12,S,.,10,15OCT16
ALABAMA,01,0100270,Baldwin County,Yes,356,,13,9,81,253,101,3,.,9,15OCT16
ALABAMA,01,0100300,Barbour County,No,S,,.,.,.,S,.,.,.,.,15OCT16
ALABAMA,01,0100330,Bessemer City,Yes,335,Y,20,3,9,303,46,11,.,3,15OCT16
ALABAMA,01,0100360,Bibb County,Yes,31,,.,.,S,S,S,.,.,S,15OCT16
ALABAMA,01,0100390,Birmingham City,Yes,449,Y,24,3,70,352,.,9,.,30,15OCT16
ALABAMA,01,0100420,Blount County,Yes,168,,.,3,7,158,18,23,8,15,15OCT16
ALABAMA,01,0100480,Bullock County,No,7,,.,.,.,7,.,.,.,.,15OCT16
ALABAMA,01,0100510,Butler County,No,189,,S,.,.,S,37,S,.,.,15OCT16
ALABAMA,01,0100540,Calhoun County,Yes,131,,13,S,S,105,25,.,.,48,15OCT16
ALABAMA,01,0100600,Chambers County,No,29,,S,S,11,11,.,.,.,.,15OCT16
ALABAMA,01,0100630,Cherokee County,Yes,456,Y,.,354,.,102,90,.,.,9,15OCT16
ALABAMA,01,0100660,Chilton County,No,25,,S,.,.,S,3,S,.,S,15OCT16
ALABAMA,01,0100690,Choctaw County,No,5,,.,.,.,5,.,.,.,.,15OCT16
ALABAMA,01,0100720,Clarke County,Yes,9,,.,.,.,9,S,S,.,.,15OCT16
ALABAMA,01,0100750,Clay County,No,5,,.,.,.,5,.,.,.,.,15OCT16
ALABAMA,01,0100780,Cleburne County,No,32,,S,.,S,24,.,S,.,.,15OCT16
ALABAMA,01,0100810,Coffee County,Yes,102,Y,S,11,S,85,15,.,.,.,15OCT16
ALABAMA,01,0100840,Colbert County,Yes,289,Y,S,S,26,261,.,S,S,S,15OCT16
ALABAMA,01,0100870,Conecuh County,No,14,Y,S,.,.,S,.,.,.,.,15OCT16
ALABAMA,01,0100900,Coosa County,No,40,Y,.,.,4,36,7,S,.,S,15OCT16
ALABAMA,01,0100930,Covington County,No,11,,.,.,.,11,.,.,.,.,15OCT16
