fips,name,name2
0103076,"Auburn city, Alabama","Auburn, Alabama"
0107000,"Birmingham city, Alabama","Birmingham, Alabama"
0135896,"Hoover city, Alabama","Hoover, Alabama"
0137000,"Huntsville city, Alabama","Huntsville, Alabama"
0150000,"Mobile city, Alabama","Mobile, Alabama"
0151000,"Montgomery city, Alabama","Montgomery, Alabama"
0177256,"Tuscaloosa city, Alabama","Tuscaloosa, Alabama"
0203000,"Anchorage municipality, Alaska","Anchorage, Alaska"
0404720,"Avondale city, Arizona","Avondale, Arizona"
0407940,"Buckeye city, Arizona","Buckeye, Arizona"
0412000,"Chandler city, Arizona","Chandler, Arizona"
0423620,"Flagstaff city, Arizona","Flagstaff, Arizona"
0427400,"Gilbert town, Arizona","Gilbert, Arizona"
0427820,"Glendale city, Arizona","Glendale, Arizona"
0428380,"Goodyear city, Arizona","Goodyear, Arizona"
0446000,"Mesa city, Arizona","Mesa, Arizona"
0454050,"Peoria city, Arizona","Peoria, Arizona"
0455000,"Phoenix city, Arizona","Phoenix, Arizona"
0465000,"Scottsdale city, Arizona","Scottsdale, Arizona"
0471510,"Surprise city, Arizona","Surprise, Arizona"
0473000,"Tempe city, Arizona","Tempe, Arizona"
0477000,"Tucson city, Arizona","Tucson, Arizona"
0485540,"Yuma city, Arizona","Yuma, Arizona"
0523290,"Fayetteville city, Arkansas","Fayetteville, Arkansas"
0524550,"Fort Smith city, Arkansas","Fort Smith, Arkansas"
0535710,"Jonesboro city, Arkansas","Jonesboro, Arkansas"
0541000,"Little Rock city, Arkansas","Little Rock, Arkansas"
0566080,"Springdale city, Arkansas","Springdale, Arkansas"
0600562,"Alameda city, California","Alameda, California"
0600884,"Alhambra city, California","Alhambra, California"
0602000,"Anaheim city, California","Anaheim, California"
0602252,"Antioch city, California","Antioch, California"
0602364,"Apple Valley town, California","Apple Valley, California"
0603526,"Bakersfield city, California","Bakersfield, California"
0604982,"Bellflower city, California","Bellflower, California"
0606000,"Berkeley city, California","Berkeley, California"
0608786,"Buena Park city, California","Buena Park, California"
0608954,"Burbank city, California","Burbank, California"
0611194,"Carlsbad city, California","Carlsbad, California"
0611530,"Carson city, California","Carson, California"
0613014,"Chico city, California","Chico, California"
0613210,"Chino city, California","Chino, California"
0613214,"Chino Hills city, California","Chino Hills, California"
0613392,"Chula Vista city, California","Chula Vista, California"
0613588,"Citrus Heights city, California","Citrus Heights, California"
0614218,"Clovis city, California","Clovis, California"
0615044,"Compton city, California","Compton, California"
0616000,"Concord city, California","Concord, California"
0616350,"Corona city, California","Corona, California"
0616532,"Costa Mesa city, California","Costa Mesa, California"
0617918,"Daly City city, California","Daly City, California"
0619766,"Downey city, California","Downey, California"
0621712,"El Cajon city, California","El Cajon, California"
0622020,"Elk Grove city, California","Elk Grove, California"
0622230,"El Monte city, California","El Monte, California"
0622804,"Escondido city, California","Escondido, California"
0623182,"Fairfield city, California","Fairfield, California"
0624638,"Folsom city, California","Folsom, California"
0624680,"Fontana city, California","Fontana, California"
0626000,"Fremont city, California","Fremont, California"
0627000,"Fresno city, California","Fresno, California"
0628000,"Fullerton city, California","Fullerton, California"
0629000,"Garden Grove city, California","Garden Grove, California"
0630000,"Glendale city, California","Glendale, California"
