year,statefip,place,state_name,place_name,population,puma,pop20,afact,afact2,products,sum_products,place_pop,puma_flag,size_flag,geographic_allocation_quality
2021,01,03076,Alabama,Auburn city,78887,02101,76143,0.5953,1,0.5953,0.5953,76143,2,1,3
2021,01,07000,Alabama,Birmingham city,197823,01301,1387,0.012,0.0069,8.280000000000001e-5,0.72734109,200733,2,0,2
2021,01,07000,Alabama,Birmingham city,197823,01401,6146,0.0519,0.0306,0.00158814,0.72734109,200733,2,0,2
2021,01,07000,Alabama,Birmingham city,197823,01402,18049,0.1351,0.0899,0.012145489999999998,0.72734109,200733,2,0,2
2021,01,07000,Alabama,Birmingham city,197823,01403,163413,0.8731,0.8141,0.71079071,0.72734109,200733,2,0,2
2021,01,07000,Alabama,Birmingham city,197823,01404,9834,0.0531,0.049,0.0026019000000000003,0.72734109,200733,2,0,2
2021,01,07000,Alabama,Birmingham city,197823,01501,1904,0.0139,0.0095,1.3204999999999998e-4,0.72734109,200733,2,0,2
2021,01,35896,Alabama,Hoover city,92627,01401,13354,0.1128,0.1442,0.01626576,0.23350481000000003,92606,3,1,3
2021,01,35896,Alabama,Hoover city,92627,01404,52607,0.2842,0.5681,0.16145402000000003,0.23350481000000003,92606,3,1,3
2021,01,35896,Alabama,Hoover city,92627,01501,26645,0.1939,0.2877,0.05578503,0.23350481000000003,92606,3,1,3
2021,01,37000,Alabama,Huntsville city,218672,00200,4386,0.0423,0.0204,8.6292e-4,0.70529994,214999,2,0,2
2021,01,37000,Alabama,Huntsville city,218672,00401,20777,0.1831,0.0966,0.017687460000000002,0.70529994,214999,2,0,2
2021,01,37000,Alabama,Huntsville city,218672,00402,78665,0.5138,0.3659,0.18799942,0.70529994,214999,2,0,2
2021,01,37000,Alabama,Huntsville city,218672,00403,107547,0.996,0.5002,0.49819919999999995,0.70529994,214999,2,0,2
2021,01,37000,Alabama,Huntsville city,218672,00501,3624,0.0326,0.0169,5.509399999999999e-4,0.70529994,214999,2,0,2
2021,01,50000,Alabama,Mobile city,185017,02801,490,0.0035,0.0026,9.1e-6,0.7173706400000001,187041,2,0,2
