crosswalk_period,statefip,place,puma,afact,afact2,population,products,sum_products,geographic_allocation_quality
2012,01,03076,01900,0.3807,1,53395,0.3807,0.3807,2
2012,01,07000,01200,0.0079,0.0016,1538,1.2640000000000003e-5,0.16358003,3
2012,01,07000,01301,0.8015,0.0837,80813,0.06708555,0.16358003,3
2012,01,07000,01302,0.9401,0.0994,95979,0.09344594,0.16358003,3
2012,01,07000,01303,0.0555,0.0098,9451,5.438999999999999e-4,0.16358003,3
2012,01,07000,01304,0.1125,0.0203,19656,0.0022837499999999998,0.16358003,3
2012,01,07000,01305,0.0425,0.0049,4710,2.0825000000000002e-4,0.16358003,3
2012,01,35896,01200,0.1175,0.2761,22928,0.03244175,0.21490853,3
2012,01,35896,01303,0.291,0.5963,49514,0.1735233,0.21490853,3
2012,01,35896,01305,0.0819,0.1092,9068,0.00894348,0.21490853,3
2012,01,37000,00200,0.0572,0.0089,9835,5.0908e-4,0.11795226,3
2012,01,37000,00301,0.479,0.0517,56960,0.0247643,0.11795226,3
2012,01,37000,00302,0.9968,0.0918,101193,0.09150624,0.11795226,3
2012,01,37000,00500,0.1047,0.0112,12391,0.00117264,0.11795226,3
2012,01,50000,02701,0.8168,0.1129,90476,0.09221672,0.201978,3
2012,01,50000,02702,0.904,0.121,96985,0.109384,0.201978,3
2012,01,50000,02703,0.0393,0.0096,7652,3.7727999999999997e-4,0.201978,3
2012,01,51000,02000,0.9708,0.0219,190787,0.021260519999999998,0.021401279999999998,3
2012,01,51000,02100,0.0828,0.0017,14743,1.4076e-4,0.021401279999999998,3
2012,01,77256,01500,0.0411,0.0472,4269,0.00193992,0.74445696,2
2012,01,77256,01600,0.7793,0.9528,86209,0.74251704,0.74445696,2
2012,02,03000,00101,1,0.1644,132542,0.1644,0.362,2
2012,02,03000,00102,1,0.1976,159284,0.1976,0.362,2
2012,04,04720,00132,1e-4,1e-4,10,1e-8,0.44392519999999996,2
2012,04,04720,00133,0.7299,0.6082,75899,0.44392518,0.44392519999999996,2
2012,04,04720,00134,1e-4,1e-4,7,1e-8,0.44392519999999996,2
2012,04,07940,00132,0.0281,0.0505,2880,0.00141905,0.36963524999999997,2
2012,04,07940,00134,0.437,0.8426,48015,0.3682162,0.36963524999999997,2
2012,04,12000,00100,1e-4,0,12,0,0.16517757,3
2012,04,12000,00105,0.0222,0.0026,3010,5.772e-5,0.16517757,3
2012,04,12000,00106,0.9856,0.0957,112395,0.09432191999999999,0.16517757,3
2012,04,12000,00107,0.8315,0.0711,83512,0.059119649999999996,0.16517757,3
2012,04,12000,00108,0.3684,0.0317,37226,0.01167828,0.16517757,3
2012,04,23620,00400,0.4917,0.5383,66100,0.26468211,0.26468211,3
2012,04,27400,00100,0.6872,0.3521,76469,0.24196312000000003,0.8288943900000001,1
2012,04,27400,00104,0.0045,0.0021,456,9.45e-6,0.8288943900000001,1
2012,04,27400,00105,0.9706,0.6047,131343,0.58692182,0.8288943900000001,1
2012,04,27820,00123,5e-4,2e-4,49,1.0000000000000001e-7,0.9543333399999999,1
2012,04,27820,00124,0.9753,0.4298,97887,0.41918394,0.9543333399999999,1
2012,04,27820,00126,0.9993,0.5346,121758,0.53422578,0.9543333399999999,1
2012,04,27820,00127,0.0289,0.0144,3274,4.1615999999999995e-4,0.9543333399999999,1
2012,04,27820,00132,0.0336,0.0151,3444,5.0736e-4,0.9543333399999999,1
2012,04,28380,00132,0.6351,0.7856,65139,0.49893455999999997,0.49893621,2
2012,04,28380,00134,0.0011,0.0015,122,1.65e-6,0.49893621,2
2012,04,46000,00100,1e-4,0,11,0,0.66942242,2
2012,04,46000,00101,0.7814,0.1898,114322,0.14830972,0.66942242,2
2012,04,46000,00102,0.9557,0.2081,125306,0.19888117,0.66942242,2
2012,04,46000,00103,1,0.1762,106091,0.1762,0.66942242,2
2012,04,46000,00104,0.9367,0.1559,93889,0.14603153,0.66942242,2
