crosswalk_period,statefip,place,puma,afact,afact2,population,products,sum_products,geographic_allocation_quality
2012,04,54050,00126,3e-4,2e-4,31,6e-8,0.7152249500000001,2
2012,04,54050,00127,0.9548,0.6763,108314,0.64573124,0.7152249500000001,2
2012,04,54050,00129,0.3132,0.2069,33142,0.06480108,0.7152249500000001,2
2012,04,54050,00130,0.0413,0.0299,4796,0.0012348700000000001,0.7152249500000001,2
2012,04,54050,00134,0.071,0.0487,7797,0.0034576999999999997,0.7152249500000001,2
2012,04,55000,00110,0.0011,0,125,0,0.49356317,2
2012,04,55000,00112,0.3869,0.0147,40812,0.00568743,0.49356317,2
2012,04,55000,00113,1,0.0368,102189,0.0368,0.49356317,2
2012,04,55000,00114,1,0.0373,103639,0.0373,0.49356317,2
2012,04,55000,00115,1,0.0366,101757,0.0366,0.49356317,2
2012,04,55000,00116,1,0.0361,100212,0.0361,0.49356317,2
2012,04,55000,00117,1,0.0361,100444,0.0361,0.49356317,2
2012,04,55000,00118,1,0.0391,108714,0.0391,0.49356317,2
2012,04,55000,00119,0.9904,0.0376,104496,0.03723904,0.49356317,2
2012,04,55000,00120,0.9993,0.036,100107,0.035974799999999994,0.49356317,2
2012,04,55000,00121,0.905,0.0403,111988,0.036471500000000004,0.49356317,2
2012,04,55000,00122,1,0.0375,104327,0.0375,0.49356317,2
2012,04,55000,00123,0.9995,0.039,108355,0.0389805,0.49356317,2
2012,04,55000,00125,1,0.0367,101932,0.0367,0.49356317,2
2012,04,55000,00126,4e-4,0,52,0,0.49356317,2
2012,04,55000,00128,1,0.0371,103065,0.0371,0.49356317,2
2012,04,55000,00129,0.361,0.0137,38201,0.0049457,0.49356317,2
2012,04,55000,00133,0.1607,0.006,16709,9.642000000000001e-4,0.49356317,2
2012,04,65000,00110,0.8859,0.0463,103618,0.04101717,0.06966979,3
2012,04,65000,00111,0.6529,0.0306,68478,0.019978740000000002,0.06966979,3
2012,04,65000,00112,0.4294,0.0202,45290,0.00867388,0.06966979,3
2012,04,71510,00130,0.0809,0.0799,9408,0.00646391,0.87807881,1
2012,04,71510,00131,0.9946,0.8743,102978,0.86957878,0.87807881,1
2012,04,71510,00134,0.0467,0.0436,5131,0.0020361199999999998,0.87807881,1
2012,04,73000,00102,0.0102,0.0031,1342,3.162e-5,0.31593368,3
2012,04,73000,00108,0.5765,0.1356,58256,0.0781734,0.31593368,3
2012,04,73000,00109,0.9997,0.2378,102124,0.23772866,0.31593368,3
2012,04,77000,00201,0.1995,0.0212,20188,0.0042294,0.42559724,2
2012,04,77000,00202,0.4131,0.0501,47634,0.02069631,0.42559724,2
2012,04,77000,00203,0.004,5e-4,433,2e-6,0.42559724,2
2012,04,77000,00204,0.1875,0.0206,19585,0.0038625,0.42559724,2
2012,04,77000,00205,0.3212,0.0413,39280,0.013265560000000001,0.42559724,2
2012,04,77000,00206,0.981,0.1054,100214,0.10339739999999999,0.42559724,2
2012,04,77000,00207,0.8466,0.0907,86289,0.07678662,0.42559724,2
2012,04,77000,00208,0.8493,0.0965,91773,0.08195745,0.42559724,2
2012,04,77000,00209,1,0.1214,115440,0.1214,0.42559724,2
2012,04,85540,00700,0.4755,0.9991,93082,0.47507204999999997,0.47507204999999997,2
2012,05,23290,00200,0.3624,0.9658,73581,0.35000591999999997,0.35000591999999997,2
2012,05,24550,01400,0.4594,0.9352,86224,0.42963088,0.42963088,2
2012,05,35710,00500,0.3732,0.9583,67278,0.35763755999999997,0.3576386,2
2012,05,35710,00600,8e-4,0.0013,88,1.04e-6,0.3576386,2
2012,05,41000,00900,0.0573,0.0563,11325,0.00322599,0.8949703099999999,1
2012,05,41000,01000,0.9847,0.9056,182199,0.8917443199999999,0.8949703099999999,1
2012,05,66080,00100,0.0296,0.0922,6554,0.0027291200000000002,0.28850617,3
2012,05,66080,00200,0.3163,0.9035,64229,0.28577705000000003,0.28850617,3
2012,06,00562,00105,0.4514,1,73812,0.4514,0.4514,2
2012,06,00884,03736,0.7242,1,83089,0.7242,0.7242,2
2012,06,02000,05905,0.0535,0.0105,10556,5.617500000000001e-4,0.2657406,3
2012,06,02000,05906,0.0309,0.0055,5476,1.6994999999999998e-4,0.2657406,3
2012,06,02000,05907,0.0298,0.0056,5652,1.6688e-4,0.2657406,3
2012,06,02000,05908,0.0149,0.0026,2651,3.874e-5,0.2657406,3
2012,06,02000,05909,0.8453,0.1233,123560,0.10422549000000002,0.2657406,3
2012,06,02000,05910,0.9177,0.1745,174886,0.16013865,0.2657406,3
2012,06,02000,05911,0.0138,0.0019,1908,2.622e-5,0.2657406,3
2012,06,02000,05912,0.0369,0.0062,6164,2.2878000000000002e-4,0.2657406,3
2012,06,02000,05913,0.0341,0.0054,5457,1.8414e-4,0.2657406,3
2012,06,02252,01307,0.0041,0.0049,498,2.0090000000000002e-5,0.9454646,1
2012,06,02252,01308,0.9501,0.9951,101867,0.94544451,0.9454646,1
2012,06,02364,07101,2e-4,5e-4,34,1.0000000000000001e-7,0.40921201999999995,2
2012,06,02364,07103,0.4115,0.9944,68747,0.40919559999999994,0.40921201999999995,2
2012,06,02364,07104,0.0032,0.0051,356,1.6320000000000003e-5,0.40921201999999995,2
2012,06,03526,02901,0.0795,0.0435,15101,0.00345825,0.72805603,2
2012,06,03526,02902,0.9134,0.5266,183010,0.48099643999999997,0.72805603,2
2012,06,03526,02903,0.5671,0.2532,87983,0.14358972,0.72805603,2
2012,06,03526,02904,0.5676,0.1762,61220,0.10001112,0.72805603,2
2012,06,03526,02905,0.001,5e-4,186,5e-7,0.72805603,2
2012,06,04982,03755,0.1102,0.1743,13353,0.019207860000000004,0.46426016000000003,2
2012,06,04982,03756,0.539,0.8257,63263,0.4450523,0.46426016000000003,2
2012,06,06000,00101,0.8574,0.9802,112425,0.84042348,0.84042348,1
2012,06,08786,05907,0.0076,0.0179,1441,1.3604e-4,0.34677853999999997,3
2012,06,08786,05908,0.3918,0.8657,69717,0.33918126,0.34677853999999997,3
2012,06,08786,05909,0.0641,0.1164,9374,0.007461240000000001,0.34677853999999997,3
2012,06,08954,03720,0.8747,1,103340,0.8747,0.8747,1
2012,06,11194,07304,0.8424,0.9174,96629,0.77281776,0.77726164,1
2012,06,11194,07309,0.0538,0.0826,8699,0.004443880000000001,0.77726164,1
2012,06,11530,03757,0.0035,0.0059,549,2.065e-5,0.7959283800000001,1
2012,06,11530,03762,0.8077,0.9854,91123,0.7959075800000001,0.7959283800000001,1
2012,06,11530,03763,3e-4,5e-4,42,1.5e-7,0.7959283800000001,1
2012,06,13014,00701,0.7737,1,86187,0.7737,0.7737,1
2012,06,13210,07113,0.0313,0.0672,5241,0.00210336,0.43930672,2
2012,06,13210,07114,0.4687,0.9328,72742,0.43720336,0.43930672,2
2012,06,13214,07114,0.4819,1,74799,0.4819,0.4819,2
2012,06,13392,07318,0.0032,0.002,495,6.4000000000000006e-6,0.77881941,1
2012,06,13392,07319,0.0279,0.0148,3627,4.1292000000000005e-4,0.77881941,1
2012,06,13392,07320,0.9227,0.5083,124858,0.46900840999999993,0.77881941,1
2012,06,13392,07321,0.6618,0.4675,114858,0.30939150000000004,0.77881941,1
2012,06,13392,07322,6e-4,3e-4,78,1.7999999999999997e-7,0.77881941,1
2012,06,13588,06701,0.7909,0.9977,83109,0.7890809300000001,0.7890846100000001,1
2012,06,13588,06704,0.0016,0.0023,192,3.68e-6,0.7890846100000001,1
2012,06,14218,01903,0.0238,0.0253,2427,6.0214e-4,0.88670846,1
2012,06,14218,01906,0.9092,0.9746,93320,0.88610632,0.88670846,1
2012,06,15044,03752,0.0037,0.0066,640,2.442e-5,0.6076872,2
2012,06,15044,03757,0.6117,0.9934,95815,0.60766278,0.6076872,2
2012,06,16000,01303,0.278,0.0279,36035,0.007756200000000001,0.03390724,3
2012,06,16000,01306,0.4652,0.0404,52197,0.018794079999999998,0.03390724,3
2012,06,16000,01307,0.2808,0.0262,33829,0.00735696,0.03390724,3
2012,06,16350,06509,0.0083,0.0062,979,5.146e-5,0.66116889,2
2012,06,16350,06512,0.356,0.2257,35770,0.0803492,0.66116889,2
2012,06,16350,06513,0.7959,0.7297,115625,0.58076823,0.66116889,2
2012,06,16532,05903,0.0011,0.0019,222,2.0900000000000003e-6,0.59265763,2
2012,06,16532,05918,0.6178,0.9593,109640,0.5926555400000001,0.59265763,2
2012,06,17918,08101,0.6775,0.9192,93018,0.622758,0.62838976,2
2012,06,17918,08102,0.0697,0.0808,8176,0.0056317599999999995,0.62838976,2
2012,06,19766,03753,1,0.9863,110238,0.9863,0.9864739899999999,1
2012,06,19766,03755,0.0127,0.0137,1534,1.7399e-4,0.9864739899999999,1
2012,06,21712,07307,0.0115,0.012,1212,1.38e-4,0.542756,2
2012,06,21712,07313,0.5594,0.97,98266,0.542618,0.542756,2
2012,06,22020,06710,0.9884,0.9564,150874,0.94530576,0.94557912,1
2012,06,22020,06711,0.0201,0.0136,2141,2.7336e-4,0.94557912,1
2012,06,22230,03717,0.0062,0.0102,1163,6.324e-5,0.83913164,1
2012,06,22230,03737,7e-4,8e-4,87,5.6e-7,0.83913164,1
2012,06,22230,03738,0.8541,0.9824,112225,0.83906784,0.83913164,1
2012,06,22804,07302,1e-4,1e-4,10,1e-8,0.7679678299999999,1
2012,06,22804,07305,0.2016,0.1618,23290,0.03261888,0.7679678299999999,1
2012,06,22804,07306,0.8774,0.8381,120622,0.73534894,0.7679678299999999,1
2012,06,23182,09502,0.7587,1,105321,0.7587,0.7587,1
2012,06,24638,06712,0.6614,1,72203,0.6614,0.6614,2
2012,06,24680,07104,0.0013,7e-4,142,9.1e-7,0.80037599,1
2012,06,24680,07109,0.086,0.0476,9327,0.0040936,0.80037599,1
2012,06,24680,07110,0.8779,0.4752,93173,0.41717808,0.80037599,1
2012,06,24680,07115,0.7956,0.4765,93427,0.3791034,0.80037599,1
2012,06,26000,00108,0.1797,0.086,24325,0.015454199999999998,0.6862541999999999,2
2012,06,26000,00109,1,0.6708,189764,0.6708,0.6862541999999999,2
2012,06,27000,01901,3e-4,0,46,0,0.33443544,3
2012,06,27000,01902,0.9256,0.1215,160732,0.11246039999999999,0.33443544,3
2012,06,27000,01903,0.8424,0.0649,85821,0.05467176,0.33443544,3
2012,06,27000,01904,0.8988,0.1156,152915,0.10390128,0.33443544,3
2012,06,27000,01905,0.8804,0.072,95240,0.0633888,0.33443544,3
2012,06,27000,01906,0.0132,0.001,1359,1.32e-5,0.33443544,3
2012,06,28000,05906,0.0048,0.0013,842,6.2399999999999995e-6,0.14140484,3
2012,06,28000,05907,0.7077,0.1998,134194,0.14139846,0.14140484,3
2012,06,28000,05910,7e-4,2e-4,141,1.4e-7,0.14140484,3
2012,06,29000,05909,0.0064,0.0018,942,1.152e-5,0.25601687,3
2012,06,29000,05912,0.1149,0.0363,19175,0.00417087,0.25601687,3
2012,06,29000,05913,0.911,0.2761,145665,0.2515271,0.25601687,3
2012,06,29000,05916,0.0327,0.0094,4964,3.0738e-4,0.25601687,3
2012,06,30000,03709,0.0084,0.0022,923,1.848e-5,0.44531847999999996,2
2012,06,30000,03719,1,0.4453,190790,0.4453,0.44531847999999996,2
2012,06,32548,03749,2e-4,3e-4,26,6e-8,0.6967231100000001,2
2012,06,32548,03758,0.0185,0.0337,2843,6.2345e-4,0.6967231100000001,2
2012,06,32548,03759,0.7206,0.966,81424,0.6960996,0.6967231100000001,2
2012,06,33000,00106,0.0629,0.0522,8480,0.0032833800000000002,0.78313313,1
2012,06,33000,00107,0.9325,0.8363,135830,0.77984975,0.78313313,1
2012,06,33182,06506,0.4923,0.9241,72684,0.45493443000000006,0.45808428000000007,2
2012,06,33182,06507,0.0415,0.0759,5973,0.00314985,0.45808428000000007,2
2012,06,33434,07102,0.002,0.0035,316,7e-6,0.53597057,2
2012,06,33434,07103,0.5379,0.9964,89846,0.53596356,0.53597057,2
2012,06,33434,07104,1e-4,1e-4,11,1e-8,0.53597057,2
2012,06,36000,05912,0.0267,0.0059,4457,1.5753000000000002e-4,0.24064965,3
2012,06,36000,05914,0.9804,0.2453,186518,0.24049212,0.24064965,3
2012,06,36448,06501,0.4352,0.8248,78436,0.35895296,0.35897479,2
2012,06,36448,06515,0.0037,0.0059,561,2.183e-5,0.35897479,2
2012,06,36546,03748,0.0016,0.0026,286,4.16e-6,0.94772768,1
2012,06,36546,03749,0.9561,0.9912,108707,0.94768632,0.94772768,1
2012,06,36546,03759,0.006,0.0062,680,3.7199999999999996e-5,0.94772768,1
2012,06,36770,05903,0.059,0.055,11720,0.003245,0.74754239,2
2012,06,36770,05904,0.8815,0.8285,176473,0.73032275,0.74754239,2
2012,06,36770,05905,0.1228,0.1138,24244,0.01397464,0.74754239,2
2012,06,37692,06511,1e-4,2e-4,15,2e-8,0.63244713,2
2012,06,37692,06514,0.6389,0.9899,94989,0.63244711,0.63244713,2
2012,06,39496,05902,0.01,0.0138,1063,1.38e-4,0.28183313000000004,3
2012,06,39496,05904,0.0575,0.1495,11514,0.00859625,0.28183313000000004,3
2012,06,39496,05905,0.3264,0.8367,64445,0.27309888000000004,0.28183313000000004,3
2012,06,39892,03763,0.0061,0.0108,864,6.588000000000001e-5,0.4922918,2
2012,06,39892,03764,0.4976,0.9892,79184,0.49222592,0.4922918,2
2012,06,40130,03701,0.0277,0.0247,3874,6.8419e-4,0.8903832299999999,1
2012,06,40130,03703,0.9228,0.964,150999,0.8895791999999999,0.8903832299999999,1
2012,06,40130,03704,0.0107,0.0112,1760,1.1983999999999999e-4,0.8903832299999999,1
2012,06,41992,00110,0.4013,0.9532,81117,0.38251916,0.38251916,2
2012,06,43000,03763,0.9936,0.1398,141714,0.13890528000000002,0.4439638,2
2012,06,43000,03765,0.9892,0.1269,128683,0.12552948,0.4439638,2
2012,06,43000,03766,1,0.1008,102211,0.1008,0.4439638,2
2012,06,43000,03769,0.8906,0.0884,89649,0.07872904,0.4439638,2
2012,06,44000,03705,0.9904,0.0436,165328,0.043181439999999995,0.9607913299999999,1
2012,06,44000,03706,1,0.0359,136414,0.0359,0.9607913299999999,1
2012,06,44000,03707,0.8367,0.0333,126310,0.027862110000000002,0.9607913299999999,1
2012,06,44000,03708,1,0.036,136829,0.036,0.9607913299999999,1
2012,06,44000,03720,0.1253,0.0039,14803,4.8867e-4,0.9607913299999999,1
2012,06,44000,03721,1,0.0352,133453,0.0352,0.9607913299999999,1
2012,06,44000,03722,1,0.042,159310,0.042,0.9607913299999999,1
2012,06,44000,03723,1,0.0372,141253,0.0372,0.9607913299999999,1
2012,06,44000,03724,1,0.0441,167320,0.0441,0.9607913299999999,1
2012,06,44000,03725,0.9954,0.0442,167687,0.04399668,0.9607913299999999,1
2012,06,44000,03726,0.1549,0.0041,15718,6.3509e-4,0.9607913299999999,1
2012,06,44000,03727,0.9999,0.0398,151257,0.03979602,0.9607913299999999,1
2012,06,44000,03728,0.1246,0.0034,12775,4.2364e-4,0.9607913299999999,1
2012,06,44000,03729,0.9964,0.0514,195061,0.05121496,0.9607913299999999,1
2012,06,44000,03730,1,0.0433,164373,0.0433,0.9607913299999999,1
2012,06,44000,03731,0.368,0.0105,39891,0.0038640000000000002,0.9607913299999999,1
2012,06,44000,03732,1,0.0466,176714,0.0466,0.9607913299999999,1
2012,06,44000,03733,1,0.0297,112679,0.0297,0.9607913299999999,1
2012,06,44000,03734,1,0.0515,195576,0.0515,0.9607913299999999,1
2012,06,44000,03735,1,0.051,193761,0.051,0.9607913299999999,1
2012,06,44000,03736,0.0526,0.0016,6032,8.416000000000001e-5,0.9607913299999999,1
2012,06,44000,03744,1,0.0449,170583,0.0449,0.9607913299999999,1
2012,06,44000,03745,1,0.0322,122254,0.0322,0.9607913299999999,1
2012,06,44000,03746,1,0.0289,109831,0.0289,0.9607913299999999,1
2012,06,44000,03747,1,0.0417,158277,0.0417,0.9607913299999999,1
2012,06,44000,03748,0.6295,0.0295,111902,0.018570249999999996,0.9607913299999999,1
2012,06,44000,03750,1,0.0456,172913,0.0456,0.9607913299999999,1
2012,06,44000,03751,1,0.039,148133,0.039,0.9607913299999999,1
2012,06,44000,03758,0.0709,0.0029,10921,2.0561e-4,0.9607913299999999,1
2012,06,44000,03767,0.9885,0.0462,175263,0.0456687,0.9607913299999999,1
2012,06,45484,07703,0.3427,0.9973,67009,0.34177471,0.34177768,3
2012,06,45484,07704,0.0011,0.0027,181,2.9700000000000004e-6,0.34177768,3
2012,06,46842,06504,0.0163,0.0266,2062,4.335799999999999e-4,0.40339594,2
2012,06,46842,06505,0.4213,0.9561,74115,0.40280493,0.40339594,2
2012,06,46842,06506,0.0091,0.0173,1342,1.5743000000000002e-4,0.40339594,2
2012,06,46898,04701,2e-4,2e-4,17,4e-8,0.5220956,2
2012,06,46898,04702,0.5222,0.9998,78941,0.52209556,0.5220956,2
2012,06,47766,08502,2e-4,4e-4,27,8e-8,0.5167829599999999,2
2012,06,47766,08503,3e-4,6e-4,41,1.7999999999999997e-7,0.5167829599999999,2
2012,06,47766,08504,0.5173,0.999,66722,0.5167826999999999,0.5167829599999999,2
2012,06,48256,05902,0.8463,0.9357,89630,0.79188291,0.79237575,1
2012,06,48256,05905,0.0106,0.0219,2098,2.3213999999999998e-4,0.79237575,1
2012,06,48256,05915,0.0158,0.0165,1577,2.6070000000000005e-4,0.79237575,1
2012,06,48354,09901,7e-4,4e-4,80,2.8e-7,0.8966977099999999,1
2012,06,48354,09902,0.8229,0.4799,97469,0.39490970999999997,0.8966977099999999,1
2012,06,48354,09903,0.0028,0.0024,485,6.719999999999999e-6,0.8966977099999999,1
2012,06,48354,09904,0.97,0.5173,105078,0.5017809999999999,0.8966977099999999,1
2012,06,49270,06508,0.9939,0.8819,181234,0.87652041,0.88138201,1
2012,06,49270,06510,0.0824,0.059,12131,0.0048616,0.88138201,1
2012,06,49670,08501,0.3792,1,74066,0.3792,0.3792,2
2012,06,50076,06503,0.0832,0.102,10610,0.0084864,0.66173923,2
2012,06,50076,06504,0.7321,0.8923,92856,0.65325283,0.66173923,2
2012,06,50258,05500,0.5633,1,76876,0.5633,0.5633,2
2012,06,51182,05903,0.3602,0.8405,71599,0.3027481,0.31491102000000004,3
2012,06,51182,05904,1e-4,4e-4,30,4e-8,0.31491102000000004,3
2012,06,51182,05918,0.0764,0.1592,13558,0.01216288,0.31491102000000004,3
2012,06,52526,03755,0.8708,1,105549,0.8708,0.8708,1
2012,06,53000,00101,0.0012,1e-4,155,1.2e-7,0.28973333,3
2012,06,53000,00102,0.9362,0.1165,148011,0.1090673,0.28973333,3
2012,06,53000,00103,0.9148,0.0902,114554,0.08251496,0.28973333,3
2012,06,53000,00104,0.9999,0.0981,124599,0.09809019000000001,0.28973333,3
2012,06,53000,00105,0.0217,0.0028,3552,6.076e-5,0.28973333,3
2012,06,53322,07301,0.782,0.8923,149084,0.6977786,0.7070678100000001,2
2012,06,53322,07303,0.0601,0.0385,6434,0.00231385,0.7070678100000001,2
2012,06,53322,07304,0.1008,0.0692,11568,0.00697536,0.7070678100000001,2
2012,06,53896,07112,1e-4,1e-4,17,1e-8,0.9576979000000001,1
2012,06,53896,07113,0.9687,0.9885,162034,0.95755995,0.9576979000000001,1
2012,06,53896,07114,0.0121,0.0114,1873,1.3794e-4,0.9576979000000001,1
2012,06,53980,05905,0.0256,0.0369,5047,9.446400000000001e-4,0.70824749,2
2012,06,53980,05910,0.0815,0.1137,15529,0.00926655,0.70824749,2
2012,06,53980,05911,0.8315,0.8394,114687,0.6979611,0.70824749,2
2012,06,53980,05913,0.008,0.0094,1278,7.52e-5,0.70824749,2
2012,06,54652,11103,0.8729,0.8618,170551,0.7522652200000001,0.76581034,1
2012,06,54652,11104,0.0905,0.0546,10808,0.0049413,0.76581034,1
2012,06,54652,11105,0.0174,0.0105,2080,1.827e-4,0.76581034,1
2012,06,54652,11106,0.1152,0.0731,14460,0.008421119999999999,0.76581034,1
2012,06,55156,03701,0.0157,0.0143,2188,2.2450999999999998e-4,0.90371713,1
2012,06,55156,03704,0.9166,0.9857,150562,0.90349262,0.90371713,1
2012,06,56000,03709,0.0431,0.0101,4755,4.3530999999999995e-4,0.27682199,3
2012,06,56000,03717,1e-4,0,18,0,0.27682199,3
2012,06,56000,03718,0.9794,0.2822,132349,0.27638668,0.27682199,3
2012,06,56700,06505,0.0183,0.042,3220,7.686e-4,0.47101004999999996,2
2012,06,56700,06509,0.5529,0.8505,65166,0.47024144999999995,0.47101004999999996,2
2012,06,57456,01307,0.5251,0.996,63264,0.5229996,0.5229996,2
2012,06,57792,00110,0.3479,0.9914,70317,0.34490805999999996,0.34490805999999996,3
2012,06,58072,03711,0.0079,0.0087,1295,6.873e-5,0.9824268300000001,1
2012,06,58072,03712,0.9986,0.9837,146689,0.98232282,0.9824268300000001,1
2012,06,58072,03713,0.0049,0.0036,536,1.764e-5,0.9824268300000001,1
2012,06,58072,03714,0.0049,0.0036,538,1.764e-5,0.9824268300000001,1
2012,06,59444,06702,0.5845,1,64805,0.5845,0.5845,2
2012,06,59451,07104,0.001,7e-4,115,7e-7,0.99920077,1
2012,06,59451,07111,0.9999,0.9993,165154,0.99920007,0.99920077,1
2012,06,59920,08900,0.5071,0.7196,89861,0.36490916,0.36490916,2
2012,06,60102,08105,0.5451,0.903,69362,0.49222530000000003,0.49858850000000005,2
2012,06,60102,08106,0.0656,0.097,7453,0.006363200000000001,0.49858850000000005,2
2012,06,60466,07104,0.0211,0.0235,2330,4.9585e-4,0.71225827,2
2012,06,60466,07106,0.0186,0.0192,1905,3.5711999999999994e-4,0.71225827,2
2012,06,60466,07108,0.0023,0.0039,390,8.969999999999999e-6,0.71225827,2
2012,06,60466,07109,0.8036,0.8788,87153,0.70620368,0.71225827,2
2012,06,60466,07110,0.0697,0.0745,7393,0.00519265,0.71225827,2
2012,06,60620,01301,0.6627,0.7319,76063,0.48503012999999995,0.54380577,2
2012,06,60620,01302,0.2268,0.2589,26909,0.05871852,0.54380577,2
2012,06,60620,01303,0.0068,0.0084,875,5.7119999999999995e-5,0.54380577,2
2012,06,62000,06510,0.8701,0.3037,128048,0.26424937000000004,0.6544068700000001,2
2012,06,62000,06511,0.9955,0.3885,163816,0.38675175,0.6544068700000001,2
2012,06,62000,06512,0.1195,0.0285,12007,0.00340575,0.6544068700000001,2
2012,06,62938,06101,0.9371,0.9793,116331,0.91770203,0.9181574299999999,1
2012,06,62938,06103,0.022,0.0207,2460,4.5539999999999996e-4,0.9181574299999999,1
2012,06,64000,06703,5e-4,1e-4,58,5.0000000000000004e-8,0.69825211,2
2012,06,64000,06704,3e-4,1e-4,38,3e-8,0.69825211,2
2012,06,64000,06705,0.9931,0.1831,103525,0.18183661,0.69825211,2
2012,06,64000,06706,0.4381,0.0904,51092,0.03960424,0.69825211,2
2012,06,64000,06707,0.9254,0.1861,105212,0.17221693999999999,0.69825211,2
2012,06,64000,06708,0.5082,0.1196,67622,0.060780719999999996,0.69825211,2
2012,06,64000,06709,1,0.2438,137826,0.2438,0.69825211,2
2012,06,64000,06710,0.0071,0.0019,1082,1.3490000000000001e-5,0.69825211,2
2012,06,64000,06711,3e-4,1e-4,33,3e-8,0.69825211,2
2012,06,64224,05302,0.9222,0.9928,150498,0.9155601600000001,0.9155601600000001,1
2012,06,65000,07104,0.1033,0.0051,11393,5.2683e-4,0.06994354,3
2012,06,65000,07106,0.0347,0.0016,3563,5.5520000000000004e-5,0.06994354,3
2012,06,65000,07107,0.3856,0.0183,40988,0.00705648,0.06994354,3
2012,06,65000,07108,0.9069,0.0687,153610,0.06230403,0.06994354,3
2012,06,65000,07109,0.0034,2e-4,371,6.8e-7,0.06994354,3
2012,06,65042,11104,0.8978,0.9998,107174,0.8976204400000001,0.89762048,1
2012,06,65042,11105,2e-4,2e-4,19,4e-8,0.89762048,1
2012,06,66000,07306,0.0013,1e-4,180,1.3e-7,0.82167133,1
2012,06,66000,07307,1e-4,0,15,0,0.82167133,1
