year,statefip,place,state_name,place_name,population,puma,pop10,afact,afact2,products,sum_products,place_pop,puma_flag,size_flag,geographic_allocation_quality
2021,37,74440,North Carolina,Wilmington city,117792,04600,95,9e-4,9e-4,8.1e-7,0.7009693699999999,106518,2,0,2
2021,37,74440,North Carolina,Wilmington city,117792,04700,106423,0.7016,0.9991,0.70096856,0.7009693699999999,106518,2,0,2
2021,37,75000,North Carolina,Winston-Salem city,250922,01801,100593,0.9568,0.1089,0.10419552,0.22405951999999998,229617,3,0,3
2021,37,75000,North Carolina,Winston-Salem city,250922,01802,113976,0.9556,0.1234,0.11792103999999999,0.22405951999999998,229617,3,0,3
2021,37,75000,North Carolina,Winston-Salem city,250922,01803,15048,0.1192,0.0163,0.0019429599999999999,0.22405951999999998,229617,3,0,3
2021,38,25700,North Dakota,Fargo city,129510,00500,105549,0.7047,1,0.7047,0.7047,105549,2,0,2
2021,39,01000,Ohio,Akron city,188550,01801,1293,0.0114,0.0021,2.3939999999999998e-5,0.2991707,199110,3,0,3
2021,39,01000,Ohio,Akron city,188550,01802,150,0.0014,2e-4,2.8e-7,0.2991707,199110,3,0,3
2021,39,01000,Ohio,Akron city,188550,01803,101080,0.9583,0.1658,0.15888614,0.2991707,199110,3,0,3
2021,39,01000,Ohio,Akron city,188550,01804,96471,0.8866,0.1582,0.14026012000000002,0.2991707,199110,3,0,3
2021,39,01000,Ohio,Akron city,188550,01805,116,0.0011,2e-4,2.2e-7,0.2991707,199110,3,0,3
2021,39,15000,Ohio,Cincinnati city,308685,05501,207,0.0019,5e-4,9.5e-7,0.69342711,296943,2,0,2
2021,39,15000,Ohio,Cincinnati city,308685,05502,2139,0.0145,0.0056,8.120000000000001e-5,0.69342711,296943,2,0,2
2021,39,15000,Ohio,Cincinnati city,308685,05503,105918,0.9732,0.2795,0.2720094,0.69342711,296943,2,0,2
2021,39,15000,Ohio,Cincinnati city,308685,05504,113548,0.9369,0.2996,0.28069523999999996,0.69342711,296943,2,0,2
2021,39,15000,Ohio,Cincinnati city,308685,05505,74562,0.7146,0.1968,0.14063328,0.69342711,296943,2,0,2
2021,39,15000,Ohio,Cincinnati city,308685,05506,45,4e-4,1e-4,4e-8,0.69342711,296943,2,0,2
2021,39,15000,Ohio,Cincinnati city,308685,05507,524,0.005,0.0014,7e-6,0.69342711,296943,2,0,2
2021,39,16000,Ohio,Cleveland city,365389,00905,101673,0.9982,0.0787,0.07855834,0.30613504,396815,3,0,3
2021,39,16000,Ohio,Cleveland city,365389,00906,124761,1,0.0966,0.0966,0.30613504,396815,3,0,3
2021,39,16000,Ohio,Cleveland city,365389,00908,170381,0.993,0.1319,0.1309767,0.30613504,396815,3,0,3
2021,39,18000,Ohio,Columbus city,903051,03900,9666,0.0661,0.0122,8.064200000000001e-4,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04000,7241,0.0416,0.0092,3.8271999999999997e-4,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04101,47182,0.4658,0.0597,0.02780826,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04102,51283,0.5113,0.0649,0.03318337,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04103,49727,0.4893,0.0629,0.03077697,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04104,51076,0.5085,0.0646,0.0328491,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04105,108085,0.9938,0.1368,0.13595184000000002,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04106,119179,0.9432,0.1508,0.14223455999999998,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04107,76712,0.7497,0.0971,0.07279587000000001,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04108,70694,0.6328,0.0894,0.056572319999999995,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04109,37937,0.373,0.048,0.017904,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04110,95733,0.8929,0.1211,0.10813019,0.70819074,787143,2,0,2
2021,39,18000,Ohio,Columbus city,903051,04111,62628,0.6161,0.0792,0.048795120000000004,0.70819074,787143,2,0,2
2021,39,21000,Ohio,Dayton city,136837,04601,49,5e-4,1e-4,5.0000000000000004e-8,0.18738321,141527,3,0,3
2021,39,21000,Ohio,Dayton city,136837,04602,5855,0.0454,0.0103,4.6762e-4,0.18738321,141527,3,0,3
2021,39,21000,Ohio,Dayton city,136837,04603,135623,0.7847,0.2382,0.18691554,0.18738321,141527,3,0,3
2021,39,61000,Ohio,Parma city,80154,00904,81601,0.6513,0.1959,0.12758967,0.12758967,81601,3,1,3
2021,39,77000,Ohio,Toledo city,268744,00300,5141,0.0337,0.0054,1.8198000000000002e-4,0.28640118,287206,3,0,3
2021,39,77000,Ohio,Toledo city,268744,00400,129240,0.968,0.1359,0.13155119999999998,0.28640118,287206,3,0,3
2021,39,77000,Ohio,Toledo city,268744,00500,146764,1,0.1543,0.1543,0.28640118,287206,3,0,3
2021,39,77000,Ohio,Toledo city,268744,00600,6061,0.0575,0.0064,3.6800000000000005e-4,0.28640118,287206,3,0,3
2021,40,09050,Oklahoma,Broken Arrow city,116356,01202,80625,0.4184,0.7921,0.33141464,0.36027121,98838,2,1,3
2021,40,09050,Oklahoma,Broken Arrow city,116356,01301,18213,0.1613,0.1789,0.02885657,0.36027121,98838,2,1,3
2021,40,23200,Oklahoma,Edmond city,95356,01003,81405,0.6196,0.7571,0.46909916,0.46909916,81405,2,1,3
2021,40,41850,Oklahoma,Lawton city,91242,00601,96867,0.9114,1,0.9114,0.9114,96867,1,1,3
2021,40,52500,Oklahoma,Norman city,129070,00900,110925,0.4337,0.9041,0.39210817,0.39210817,110925,2,0,2
2021,40,55000,Oklahoma,Oklahoma City city,688361,00800,44541,0.3855,0.016,0.006168,0.15065537,579999,3,0,3
2021,40,55000,Oklahoma,Oklahoma City city,688361,00900,63723,0.2492,0.0229,0.0057066800000000004,0.15065537,579999,3,0,3
2021,40,55000,Oklahoma,Oklahoma City city,688361,01001,100918,0.9663,0.0363,0.03507669,0.15065537,579999,3,0,3
2021,40,55000,Oklahoma,Oklahoma City city,688361,01002,116558,0.7953,0.0419,0.03332307,0.15065537,579999,3,0,3
2021,40,55000,Oklahoma,Oklahoma City city,688361,01003,42677,0.3248,0.0154,0.00500192,0.15065537,579999,3,0,3
2021,40,55000,Oklahoma,Oklahoma City city,688361,01004,10476,0.0929,0.0038,3.5302e-4,0.15065537,579999,3,0,3
2021,40,55000,Oklahoma,Oklahoma City city,688361,01005,105906,0.9045,0.0381,0.03446145,0.15065537,579999,3,0,3
2021,40,55000,Oklahoma,Oklahoma City city,688361,01006,95136,0.8937,0.0342,0.03056454,0.15065537,579999,3,0,3
2021,40,55000,Oklahoma,Oklahoma City city,688361,01102,64,5e-4,0,0,0.15065537,579999,3,0,3
2021,40,75000,Oklahoma,Tulsa city,412770,01201,197395,1,0.2137,0.2137,0.31258917,391900,3,0,3
2021,40,75000,Oklahoma,Tulsa city,412770,01202,95554,0.4958,0.1034,0.05126572000000001,0.31258917,391900,3,0,3
2021,40,75000,Oklahoma,Tulsa city,412770,01203,65501,0.5673,0.0709,0.040221570000000005,0.31258917,391900,3,0,3
2021,40,75000,Oklahoma,Tulsa city,412770,01204,33293,0.2056,0.036,0.0074015999999999995,0.31258917,391900,3,0,3
2021,40,75000,Oklahoma,Tulsa city,412770,01301,157,0.0014,2e-4,2.8e-7,0.31258917,391900,3,0,3
2021,41,05350,Oregon,Beaverton city,98466,01321,20,2e-4,2e-4,4e-8,0.39758064,89918,2,1,3
2021,41,05350,Oregon,Beaverton city,98466,01323,37363,0.347,0.3762,0.13054139999999997,0.39758064,89918,2,1,3
2021,41,05350,Oregon,Beaverton city,98466,01324,52535,0.5048,0.529,0.26703920000000003,0.39758064,89918,2,1,3
2021,41,05800,Oregon,Bend city,102428,00400,76639,0.4859,0.9615,0.46719285,0.46719285,76639,2,1,3
2021,41,23850,Oregon,Eugene city,177953,00703,119936,0.8442,0.7654,0.64615068,0.7240672,156187,2,0,2
