GeographicArea,population2020,cityname,statename,state_abbr,fips,city
"Birmingham city, Alabama",200763,Birmingham city,Alabama,AL,1,Birmingham
"Huntsville city, Alabama",214372,Huntsville city,Alabama,AL,1,Huntsville
"Hoover city, Alabama",92651,Hoover city,Alabama,AL,1,Hoover
"Mobile city, Alabama",186833,Mobile city,Alabama,AL,1,Mobile
"Tuscaloosa city, Alabama",99706,Tuscaloosa city,Alabama,AL,1,Tuscaloosa
"Montgomery city, Alabama",200567,Montgomery city,Alabama,AL,1,Montgomery
"Auburn city, Alabama",76000,Auburn city,Alabama,AL,1,Auburn
"Anchorage municipality, Alaska",291247,Anchorage municipality,Alaska,AK,2,Anchorage municipality
"Goodyear city, Arizona",95003,Goodyear city,Arizona,AZ,4,Goodyear
"Surprise city, Arizona",143261,Surprise city,Arizona,AZ,4,Surprise
"Scottsdale city, Arizona",241488,Scottsdale city,Arizona,AZ,4,Scottsdale
"Buckeye city, Arizona",91154,Buckeye city,Arizona,AZ,4,Buckeye
"Tempe city, Arizona",179765,Tempe city,Arizona,AZ,4,Tempe
"Chandler city, Arizona",276330,Chandler city,Arizona,AZ,4,Chandler
"Yuma city, Arizona",95814,Yuma city,Arizona,AZ,4,Yuma
"Flagstaff city, Arizona",76781,Flagstaff city,Arizona,AZ,4,Flagstaff
"Peoria city, Arizona",191052,Peoria city,Arizona,AZ,4,Peoria
"Mesa city, Arizona",504500,Mesa city,Arizona,AZ,4,Mesa
"Tucson city, Arizona",541349,Tucson city,Arizona,AZ,4,Tucson
"Gilbert town, Arizona",268302,Gilbert town,Arizona,AZ,4,Gilbert town
"Glendale city, Arizona",248345,Glendale city,Arizona,AZ,4,Glendale
"Avondale city, Arizona",89490,Avondale city,Arizona,AZ,4,Avondale
"Phoenix city, Arizona",1607739,Phoenix city,Arizona,AZ,4,Phoenix
"Fort Smith city, Arkansas",89177,Fort Smith city,Arkansas,AR,5,Fort Smith
"Fayetteville city, Arkansas",93582,Fayetteville city,Arkansas,AR,5,Fayetteville
"Jonesboro city, Arkansas",78524,Jonesboro city,Arkansas,AR,5,Jonesboro
"Springdale city, Arkansas",87441,Springdale city,Arkansas,AR,5,Springdale
"Little Rock city, Arkansas",202514,Little Rock city,Arkansas,AR,5,Little Rock
"Whittier city, California",87383,Whittier city,California,CA,6,Whittier
"Compton city, California",95959,Compton city,California,CA,6,Compton
"Pleasanton city, California",80421,Pleasanton city,California,CA,6,Pleasanton
"Palmdale city, California",169913,Palmdale city,California,CA,6,Palmdale
"Alameda city, California",78611,Alameda city,California,CA,6,Alameda
"El Cajon city, California",106286,El Cajon city,California,CA,6,El Cajon
"Vacaville city, California",102675,Vacaville city,California,CA,6,Vacaville
"Tracy city, California",93356,Tracy city,California,CA,6,Tracy
"Apple Valley town, California",75913,Apple Valley town,California,CA,6,Apple Valley town
"San Jose city, California",1014545,San Jose city,California,CA,6,San Jose
"San Bernardino city, California",221898,San Bernardino city,California,CA,6,San Bernardino
"Santa Ana city, California",310538,Santa Ana city,California,CA,6,Santa Ana
"Fresno city, California",542161,Fresno city,California,CA,6,Fresno
"Pomona city, California",151554,Pomona city,California,CA,6,Pomona
"Vallejo city, California",126035,Vallejo city,California,CA,6,Vallejo
"Upland city, California",79110,Upland city,California,CA,6,Upland
"Chula Vista city, California",276025,Chula Vista city,California,CA,6,Chula Vista
"Folsom city, California",79036,Folsom city,California,CA,6,Folsom
"Mission Viejo city, California",93759,Mission Viejo city,California,CA,6,Mission Viejo
"Santa Monica city, California",93028,Santa Monica city,California,CA,6,Santa Monica
"Simi Valley city, California",126487,Simi Valley city,California,CA,6,Simi Valley
"Oceanside city, California",174352,Oceanside city,California,CA,6,Oceanside
"Santa Barbara city, California",88730,Santa Barbara city,California,CA,6,Santa Barbara
"Sacramento city, California",522754,Sacramento city,California,CA,6,Sacramento
"San Leandro city, California",91675,San Leandro city,California,CA,6,San Leandro
"Westminster city, California",91089,Westminster city,California,CA,6,Westminster
"Salinas city, California",163687,Salinas city,California,CA,6,Salinas
"San Diego city, California",1385922,San Diego city,California,CA,6,San Diego
"Modesto city, California",218471,Modesto city,California,CA,6,Modesto
"West Covina city, California",109772,West Covina city,California,CA,6,West Covina
"Escondido city, California",151271,Escondido city,California,CA,6,Escondido
"Rialto city, California",104216,Rialto city,California,CA,6,Rialto
"Corona city, California",157265,Corona city,California,CA,6,Corona
"Livermore city, California",88614,Livermore city,California,CA,6,Livermore
"Costa Mesa city, California",111915,Costa Mesa city,California,CA,6,Costa Mesa
"Elk Grove city, California",177145,Elk Grove city,California,CA,6,Elk Grove
"Hayward city, California",163635,Hayward city,California,CA,6,Hayward
"Santa Clarita city, California",229213,Santa Clarita city,California,CA,6,Santa Clarita
"Long Beach city, California",466302,Long Beach city,California,CA,6,Long Beach
"Lake Forest city, California",86070,Lake Forest city,California,CA,6,Lake Forest
"Napa city, California",79276,Napa city,California,CA,6,Napa
"Chico city, California",102849,Chico city,California,CA,6,Chico
"El Monte city, California",109554,El Monte city,California,CA,6,El Monte
"Menifee city, California",102654,Menifee city,California,CA,6,Menifee
"Chino city, California",90989,Chino city,California,CA,6,Chino
"Sunnyvale city, California",156291,Sunnyvale city,California,CA,6,Sunnyvale
"Daly City city, California",104940,Daly City city,California,CA,6,Daly City
"Moreno Valley city, California",208865,Moreno Valley city,California,CA,6,Moreno Valley
"Newport Beach city, California",85411,Newport Beach city,California,CA,6,Newport Beach
"Berkeley city, California",119693,Berkeley city,California,CA,6,Berkeley
"Bellflower city, California",79298,Bellflower city,California,CA,6,Bellflower
"Santa Rosa city, California",178155,Santa Rosa city,California,CA,6,Santa Rosa
"San Marcos city, California",94914,San Marcos city,California,CA,6,San Marcos
"Rancho Cucamonga city, California",174628,Rancho Cucamonga city,California,CA,6,Rancho Cucamonga
"Richmond city, California",116287,Richmond city,California,CA,6,Richmond
"Murrieta city, California",111050,Murrieta city,California,CA,6,Murrieta
"Citrus Heights city, California",88018,Citrus Heights city,California,CA,6,Citrus Heights
"Indio city, California",89127,Indio city,California,CA,6,Indio
"Redwood City city, California",84234,Redwood City city,California,CA,6,Redwood City
"Lakewood city, California",82727,Lakewood city,California,CA,6,Lakewood
"Hawthorne city, California",88255,Hawthorne city,California,CA,6,Hawthorne
"Mountain View city, California",82592,Mountain View city,California,CA,6,Mountain View
"Glendale city, California",196841,Glendale city,California,CA,6,Glendale
"Rancho Cordova city, California",79666,Rancho Cordova city,California,CA,6,Rancho Cordova
"Hemet city, California",89855,Hemet city,California,CA,6,Hemet
"Pasadena city, California",138679,Pasadena city,California,CA,6,Pasadena
"Chino Hills city, California",78573,Chino Hills city,California,CA,6,Chino Hills
"Manteca city, California",83678,Manteca city,California,CA,6,Manteca
"Downey city, California",114558,Downey city,California,CA,6,Downey
"South Gate city, California",92971,South Gate city,California,CA,6,South Gate
"Carson city, California",95367,Carson city,California,CA,6,Carson
"Inglewood city, California",107961,Inglewood city,California,CA,6,Inglewood
"Bakersfield city, California",402907,Bakersfield city,California,CA,6,Bakersfield
"Oakland city, California",439349,Oakland city,California,CA,6,Oakland
"Irvine city, California",305313,Irvine city,California,CA,6,Irvine
"Hesperia city, California",100038,Hesperia city,California,CA,6,Hesperia
"Santa Clara city, California",127452,Santa Clara city,California,CA,6,Santa Clara
"Clovis city, California",120254,Clovis city,California,CA,6,Clovis
"Norwalk city, California",102910,Norwalk city,California,CA,6,Norwalk
"Roseville city, California",147817,Roseville city,California,CA,6,Roseville
"Buena Park city, California",84173,Buena Park city,California,CA,6,Buena Park
"Garden Grove city, California",172144,Garden Grove city,California,CA,6,Garden Grove
"Concord city, California",125389,Concord city,California,CA,6,Concord
"Antioch city, California",115360,Antioch city,California,CA,6,Antioch
"Anaheim city, California",347015,Anaheim city,California,CA,6,Anaheim
"Oxnard city, California",202185,Oxnard city,California,CA,6,Oxnard
"Carlsbad city, California",114972,Carlsbad city,California,CA,6,Carlsbad
"San Mateo city, California",105674,San Mateo city,California,CA,6,San Mateo
"Stockton city, California",320759,Stockton city,California,CA,6,Stockton
"Jurupa Valley city, California",105107,Jurupa Valley city,California,CA,6,Jurupa Valley
"Fontana city, California",208766,Fontana city,California,CA,6,Fontana
"Alhambra city, California",83001,Alhambra city,California,CA,6,Alhambra
"Ontario city, California",175518,Ontario city,California,CA,6,Ontario
"Perris city, California",78786,Perris city,California,CA,6,Perris
"Burbank city, California",107563,Burbank city,California,CA,6,Burbank
"Merced city, California",86141,Merced city,California,CA,6,Merced
"San Francisco city, California",873965,San Francisco city,California,CA,6,San Francisco
"Riverside city, California",314347,Riverside city,California,CA,6,Riverside
"Redding city, California",93559,Redding city,California,CA,6,Redding
"Tustin city, California",80142,Tustin city,California,CA,6,Tustin
"Santa Maria city, California",109903,Santa Maria city,California,CA,6,Santa Maria
"Temecula city, California",110130,Temecula city,California,CA,6,Temecula
"San Buenaventura (Ventura) city, California",110600,San Buenaventura (Ventura) city,California,CA,6,San Buenaventura (Ventura)
"Milpitas city, California",80275,Milpitas city,California,CA,6,Milpitas
"Thousand Oaks city, California",126926,Thousand Oaks city,California,CA,6,Thousand Oaks
"Vista city, California",98484,Vista city,California,CA,6,Vista
"Pittsburg city, California",76439,Pittsburg city,California,CA,6,Pittsburg
"Huntington Beach city, California",199140,Huntington Beach city,California,CA,6,Huntington Beach
"Victorville city, California",134550,Victorville city,California,CA,6,Victorville
"Torrance city, California",147323,Torrance city,California,CA,6,Torrance
"Los Angeles city, California",3893986,Los Angeles city,California,CA,6,Los Angeles
"Fullerton city, California",143367,Fullerton city,California,CA,6,Fullerton
