"ctregion","state","place","stab","PlaceName","ctregname","pop20","afact2","afact"
"Connecticut planning region","State code","Place code","State abbr.","Place name","Connecticut planning region name","Total population (2020 Census)","place-to-ctregion allocation factor","ctregion-to-place allocation factor"
"09110","09","06050","CT","Blue Hills CDP, CT","Capitol Planning Region",2762,1,0.0028 
"09110","09","08770","CT","Broad Brook CDP, CT","Capitol Planning Region",3998,1,0.0041 
"09110","09","12370","CT","Canton Valley CDP, CT","Capitol Planning Region",1623,1,0.0017 
"09110","09","16120","CT","Collinsville CDP, CT","Capitol Planning Region",3721,1,0.0038 
"09110","09","17835","CT","Coventry Lake CDP, CT","Capitol Planning Region",2823,1,0.0029 
"09110","09","18220","CT","Crystal Lake CDP, CT","Capitol Planning Region",2152,1,0.0022 
"09110","09","22700","CT","East Hartford CDP, CT","Capitol Planning Region",51045,1,0.0523 
"09110","09","31270","CT","Glastonbury Center CDP, CT","Capitol Planning Region",8459,1,0.0087 
"09110","09","37000","CT","Hartford city, CT","Capitol Planning Region",121054,1,0.124 
"09110","09","37770","CT","Hazardville CDP, CT","Capitol Planning Region",6870,1,0.007 
"09110","09","40150","CT","Kensington CDP, CT","Capitol Planning Region",9962,1,0.0102 
"09110","09","44690","CT","Manchester CDP, CT","Capitol Planning Region",36379,1,0.0373 
"09110","09","45120","CT","Mansfield Center CDP, CT","Capitol Planning Region",1021,1,0.001 
"09110","09","50370","CT","New Britain city, CT","Capitol Planning Region",74135,1,0.0759 
"09110","09","52210","CT","Newington CDP, CT","Capitol Planning Region",30536,1,0.0313 
"09110","09","54660","CT","North Granby CDP, CT","Capitol Planning Region",1835,1,0.0019 
"09110","09","60260","CT","Plantsville CDP, CT","Capitol Planning Region",2016,1,0.0021 
"09110","09","65230","CT","Rockville CDP, CT","Capitol Planning Region",7920,1,0.0081 
"09110","09","66455","CT","Salmon Brook CDP, CT","Capitol Planning Region",2428,1,0.0025 
"09110","09","68450","CT","Sherwood Manor CDP, CT","Capitol Planning Region",5372,1,0.0055 
"09110","09","69010","CT","Simsbury Center CDP, CT","Capitol Planning Region",6268,1,0.0064 
"09110","09","69150","CT","Somers CDP, CT","Capitol Planning Region",1990,1,0.002 
"09110","09","69990","CT","South Coventry CDP, CT","Capitol Planning Region",1612,1,0.0017 
"09110","09","71460","CT","Southwood Acres CDP, CT","Capitol Planning Region",7879,1,0.0081 
"09110","09","72300","CT","Stafford Springs CDP, CT","Capitol Planning Region",4780,1,0.0049 
"09110","09","73980","CT","Storrs CDP, CT","Capitol Planning Region",15979,1,0.0164 
"09110","09","74655","CT","Suffield Depot CDP, CT","Capitol Planning Region",1440,1,0.0015 
"09110","09","75100","CT","Tariffville CDP, CT","Capitol Planning Region",1324,1,0.0014 
"09110","09","75200","CT","Terramuggus CDP, CT","Capitol Planning Region",990,1,0.001 
"09110","09","75940","CT","Thompsonville CDP, CT","Capitol Planning Region",8514,1,0.0087 
"09110","09","80770","CT","Weatogue CDP, CT","Capitol Planning Region",2906,1,0.003 
"09110","09","82660","CT","West Hartford CDP, CT","Capitol Planning Region",64083,1,0.0656 
"09110","09","83990","CT","West Simsbury CDP, CT","Capitol Planning Region",2521,1,0.0026 
"09110","09","84970","CT","Wethersfield CDP, CT","Capitol Planning Region",27298,1,0.028 
"09110","09","87140","CT","Windsor Locks CDP, CT","Capitol Planning Region",12613,1,0.0129 
"09110","09","99999","CT","[not in a place]","Capitol Planning Region",439940,0.3232,0.4506 
"09120","09","08000","CT","Bridgeport city, CT","Greater Bridgeport Planning Region",148654,1,0.4563 
"09120","09","18675","CT","Daniels Farm CDP, CT","Greater Bridgeport Planning Region",6150,1,0.0189 
"09120","09","24520","CT","East Village CDP, CT","Greater Bridgeport Planning Region",4057,1,0.0125 
"09120","09","26698","CT","Fairfield University CDP, CT","Greater Bridgeport Planning Region",2884,1,0.0089 
"09120","09","43580","CT","Long Hill CDP, CT","Greater Bridgeport Planning Region",8039,1,0.0247 
"09120","09","44000","CT","Lordship CDP, CT","Greater Bridgeport Planning Region",2954,1,0.0091 
"09120","09","47990","CT","Mill Plain CDP, CT","Greater Bridgeport Planning Region",1654,1,0.0051 
"09120","09","49720","CT","Murray CDP, CT","Greater Bridgeport Planning Region",848,1,0.0026 
"09120","09","57880","CT","Oronoque CDP, CT","Greater Bridgeport Planning Region",3790,1,0.0116 
"09120","09","60365","CT","Plattsville CDP, CT","Greater Bridgeport Planning Region",1131,1,0.0035 
"09120","09","66086","CT","Sacred Heart University CDP, CT","Greater Bridgeport Planning Region",1446,1,0.0044 
"09120","09","71040","CT","Southport CDP, CT","Greater Bridgeport Planning Region",1797,1,0.0055 
"09120","09","73280","CT","Stepney CDP, CT","Greater Bridgeport Planning Region",4280,1,0.0131 
"09120","09","74303","CT","Stratford Downtown CDP, CT","Greater Bridgeport Planning Region",1473,1,0.0045 
"09120","09","75116","CT","Tashua CDP, CT","Greater Bridgeport Planning Region",3857,1,0.0118 
"09120","09","77278","CT","Trumbull Center CDP, CT","Greater Bridgeport Planning Region",9746,1,0.0299 
"09120","09","99999","CT","[not in a place]","Greater Bridgeport Planning Region",123018,0.0904,0.3776 
"09130","09","14370","CT","Chester Center CDP, CT","Lower Connecticut River Valley Planning Region",1720,1,0.0099 
"09130","09","15420","CT","Clinton CDP, CT","Lower Connecticut River Valley Planning Region",3441,1,0.0198 
"09130","09","19200","CT","Deep River Center CDP, CT","Lower Connecticut River Valley Planning Region",2765,1,0.0159 
"09130","09","20740","CT","Durham CDP, CT","Lower Connecticut River Valley Planning Region",3771,1,0.0216 
"09130","09","22420","CT","East Hampton CDP, CT","Lower Connecticut River Valley Planning Region",2960,1,0.017 
"09130","09","26370","CT","Essex Village CDP, CT","Lower Connecticut River Valley Planning Region",2583,1,0.0148 
"09130","09","27810","CT","Fenwick borough, CT","Lower Connecticut River Valley Planning Region",53,1,0.0003 
"09130","09","38050","CT","Higganum CDP, CT","Lower Connecticut River Valley Planning Region",2089,1,0.012 
"09130","09","41410","CT","Lake Pocotopaug CDP, CT","Lower Connecticut River Valley Planning Region",4901,1,0.0281 
"09130","09","47290","CT","Middletown city, CT","Lower Connecticut River Valley Planning Region",47717,1,0.2739 
"09130","09","49110","CT","Moodus CDP, CT","Lower Connecticut River Valley Planning Region",1982,1,0.0114 
"09130","09","57390","CT","Old Saybrook Center CDP, CT","Lower Connecticut River Valley Planning Region",2278,1,0.0131 
"09130","09","61870","CT","Portland CDP, CT","Lower Connecticut River Valley Planning Region",5813,1,0.0334 
"09130","09","67050","CT","Saybrook Manor CDP, CT","Lower Connecticut River Valley Planning Region",1172,1,0.0067 
"09130","09","81750","CT","Westbrook Center CDP, CT","Lower Connecticut River Valley Planning Region",2220,1,0.0127 
"09130","09","99999","CT","[not in a place]","Lower Connecticut River Valley Planning Region",88760,0.0652,0.5095 
"09140","09","01150","CT","Ansonia city, CT","Naugatuck Valley Planning Region",18918,1,0.042 
"09140","09","04945","CT","Bethlehem Village CDP, CT","Naugatuck Valley Planning Region",1970,1,0.0044 
"09140","09","08420","CT","Bristol city, CT","Naugatuck Valley Planning Region",60833,1,0.135 
"09140","09","14200","CT","Cheshire Village CDP, CT","Naugatuck Valley Planning Region",6499,1,0.0144 
"09140","09","19480","CT","Derby city, CT","Naugatuck Valley Planning Region",12325,1,0.0273 
"09140","09","37930","CT","Heritage Village CDP, CT","Naugatuck Valley Planning Region",5091,1,0.0113 
"09140","09","49880","CT","Naugatuck borough, CT","Naugatuck Valley Planning Region",31519,1,0.0699 
"09140","09","56690","CT","Oakville CDP, CT","Naugatuck Valley Planning Region",9504,1,0.0211 
"09140","09","68100","CT","Shelton city, CT","Naugatuck Valley Planning Region",40869,1,0.0907 
"09140","09","75240","CT","Terryville CDP, CT","Naugatuck Valley Planning Region",5202,1,0.0115 
