year,state,county,state_name,county_name,population
2014,05,063,Arkansas,Independence County,NA
2014,05,065,Arkansas,Izard County,NA
2014,05,067,Arkansas,Jackson County,NA
2014,05,069,Arkansas,Jefferson County,NA
2014,05,071,Arkansas,Johnson County,NA
2014,05,073,Arkansas,Lafayette County,NA
2014,05,075,Arkansas,Lawrence County,NA
2014,05,077,Arkansas,Lee County,NA
2014,05,079,Arkansas,Lincoln County,NA
2014,05,081,Arkansas,Little River County,NA
2014,05,083,Arkansas,Logan County,NA
2014,05,085,Arkansas,Lonoke County,NA
2014,05,087,Arkansas,Madison County,NA
2014,05,089,Arkansas,Marion County,NA
2014,05,091,Arkansas,Miller County,NA
2014,05,093,Arkansas,Mississippi County,NA
2014,05,095,Arkansas,Monroe County,NA
2014,05,097,Arkansas,Montgomery County,NA
2014,05,099,Arkansas,Nevada County,NA
2014,05,101,Arkansas,Newton County,NA
2014,05,103,Arkansas,Ouachita County,NA
2014,05,105,Arkansas,Perry County,NA
2014,05,107,Arkansas,Phillips County,NA
2014,05,109,Arkansas,Pike County,NA
2014,05,111,Arkansas,Poinsett County,NA
2014,05,113,Arkansas,Polk County,NA
2014,05,115,Arkansas,Pope County,NA
2014,05,117,Arkansas,Prairie County,NA
2014,05,119,Arkansas,Pulaski County,NA
2014,05,121,Arkansas,Randolph County,NA
2014,05,123,Arkansas,St. Francis County,NA
2014,05,125,Arkansas,Saline County,NA
2014,05,127,Arkansas,Scott County,NA
2014,05,129,Arkansas,Searcy County,NA
2014,05,131,Arkansas,Sebastian County,NA
2014,05,133,Arkansas,Sevier County,NA
2014,05,135,Arkansas,Sharp County,NA
2014,05,137,Arkansas,Stone County,NA
2014,05,139,Arkansas,Union County,NA
2014,05,141,Arkansas,Van Buren County,NA
2014,05,143,Arkansas,Washington County,NA
2014,05,145,Arkansas,White County,NA
2014,05,147,Arkansas,Woodruff County,NA
2014,05,149,Arkansas,Yell County,NA
2014,06,001,California,Alameda County,NA
2014,06,003,California,Alpine County,NA
2014,06,005,California,Amador County,NA
2014,06,007,California,Butte County,NA
2014,06,009,California,Calaveras County,NA
2014,06,011,California,Colusa County,NA
2014,06,013,California,Contra Costa County,NA
2014,06,015,California,Del Norte County,NA
2014,06,017,California,El Dorado County,NA
2014,06,019,California,Fresno County,NA
2014,06,021,California,Glenn County,NA
2014,06,023,California,Humboldt County,NA
2014,06,025,California,Imperial County,NA
2014,06,027,California,Inyo County,NA
2014,06,029,California,Kern County,NA
2014,06,031,California,Kings County,NA
2014,06,033,California,Lake County,NA
2014,06,035,California,Lassen County,NA
2014,06,037,California,Los Angeles County,NA
2014,06,039,California,Madera County,NA
2014,06,041,California,Marin County,NA
2014,06,043,California,Mariposa County,NA
2014,06,045,California,Mendocino County,NA
2014,06,047,California,Merced County,NA
2014,06,049,California,Modoc County,NA
2014,06,051,California,Mono County,NA
2014,06,053,California,Monterey County,NA
2014,06,055,California,Napa County,NA
2014,06,057,California,Nevada County,NA
2014,06,059,California,Orange County,NA
2014,06,061,California,Placer County,NA
2014,06,063,California,Plumas County,NA
2014,06,065,California,Riverside County,NA
2014,06,067,California,Sacramento County,NA
2014,06,069,California,San Benito County,NA
2014,06,071,California,San Bernardino County,NA
2014,06,073,California,San Diego County,NA
2014,06,075,California,San Francisco County,NA
2014,06,077,California,San Joaquin County,NA
2014,06,079,California,San Luis Obispo County,NA
2014,06,081,California,San Mateo County,NA
2014,06,083,California,Santa Barbara County,NA
2014,06,085,California,Santa Clara County,NA
2014,06,087,California,Santa Cruz County,NA
2014,06,089,California,Shasta County,NA
2014,06,091,California,Sierra County,NA
2014,06,093,California,Siskiyou County,NA
2014,06,095,California,Solano County,NA
2014,06,097,California,Sonoma County,NA
2014,06,099,California,Stanislaus County,NA
2014,06,101,California,Sutter County,NA
2014,06,103,California,Tehama County,NA
2014,06,105,California,Trinity County,NA
2014,06,107,California,Tulare County,NA
2014,06,109,California,Tuolumne County,NA
2014,06,111,California,Ventura County,NA
2014,06,113,California,Yolo County,NA
2014,06,115,California,Yuba County,NA
2014,08,001,Colorado,Adams County,NA
2014,08,003,Colorado,Alamosa County,NA
2014,08,005,Colorado,Arapahoe County,NA
2014,08,007,Colorado,Archuleta County,NA
2014,08,009,Colorado,Baca County,NA
2014,08,011,Colorado,Bent County,NA
2014,08,013,Colorado,Boulder County,NA
2014,08,014,Colorado,Broomfield County,NA
2014,08,015,Colorado,Chaffee County,NA
2014,08,017,Colorado,Cheyenne County,NA
2014,08,019,Colorado,Clear Creek County,NA
2014,08,021,Colorado,Conejos County,NA
2014,08,023,Colorado,Costilla County,NA
2014,08,025,Colorado,Crowley County,NA
2014,08,027,Colorado,Custer County,NA
2014,08,029,Colorado,Delta County,NA
2014,08,031,Colorado,Denver County,NA
2014,08,033,Colorado,Dolores County,NA
2014,08,035,Colorado,Douglas County,NA
2014,08,037,Colorado,Eagle County,NA
2014,08,039,Colorado,Elbert County,NA
2014,08,041,Colorado,El Paso County,NA
2014,08,043,Colorado,Fremont County,NA
2014,08,045,Colorado,Garfield County,NA
2014,08,047,Colorado,Gilpin County,NA
2014,08,049,Colorado,Grand County,NA
2014,08,051,Colorado,Gunnison County,NA
2014,08,053,Colorado,Hinsdale County,NA
2014,08,055,Colorado,Huerfano County,NA
2014,08,057,Colorado,Jackson County,NA
2014,08,059,Colorado,Jefferson County,NA
2014,08,061,Colorado,Kiowa County,NA
2014,08,063,Colorado,Kit Carson County,NA
2014,08,065,Colorado,Lake County,NA
2014,08,067,Colorado,La Plata County,NA
2014,08,069,Colorado,Larimer County,NA
2014,08,071,Colorado,Las Animas County,NA
2014,08,073,Colorado,Lincoln County,NA
2014,08,075,Colorado,Logan County,NA
2014,08,077,Colorado,Mesa County,NA
2014,08,079,Colorado,Mineral County,NA
2014,08,081,Colorado,Moffat County,NA
2014,08,083,Colorado,Montezuma County,NA
2014,08,085,Colorado,Montrose County,NA
2014,08,087,Colorado,Morgan County,NA
2014,08,089,Colorado,Otero County,NA
2014,08,091,Colorado,Ouray County,NA
2014,08,093,Colorado,Park County,NA
2014,08,095,Colorado,Phillips County,NA
2014,08,097,Colorado,Pitkin County,NA
2014,08,099,Colorado,Prowers County,NA
2014,08,101,Colorado,Pueblo County,NA
2014,08,103,Colorado,Rio Blanco County,NA
2014,08,105,Colorado,Rio Grande County,NA
2014,08,107,Colorado,Routt County,NA
2014,08,109,Colorado,Saguache County,NA
2014,08,111,Colorado,San Juan County,NA
2014,08,113,Colorado,San Miguel County,NA
2014,08,115,Colorado,Sedgwick County,NA
2014,08,117,Colorado,Summit County,NA
2014,08,119,Colorado,Teller County,NA
2014,08,121,Colorado,Washington County,NA
2014,08,123,Colorado,Weld County,NA
2014,08,125,Colorado,Yuma County,NA
2014,09,001,Connecticut,Fairfield County,NA
2014,09,003,Connecticut,Hartford County,NA
2014,09,005,Connecticut,Litchfield County,NA
2014,09,007,Connecticut,Middlesex County,NA
2014,09,009,Connecticut,New Haven County,NA
2014,09,011,Connecticut,New London County,NA
2014,09,013,Connecticut,Tolland County,NA
2014,09,015,Connecticut,Windham County,NA
2014,10,001,Delaware,Kent County,NA
2014,10,003,Delaware,New Castle County,NA
2014,10,005,Delaware,Sussex County,NA
2014,11,001,District of Columbia,District of Columbia,NA
2014,12,001,Florida,Alachua County,NA
2014,12,003,Florida,Baker County,NA
2014,12,005,Florida,Bay County,NA
2014,12,007,Florida,Bradford County,NA
2014,12,009,Florida,Brevard County,NA
2014,12,011,Florida,Broward County,NA
2014,12,013,Florida,Calhoun County,NA
2014,12,015,Florida,Charlotte County,NA
2014,12,017,Florida,Citrus County,NA
2014,12,019,Florida,Clay County,NA
2014,12,021,Florida,Collier County,NA
2014,12,023,Florida,Columbia County,NA
2014,12,027,Florida,DeSoto County,NA
2014,12,029,Florida,Dixie County,NA
2014,12,031,Florida,Duval County,NA
2014,12,033,Florida,Escambia County,NA
2014,12,035,Florida,Flagler County,NA
2014,12,037,Florida,Franklin County,NA
2014,12,039,Florida,Gadsden County,NA
2014,12,041,Florida,Gilchrist County,NA
2014,12,043,Florida,Glades County,NA
2014,12,045,Florida,Gulf County,NA
2014,12,047,Florida,Hamilton County,NA
2014,12,049,Florida,Hardee County,NA
2014,12,051,Florida,Hendry County,NA
2014,12,053,Florida,Hernando County,NA
2014,12,055,Florida,Highlands County,NA
2014,12,057,Florida,Hillsborough County,NA
2014,12,059,Florida,Holmes County,NA
2014,12,061,Florida,Indian River County,NA
2014,12,063,Florida,Jackson County,NA
2014,12,065,Florida,Jefferson County,NA
2014,12,067,Florida,Lafayette County,NA
2014,12,069,Florida,Lake County,NA
2014,12,071,Florida,Lee County,NA
2014,12,073,Florida,Leon County,NA
2014,12,075,Florida,Levy County,NA
2014,12,077,Florida,Liberty County,NA
2014,12,079,Florida,Madison County,NA
2014,12,081,Florida,Manatee County,NA
2014,12,083,Florida,Marion County,NA
2014,12,085,Florida,Martin County,NA
2014,12,086,Florida,Miami-Dade County,NA
2014,12,087,Florida,Monroe County,NA
2014,12,089,Florida,Nassau County,NA
2014,12,091,Florida,Okaloosa County,NA
2014,12,093,Florida,Okeechobee County,NA
2014,12,095,Florida,Orange County,NA
2014,12,097,Florida,Osceola County,NA
2014,12,099,Florida,Palm Beach County,NA
2014,12,101,Florida,Pasco County,NA
2014,12,103,Florida,Pinellas County,NA
2014,12,105,Florida,Polk County,NA
2014,12,107,Florida,Putnam County,NA
2014,12,109,Florida,St. Johns County,NA
2014,12,111,Florida,St. Lucie County,NA
2014,12,113,Florida,Santa Rosa County,NA
2014,12,115,Florida,Sarasota County,NA
2014,12,117,Florida,Seminole County,NA
2014,12,119,Florida,Sumter County,NA
2014,12,121,Florida,Suwannee County,NA
2014,12,123,Florida,Taylor County,NA
2014,12,125,Florida,Union County,NA
2014,12,127,Florida,Volusia County,NA
2014,12,129,Florida,Wakulla County,NA
2014,12,131,Florida,Walton County,NA
2014,12,133,Florida,Washington County,NA
2014,13,001,Georgia,Appling County,NA
2014,13,003,Georgia,Atkinson County,NA
2014,13,005,Georgia,Bacon County,NA
2014,13,007,Georgia,Baker County,NA
2014,13,009,Georgia,Baldwin County,NA
2014,13,011,Georgia,Banks County,NA
2014,13,013,Georgia,Barrow County,NA
2014,13,015,Georgia,Bartow County,NA
2014,13,017,Georgia,Ben Hill County,NA
2014,13,019,Georgia,Berrien County,NA
2014,13,021,Georgia,Bibb County,NA
2014,13,023,Georgia,Bleckley County,NA
2014,13,025,Georgia,Brantley County,NA
2014,13,027,Georgia,Brooks County,NA
2014,13,029,Georgia,Bryan County,NA
2014,13,031,Georgia,Bulloch County,NA
2014,13,033,Georgia,Burke County,NA
2014,13,035,Georgia,Butts County,NA
2014,13,037,Georgia,Calhoun County,NA
2014,13,039,Georgia,Camden County,NA
2014,13,043,Georgia,Candler County,NA
2014,13,045,Georgia,Carroll County,NA
2014,13,047,Georgia,Catoosa County,NA
2014,13,049,Georgia,Charlton County,NA
2014,13,051,Georgia,Chatham County,NA
2014,13,053,Georgia,Chattahoochee County,NA
2014,13,055,Georgia,Chattooga County,NA
2014,13,057,Georgia,Cherokee County,NA
2014,13,059,Georgia,Clarke County,NA
2014,13,061,Georgia,Clay County,NA
2014,13,063,Georgia,Clayton County,NA
2014,13,065,Georgia,Clinch County,NA
2014,13,067,Georgia,Cobb County,NA
2014,13,069,Georgia,Coffee County,NA
2014,13,071,Georgia,Colquitt County,NA
2014,13,073,Georgia,Columbia County,NA
2014,13,075,Georgia,Cook County,NA
2014,13,077,Georgia,Coweta County,NA
2014,13,079,Georgia,Crawford County,NA
2014,13,081,Georgia,Crisp County,NA
2014,13,083,Georgia,Dade County,NA
2014,13,085,Georgia,Dawson County,NA
2014,13,087,Georgia,Decatur County,NA
2014,13,089,Georgia,DeKalb County,NA
2014,13,091,Georgia,Dodge County,NA
2014,13,093,Georgia,Dooly County,NA
2014,13,095,Georgia,Dougherty County,NA
2014,13,097,Georgia,Douglas County,NA
2014,13,099,Georgia,Early County,NA
2014,13,101,Georgia,Echols County,NA
2014,13,103,Georgia,Effingham County,NA
2014,13,105,Georgia,Elbert County,NA
2014,13,107,Georgia,Emanuel County,NA
2014,13,109,Georgia,Evans County,NA
2014,13,111,Georgia,Fannin County,NA
2014,13,113,Georgia,Fayette County,NA
2014,13,115,Georgia,Floyd County,NA
2014,13,117,Georgia,Forsyth County,NA
2014,13,119,Georgia,Franklin County,NA
2014,13,121,Georgia,Fulton County,NA
2014,13,123,Georgia,Gilmer County,NA
2014,13,125,Georgia,Glascock County,NA
2014,13,127,Georgia,Glynn County,NA
2014,13,129,Georgia,Gordon County,NA
2014,13,131,Georgia,Grady County,NA
2014,13,133,Georgia,Greene County,NA
2014,13,135,Georgia,Gwinnett County,NA
2014,13,137,Georgia,Habersham County,NA
2014,13,139,Georgia,Hall County,NA
2014,13,141,Georgia,Hancock County,NA
2014,13,143,Georgia,Haralson County,NA
2014,13,145,Georgia,Harris County,NA
2014,13,147,Georgia,Hart County,NA
2014,13,149,Georgia,Heard County,NA
2014,13,151,Georgia,Henry County,NA
2014,13,153,Georgia,Houston County,NA
2014,13,155,Georgia,Irwin County,NA
2014,13,157,Georgia,Jackson County,NA
2014,13,159,Georgia,Jasper County,NA
2014,13,161,Georgia,Jeff Davis County,NA
2014,13,163,Georgia,Jefferson County,NA
2014,13,165,Georgia,Jenkins County,NA
2014,13,167,Georgia,Johnson County,NA
2014,13,169,Georgia,Jones County,NA
2014,13,171,Georgia,Lamar County,NA
2014,13,173,Georgia,Lanier County,NA
2014,13,175,Georgia,Laurens County,NA
2014,13,177,Georgia,Lee County,NA
2014,13,179,Georgia,Liberty County,NA
2014,13,181,Georgia,Lincoln County,NA
2014,13,183,Georgia,Long County,NA
2014,13,185,Georgia,Lowndes County,NA
2014,13,187,Georgia,Lumpkin County,NA
2014,13,189,Georgia,McDuffie County,NA
2014,13,191,Georgia,McIntosh County,NA
2014,13,193,Georgia,Macon County,NA
2014,13,195,Georgia,Madison County,NA
2014,13,197,Georgia,Marion County,NA
2014,13,199,Georgia,Meriwether County,NA
2014,13,201,Georgia,Miller County,NA
2014,13,205,Georgia,Mitchell County,NA
2014,13,207,Georgia,Monroe County,NA
2014,13,209,Georgia,Montgomery County,NA
2014,13,211,Georgia,Morgan County,NA
2014,13,213,Georgia,Murray County,NA
2014,13,215,Georgia,Muscogee County,NA
2014,13,217,Georgia,Newton County,NA
2014,13,219,Georgia,Oconee County,NA
2014,13,221,Georgia,Oglethorpe County,NA
2014,13,223,Georgia,Paulding County,NA
2014,13,225,Georgia,Peach County,NA
2014,13,227,Georgia,Pickens County,NA
2014,13,229,Georgia,Pierce County,NA
2014,13,231,Georgia,Pike County,NA
2014,13,233,Georgia,Polk County,NA
2014,13,235,Georgia,Pulaski County,NA
2014,13,237,Georgia,Putnam County,NA
2014,13,239,Georgia,Quitman County,NA
2014,13,241,Georgia,Rabun County,NA
2014,13,243,Georgia,Randolph County,NA
2014,13,245,Georgia,Richmond County,NA
2014,13,247,Georgia,Rockdale County,NA
2014,13,249,Georgia,Schley County,NA
2014,13,251,Georgia,Screven County,NA
2014,13,253,Georgia,Seminole County,NA
2014,13,255,Georgia,Spalding County,NA
2014,13,257,Georgia,Stephens County,NA
2014,13,259,Georgia,Stewart County,NA
2014,13,261,Georgia,Sumter County,NA
2014,13,263,Georgia,Talbot County,NA
2014,13,265,Georgia,Taliaferro County,NA
2014,13,267,Georgia,Tattnall County,NA
2014,13,269,Georgia,Taylor County,NA
2014,13,271,Georgia,Telfair County,NA
2014,13,273,Georgia,Terrell County,NA
2014,13,275,Georgia,Thomas County,NA
2014,13,277,Georgia,Tift County,NA
2014,13,279,Georgia,Toombs County,NA
2014,13,281,Georgia,Towns County,NA
2014,13,283,Georgia,Treutlen County,NA
2014,13,285,Georgia,Troup County,NA
2014,13,287,Georgia,Turner County,NA
2014,13,289,Georgia,Twiggs County,NA
2014,13,291,Georgia,Union County,NA
2014,13,293,Georgia,Upson County,NA
2014,13,295,Georgia,Walker County,NA
2014,13,297,Georgia,Walton County,NA
2014,13,299,Georgia,Ware County,NA
2014,13,301,Georgia,Warren County,NA
2014,13,303,Georgia,Washington County,NA
2014,13,305,Georgia,Wayne County,NA
2014,13,307,Georgia,Webster County,NA
2014,13,309,Georgia,Wheeler County,NA
2014,13,311,Georgia,White County,NA
2014,13,313,Georgia,Whitfield County,NA
2014,13,315,Georgia,Wilcox County,NA
2014,13,317,Georgia,Wilkes County,NA
2014,13,319,Georgia,Wilkinson County,NA
2014,13,321,Georgia,Worth County,NA
2014,15,001,Hawaii,Hawaii County,NA
2014,15,003,Hawaii,Honolulu County,NA
2014,15,005,Hawaii,Kalawao County,NA
2014,15,007,Hawaii,Kauai County,NA
2014,15,009,Hawaii,Maui County,NA
2014,16,001,Idaho,Ada County,NA
2014,16,003,Idaho,Adams County,NA
2014,16,005,Idaho,Bannock County,NA
2014,16,007,Idaho,Bear Lake County,NA
2014,16,009,Idaho,Benewah County,NA
2014,16,011,Idaho,Bingham County,NA
2014,16,013,Idaho,Blaine County,NA
2014,16,015,Idaho,Boise County,NA
2014,16,017,Idaho,Bonner County,NA
2014,16,019,Idaho,Bonneville County,NA
2014,16,021,Idaho,Boundary County,NA
2014,16,023,Idaho,Butte County,NA
2014,16,025,Idaho,Camas County,NA
2014,16,027,Idaho,Canyon County,NA
2014,16,029,Idaho,Caribou County,NA
2014,16,031,Idaho,Cassia County,NA
2014,16,033,Idaho,Clark County,NA
2014,16,035,Idaho,Clearwater County,NA
2014,16,037,Idaho,Custer County,NA
2014,16,039,Idaho,Elmore County,NA
2014,16,041,Idaho,Franklin County,NA
2014,16,043,Idaho,Fremont County,NA
2014,16,045,Idaho,Gem County,NA
2014,16,047,Idaho,Gooding County,NA
2014,16,049,Idaho,Idaho County,NA
2014,16,051,Idaho,Jefferson County,NA
2014,16,053,Idaho,Jerome County,NA
2014,16,055,Idaho,Kootenai County,NA
2014,16,057,Idaho,Latah County,NA
2014,16,059,Idaho,Lemhi County,NA
2014,16,061,Idaho,Lewis County,NA
2014,16,063,Idaho,Lincoln County,NA
2014,16,065,Idaho,Madison County,NA
2014,16,067,Idaho,Minidoka County,NA
2014,16,069,Idaho,Nez Perce County,NA
2014,16,071,Idaho,Oneida County,NA
2014,16,073,Idaho,Owyhee County,NA
2014,16,075,Idaho,Payette County,NA
2014,16,077,Idaho,Power County,NA
2014,16,079,Idaho,Shoshone County,NA
2014,16,081,Idaho,Teton County,NA
2014,16,083,Idaho,Twin Falls County,NA
2014,16,085,Idaho,Valley County,NA
2014,16,087,Idaho,Washington County,NA
2014,17,001,Illinois,Adams County,NA
2014,17,003,Illinois,Alexander County,NA
2014,17,005,Illinois,Bond County,NA
2014,17,007,Illinois,Boone County,NA
2014,17,009,Illinois,Brown County,NA
2014,17,011,Illinois,Bureau County,NA
2014,17,013,Illinois,Calhoun County,NA
2014,17,015,Illinois,Carroll County,NA
2014,17,017,Illinois,Cass County,NA
2014,17,019,Illinois,Champaign County,NA
2014,17,021,Illinois,Christian County,NA
2014,17,023,Illinois,Clark County,NA
2014,17,025,Illinois,Clay County,NA
2014,17,027,Illinois,Clinton County,NA
2014,17,029,Illinois,Coles County,NA
2014,17,031,Illinois,Cook County,NA
2014,17,033,Illinois,Crawford County,NA
2014,17,035,Illinois,Cumberland County,NA
2014,17,037,Illinois,DeKalb County,NA
2014,17,039,Illinois,De Witt County,NA
2014,17,041,Illinois,Douglas County,NA
2014,17,043,Illinois,DuPage County,NA
2014,17,045,Illinois,Edgar County,NA
2014,17,047,Illinois,Edwards County,NA
2014,17,049,Illinois,Effingham County,NA
2014,17,051,Illinois,Fayette County,NA
2014,17,053,Illinois,Ford County,NA
2014,17,055,Illinois,Franklin County,NA
2014,17,057,Illinois,Fulton County,NA
2014,17,059,Illinois,Gallatin County,NA
2014,17,061,Illinois,Greene County,NA
2014,17,063,Illinois,Grundy County,NA
2014,17,065,Illinois,Hamilton County,NA
2014,17,067,Illinois,Hancock County,NA
2014,17,069,Illinois,Hardin County,NA
2014,17,071,Illinois,Henderson County,NA
2014,17,073,Illinois,Henry County,NA
2014,17,075,Illinois,Iroquois County,NA
2014,17,077,Illinois,Jackson County,NA
2014,17,079,Illinois,Jasper County,NA
2014,17,081,Illinois,Jefferson County,NA
2014,17,083,Illinois,Jersey County,NA
2014,17,085,Illinois,Jo Daviess County,NA
2014,17,087,Illinois,Johnson County,NA
2014,17,089,Illinois,Kane County,NA
2014,17,091,Illinois,Kankakee County,NA
2014,17,093,Illinois,Kendall County,NA
2014,17,095,Illinois,Knox County,NA
2014,17,097,Illinois,Lake County,NA
2014,17,099,Illinois,LaSalle County,NA
2014,17,101,Illinois,Lawrence County,NA
2014,17,103,Illinois,Lee County,NA
2014,17,105,Illinois,Livingston County,NA
2014,17,107,Illinois,Logan County,NA
2014,17,109,Illinois,McDonough County,NA
2014,17,111,Illinois,McHenry County,NA
2014,17,113,Illinois,McLean County,NA
2014,17,115,Illinois,Macon County,NA
2014,17,117,Illinois,Macoupin County,NA
2014,17,119,Illinois,Madison County,NA
2014,17,121,Illinois,Marion County,NA
2014,17,123,Illinois,Marshall County,NA
2014,17,125,Illinois,Mason County,NA
2014,17,127,Illinois,Massac County,NA
2014,17,129,Illinois,Menard County,NA
2014,17,131,Illinois,Mercer County,NA
2014,17,133,Illinois,Monroe County,NA
2014,17,135,Illinois,Montgomery County,NA
