"CTcounty","county","CountyName","CTCountyName","pop20","afact2","afact"
"County code","Connecticut planning region","County name","CT county name pre-2023","Total population (2020 Census)","county-to-CTcounty allocation factor","CTcounty-to-county allocation factor"
"09001","09120","Greater Bridgeport Planning Region, CT","Fairfield CT",325778,1,0.3403 
"09001","09140","Naugatuck Valley Planning Region, CT","Fairfield CT",40869,0.0904,0.0427 
"09001","09190","Western Connecticut Planning Region, CT","Fairfield CT",590772,0.952,0.617 
"09003","09110","Capitol Planning Region, CT","Hartford CT",827357,0.8474,0.9197 
"09003","09140","Naugatuck Valley Planning Region, CT","Hartford CT",60833,0.1345,0.0676 
"09003","09160","Northwest Hills Planning Region, CT","Hartford CT",11420,0.1015,0.0127 
"09005","09140","Naugatuck Valley Planning Region, CT","Litchfield CT",54326,0.1201,0.2934 
"09005","09160","Northwest Hills Planning Region, CT","Litchfield CT",101083,0.8985,0.5458 
"09005","09190","Western Connecticut Planning Region, CT","Litchfield CT",29777,0.048,0.1608 
"09007","09130","Lower Connecticut River Valley Planning Region, CT","Middlesex CT",164245,0.9427,1 
"09009","09140","Naugatuck Valley Planning Region, CT","New Haven CT",296226,0.655,0.3411 
"09009","09170","South Central Connecticut Planning Region, CT","New Haven CT",572265,1,0.6589 
"09011","09130","Lower Connecticut River Valley Planning Region, CT","New London CT",9980,0.0573,0.0371 
"09011","09150","Northeastern Connecticut Planning Region, CT","New London CT",2570,0.027,0.0096 
"09011","09180","Southeastern Connecticut Planning Region, CT","New London CT",256521,0.9131,0.9534 
"09013","09110","Capitol Planning Region, CT","Tolland CT",149037,0.1526,0.9948 
"09013","09150","Northeastern Connecticut Planning Region, CT","Tolland CT",785,0.0082,0.0052 
"09015","09150","Northeastern Connecticut Planning Region, CT","Windham CT",91993,0.9648,0.7902 
"09015","09180","Southeastern Connecticut Planning Region, CT","Windham CT",24425,0.0869,0.2098 
