year,state,county
2014,01,001
2014,01,003
2014,01,005
2014,01,007
2014,01,009
2014,01,011
2014,01,013
2014,01,015
2014,01,017
2014,01,019
2014,01,021
2014,01,023
2014,01,025
2014,01,027
2014,01,029
2014,01,031
2014,01,033
2014,01,035
2014,01,037
2014,01,039
2014,01,041
2014,01,043
2014,01,045
2014,01,047
2014,01,049
2014,01,051
2014,01,053
2014,01,055
2014,01,057
2014,01,059
2014,01,061
2014,01,063
2014,01,065
2014,01,067
2014,01,069
2014,01,071
2014,01,073
2014,01,075
2014,01,077
2014,01,079
2014,01,081
2014,01,083
2014,01,085
2014,01,087
2014,01,089
2014,01,091
2014,01,093
2014,01,095
2014,01,097
2014,01,099
2014,01,101
2014,01,103
2014,01,105
2014,01,107
2014,01,109
2014,01,111
2014,01,113
2014,01,115
2014,01,117
2014,01,119
2014,01,121
2014,01,123
2014,01,125
2014,01,127
2014,01,129
2014,01,131
2014,01,133
2014,02,013
2014,02,016
2014,02,020
2014,02,050
2014,02,060
2014,02,068
2014,02,070
2014,02,090
2014,02,100
2014,02,105
2014,02,110
2014,02,122
2014,02,130
2014,02,150
2014,02,158
2014,02,164
2014,02,170
2014,02,180
2014,02,185
2014,02,188
2014,02,195
2014,02,198
2014,02,220
2014,02,230
2014,02,240
2014,02,261
2014,02,275
2014,02,282
2014,02,290
2014,04,001
2014,04,003
2014,04,005
2014,04,007
2014,04,009
2014,04,011
2014,04,012
2014,04,013
2014,04,015
2014,04,017
2014,04,019
2014,04,021
2014,04,023
2014,04,025
2014,04,027
2014,05,001
2014,05,003
2014,05,005
2014,05,007
2014,05,009
2014,05,011
2014,05,013
2014,05,015
2014,05,017
2014,05,019
2014,05,021
2014,05,023
2014,05,025
2014,05,027
2014,05,029
2014,05,031
2014,05,033
2014,05,035
2014,05,037
2014,05,039
2014,05,041
2014,05,043
2014,05,045
2014,05,047
2014,05,049
2014,05,051
2014,05,053
2014,05,055
2014,05,057
2014,05,059
2014,05,061
2014,05,063
2014,05,065
2014,05,067
2014,05,069
2014,05,071
2014,05,073
2014,05,075
2014,05,077
2014,05,079
2014,05,081
2014,05,083
2014,05,085
2014,05,087
2014,05,089
2014,05,091
2014,05,093
2014,05,095
2014,05,097
2014,05,099
2014,05,101
2014,05,103
2014,05,105
2014,05,107
2014,05,109
2014,05,111
2014,05,113
2014,05,115
2014,05,117
2014,05,119
2014,05,121
2014,05,123
2014,05,125
2014,05,127
2014,05,129
2014,05,131
2014,05,133
2014,05,135
2014,05,137
2014,05,139
2014,05,141
2014,05,143
2014,05,145
2014,05,147
2014,05,149
2014,06,001
2014,06,003
2014,06,005
2014,06,007
2014,06,009
2014,06,011
2014,06,013
2014,06,015
2014,06,017
2014,06,019
2014,06,021
2014,06,023
2014,06,025
2014,06,027
2014,06,029
2014,06,031
2014,06,033
2014,06,035
2014,06,037
2014,06,039
2014,06,041
2014,06,043
2014,06,045
2014,06,047
2014,06,049
2014,06,051
2014,06,053
2014,06,055
2014,06,057
2014,06,059
2014,06,061
2014,06,063
2014,06,065
2014,06,067
2014,06,069
2014,06,071
2014,06,073
2014,06,075
2014,06,077
2014,06,079
2014,06,081
2014,06,083
2014,06,085
2014,06,087
2014,06,089
2014,06,091
2014,06,093
2014,06,095
2014,06,097
2014,06,099
2014,06,101
2014,06,103
2014,06,105
2014,06,107
2014,06,109
2014,06,111
2014,06,113
2014,06,115
2014,08,001
2014,08,003
2014,08,005
2014,08,007
2014,08,009
2014,08,011
2014,08,013
2014,08,014
2014,08,015
2014,08,017
2014,08,019
2014,08,021
2014,08,023
2014,08,025
2014,08,027
2014,08,029
2014,08,031
2014,08,033
2014,08,035
2014,08,037
2014,08,039
2014,08,041
2014,08,043
2014,08,045
2014,08,047
2014,08,049
2014,08,051
2014,08,053
2014,08,055
2014,08,057
2014,08,059
2014,08,061
2014,08,063
2014,08,065
2014,08,067
2014,08,069
2014,08,071
2014,08,073
2014,08,075
2014,08,077
2014,08,079
2014,08,081
2014,08,083
2014,08,085
2014,08,087
2014,08,089
2014,08,091
2014,08,093
2014,08,095
2014,08,097
2014,08,099
2014,08,101
2014,08,103
2014,08,105
2014,08,107
2014,08,109
2014,08,111
2014,08,113
2014,08,115
2014,08,117
2014,08,119
2014,08,121
2014,08,123
2014,08,125
2014,09,001
2014,09,003
2014,09,005
2014,09,007
2014,09,009
2014,09,011
2014,09,013
2014,09,015
2014,10,001
2014,10,003
2014,10,005
2014,11,001
2014,12,001
2014,12,003
2014,12,005
2014,12,007
2014,12,009
2014,12,011
2014,12,013
2014,12,015
2014,12,017
2014,12,019
2014,12,021
2014,12,023
2014,12,027
2014,12,029
2014,12,031
2014,12,033
2014,12,035
2014,12,037
2014,12,039
2014,12,041
2014,12,043
2014,12,045
2014,12,047
2014,12,049
2014,12,051
2014,12,053
2014,12,055
2014,12,057
2014,12,059
2014,12,061
2014,12,063
2014,12,065
2014,12,067
2014,12,069
2014,12,071
2014,12,073
2014,12,075
2014,12,077
2014,12,079
2014,12,081
2014,12,083
2014,12,085
2014,12,086
2014,12,087
2014,12,089
2014,12,091
2014,12,093
2014,12,095
2014,12,097
2014,12,099
2014,12,101
2014,12,103
2014,12,105
2014,12,107
2014,12,109
2014,12,111
2014,12,113
2014,12,115
2014,12,117
2014,12,119
2014,12,121
2014,12,123
2014,12,125
2014,12,127
2014,12,129
2014,12,131
2014,12,133
2014,13,001
2014,13,003
2014,13,005
2014,13,007
2014,13,009
2014,13,011
2014,13,013
2014,13,015
2014,13,017
2014,13,019
2014,13,021
2014,13,023
2014,13,025
2014,13,027
2014,13,029
2014,13,031
2014,13,033
2014,13,035
2014,13,037
2014,13,039
2014,13,043
2014,13,045
2014,13,047
2014,13,049
2014,13,051
2014,13,053
2014,13,055
2014,13,057
2014,13,059
2014,13,061
2014,13,063
2014,13,065
2014,13,067
2014,13,069
2014,13,071
2014,13,073
2014,13,075
2014,13,077
2014,13,079
2014,13,081
2014,13,083
2014,13,085
2014,13,087
2014,13,089
2014,13,091
2014,13,093
2014,13,095
2014,13,097
2014,13,099
2014,13,101
2014,13,103
2014,13,105
2014,13,107
2014,13,109
2014,13,111
2014,13,113
2014,13,115
2014,13,117
2014,13,119
2014,13,121
2014,13,123
2014,13,125
2014,13,127
2014,13,129
2014,13,131
2014,13,133
2014,13,135
2014,13,137
2014,13,139
2014,13,141
2014,13,143
2014,13,145
2014,13,147
2014,13,149
2014,13,151
2014,13,153
2014,13,155
2014,13,157
2014,13,159
2014,13,161
2014,13,163
2014,13,165
2014,13,167
2014,13,169
2014,13,171
2014,13,173
2014,13,175
2014,13,177
2014,13,179
2014,13,181
2014,13,183
2014,13,185
2014,13,187
2014,13,189
2014,13,191
2014,13,193
2014,13,195
2014,13,197
2014,13,199
2014,13,201
2014,13,205
2014,13,207
2014,13,209
2014,13,211
2014,13,213
2014,13,215
2014,13,217
2014,13,219
2014,13,221
2014,13,223
2014,13,225
2014,13,227
2014,13,229
2014,13,231
2014,13,233
2014,13,235
2014,13,237
2014,13,239
2014,13,241
2014,13,243
2014,13,245
2014,13,247
2014,13,249
2014,13,251
2014,13,253
2014,13,255
2014,13,257
2014,13,259
2014,13,261
2014,13,263
2014,13,265
2014,13,267
2014,13,269
2014,13,271
2014,13,273
2014,13,275
2014,13,277
2014,13,279
2014,13,281
2014,13,283
2014,13,285
2014,13,287
