crosswalk_period,statefip,county,puma,afact,afact2,population,products,sum_products,geographic_allocation_quality
2012,02,066,00300,0.015757983193277314,1,2591.1932773109247,0.015757983193277314,0.015757983193277314,3
2012,02,068,00300,0.0111,1,1826,0.0111,0.0111,3
2012,02,070,00400,0.0442,1,4847,0.0442,0.0442,3
2012,02,090,00300,0.5939,1,97581,0.5939,0.5939,2
2012,02,100,00300,0.0153,1,2508,0.0153,0.0153,3
2012,02,105,00400,0.0196,1,2150,0.0196,0.0196,3
2012,02,110,00300,0.1904,1,31275,0.1904,0.1904,3
2012,02,122,00200,0.3837,1,55400,0.3837,0.3837,2
2012,02,130,00300,0.082,1,13477,0.082,0.082,3
2012,02,150,00400,0.1239,1,13592,0.1239,0.1239,3
2012,02,158,00400,0.068,1,7459,0.068,0.068,3
2012,02,164,00400,0.0149,1,1631,0.0149,0.0149,3
2012,02,170,00200,0.6163,1,88995,0.6163,0.6163,2
2012,02,180,00400,0.0865,1,9492,0.0865,0.0865,3
2012,02,185,00400,0.086,1,9430,0.086,0.086,3
2012,02,188,00400,0.0686,1,7523,0.0686,0.0686,3
2012,02,195,00400,0.0348,1,3815,0.0348,0.0348,3
2012,02,198,00400,0.0507,1,5559,0.0507,0.0507,3
2012,02,220,00400,0.0809,1,8881,0.0809,0.0809,3
2012,02,230,00300,0.0059,1,968,0.0059,0.0059,3
2012,02,240,00300,0.0428,1,7029,0.0428,0.0428,3
2012,02,275,00400,0.0216,1,2369,0.0216,0.0216,3
2012,02,282,00400,0.006,1,662,0.006,0.006,3
2012,02,290,00400,0.0509,1,5588,0.0509,0.0509,3
2012,04,001,00300,0.3996,1,71518,0.3996,0.3996,2
2012,04,003,00900,0.7347,1,131346,0.7347,0.7347,2
2012,04,005,00400,1,1,134421,1,1,1
2012,04,007,00800,0.4867,1,53597,0.4867,0.4867,2
2012,04,009,00800,0.338,1,37220,0.338,0.338,3
2012,04,011,00800,0.0766,1,8437,0.0766,0.0766,3
2012,04,012,00600,0.0928,1,20489,0.0928,0.0928,3
2012,04,013,00100,1,0.0292,111283,0.0292,1,1
2012,04,013,00101,1,0.0383,146304,0.0383,1,1
2012,04,013,00102,1,0.0343,131113,0.0343,1,1
2012,04,013,00103,1,0.0278,106091,0.0278,1,1
2012,04,013,00104,1,0.0263,100229,0.0263,1,1
