state,puma12,place,stab,PlaceName,PUMA12name,pop20,afact2,afact
1,600,76872,AL,"Trinity town, AL",Morgan & Lawrence Counties--Decatur City,2526,1,0.0161
1,600,99999,AL,[not in a place],Morgan & Lawrence Counties--Decatur City,68365,0.0402,0.4369
1,700,484,AL,"Addison town, AL",Cullman & Winston Counties,659,1,0.0059
1,700,2116,AL,"Arab city, AL",Cullman & Winston Counties,29,0.0034,0.0003
1,700,2500,AL,"Arley town, AL",Cullman & Winston Counties,330,1,0.003
1,700,3676,AL,"Baileyton town, AL",Cullman & Winston Counties,649,1,0.0058
1,700,5812,AL,"Berlin town, AL",Cullman & Winston Counties,476,1,0.0043
1,700,16684,AL,"Colony town, AL",Cullman & Winston Counties,264,1,0.0024
1,700,18976,AL,"Cullman city, AL",Cullman & Winston Counties,18213,1,0.1635
1,700,20955,AL,"Dodge City town, AL",Cullman & Winston Counties,548,1,0.0049
1,700,21280,AL,"Double Springs town, AL",Cullman & Winston Counties,1119,1,0.01
1,700,22504,AL,"East Point CDP, AL",Cullman & Winston Counties,172,1,0.0015
1,700,25384,AL,"Fairview town, AL",Cullman & Winston Counties,543,1,0.0049
1,700,29032,AL,"Garden City town, AL",Cullman & Winston Counties,528,1,0.0047
1,700,30496,AL,"Good Hope city, AL",Cullman & Winston Counties,2483,1,0.0223
1,700,32704,AL,"Haleyville city, AL",Cullman & Winston Counties,4304,0.9869,0.0386
1,700,32968,AL,"Hanceville city, AL",Cullman & Winston Counties,3217,1,0.0289
1,700,35560,AL,"Holly Pond town, AL",Cullman & Winston Counties,851,1,0.0076
1,700,39064,AL,"Joppa CDP, AL",Cullman & Winston Counties,419,0.7536,0.0038
1,700,44800,AL,"Lynn town, AL",Cullman & Winston Counties,610,1,0.0055
1,700,53376,AL,"Natural Bridge town, AL",Cullman & Winston Counties,32,1,0.0003
1,700,71900,AL,"South Vinemont town, AL",Cullman & Winston Counties,558,1,0.005
1,700,81528,AL,"West Point town, AL",Cullman & Winston Counties,584,1,0.0052
1,700,99999,AL,[not in a place],Cullman & Winston Counties,74818,0.044,0.6716
1,800,1396,AL,"Allgood town, AL",St. Clair & Blount Counties,548,1,0.0036
1,800,1660,AL,"Altoona town, AL",St. Clair & Blount Counties,42,0.0443,0.0003
1,800,2320,AL,"Argo town, AL",St. Clair & Blount Counties,4307,0.986,0.0286
1,800,2908,AL,"Ashville city, AL",St. Clair & Blount Counties,2346,1,0.0156
1,800,7456,AL,"Blountsville town, AL",St. Clair & Blount Counties,1826,1,0.0121
1,800,15472,AL,"Cleveland town, AL",St. Clair & Blount Counties,1245,1,0.0083
1,800,17968,AL,"County Line town, AL",St. Clair & Blount Counties,217,0.6977,0.0014
1,800,33640,AL,"Hayden town, AL",St. Clair & Blount Counties,1342,1,0.0089
1,800,34480,AL,"Highland Lake town, AL",St. Clair & Blount Counties,412,1,0.0027
1,800,41968,AL,"Leeds city, AL",St. Clair & Blount Counties,2060,0.1672,0.0137
1,800,43888,AL,"Locust Fork town, AL",St. Clair & Blount Counties,1192,1,0.0079
1,800,46696,AL,"Margaret town, AL",St. Clair & Blount Counties,5106,1,0.0339
1,800,51096,AL,"Moody city, AL",St. Clair & Blount Counties,13170,1,0.0873
1,800,53448,AL,"Nectar town, AL",St. Clair & Blount Counties,379,1,0.0025
1,800,56400,AL,"Odenville city, AL",St. Clair & Blount Counties,4969,1,0.033
1,800,57000,AL,"Oneonta city, AL",St. Clair & Blount Counties,6938,1,0.046
1,800,58896,AL,"Pell City city, AL",St. Clair & Blount Counties,12939,1,0.0858
1,800,63216,AL,"Ragland town, AL",St. Clair & Blount Counties,1693,1,0.0112
1,800,64248,AL,"Remlap CDP, AL",St. Clair & Blount Counties,2624,1,0.0174
1,800,64920,AL,"Riverside city, AL",St. Clair & Blount Counties,2227,1,0.0148
1,800,66408,AL,"Rosa town, AL",St. Clair & Blount Counties,376,1,0.0025
1,800,71201,AL,"Smoke Rise CDP, AL",St. Clair & Blount Counties,1661,1,0.011
1,800,71280,AL,"Snead town, AL",St. Clair & Blount Counties,1032,1,0.0068
1,800,72600,AL,"Springville city, AL",St. Clair & Blount Counties,4786,1,0.0317
1,800,72888,AL,"Steele town, AL",St. Clair & Blount Counties,992,1,0.0066
1,800,74160,AL,"Susan Moore town, AL",St. Clair & Blount Counties,787,1,0.0052
1,800,76944,AL,"Trussville city, AL",St. Clair & Blount Counties,2147,0.0822,0.0142
1,800,99999,AL,[not in a place],St. Clair & Blount Counties,73419,0.0432,0.4869
1,900,1660,AL,"Altoona town, AL",Etowah County,906,0.9557,0.0088
1,900,3028,AL,"Attalla city, AL",Etowah County,5827,1,0.0563
1,900,3820,AL,"Ballplay CDP, AL",Etowah County,1437,1,0.0139
1,900,7912,AL,"Boaz city, AL",Etowah County,1110,0.1098,0.0107
1,900,9457,AL,"Bristow Cove CDP, AL",Etowah County,624,1,0.006
1,900,12070,AL,"Carlisle-Rockledge CDP, AL",Etowah County,2167,1,0.021
1,900,16080,AL,"Coats Bend CDP, AL",Etowah County,1318,1,0.0127
1,900,23224,AL,"Egypt CDP, AL",Etowah County,845,1,0.0082
1,900,28696,AL,"Gadsden city, AL",Etowah County,33945,1,0.3282
1,900,28816,AL,"Gallant CDP, AL",Etowah County,869,1,0.0084
1,900,29992,AL,"Glencoe city, AL",Etowah County,5354,0.9966,0.0518
1,900,35392,AL,"Hokes Bluff city, AL",Etowah County,4446,1,0.043
1,900,38032,AL,"Ivalee CDP, AL",Etowah County,946,1,0.0091
1,900,44160,AL,"Lookout Mountain CDP, AL",Etowah County,1484,1,0.0143
1,900,54582,AL,"New Union CDP, AL",Etowah County,1019,1,0.0099
1,900,63288,AL,"Rainbow City city, AL",Etowah County,10191,1,0.0985
1,900,63984,AL,"Reece City town, AL",Etowah County,615,1,0.0059
1,900,64656,AL,"Ridgeville town, AL",Etowah County,83,1,0.0008
1,900,68280,AL,"Sardis City town, AL",Etowah County,1810,0.9978,0.0175
1,900,71832,AL,"Southside city, AL",Etowah County,9243,0.9806,0.0894
1,900,76208,AL,"Tidmore Bend CDP, AL",Etowah County,1119,1,0.0108
1,900,79728,AL,"Walnut Grove town, AL",Etowah County,773,1,0.0075
1,900,82176,AL,"Whitesboro CDP, AL",Etowah County,2113,1,0.0204
1,900,99999,AL,[not in a place],Etowah County,15192,0.0089,0.1469
1,1000,2860,AL,"Ashland town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1984,1,0.0125
1,1000,8248,AL,"Bon Air town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",172,1,0.0011
1,1000,9880,AL,"Broomtown CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",160,1,0.001
1,1000,12760,AL,"Cedar Bluff town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1845,1,0.0116
1,1000,13648,AL,"Centre city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",3587,1,0.0226
1,1000,14464,AL,"Childersburg city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",4754,1,0.03
1,1000,16600,AL,"Collinsville town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",13,0.0063,0.0001
1,1000,20272,AL,"Delta CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",260,1,0.0016
1,1000,23176,AL,"Edwardsville town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",206,1,0.0013
1,1000,25864,AL,"Fayetteville CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1422,1,0.009
1,1000,28432,AL,"Fruithurst town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",235,1,0.0015
1,1000,29296,AL,"Gaylesville town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",170,1,0.0011
1,1000,31000,AL,"Graham CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",196,1,0.0012
1,1000,33976,AL,"Heflin city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",3431,1,0.0217
1,1000,35512,AL,"Hollins CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",517,1,0.0033
1,1000,35536,AL,"Hollis Crossroads CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",665,1,0.0042
1,1000,42016,AL,"Leesburg town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",911,1,0.0058
1,1000,43120,AL,"Lincoln city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",6845,1,0.0432
1,1000,43264,AL,"Lineville city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",2489,1,0.0157
1,1000,48616,AL,"Mignon CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1186,1,0.0075
1,1000,48784,AL,"Millerville CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",303,1,0.0019
1,1000,51469,AL,"Morrison Crossroads CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",221,1,0.0014
1,1000,52848,AL,"Munford town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",1351,1,0.0085
1,1000,55752,AL,"Oak Grove town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",564,1,0.0036
1,1000,57576,AL,"Oxford city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",4516,0.2046,0.0285
1,1000,63408,AL,"Ranburne town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",422,1,0.0027
1,1000,65040,AL,"Roanoke city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",5311,1,0.0335
1,1000,65592,AL,"Rock Mills CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",603,1,0.0038
1,1000,67920,AL,"Sand Rock town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",565,0.956,0.0036
1,1000,72408,AL,"Spring Garden CDP, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",216,1,0.0014
1,1000,74352,AL,"Sylacauga city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",12578,1,0.0794
1,1000,74592,AL,"Talladega city, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",15861,1,0.1001
1,1000,74616,AL,"Talladega Springs town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",144,1,0.0009
1,1000,79344,AL,"Wadley town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",659,1,0.0042
1,1000,79488,AL,"Waldo town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",258,1,0.0016
1,1000,80496,AL,"Wedowee town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",737,1,0.0047
1,1000,83400,AL,"Woodland town, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",221,1,0.0014
1,1000,99999,AL,[not in a place],"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",82801,0.0487,0.5228
1,1100,1180,AL,"Alexandria CDP, AL",Calhoun County,4032,1,0.0346
1,1100,1852,AL,"Anniston city, AL",Calhoun County,21564,1,0.1852
1,1100,14728,AL,"Choccolocco CDP, AL",Calhoun County,2838,1,0.0244
1,1100,29992,AL,"Glencoe city, AL",Calhoun County,18,0.0034,0.0002
1,1100,35152,AL,"Hobson City town, AL",Calhoun County,759,1,0.0065
1,1100,38272,AL,"Jacksonville city, AL",Calhoun County,14385,1,0.1235
1,1100,53232,AL,"Nances Creek CDP, AL",Calhoun County,399,1,0.0034
1,1100,56472,AL,"Ohatchee town, AL",Calhoun County,1157,1,0.0099
1,1100,57576,AL,"Oxford city, AL",Calhoun County,17553,0.7954,0.1507
1,1100,59640,AL,"Piedmont city, AL",Calhoun County,4787,1,0.0411
1,1100,67608,AL,"Saks CDP, AL",Calhoun County,9956,1,0.0855
1,1100,71832,AL,"Southside city, AL",Calhoun County,183,0.0194,0.0016
1,1100,80352,AL,"Weaver city, AL",Calhoun County,3339,1,0.0287
1,1100,81084,AL,"West End-Cobb Town CDP, AL",Calhoun County,3128,1,0.0269
1,1100,82104,AL,"White Plains CDP, AL",Calhoun County,877,1,0.0075
1,1100,99999,AL,[not in a place],Calhoun County,31466,0.0185,0.2702
1,1200,820,AL,"Alabaster city, AL",Shelby County,33284,1,0.1482
1,1200,7000,AL,"Birmingham city, AL",Shelby County,1904,0.0095,0.0085
1,1200,9064,AL,"Brantleyville CDP, AL",Shelby County,931,1,0.0041
1,1200,9500,AL,"Brook Highland CDP, AL",Shelby County,7406,1,0.033
1,1200,11416,AL,"Calera city, AL",Shelby County,16408,0.9948,0.0731
1,1200,14104,AL,"Chelsea city, AL",Shelby County,14982,1,0.0667
1,1200,16768,AL,"Columbiana city, AL",Shelby County,4462,1,0.0199
1,1200,21890,AL,"Dunnavant CDP, AL",Shelby County,936,1,0.0042
1,1200,22088,AL,"Eagle Point CDP, AL",Shelby County,2903,1,0.0129
1,1200,33256,AL,"Harpersville town, AL",Shelby County,1614,1,0.0072
1,1200,34024,AL,"Helena city, AL",Shelby County,18501,0.8846,0.0824
1,1200,34490,AL,"Highland Lakes CDP, AL",Shelby County,5239,1,0.0233
1,1200,35896,AL,"Hoover city, AL",Shelby County,26516,0.2863,0.1181
1,1200,37465,AL,"Indian Springs Village city, AL",Shelby County,2481,1,0.011
1,1200,41968,AL,"Leeds city, AL",Shelby County,100,0.0081,0.0004
1,1200,47740,AL,"Meadowbrook CDP, AL",Shelby County,9688,1,0.0431
1,1200,50312,AL,"Montevallo city, AL",Shelby County,7229,1,0.0322
1,1200,58680,AL,"Pea Ridge CDP, AL",Shelby County,841,1,0.0037
1,1200,58848,AL,"Pelham city, AL",Shelby County,24318,1,0.1083
1,1200,69672,AL,"Shelby CDP, AL",Shelby County,940,1,0.0042
1,1200,69978,AL,"Shoal Creek CDP, AL",Shelby County,1668,1,0.0074
1,1200,73056,AL,"Sterrett CDP, AL",Shelby County,706,1,0.0031
1,1200,78312,AL,"Vandiver CDP, AL",Shelby County,1084,1,0.0048
1,1200,78552,AL,"Vestavia Hills city, AL",Shelby County,193,0.0049,0.0009
1,1200,79008,AL,"Vincent town, AL",Shelby County,1982,1,0.0088
1,1200,81504,AL,"Westover town, AL",Shelby County,1766,1,0.0079
1,1200,82848,AL,"Wilsonville town, AL",Shelby County,1857,1,0.0083
1,1200,82872,AL,"Wilton town, AL",Shelby County,587,1,0.0026
1,1200,99999,AL,[not in a place],Shelby County,34040,0.02,0.1516
1,1301,5980,AL,"Bessemer city, AL",Birmingham City (West),739,0.0284,0.0084
1,1301,7000,AL,"Birmingham city, AL",Birmingham City (West),69895,0.3482,0.7968
1,1301,9400,AL,"Brighton city, AL",Birmingham City (West),284,0.1215,0.0032
1,1301,25120,AL,"Fairfield city, AL",Birmingham City (West),10000,1,0.114
1,1301,35800,AL,"Homewood city, AL",Birmingham City (West),335,0.0127,0.0038
1,1301,43336,AL,"Lipscomb city, AL",Birmingham City (West),2024,0.9703,0.0231
1,1301,48376,AL,"Midfield city, AL",Birmingham City (West),4353,0.8353,0.0496
1,1301,99999,AL,[not in a place],Birmingham City (West),91,0.0001,0.001
1,1302,7000,AL,"Birmingham city, AL",Birmingham City (East),93801,0.4673,0.9364
1,1302,13264,AL,"Center Point city, AL",Birmingham City (East),15,0.0009,0.0001
1,1302,28552,AL,"Fultondale city, AL",Birmingham City (East),274,0.0277,0.0027
1,1302,37864,AL,"Irondale city, AL",Birmingham City (East),456,0.0338,0.0046
1,1302,51696,AL,"Mountain Brook city, AL",Birmingham City (East),379,0.0169,0.0038
1,1302,74976,AL,"Tarrant city, AL",Birmingham City (East),5076,0.8289,0.0507
1,1302,99999,AL,[not in a place],Birmingham City (East),176,0.0001,0.0018
1,1303,7000,AL,"Birmingham city, AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",9953,0.0496,0.0543
1,1303,35800,AL,"Homewood city, AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",26079,0.9873,0.1422
1,1303,35896,AL,"Hoover city, AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",52707,0.5692,0.2874
