state,place,year
01,62328,2013
01,99999,2013
01,48712,2013
01,60264,2013
01,46600,2013
01,06460,2013
01,03220,2013
01,04660,2013
01,71976,2013
01,44608,2013
01,19648,2013
01,25240,2013
01,65208,2013
01,70536,2013
01,73872,2013
01,61488,2013
01,26992,2013
01,46072,2013
01,32272,2013
01,57144,2013
01,23320,2013
01,59088,2013
01,24568,2013
01,15376,2013
01,44344,2013
01,07672,2013
01,15640,2013
01,03724,2013
01,78264,2013
01,80928,2013
01,83640,2013
01,13672,2013
01,09136,2013
01,01396,2013
01,34480,2013
01,57000,2013
01,66408,2013
01,15472,2013
01,01660,2013
01,71280,2013
01,74160,2013
01,07456,2013
01,53448,2013
01,33640,2013
01,71201,2013
01,17968,2013
01,43888,2013
01,48424,2013
01,77880,2013
01,26152,2013
01,31912,2013
01,29560,2013
01,45496,2013
01,01852,2013
01,67608,2013
01,81084,2013
01,57576,2013
01,35152,2013
01,38272,2013
01,80352,2013
01,14728,2013
01,82104,2013
01,53232,2013
01,59640,2013
01,01180,2013
01,29992,2013
01,71832,2013
01,56472,2013
01,00100,2013
01,26200,2013
01,28120,2013
01,59016,2013
01,72720,2013
01,41296,2013
01,40672,2013
01,80256,2013
01,36592,2013
01,19216,2013
01,78204,2013
01,12760,2013
01,09880,2013
01,29296,2013
01,16600,2013
01,42016,2013
01,67920,2013
01,13648,2013
01,72408,2013
01,15136,2013
01,38608,2013
01,76080,2013
01,11416,2013
01,46504,2013
01,43384,2013
01,58968,2013
01,11032,2013
01,29704,2013
01,53472,2013
01,76632,2013
01,19024,2013
01,70416,2013
01,28504,2013
01,75960,2013
01,16264,2013
01,32080,2013
01,81744,2013
01,38152,2013
01,12112,2013
01,65784,2013
01,20272,2013
01,43264,2013
01,02860,2013
01,48784,2013
01,35512,2013
01,23176,2013
01,28432,2013
01,33976,2013
01,35536,2013
01,63408,2013
01,24184,2013
01,53856,2013
01,23296,2013
01,40096,2013
01,69648,2013
01,53016,2013
01,77280,2013
01,42160,2013
01,43648,2013
01,14152,2013
01,64368,2013
01,12496,2013
01,24808,2013
01,30640,2013
01,39472,2013
01,52320,2013
01,73152,2013
01,80736,2013
01,34984,2013
01,63495,2013
01,65472,2013
01,28936,2013
01,63768,2013
01,64776,2013
01,01708,2013
01,42808,2013
01,33904,2013
01,03556,2013
01,36088,2013
01,68016,2013
01,57120,2013
01,57024,2013
01,12160,2013
01,26848,2013
01,43816,2013
01,59328,2013
01,44728,2013
01,67176,2013
01,30160,2013
01,09016,2013
01,21448,2013
01,02116,2013
01,03676,2013
01,39088,2013
01,18976,2013
01,22504,2013
01,25384,2013
01,71900,2013
01,81528,2013
01,30496,2013
01,35560,2013
01,20955,2013
01,32968,2013
01,29032,2013
01,16684,2013
01,27640,2013
01,57648,2013
01,02428,2013
01,54480,2013
01,19360,2013
01,42472,2013
01,15304,2013
01,21184,2013
01,48400,2013
01,59832,2013
01,32056,2013
01,53256,2013
01,69120,2013
01,78232,2013
01,57240,2013
01,69180,2013
01,34096,2013
01,37312,2013
01,62075,2013
01,63336,2013
01,69840,2013
01,74400,2013
01,28672,2013
01,40888,2013
01,29608,2013
01,18856,2013
01,27616,2013
01,60372,2013
01,32896,2013
01,48064,2013
01,78240,2013
01,20008,2013
01,35752,2013
01,23880,2013
01,74688,2013
01,22816,2013
01,81720,2013
01,63730,2013
01,07588,2013
01,23656,2013
01,17176,2013
01,09208,2013
01,22216,2013
01,65016,2013
01,61536,2013
01,26824,2013
01,03004,2013
01,28696,2013
01,76208,2013
01,63984,2013
01,63288,2013
01,03028,2013
01,28816,2013
01,38032,2013
01,64656,2013
01,35392,2013
01,03820,2013
01,16080,2013
01,44160,2013
01,07912,2013
01,12070,2013
01,68280,2013
01,82176,2013
01,23224,2013
01,54582,2013
01,09457,2013
01,79728,2013
01,29944,2013
01,82992,2013
01,05164,2013
01,25840,2013
01,05932,2013
01,67056,2013
01,05140,2013
01,72672,2013
01,63576,2013
01,35200,2013
01,78984,2013
01,59496,2013
01,67800,2013
01,16240,2013
01,29464,2013
01,07120,2013
01,24616,2013
01,33424,2013
01,46264,2013
01,71040,2013
01,75096,2013
01,77616,2013
