year,state,county,subgroup_type,subgroup,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,01,001,tenure,All,1.4083594952434795,1.4078238623882953,1.4702553167432622,2,2,2
2022,01,001,tenure,Owner,1.567678258687996,1.7037462119611788,2.311455057163939,2,2,2
2022,01,001,tenure,Renter,1.2913329761434775,0.9673665972472714,0.6121827927423739,2,2,2
2022,01,003,tenure,All,1.5922967189728958,1.414898334072338,1.3886417756211529,1,1,1
2022,01,003,tenure,Owner,1.882199294762962,1.856157424736645,2.1555222230993922,1,1,1
2022,01,003,tenure,Renter,1.1583342370675631,0.7738677852870349,0.37570385818561003,1,1,1
2022,01,005,tenure,All,2.086408022164802,2.036470815173398,1.8538259071253995,3,3,3
2022,01,005,tenure,Owner,1.9494738588909777,2.576407303583605,2.576465789195991,3,3,3
2022,01,005,tenure,Renter,2.4217231604234732,1.4521559852500239,1.126673756044064,3,3,3
2022,01,007,tenure,All,1.4728947464636726,1.7822067700247863,1.8310872433883205,3,3,3
2022,01,007,tenure,Owner,1.5241910855174263,2.048049706593027,2.4615384615384617,3,3,3
2022,01,007,tenure,Renter,1.6929964457957194,1.3544899049585892,1.0994849059175387,3,3,3
2022,01,009,tenure,All,1.6480139991020668,1.8096112449066246,1.8330242059270678,2,2,2
2022,01,009,tenure,Owner,1.8606842940873052,2.1785945654905534,2.5074224263025027,2,2,2
2022,01,009,tenure,Renter,1.2875307555377966,1.2078415596606085,0.7599688776502627,2,2,2
2022,01,011,tenure,All,2.3060495972493764,2.1814801517593883,1.9262410700801025,3,3,3
2022,01,011,tenure,Owner,2.6306443748796586,2.757418274462121,2.5335270611979013,3,3,3
2022,01,011,tenure,Renter,1.9511524456732265,1.461404404781105,1.196735065118358,3,3,3
2022,01,013,tenure,All,2.3078627892482415,2.196394935340277,1.9905513778589894,3,3,3
2022,01,013,tenure,Owner,2.0382050281939046,2.6984940548381005,2.710131147431599,3,3,3
2022,01,013,tenure,Renter,2.8374086435510737,1.6530273950618097,1.2664784470651955,3,3,3
2022,01,015,tenure,All,1.6343024390243903,1.9560254491017963,2.2236429841646204,1,1,1
2022,01,015,tenure,Owner,1.9371474082431805,2.544632639047837,3.2241265655899802,1,1,1
2022,01,015,tenure,Renter,1.2827240007577192,1.2508911434055388,1.1661731405678453,1,1,1
2022,01,017,tenure,All,1.8249788050738098,1.771431917103968,1.6386231374054847,3,3,3
2022,01,017,tenure,Owner,2.1623709690429305,2.2668046481663873,2.1952991470937775,3,3,3
2022,01,017,tenure,Renter,1.4510218845262013,1.1520843252506747,0.9699126816640837,3,3,3
2022,01,019,tenure,All,1.7850424981764235,1.6283678445696022,1.5776641426719378,3,3,3
2022,01,019,tenure,Owner,2.120170989755555,2.1220439334180967,2.1508023708096253,3,3,3
2022,01,019,tenure,Renter,1.4012466389635785,0.8757272139625081,0.7084769124741558,3,3,3
2022,01,021,tenure,All,2.062280190383046,2.035524599207261,2.08293663955384,3,3,3
2022,01,021,tenure,Owner,2.352231785287331,2.6694030538940283,2.7037530286323537,3,3,3
