year,state,place,rate_affordable_available_80_ami,rate_affordable_available_50_ami,rate_affordable_available_30_ami,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,01,03076,58.99989903918061,48.42977889740027,20.37153711593251,0.7100754722273701,0.6532226141488279,0.3629650953226205,2,2,2
2022,01,07000,70.4283098473468,53.71568258514689,31.331851343411365,0.7724677816162204,0.64149518437383,0.3672361146265508,2,2,2
2022,01,35896,54.418482357607346,26.228481749840704,16.85055627780086,0.6697572764261487,0.33934669670522827,0.1897877492304737,3,3,3
2022,01,37000,63.6639511317466,50.75128796671914,16.630366976162346,0.7935224193062929,0.7272042803295108,0.28661019349629413,2,2,2
2022,01,50000,52.91750157995382,27.702731156759697,24.247125500555086,0.6926724909008058,0.35729834230586205,0.3219567468325071,1,1,1
2022,01,51000,56.7336878722552,33.27067049486408,10.56856220840543,0.6700856797244417,0.4765111525928863,0.172889224102778,1,1,1
2022,01,77256,72.75202565277857,48.44144937768573,24.778578206550414,0.8795745045775784,0.7194576103332407,0.3282460283714012,2,2,2
2022,02,03000,53.45084457171604,47.415226910152406,11.689299929758839,0.7115686008939109,0.7367027595804623,0.1848513228752049,1,1,1
2022,04,04720,33.78779772245786,4.017953223271226,NA,0.46459735918034273,0.11908699242589202,NA,2,2,NA
2022,04,07940,22.005995696532594,24.723548510403162,16.680514614902066,0.2481243224851362,0.2855230645562799,0.20209919744407373,2,2,2
2022,04,12000,24.12273058844787,5.566088474394292,4.799733144089639,0.39875918650370024,0.12099989375614838,0.09968499457359162,1,1,1
2022,04,23620,41.70668288250637,21.299135522973046,8.619181773959008,0.5335989213390914,0.35880725481132036,0.17756004547145418,2,2,2
2022,04,27400,20.400911603287362,12.206903828402941,5.589888103214231,0.3060847770007265,0.1696967714070928,0.09510491641177068,1,1,1
2022,04,27820,45.26991024542315,20.38525115955451,9.098048624094874,0.6115141364048916,0.3402209931913437,0.13900806286862802,1,1,1
