year,state,county,rate_affordable_available_80_ami,rate_affordable_available_50_ami,rate_affordable_available_30_ami,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,01,001,93.22384722463966,85.57165307715452,71.13726752789721,1.4083594952434797,1.4078238623882953,1.4702553167432622,2,2,2
2022,01,003,89.65763195435092,59.460315449420406,37.01307453834748,1.5922967189728958,1.414898334072338,1.3886417756211529,1,1,1
2022,01,005,157.82440103261536,121.73427711828249,106.98234172405566,2.086408022164802,2.036470815173398,1.8538259071253995,3,3,3
2022,01,007,105.19968068661558,100.61509117141595,83.59056497004326,1.4728947464636726,1.7822067700247863,1.8310872433883203,3,3,3
2022,01,009,94.65835267135108,85.75408672333347,64.55758161665395,1.6480139991020668,1.8096112449066248,1.833024205927068,2,2,2
2022,01,011,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,013,179.9698777409593,137.72668913497031,120.65488879741464,2.3078627892482415,2.196394935340277,1.9905513778589896,3,3,3
2022,01,015,98.70829268292684,79.59081836327346,68.93047675501735,1.6343024390243903,1.9560254491017963,2.2236429841646204,1,1,1
2022,01,017,110.23362816127324,91.77906673254552,82.68681285289946,1.8249788050738096,1.771431917103968,1.6386231374054847,3,3,3
2022,01,019,99.0520131909444,72.77149192079325,65.15378931854255,1.7850424981764237,1.6283678445696022,1.5776641426719378,3,3,3
2022,01,021,99.33740749653025,77.54901695615237,72.77238846102637,2.062280190383046,2.035524599207261,2.08293663955384,3,3,3
2022,01,023,149.12256859405676,NA,NA,2.124988795364317,NA,NA,3,NA,NA
2022,01,025,119.7137073649728,89.31688485855915,79.91726350103974,1.8309001830734777,1.797844701307525,1.735934315880218,3,3,3
2022,01,027,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,029,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,031,111.84030971712757,95.0243546591513,80.43271417756895,1.746962771715317,1.7342338109414557,1.7121278755080704,2,2,2
2022,01,033,104.88688727590723,72.17294104255105,63.131284318417,1.761992225623489,1.7485069950625438,1.5942593598607049,3,3,3
2022,01,035,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,037,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,039,135.37680720806577,116.58074636340092,93.11407311794923,1.8511440888741504,1.9411439357888576,1.715143221064335,3,3,3
2022,01,041,218.7935215046689,NA,NA,2.679068171707586,NA,NA,3,NA,NA
2022,01,043,89.61475047693722,78.22119144103762,68.30147688103287,1.7809809711056317,1.839370129783965,1.8107428781976544,2,2,2
2022,01,045,108.1996028991529,93.25177320988249,83.06366603617178,1.768055415000588,1.7453034930393867,1.7384373940940985,2,2,2
2022,01,047,93.02568180374422,77.0002905819186,75.99787523127833,1.501745641318758,1.470935458410815,1.5188613937770734,3,3,3
2022,01,049,85.24243533807959,75.07660497141428,67.40070355878743,1.5154737931676798,1.727063950213451,1.6677297790793504,2,2,2
2022,01,051,88.89224968324979,74.76864138206228,54.486191592133196,1.803284562583539,2.1033106412619085,2.1337023692779145,1,1,1
2022,01,053,106.43986723248753,80.65077691422934,74.19126129615418,1.6981617817486243,1.7111836218642271,1.6786742938313626,3,3,3
2022,01,055,91.25111416807137,72.44579524359067,63.952251963492465,1.7152422889365193,1.6085060012315748,1.565648769121437,1,1,1
2022,01,057,110.13904100619992,NA,NA,1.7471683044437691,NA,NA,3,NA,NA
2022,01,059,117.4930976691619,70.0743049991522,69.01224053267086,2.0018546034894342,1.661250997935864,1.653068922003243,3,3,3
2022,01,061,134.6602925151714,93.97802274091669,85.93042751246465,2.1282513610187803,1.944597738012927,2.068807811483913,3,3,3
2022,01,063,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,065,112.79054137763318,106.76210261781169,NA,1.6086607017377479,1.9494799287537048,NA,3,3,NA
2022,01,067,157.45086921476556,104.96230331169187,100.07501963971819,2.3679492248387373,2.0793153325187617,2.210253732756448,3,3,3
2022,01,069,101.94551636156291,77.83872834679615,66.78339053840295,1.8011035994826952,1.783204794071721,1.877337441743296,2,2,2
2022,01,071,86.88955560644105,77.60589523010371,69.204422229906,1.5319449958512945,1.7523568528003453,1.685766965790536,2,2,2
2022,01,073,93.52347804166625,68.81481029673796,42.98660671539449,1.4281276003460688,1.3584358433232386,1.1713599272493036,1,1,1
2022,01,075,114.2145218566642,NA,NA,1.787923112948412,NA,NA,3,NA,NA
2022,01,077,97.5463477744397,68.43932568877896,60.21093013443899,1.6885868306088134,1.7111708415248232,1.5650558180209244,2,2,2
2022,01,079,105.20002451195867,97.27436826783917,NA,1.8365051372159016,2.078342661781917,NA,3,3,NA
2022,01,081,99.36915078736573,76.45513121997496,45.15410747411963,1.4951210619065056,1.4459381695114737,1.1695693566924148,1,1,1
2022,01,083,97.59805247497971,89.8251038747705,59.43870427254957,1.84057343792264,2.346700164267079,1.9461044401005303,1,1,1
2022,01,085,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,087,126.14407815995196,NA,NA,1.984083305060597,NA,NA,3,NA,NA
2022,01,089,99.76246668384752,78.53974795473606,36.94116573306911,1.8465453374518088,1.7739728582690155,1.380677933525566,1,1,1
2022,01,091,106.31644067368633,92.67794345401236,85.78664308734282,1.7041900477625045,1.8510161068108544,1.853048024561316,3,3,3
2022,01,093,95.96112855960699,84.88970437568139,70.88435483535338,1.8597062277676568,1.932307494740835,1.8365716577408595,3,3,3
2022,01,095,84.31244089542842,68.32573850814322,62.342533198165675,1.5493781672224742,1.540695107501361,1.4795536435041592,1,1,1
2022,01,097,87.17830823658633,53.60638895888658,47.0555406732744,1.559893737946537,1.2145030917443642,1.204482543084204,1,1,1
2022,01,099,125.71980781514026,93.23809487059309,82.50814481926938,1.8909611875751515,1.8370568014278648,1.7618431290625147,3,3,3
2022,01,101,96.2124943054758,62.40146843444877,31.081288372184297,1.5445198998414618,1.374539254833108,1.090627627376753,1,1,1
2022,01,103,92.24136470987652,81.79956262491632,61.684810771755835,1.7069185391950803,1.9235946053526884,1.9906706163938104,1,1,1
2022,01,105,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,107,106.56848392310397,92.87815943544396,85.96022982909925,1.7114627336128094,1.85301826662517,1.8547838919788804,3,3,3
2022,01,109,141.70081673011833,110.09058993343277,97.0276919203736,1.925172179139832,1.920033943324901,1.7542794090885785,3,3,3
2022,01,111,118.59529451300659,NA,NA,2.0137377142258974,NA,NA,3,NA,NA
2022,01,113,104.82901760002048,66.24419765691778,63.75704913128046,1.7911195863375018,1.4854368967952636,1.7951378721006417,2,2,2
2022,01,115,93.10417862603728,83.39206276852626,63.78119417453229,1.6324722586489289,1.7859910053585526,1.825260331505851,2,2,2
2022,01,117,89.19556340124832,64.28013808985634,49.93953474856564,1.908140767604856,1.9013260080993364,1.8197002002279312,1,1,1
2022,01,119,117.94867063234858,NA,NA,1.8252646007052555,NA,NA,3,NA,NA
2022,01,121,93.91671480538723,81.61908591484736,77.15533675577981,1.7669519171497043,1.9664021763590864,1.805740855576202,2,2,2
2022,01,123,107.39573684681332,88.981814930258,80.755251774405,1.804053660211628,1.678626509322806,1.61930752662054,2,2,2
2022,01,125,91.47908202481607,64.15727130012844,42.01271979049756,1.473218403425936,1.431247324104467,1.1500187055742612,1,1,1
2022,01,127,100.4671518406223,82.39507526676823,77.29830551311584,1.873817453261314,1.885026483504788,1.9292303752580773,2,2,2
2022,01,129,137.5828461337519,NA,NA,2.0095915707612684,NA,NA,3,NA,NA
2022,01,131,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,133,98.73400549687469,87.22149188626437,71.83937823019829,1.8874349971403337,1.9556253698466648,1.8461218916893083,3,3,3
2022,02,013,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,016,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,020,94.79132403304762,68.2088184379349,18.39733083586982,1.6184625505485362,1.5800210447710532,0.8846874268321236,1,1,1
2022,02,050,101.20404848868093,90.04273886119978,79.4144109356296,1.5835691610403235,1.7802763967237958,1.9059644403255631,3,3,3
2022,02,060,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,063,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,066,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,068,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,070,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,090,94.0937749167766,58.69990188952207,44.02466894218845,1.495033675834863,1.7470847443141062,1.4312305829793075,2,2,2
2022,02,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,105,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,110,109.91374611403893,NA,NA,1.6770520325524465,NA,NA,3,NA,NA
2022,02,122,97.76369179899618,72.46108501296692,51.63792794511264,1.6380630199227295,1.578945527549024,1.506421016289378,2,2,2
2022,02,130,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,150,109.04180502341421,99.02557286667158,NA,1.5983192848020435,1.7677717886238895,NA,3,3,NA
2022,02,158,123.73194182443822,NA,NA,1.841248980556822,NA,NA,3,NA,NA
2022,02,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,170,91.45688086199699,68.81089810040511,50.6602079599065,1.610323605126697,1.570559828814308,1.4966438164373166,2,2,2
2022,02,180,116.45544264500485,NA,NA,1.7772037668045018,NA,NA,3,NA,NA
2022,02,185,113.59982824675026,NA,NA,1.7248321811495912,NA,NA,3,NA,NA
2022,02,188,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,195,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,198,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,220,122.50337527129906,NA,NA,1.7744825879875328,NA,NA,3,NA,NA
2022,02,230,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,275,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,282,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,02,290,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,04,001,88.95125800391344,74.43625907208354,74.43625907208354,1.5768142722654697,1.710237299316639,1.710237299316639,2,2,2
2022,04,003,92.09541710133536,70.63246681568125,67.23931930059881,1.6610785134332484,1.6866528875399314,1.7785724793419322,2,2,2
2022,04,005,83.31052415491995,59.178870292887034,40.670339761248854,1.2982071985767072,1.2413179916317991,1.4095500459136825,1,1,1
2022,04,007,86.19907285699098,78.25640672003354,73.75064635856091,1.7232576757414853,1.989063923398207,2.0311434771695125,2,2,2
2022,04,009,91.3217242723813,83.54335232521059,78.35276080930706,1.6845313959538688,1.9418377927651145,2.077164621676974,2,2,2
2022,04,011,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,04,012,110.0763771446885,NA,NA,1.9319517643240152,NA,NA,3,NA,NA
2022,04,013,77.58821749773097,48.204922007119286,29.918150429341182,1.4603248164140927,1.2872195744982793,1.2875765801969967,1,1,1
2022,04,015,79.93819666703455,53.465790259934266,49.477292202227936,1.4154287606224478,1.5206528234239618,1.5656383890317052,1,1,1
2022,04,017,87.44745817668296,73.26332669148351,73.26332669148351,1.5617762739931649,1.6985079755106387,1.6985079755106387,2,2,2
2022,04,019,83.73779066385968,55.30935500937302,35.16926724103069,1.4486903171996868,1.3145672203626269,1.2209522853973076,1,1,1
2022,04,021,81.28329463858861,65.55438025870329,52.00864250554162,1.622832013015365,1.780945445692039,2.085244448292749,1,1,1
2022,04,023,99.0901061938065,79.23506274160722,79.23506274160722,1.805451492829066,1.898529913752016,1.898529913752016,3,3,3
2022,04,025,75.25191619826265,55.34044469072522,47.898493259318,1.3890035769034237,1.537888758052227,1.7036432336614264,1,1,1
2022,04,027,81.9798881609185,58.28534653653266,57.211545079993975,1.5812592157063077,1.5448824858598758,1.56866905136529,1,1,1
2022,05,001,176.56328568160222,NA,NA,2.328029732847262,NA,NA,3,NA,NA
2022,05,003,167.95405324858578,93.69990743216476,NA,2.250273992992893,1.6891242289690516,NA,3,3,NA
2022,05,005,102.33733190502346,73.02999824619985,70.20720410467678,1.722157650432495,1.6534697517391912,1.7304972826613214,3,3,3
2022,05,007,95.09621499399393,61.896585557299844,55.08163945351549,2.014508797135926,2.228169152276295,2.1366211262912365,1,1,1
2022,05,009,104.39352931075858,74.05844295143338,71.3521587480917,1.742719624489846,1.663754198791526,1.7419468290954705,3,3,3
2022,05,011,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,013,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,015,108.94937700609093,78.82418073657179,74.97298783388268,1.7610360930659292,1.6869608357775792,1.7781551199533807,3,3,3
2022,05,017,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,019,158.47003900460902,140.68123529098673,NA,2.258452112721803,2.392069514913553,NA,3,3,NA
2022,05,021,182.3910626113535,NA,NA,2.547385088166795,NA,NA,3,NA,NA
2022,05,023,118.5675398979793,99.84761042307963,95.28724222350783,1.9238457459829472,2.115097466028847,2.124580925417514,3,3,3
2022,05,025,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,027,164.412738630994,120.65467171516806,116.2282609699834,2.3408154245511477,2.0949239709658274,1.9772144451687943,3,3,3
2022,05,029,111.08954775990101,NA,NA,1.9122037704878052,NA,NA,3,NA,NA
2022,05,031,92.69080123476425,68.26653753159798,49.79290903095679,1.722783276355594,1.481459969252422,1.3127515653181856,1,1,1
2022,05,033,107.77373079759012,84.45036143240955,79.02193103025887,1.7460405430341126,1.9483968190745196,2.022476414900119,3,3,3
2022,05,035,118.00213805239066,100.69489612865459,76.93138918349024,1.6173771339033984,1.7470074639349766,1.4577125930666706,3,3,3
2022,05,037,150.54992270043186,NA,NA,2.0675012505277786,NA,NA,3,NA,NA
2022,05,039,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,041,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,043,173.72822670857082,NA,NA,2.2571245938315667,NA,NA,3,NA,NA
2022,05,045,98.80499529058926,84.2626622899696,57.3626844575024,1.7318598518162247,1.8826583661322152,1.572205196755961,2,2,2
2022,05,047,162.80936385886992,NA,NA,2.306167585278295,NA,NA,3,NA,NA
2022,05,049,152.84085263515092,NA,NA,2.272000446229289,NA,NA,3,NA,NA
2022,05,051,98.27834848871288,83.10561316439177,74.25348347306708,1.7357441332334462,1.885121264870973,1.808745103679326,2,2,2
2022,05,053,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,055,116.39289070070835,102.7073189820216,100.99157265270453,1.888342934561208,1.905923565710044,2.0776231902104647,2,2,2
2022,05,057,174.8376499121775,128.00345343762137,123.57862390782148,2.4450645373629833,2.168411788190361,2.0507180745471754,3,3,3
2022,05,059,133.09981837502892,117.02037447999918,110.26092355372433,2.0845060011719716,2.2603109821613026,2.1688195044858984,3,3,3
2022,05,061,160.40453324521144,NA,NA,2.3168856032284357,NA,NA,3,NA,NA
2022,05,063,107.32796997893821,86.2709262128624,81.96140301384119,1.8149115431054093,1.9897595444625849,1.9913225333208475,3,3,3
2022,05,065,145.4609438533589,NA,NA,2.1982013584113687,NA,NA,3,NA,NA
2022,05,067,142.99708387088674,NA,NA,2.2011378867637874,NA,NA,3,NA,NA
2022,05,069,109.20472442182607,74.72920242773986,67.09328032457421,1.6663060416690785,1.4991338858660297,1.3831624170694314,2,2,2
2022,05,071,106.36464256018587,73.59586489888346,70.18174216899597,1.8460465614425856,1.5168809559478431,1.5180389200612951,3,3,3
2022,05,073,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,075,172.40869449355765,157.35499370253655,NA,2.4475614069888363,2.4785209043104524,NA,3,3,NA
2022,05,077,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,079,205.88737420672328,NA,NA,2.6331325395180505,NA,NA,3,NA,NA
2022,05,081,170.58354141446426,NA,NA,2.384912809636303,NA,NA,3,NA,NA
2022,05,083,132.19658779935318,77.79194013236565,70.2607456085045,2.0348061487698534,1.7536422600252386,1.7536715388338264,3,3,3
2022,05,085,105.8203142094438,93.74081400734731,67.48817125860084,1.8020130410047701,1.977439883305992,1.6734600647669453,2,2,2
2022,05,087,129.48567038267026,110.72030927344343,NA,1.746458565820131,1.887569593618976,NA,3,3,NA
2022,05,089,128.98654574539586,NA,NA,1.988649788836219,NA,NA,3,NA,NA
2022,05,091,113.8899141493216,82.73547107148578,66.13932584403584,1.7514948131743984,1.7612570529141434,1.7124573411891395,3,3,3
2022,05,093,113.78415617061957,81.8453211869097,80.48715177172149,1.7200608785880391,1.5276192380028402,1.4932702189489833,3,3,3
2022,05,095,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,097,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,099,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,101,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,05,103,164.8988743902202,120.99736101828762,116.57102400853543,2.3456767821434097,2.098350863997023,1.9806420755543144,3,3,3
2022,05,105,NA,NA,NA,NA,NA,NA,NA,NA,NA
