year,state,place,subgroup_type,subgroup,share_affordable_available_30_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami,share_affordable_available_50_ami_quality,share_affordable_available_80_ami,share_affordable_available_80_ami_quality
2021,01,03076,tenure,All,0.43458266251404604,2,0.8626132207345111,2,1.1546181764715975,2
2021,01,03076,tenure,Owner,NA,NA,NA,NA,0.9902749972194417,2
2021,01,03076,tenure,Renter,NA,NA,0.9315879321435616,2,1.2924308618447633,2
2021,01,07000,tenure,All,0.5259788362908806,3,0.7982868410071718,3,1.0570511467700403,3
2021,01,07000,tenure,Owner,0.7520558122764184,3,0.8765939830390649,3,1.0037388447422169,3
2021,01,07000,tenure,Renter,0.41468315952586343,3,0.7549443159955697,3,1.0958581785154142,3
2021,01,35896,tenure,All,0.460781281371604,3,0.6214249816176389,3,0.9668637388727901,3
2021,01,35896,tenure,Owner,NA,NA,0.7145825676583384,3,0.873911674716472,3
2021,01,35896,tenure,Renter,NA,NA,0.5452745269835264,3,1.055005921279472,3
2021,01,37000,tenure,All,0.5929126933262985,3,0.9047484518927484,3,1.036925073653536,3
2021,01,37000,tenure,Owner,0.7604959891952986,3,0.9159467462974361,3,0.9948503340692648,3
2021,01,37000,tenure,Renter,0.4951980512950519,3,0.8969921382770016,3,1.0726246552045189,3
2021,01,50000,tenure,All,0.5675121491446924,3,0.5874457264599359,3,0.9406256842085192,3
2021,01,50000,tenure,Owner,0.8527435829415092,3,0.8994006423999767,3,1.0384220654177156,3
2021,01,50000,tenure,Renter,0.4313826142885373,3,0.4411039999608255,3,0.874266946738472,3
2021,01,51000,tenure,All,0.5206786922372534,3,0.6770799664757166,3,1.077322803008579,3
2021,01,51000,tenure,Owner,0.9380500178734902,3,0.9375490885107588,3,1.073989161103153,3
2021,01,51000,tenure,Renter,0.30070333018217527,3,0.5207298005340846,3,1.079842534484636,3
2021,01,77256,tenure,All,0.430419179653058,2,0.6433474612983858,2,0.9999081983156547,2
2021,01,77256,tenure,Owner,NA,NA,0.8164903034522148,2,0.9190875507757622,2
2021,01,77256,tenure,Renter,0.3193781321522083,2,0.585751531114168,2,1.0311929417277226,2
2021,02,03000,tenure,All,0.3869473910936406,2,0.6744582890627515,2,0.9016596718809614,2
2021,02,03000,tenure,Owner,0.4214944268611532,2,0.5886931235032501,2,0.8232843768788113,2
2021,02,03000,tenure,Renter,0.3647381457891012,2,0.7262353487891775,2,0.9643028763643853,2
2021,04,04720,tenure,All,0.353742073243389,2,0.47707673785352916,2,0.7941024963089446,2
2021,04,04720,tenure,Owner,NA,NA,0.7028623043172724,2,0.9117811485465354,2
2021,04,04720,tenure,Renter,NA,NA,NA,NA,0.6676115884418448,2
2021,04,07940,tenure,All,NA,NA,0.6218960286688796,2,0.8602536903715645,2
2021,04,07940,tenure,Owner,NA,NA,0.6886567304161711,2,0.8721992803178492,2
2021,04,07940,tenure,Renter,NA,NA,NA,NA,NA,NA
2021,04,12000,tenure,All,0.3053491145100607,3,0.3969338778189175,3,0.7166093303336384,3
2021,04,12000,tenure,Owner,0.49777252464157423,3,0.6379219505084855,3,0.7985888763000023,3
2021,04,12000,tenure,Renter,0.12494264005582707,3,0.1495021938758788,3,0.6257183590582641,3
2021,04,23620,tenure,All,0.3991000610128127,3,0.5871357929081354,3,0.8881986015685118,3
2021,04,23620,tenure,Owner,0.7867441360017214,3,0.7906434353134861,3,0.8564605704969492,3
2021,04,23620,tenure,Renter,NA,NA,0.4573914383649185,3,0.9124708937765215,3
2021,04,27400,tenure,All,0.4053262001309053,1,0.42953189907359857,1,0.6262562184484259,1
2021,04,27400,tenure,Owner,0.5754176963688878,1,0.683569943210044,1,0.7004256708015857,1
2021,04,27400,tenure,Renter,NA,NA,0.12906703353694335,1,0.49605886729064785,1
2021,04,27820,tenure,All,0.35266167294942735,1,0.530752071593696,1,0.9039169027661957,1
2021,04,27820,tenure,Owner,0.6346677403071346,1,0.6936892352033835,1,0.9029937210005805,1
2021,04,27820,tenure,Renter,0.1586795918697153,1,0.39782916061028245,1,0.904690730265476,1
2021,04,28380,tenure,All,NA,NA,0.3834398111957916,2,0.7082398827761236,2
2021,04,28380,tenure,Owner,NA,NA,NA,NA,0.7660461366458914,2
2021,04,28380,tenure,Renter,NA,NA,NA,NA,NA,NA
2021,04,46000,tenure,All,0.34457625257511504,2,0.5304330438349149,2,0.86563878562683,2
2021,04,46000,tenure,Owner,0.5088313910090264,2,0.72983104463086,2,0.8728433018734457,2
2021,04,46000,tenure,Renter,0.16899056820268815,2,0.3413299392476163,2,0.8583305439220655,2
2021,04,54050,tenure,All,0.44360377743548873,2,0.5930372365282572,2,0.8885315393713461,2
2021,04,54050,tenure,Owner,0.6659267603704302,2,0.7865078874907703,2,0.9154817649557605,2
2021,04,54050,tenure,Renter,0.16248172255838456,2,0.32005762129339566,2,0.8468887839438213,2
2021,04,55000,tenure,All,0.3178725385598225,2,0.49973977489595006,2,0.8474652113628142,2
2021,04,55000,tenure,Owner,0.49447653934472313,2,0.6410564101905508,2,0.834459204069693,2
2021,04,55000,tenure,Renter,0.2003560900036615,2,0.40102726591413373,2,0.8579989721192871,2
2021,04,65000,tenure,All,0.28062998057081673,3,0.4586718287960262,3,0.6577438456899789,3
2021,04,65000,tenure,Owner,0.3657834977364262,3,0.6360726031752799,3,0.7121621593596181,3
2021,04,65000,tenure,Renter,0.18424283586431625,3,0.2371561815667223,3,0.5922211761409426,3
2021,04,71510,tenure,All,0.4706287500629866,1,0.5267154953426622,1,0.8513616334943382,1
2021,04,71510,tenure,Owner,0.7088688000839033,1,0.7364689977473543,1,0.9766281781018249,1
2021,04,71510,tenure,Renter,NA,NA,0.22985735637321178,1,0.6147332198913732,1
2021,04,73000,tenure,All,0.2408453258196302,3,0.28762896783277947,3,0.7832034698222193,3
2021,04,73000,tenure,Owner,0.6323006455786915,3,0.7006117126905101,3,0.8054356381957328,3
2021,04,73000,tenure,Renter,0.11340524403256093,3,0.17820800144176976,3,0.7750050782711444,3
2021,04,77000,tenure,All,0.43567814091186674,2,0.6449248586775481,2,0.9549695204915697,2
2021,04,77000,tenure,Owner,0.620965889849247,2,0.7236592350640019,2,0.9070216801881844,2
2021,04,77000,tenure,Renter,0.3331214280539008,2,0.5942349077737682,2,0.9903242639644204,2
2021,04,85540,tenure,All,0.5301901628570713,2,0.5319396423262388,2,0.8910784386372524,2
