year,state,place,subgroup_type,subgroup,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2021,01,03076,tenure,All,1.6106648135192874,1.6009258536480975,1.0797692004738686,2,2,2
2021,01,03076,tenure,Owner,1.8361646368590814,NA,NA,2,NA,NA
2021,01,03076,tenure,Renter,1.4215682148831503,1.1600804970290137,NA,2,2,NA
2021,01,07000,tenure,All,1.429377373269051,1.3193028765226853,1.0941764696679244,3,3,3
2021,01,07000,tenure,Owner,1.6856235996698141,2.022664591010168,2.1071140220849687,3,3,3
2021,01,07000,tenure,Renter,1.2428509044368312,0.8420368596900596,0.4753055809229025,3,3,3
2021,01,35896,tenure,All,1.7837232729307717,1.622887146276713,1.5012359308015644,3,3,3
2021,01,35896,tenure,Owner,2.221975938775301,2.564712144251186,NA,3,3,NA
2021,01,35896,tenure,Renter,1.368148355217044,0.8014101922134947,NA,3,3,NA
2021,01,37000,tenure,All,1.8765150553619319,1.9139176691716762,1.8416749894072122,3,3,3
2021,01,37000,tenure,Owner,2.4409006032435037,2.8682730209627025,3.627563500939236,3,3,3
2021,01,37000,tenure,Renter,1.397645118390859,1.1420938186649316,0.6180920370874885,3,3,3
2021,01,50000,tenure,All,1.4556162247759525,1.3028447400519851,1.339220914603044,3,3,3
2021,01,50000,tenure,Owner,1.9210499129894794,2.7142704706072336,2.7435762658692564,3,3,3
2021,01,50000,tenure,Renter,1.1398009405701925,0.48307442671844036,0.49337760461353924,3,3,3
2021,01,51000,tenure,All,1.6193848847189998,1.230730439675087,1.1088907167957935,3,3,3
2021,01,51000,tenure,Owner,2.0352199324756333,2.0425979930015523,2.398152942986176,3,3,3
2021,01,51000,tenure,Renter,1.3050761831831208,0.695857214533412,0.37194198438134907,3,3,3
2021,01,77256,tenure,All,1.396090399963076,1.0959277425195761,0.8823092525632276,2,2,2
2021,01,77256,tenure,Owner,1.8682846341593942,1.8909282981195532,NA,2,2,NA
2021,01,77256,tenure,Renter,1.2133094410478684,0.7194039586426043,0.36305198233112523,2,2,2
2021,02,03000,tenure,All,1.550457840518886,1.4462796612898032,1.092617521942814,2,2,2
2021,02,03000,tenure,Owner,1.9963067937816714,2.2544474854601435,1.8795926792348976,2,2,2
2021,02,03000,tenure,Renter,1.1941031097686552,0.9294160169360252,0.53706652512385,2,2,2
2021,04,04720,tenure,All,1.5491660954923963,1.3052758660633006,1.2124689389372574,2,2,2
2021,04,04720,tenure,Owner,2.1564828452734224,2.2173640938839903,NA,2,2,NA
2021,04,04720,tenure,Renter,0.8963709998483673,NA,NA,2,NA,NA
2021,04,07940,tenure,All,1.91920680760383,1.8213829818050418,NA,2,2,NA
2021,04,07940,tenure,Owner,2.0368156772613815,2.0624770900181173,NA,2,2,NA
2021,04,07940,tenure,Renter,NA,NA,NA,NA,NA,NA
2021,04,12000,tenure,All,1.4876995562894069,1.294370633513639,1.33481000205325,3,3,3
2021,04,12000,tenure,Owner,1.9575426515191237,2.2605842653647787,2.542596505927951,3,3,3
2021,04,12000,tenure,Renter,0.966783091468064,0.235245342471809,0.10093349889682318,3,3,3
2021,04,23620,tenure,All,1.4696935105472222,1.2885636747880427,1.330351358481234,3,3,3
2021,04,23620,tenure,Owner,1.7187781212267461,2.056797914665935,2.7570475575640194,3,3,3
2021,04,23620,tenure,Renter,1.279201087078999,0.6004976051239165,NA,3,3,NA
2021,04,27400,tenure,All,1.6709765238489755,1.776646590138999,2.5520751598617224,1,1,1
2021,04,27400,tenure,Owner,2.149661946186753,3.0934214818413146,4.059948311374309,1,1,1
2021,04,27400,tenure,Renter,0.8306902328101032,0.19485372044109414,NA,1,1,NA
2021,04,27820,tenure,All,1.5013769259445344,1.207724884064726,1.0756591091947691,1,1,1
2021,04,27820,tenure,Owner,1.9515142865923572,1.9346440203824833,2.2458801181602737,1,1,1
2021,04,27820,tenure,Renter,1.1240637238248594,0.5381969830979711,0.16130918855765197,1,1,1
2021,04,28380,tenure,All,1.6104050945665955,1.4188576957655594,NA,2,2,NA
2021,04,28380,tenure,Owner,2.0442979830268055,NA,NA,2,NA,NA
2021,04,28380,tenure,Renter,NA,NA,NA,NA,NA,NA
2021,04,46000,tenure,All,1.44978704867788,1.3000771227890713,1.267213146393054,2,2,2
2021,04,46000,tenure,Owner,1.7844397672110706,2.053963331039159,2.1386018651274363,2,2,2
2021,04,46000,tenure,Renter,1.1103162403018123,0.5151412035976003,0.20726665004882133,2,2,2
2021,04,54050,tenure,All,1.651377110636843,1.5376222002344175,1.6449570348048785,2,2,2
2021,04,54050,tenure,Owner,1.9973399218814607,2.317488210971116,2.747208067561684,2,2,2
2021,04,54050,tenure,Renter,1.116804786165832,0.37131522254071847,0.14666576756952623,2,2,2
2021,04,55000,tenure,All,1.4355568494302582,1.1423522794010266,1.0707625055617371,2,2,2
2021,04,55000,tenure,Owner,1.7788050564817297,1.8908325997893056,2.1668011718746416,2,2,2
2021,04,55000,tenure,Renter,1.157554968324065,0.5516220025103821,0.2325359273475827,2,2,2
2021,04,65000,tenure,All,1.5157863971634686,1.5218968721305066,1.5813872461643865,3,3,3
2021,04,65000,tenure,Owner,1.9791436188638194,2.3511813754417403,2.5463968005842155,3,3,3
2021,04,65000,tenure,Renter,0.9578785886829899,0.25608218270566513,0.1267775206643863,3,3,3
2021,04,71510,tenure,All,1.795957894026208,1.926879185928309,2.543701439767115,1,1,1
2021,04,71510,tenure,Owner,2.356695802145841,3.047966289537899,4.317771584090975,1,1,1
2021,04,71510,tenure,Renter,0.7367243847028925,0.243075847257923,NA,1,1,NA
2021,04,73000,tenure,All,1.3473687326771968,0.83661631379565915,0.9082861608524319,3,3,3
2021,04,73000,tenure,Owner,1.9788576280005703,2.614227648893746,2.758621554889243,3,3,3
2021,04,73000,tenure,Renter,1.1144992645696798,0.30240352773526163,0.1886682430270634,3,3,3
2021,04,77000,tenure,All,1.51711601186795,1.3229101587083063,1.1624184606692682,2,2,2
2021,04,77000,tenure,Owner,1.8161924301034993,1.9716385854829186,2.3268223228956293,2,2,2
2021,04,77000,tenure,Renter,1.296589498502753,0.8096393903199531,0.39635760794127495,2,2,2
2021,04,85540,tenure,All,1.889507232149932,1.9381187029244609,1.9198053294836481,2,2,2
2021,04,85540,tenure,Owner,2.2440037554360055,2.5464913181958284,2.5398824517212426,2,2,2
2021,04,85540,tenure,Renter,1.410749876049694,NA,NA,2,NA,NA
2021,05,23290,tenure,All,1.8992401238648797,1.708276600651658,1.320082019977454,2,2,2
2021,05,23290,tenure,Owner,2.3773252245078007,NA,NA,2,NA,NA
2021,05,23290,tenure,Renter,1.55632411525438,1.1530589202727621,NA,2,2,NA
2021,05,24550,tenure,All,1.9292946189318265,1.8621737060541406,1.7996793671553906,2,2,2
2021,05,24550,tenure,Owner,2.073627967972267,2.5532507318217865,2.4777334718217845,2,2,2
2021,05,24550,tenure,Renter,1.7530552840911968,1.026174903221741,0.9840148068101754,2,2,2
2021,05,35710,tenure,All,1.9087016911804342,1.7353031613500074,1.6645371922241954,2,2,2
2021,05,35710,tenure,Owner,2.1004761189096604,2.5512387234168417,2.63891576699043,2,2,2
2021,05,35710,tenure,Renter,1.683942458436132,0.8680495786458787,0.716643514897105,2,2,2
2021,05,41000,tenure,All,1.5552847866941901,1.284991607456485,0.9012551646475847,1,1,1
2021,05,41000,tenure,Owner,1.7771974349184283,1.9056485142026642,1.7362045253532012,1,1,1
2021,05,41000,tenure,Renter,1.3911421614482724,0.8626847486383558,0.3348941594388101,1,1,1
2021,05,66080,tenure,All,2.1258657105179535,1.8667064657919623,1.48629082663724,3,3,3
2021,05,66080,tenure,Owner,2.478242516514979,NA,NA,3,NA,NA
2021,05,66080,tenure,Renter,1.8596285706028226,1.2731208715533893,NA,3,3,NA
2021,06,00562,tenure,All,1.2767604884958843,1.2789147710668463,1.0161013310433662,2,2,2
2021,06,00562,tenure,Owner,1.289594172988096,1.7601761679654624,NA,2,2,NA
2021,06,00562,tenure,Renter,1.2664979649644974,0.8973033069309134,0.40848514488323756,2,2,2
2021,06,00884,tenure,All,1.3649080984188433,1.040918946264783,0.8934324659231722,2,2,2
2021,06,00884,tenure,Owner,1.7365084803837587,1.8195679796696316,NA,2,2,NA
2021,06,00884,tenure,Renter,1.2437940535515022,0.6608420133454423,0.194486519236595,2,2,2
2021,06,02000,tenure,All,1.3382855588020246,0.9984116990831736,0.7984910159917569,3,3,3
2021,06,02000,tenure,Owner,1.447927498356111,1.7036294062058257,2.0366464049536193,3,3,3
2021,06,02000,tenure,Renter,1.2760601753652916,0.6524676580547704,0.23993415154342088,3,3,3
2021,06,02252,tenure,All,1.2376809632185786,0.7317134726176984,0.5510595531710161,1,1,1
2021,06,02252,tenure,Owner,1.5147311007555295,1.2774402466219734,NA,1,1,NA
2021,06,02252,tenure,Renter,0.9695818347769044,0.35503550172188286,0.1612453857753216,1,1,1
2021,06,02364,tenure,All,1.505749083614219,1.2441679618892476,1.2591467231084887,2,2,2
2021,06,02364,tenure,Owner,1.6987419550389153,1.6427079515092224,NA,2,2,NA
2021,06,02364,tenure,Renter,1.3102325152134113,NA,NA,2,NA,NA
2021,06,03526,tenure,All,1.2172522463101156,1.0291311466976374,0.7952685874617046,2,2,2
2021,06,03526,tenure,Owner,1.5086946915368185,1.5671584998798063,1.453120784968638,2,2,2
2021,06,03526,tenure,Renter,1.0170197950749973,0.602997344322262,0.2566722220225727,2,2,2
2021,06,04982,tenure,All,1.2926173210912326,1.0189700980410346,0.9583298643538907,2,2,2
