year,state,county,subgroup_type,subgroup,ratio_affordable_30ami_quality,ratio_affordable_50ami_quality,ratio_affordable_80ami_quality,ratio_available_30ami,ratio_available_50ami,ratio_available_80ami,ratio_affordable_30ami,ratio_affordable_50ami,ratio_affordable_80ami,ratio_available_30ami_quality,ratio_available_50ami_quality,ratio_available_80ami_quality
2022,01,001,tenure,All,2,2,2,0.7854844111325432,0.9213984208198805,0.9876621205741897,1.5836660118024797,1.4934723242394947,1.4726699219445174,2,2,2
2021,01,001,tenure,All,3,3,3,0.9052538181543365,1.08131235270106,1.1429452063762293,2.334737665165105,2.205679475398464,1.8745616179486488,3,3,3
2022,01,001,tenure,Owner,2,2,2,0.8692612642238772,0.8440679399273447,0.9027862913562479,2.311455057163939,1.7037462119611788,1.567678258687996,2,2,2
2021,01,001,tenure,Owner,NA,3,3,NA,1.2059735658474104,1.2057856072346207,NA,2.646366847289442,2.117029913156462,NA,3,3
2022,01,001,tenure,Renter,NA,NA,2,NA,NA,1.1496597322602888,NA,NA,1.2913329761434775,NA,NA,2
2021,01,001,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,003,tenure,All,1,1,1,0.3737251201869075,0.6102489390004434,0.9140411656816793,1.4280001797187403,1.4426426806866408,1.6128999388628489,1,1,1
2021,01,003,tenure,All,1,1,1,0.6993016295310941,0.8445921004060539,1.133902939166097,2.237845028267376,1.9591485172880523,1.9254499886078833,1,1,1
2022,01,003,tenure,Owner,1,1,1,0.48401357859003713,0.6447248810224052,0.8717839885072483,2.1555222230993922,1.856157424736645,1.882199294762962,1,1,1
2021,01,003,tenure,Owner,1,1,1,0.6540045766590389,0.7449357291876977,0.9598077131600824,2.918878718535469,2.233663099804832,2.027144251274081,1,1,1
2022,01,003,tenure,Renter,1,1,1,0.22805005213764337,0.5601646857764313,0.984220800347034,0.4670490093847758,0.8419171910199643,1.1656544843292485,1,1,1
2021,01,003,tenure,Renter,1,1,1,0.7621922160444797,1.0001050199537913,1.4308081119398386,1.2922954725972995,1.5307708464608276,1.7520187388275905,1,1,1
2022,01,005,tenure,All,3,3,3,1.1182205538729875,1.3757980070260505,1.6234037988267025,1.9392600807948672,2.2299810392334347,2.141178398939768,3,3,3
2021,01,005,tenure,All,3,3,3,0.9857597699155186,0.9995533709073585,1.393436853176318,1.884826819331143,1.9055672723881685,1.9798474384730165,3,3,3
2022,01,005,tenure,Owner,NA,NA,3,NA,NA,1.1862629318869473,NA,NA,1.9494738588909777,NA,NA,3
