year,state,county,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,01,001,0.39686095376054065,1.4934723242394947,1.5836660118024797,2,2,2
2022,01,003,0.42942734868555127,1.4426426806866408,1.4280001797187403,1,1,1
2022,01,005,1.0910304158331205,2.1173329518583945,1.9392600807948672,3,3,3
2022,01,007,0.415671341251184,1.926578364030236,2.035327440942979,3,3,3
2022,01,009,0.3605555826017342,1.8710400330152246,1.924233574593084,2,2,2
2022,01,011,1.1311767211486696,2.2552501594376118,2.00543204142172,3,3,3
2022,01,013,1.3124851829165598,2.277257072025273,2.075985551528457,3,3,3
2022,01,015,0.499980487804878,2.0091067864271457,2.295706664408502,1,1,1
2022,01,017,0.650105928973103,1.8452019247821916,1.7178141087471026,3,3,3
2022,01,019,0.5381950135518493,1.7366766398582973,1.6935069469989268,3,3,3
2022,01,021,0.4713528289130487,2.1392665580728947,2.2014789317165895,3,3,3
2022,01,023,0.991206891067809,2.2272535084823315,2.1098728874221084,3,3,3
2022,01,025,0.6971182787769693,2.035251523082994,1.983010425195528,3,3,3
2022,01,027,0.9985647575168225,2.502944863658259,2.3734992872877907,3,3,3
2022,01,029,0.9646369248642309,2.480525934647665,2.348405207440167,3,3,3
2022,01,031,0.7250676306996388,1.8742513891985038,1.9120699492674833,2,2,2
2022,01,033,0.6644562125231641,1.8658813845998334,1.7341843647945903,3,3,3
2022,01,035,1.051000781723588,2.2662912176653953,2.135666474380849,3,3,3
2022,01,037,1.128874993709717,2.2532882459555394,2.0040559069767703,3,3,3
2022,01,039,0.8577696464705816,2.0194717999634904,1.8005773947338028,3,3,3
2022,01,041,1.687461652879407,2.775020650749083,2.324468658373094,3,3,3
2022,01,043,0.4117508480429241,1.9604953761555834,1.9440586815108283,2,2,2
2022,01,045,0.7587448966311867,1.9143923238689096,1.9383794678535116,2,2,2
2022,01,047,0.45205429512804457,1.5737331161857009,1.6322720888362907,3,3,3
2022,01,049,0.37448029634091495,1.8892488747156468,1.8458717111528273,2,2,2
2022,01,051,0.4085297306899338,2.3224700973805734,2.442856684883843,1,1,1
2022,01,053,0.5643798774521166,1.9485904436396957,1.9257504031466726,3,3,3
2022,01,055,0.45012965085702056,1.7138150197166684,1.6814915734484261,1,1,1
2022,01,057,0.5718375447271166,2.0699731312924365,2.087679379674802,3,3,3
2022,01,059,0.8635193162678635,1.788958477559406,1.792993926937129,3,3,3
2022,01,061,0.9603770490282554,2.0701671991848385,2.2334716856856573,3,3,3
2022,01,063,0.8419874968670137,2.320039860280566,2.3044865915484447,3,3,3
2022,01,065,0.5130203146369062,2.1077012800041715,2.1079631859803256,3,3,3
2022,01,067,1.1969497206947974,2.208538806140575,2.3749176069581925,3,3,3
2022,01,069,0.6332292874921704,1.908774255243633,2.0420013159450403,2,2,2
2022,01,071,0.39095149902452964,1.9145417773025413,1.863908897864013,2,2,2
2022,01,073,0.5866805653145958,1.4140088508251116,1.2552172935187247,1,1,1
2022,01,075,0.6125923532317595,2.1076981857392947,2.120386905004143,3,3,3
2022,01,077,0.5910508175084886,1.828545231062113,1.7049808229548105,2,2,2
2022,01,079,0.5877368352243677,2.1506029903829695,2.2209082644724223,3,3,3
2022,01,081,0.6306573652059946,1.4888572478673303,1.2314210436872006,1,1,1
2022,01,083,0.3123072761698675,2.439269494637163,2.0798659592292656,1,1,1
2022,01,085,0.865290533053914,2.0409696863145843,2.015866805913462,3,3,3
2022,01,087,0.8092104289598901,1.980817140684773,1.8129379618467272,3,3,3
2022,01,089,0.686175112143907,1.8254264315787583,1.4673164182771992,1,1,1
2022,01,091,0.5333119917100297,2.0349197892231325,2.0572882221159747,3,3,3
2022,01,093,0.4950419778108119,2.057423171216867,1.9698874610540336,3,3,3
2022,01,095,0.4441967681445027,1.6817627231597239,1.6377087663895724,1,1,1
2022,01,097,0.5572627303728113,1.3195836321696486,1.3254978123046701,1,1,1
2022,01,099,0.7571792832786438,2.0744636232033336,2.0089192383778247,3,3,3
2022,01,101,0.6533627015360971,1.4926799613564492,1.2517941773614691,1,1,1
2022,01,103,0.45815023720354636,1.9958549339537413,2.086923892121553,1,1,1
2022,01,105,0.9836489040622893,2.1347786877752144,2.126684735979078,3,3,3
2022,01,107,0.5361319738961572,2.0369219490374486,2.0590240895335388,3,3,3
2022,01,109,0.9297945728081503,2.000896080009897,1.8397135827580464,3,3,3
2022,01,111,0.8154385112361561,2.3487338431006424,2.2125800659682784,3,3,3
2022,01,113,0.6019422022074362,1.5281499253421622,1.8540775502524827,2,2,2
2022,01,115,0.3450138421485964,1.8474197934671523,1.9164697001718674,2,2,2
2022,01,117,0.41124824342852273,1.98527815796337,1.9448671867843297,1,1,1
2022,01,119,0.6499338409886032,2.142263669186312,2.150355090390245,3,3,3
2022,01,121,0.5686527141599624,2.1409149727901737,1.9957210460037051,2,2,2
2022,01,123,0.6123306526312144,1.7487989909228956,1.698498497962158,2,2,2
2022,01,125,0.6618864609640935,1.5454902240616526,1.2997568275346054,1,1,1
2022,01,127,0.42770306495662047,1.980092853488675,2.035481983181926,2,2,2
2022,01,129,0.87580966646476055,2.1519139839058177,2.0600934147209395,3,3,3
2022,01,131,1.1180892911237346,2.3100913733462667,2.1646067771804582,3,3,3
2022,01,133,0.5227707471834888,2.080741046322697,1.9794376950024826,3,3,3
2022,02,013,1.4664451496958768,2.912256862751912,3.004345434543454,3,3,3
2022,02,016,1.0584658851434545,2.325098802111845,2.6929315441998685,3,3,3
