year,state,county,share_affordable_available_30_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami,share_affordable_available_50_ami_quality,share_affordable_available_80_ami,share_affordable_available_80_ami_quality
2014,01,001,0.7339990276176522,3,0.8162396041554555,3,0.969796948916553,3
2014,01,003,0.5510933102403117,1,0.8066987205606715,1,1.1215974212034383,1
2014,01,005,1.2723786496714262,3,1.2723786496714262,3,1.5268374654405774,3
2014,01,007,0.8188721971507271,3,0.9996849114041978,3,1.1796081193604555,3
2014,01,009,0.8077137222874873,2,0.97531449200915,2,1.0533965552065736,2
2014,01,011,NA,NA,NA,NA,NA,NA
2014,01,013,1.4301273889634214,3,1.4301273889634214,3,1.6358010109956274,3
2014,01,015,0.783980744801765,1,0.82378962890145,1,0.9700034578146611,1
2014,01,017,0.7903794655835273,3,0.7903794655835273,3,1.2327500801296698,3
2014,01,019,0.8282535860655099,3,0.9082430790979705,3,1.4133625984435543,3
2014,01,021,0.7461432415932445,3,0.8749600615553527,3,1.1660733656062703,3
2014,01,023,NA,NA,NA,NA,0.9620240351792012,3
2014,01,025,0.8447982491895777,3,0.8447982491895777,3,0.9596632832000266,3
2014,01,027,NA,NA,NA,NA,NA,NA
2014,01,029,NA,NA,NA,NA,NA,NA
2014,01,031,1.001655705750636,2,1.1333614640884961,2,1.2149900945175915,2
2014,01,033,0.9087373821189916,3,0.9387825663108116,3,1.2150573015671136,3
2014,01,035,NA,NA,NA,NA,0.9626318547006766,3
2014,01,037,NA,NA,NA,NA,NA,NA
2014,01,039,1.0888466441822555,3,1.0888466441822555,3,1.3184211974115614,3
2014,01,041,NA,NA,1.8777349928684568,3,1.9213733645729207,3
2014,01,043,0.7373525849098348,1,0.720940228018549,1,0.9704819578485443,1
2014,01,045,1.026783395446247,3,1.1844059877177813,3,1.4380870795862553,3
2014,01,047,0.7777573354857088,3,0.7777573354857088,3,1.0255658486909103,3
2014,01,049,0.8910046169182759,2,0.8910046169182759,2,1.251835490302985,2
2014,01,051,0.712314162183998,2,0.788046644528126,2,0.9455620254835941,2
2014,01,053,0.8275194633912195,3,0.8275194633912195,3,0.9539012940104664,3
2014,01,055,0.8029038986042034,1,0.8029038986042034,1,0.9782401524777636,1
2014,01,057,NA,NA,NA,NA,1.3786474775693929,3
2014,01,059,1.08112435468935,3,1.0967665465138794,3,1.4385301440320541,3
2014,01,061,1.3402265234295538,3,1.4781323160018511,3,1.9115171362524706,3
2014,01,063,NA,NA,NA,NA,NA,NA
2014,01,065,NA,NA,NA,NA,1.220792587801562,3
2014,01,067,1.7091472087682626,3,1.743664321689982,3,2.4592632141307234,3
2014,01,069,0.8458073036939806,2,0.91168435862832,2,1.184526545960346,2
2014,01,071,0.9590659390795231,2,0.9630596258981194,2,1.3605943961360223,2
2014,01,073,0.5589023415031075,1,0.7077195170573622,1,0.9883716800329599,1
2014,01,075,NA,NA,NA,NA,1.4565376815459032,3
2014,01,077,0.8094005066658965,2,0.8435843289282892,2,1.097082061828046,2
2014,01,079,1.0240459288863515,3,1.3574146134958933,3,1.4629676549209893,3
2014,01,081,0.49150748716863324,1,0.6570108253818835,1,1.0123955725789426,1
2014,01,083,0.6457057684745791,2,0.8678379224965703,2,1.108304137524858,2
2014,01,085,NA,NA,NA,NA,NA,NA
2014,01,087,1.4501371161623984,3,1.4501371161623984,3,1.7026819018641843,3
2014,01,089,0.6541243666266578,1,0.9205648112684224,1,1.0692466970559855,1
2014,01,091,0.8248865626646826,3,0.825438510089305,3,1.1424269767793171,3
2014,01,093,1.3323904152833919,3,1.3323904152833919,3,1.6813681935513043,3
2014,01,095,0.8611534807915634,1,0.885040817761739,1,0.9762009614067467,1
2014,01,097,0.5552945642631741,1,0.6277147260753818,1,0.94677744142318,1
2014,01,099,0.8298811612348586,3,0.8298811612348586,3,0.9569412617688775,3
2014,01,101,0.49182092393181415,1,0.6128392070563686,1,1.0241888206592522,1
2014,01,103,0.7333458253966807,1,0.8825444018261878,1,1.0797219692393218,1
2014,01,105,NA,NA,NA,NA,NA,NA
2014,01,107,NA,NA,NA,NA,0.9594454365660647,3
2014,01,109,1.1673952288186349,3,1.1673952288186349,3,1.4229844628910817,3
2014,01,111,NA,NA,NA,NA,1.356519516359894,3
2014,01,113,0.9629432315357817,2,1.0228507633270418,2,1.2658212457685694,2
2014,01,115,0.7553152760387497,2,0.9175225724706211,2,1.0126207673626588,2
2014,01,117,0.5219749908054432,1,0.6270569193417858,1,0.9182850590019606,1
2014,01,119,NA,NA,NA,NA,1.2591951382668143,3
2014,01,121,0.7211048921153778,2,0.7211048921153778,2,1.0462875891899932,2
2014,01,123,0.7539860848424684,3,0.8056424417316856,3,1.1719795480399111,3
2014,01,125,0.5103990471267273,1,0.5769686822101983,1,0.9246617977862871,1
2014,01,127,0.8633026298674573,2,0.8690558002973986,2,1.0577492477352564,2
2014,01,129,NA,NA,0.9157288486170723,3,0.9655865245604007,3
2014,01,131,NA,NA,NA,NA,NA,NA
2014,01,133,NA,NA,NA,NA,1.033194250188179,3
2014,02,013,NA,NA,NA,NA,NA,NA
2014,02,016,NA,NA,NA,NA,NA,NA
2014,02,020,0.27354081167350663,1,0.5513906922708945,1,0.8489869851066685,1
2014,02,050,0.9412543217369942,3,1.1381548247794775,3,1.2937705752718747,3
2014,02,060,NA,NA,NA,NA,NA,NA
2014,02,063,NA,NA,NA,NA,NA,NA
2014,02,066,NA,NA,NA,NA,NA,NA
2014,02,068,NA,NA,NA,NA,NA,NA
2014,02,070,NA,NA,NA,NA,NA,NA
