year,state,place,subgroup_type,subgroup,ratio_affordable_30ami_quality,ratio_affordable_50ami_quality,ratio_affordable_80ami_quality,ratio_available_30ami,ratio_available_50ami,ratio_available_80ami,ratio_affordable_30ami,ratio_affordable_50ami,ratio_affordable_80ami,ratio_available_30ami_quality,ratio_available_50ami_quality,ratio_available_80ami_quality
2022,01,03076,tenure,All,2,2,2,0.43456004444607277,0.780626460302674,1.0330518903280712,1.0732139613272789,1.3998572295334433,1.5338485761151968,2,2,2
2021,01,03076,tenure,All,2,2,2,0.43458266251404604,0.8910275972843924,1.1546181764715975,1.0797692004738686,1.6009258536480975,1.6106648135192874,2,2,2
2022,01,07000,tenure,All,2,2,2,0.5596015191349218,0.8457606361001336,1.0692093802879632,1.0813584117619461,1.2991560941899387,1.3643949165457803,2,2,2
2021,01,07000,tenure,All,3,3,3,0.5184423662011982,0.7785470269486242,1.0302268104640842,1.0941764696679244,1.3193028765226853,1.429377373269051,3,3,3
2022,01,35896,tenure,All,3,3,3,0.38128926743477837,0.5472410132623674,0.9770784984634627,1.4617285936171387,1.5474725805355087,1.7747439885664482,3,3,3
2021,01,35896,tenure,All,3,3,3,0.460781281371604,0.6413105077542525,0.9668637388727901,1.5012359308015644,1.622887146276713,1.7837232729307717,3,3,3
2022,01,37000,tenure,All,2,2,2,0.47868597234561033,0.9255226167287123,1.1047380254404278,1.4555001791521525,1.841907445632698,1.8431372184609898,2,2,2
2021,01,37000,tenure,All,3,3,3,0.5929126933262985,0.9104289792014466,1.0395242684576416,1.8416749894072122,1.9139176691716762,1.8765150553619319,3,3,3
2022,01,50000,tenure,All,2,2,2,0.5183935477817135,0.5579369706611279,0.9497113446087593,1.129104334967924,1.1443827906102981,1.5221636089442618,2,2,2
2021,01,50000,tenure,All,3,3,3,0.5675121491446924,0.5874457264599359,0.9421758867124411,1.339220914603044,1.3028447400519851,1.4556162247759525,3,3,3
2022,01,51000,tenure,All,1,1,1,0.35205135559530526,0.6682569341043382,1.020452185602069,1.2191725804336235,1.4700346977990029,1.6046262018060748,1,1,1
2021,01,51000,tenure,All,3,3,3,0.5206786922372534,0.686908555749459,1.077322803008579,1.1088907167957935,1.230730439675087,1.6193848847189998,3,3,3
2022,01,77256,tenure,All,2,2,2,0.4372948860548666,0.7232886949725351,1.0253167539558252,0.9636244302830733,1.3783077218282962,1.4736995269632207,2,2,2
2021,01,77256,tenure,All,2,2,2,0.430419179653058,0.6433474612983858,0.9999081983156547,0.8823092525632276,1.0959277425195761,1.396090399963076,2,2,2
2022,02,03000,tenure,All,1,1,1,0.21862561461016156,0.7052374325379315,0.9649594644273746,0.9443338796534769,1.6146091442924544,1.6381788982837684,1,1,1
2021,02,03000,tenure,All,2,2,2,0.3869473910936406,0.6744582890627515,0.9016596718809614,1.092617521942814,1.4462796612898032,1.550457840518886,2,2,2
2022,04,04720,tenure,All,NA,2,2,NA,0.42593439528968685,0.7045711526432641,NA,1.1334970908750275,1.277825779073166,NA,2,2
2021,04,04720,tenure,All,2,2,2,0.353742073243389,0.47707673785352916,0.7941024963089446,1.2124689389372574,1.3052758660633006,1.5491660954923963,2,2,2
2022,04,07940,tenure,All,2,2,2,0.4634617989028522,0.6381063125672485,0.7776859462332668,1.6953151702985891,1.5838282759850197,1.5157355967106754,2,2,2
2021,04,07940,tenure,All,NA,2,2,NA,0.6218960286688796,0.8602536903715645,NA,1.8213829818050418,1.91920680760383,NA,2,2
2022,04,12000,tenure,All,1,1,1,0.3339984617572352,0.45893713227363486,0.7161463832651548,1.7706409949124684,1.497991216488935,1.631125427793212,1,1,1
2021,04,12000,tenure,All,3,3,3,0.3053491145100607,0.3969338778189175,0.7166093303336384,1.33481000205325,1.294370633513639,1.4876995562894069,3,3,3
2022,04,23620,tenure,All,2,2,2,0.4586436083731989,0.6301569333981296,0.8579454383775477,1.5062101832125008,1.3032740882098452,1.3384778046017163,2,2,2
2021,04,23620,tenure,All,3,3,3,0.4476484908790374,0.6293926460517966,0.8881986015685118,1.330351358481234,1.2885636747880427,1.4696935105472222,3,3,3
2022,04,27400,tenure,All,1,1,1,0.4701409579105561,0.5426928990814123,0.7157981331384177,2.2684243876074754,1.7946111081705771,1.7066887692530688,1,1,1
