year,state,place,share_affordable_available_30_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami,share_affordable_available_50_ami_quality,share_affordable_available_80_ami,share_affordable_available_80_ami_quality
2021,01,03076,0.43458266251404604,2,0.8626132207345111,2,1.1546181764715975,2
2021,01,07000,0.5259788362908806,3,0.7982868410071718,3,1.0570511467700403,3
2021,01,35896,0.460781281371604,3,0.6214249816176389,3,0.9668637388727901,3
2021,01,37000,0.5929126933262985,3,0.9047484518927484,3,1.036925073653536,3
2021,01,50000,0.5675121491446924,3,0.5874457264599359,3,0.9406256842085192,3
2021,01,51000,0.5206786922372534,3,0.6770799664757166,3,1.077322803008579,3
2021,01,77256,0.430419179653058,2,0.6433474612983858,2,0.9999081983156547,2
2021,02,03000,0.3869473910936406,2,0.6744582890627515,2,0.9016596718809614,2
2021,04,04720,0.353742073243389,2,0.47707673785352916,2,0.7941024963089446,2
2021,04,07940,NA,NA,0.6218960286688796,2,0.8602536903715645,2
2021,04,12000,0.3053491145100607,3,0.3969338778189175,3,0.7166093303336384,3
2021,04,23620,0.3991000610128127,3,0.5871357929081354,3,0.8881986015685118,3
2021,04,27400,0.4053262001309053,1,0.42953189907359857,1,0.6262562184484259,1
2021,04,27820,0.35266167294942735,1,0.530752071593696,1,0.9039169027661957,1
2021,04,28380,NA,NA,0.3834398111957916,2,0.7082398827761236,2
2021,04,46000,0.34457625257511504,2,0.5304330438349149,2,0.86563878562683,2
2021,04,54050,0.44360377743548873,2,0.5930372365282572,2,0.8885315393713461,2
2021,04,55000,0.3178725385598225,2,0.49973977489595006,2,0.8474652113628142,2
2021,04,65000,0.28062998057081673,3,0.4586718287960262,3,0.6577438456899789,3
2021,04,71510,0.4706287500629866,1,0.5267154953426622,1,0.8513616334943382,1
2021,04,73000,0.2408453258196302,3,0.28762896783277947,3,0.7832034698222193,3
2021,04,77000,0.43567814091186674,2,0.6449248586775481,2,0.9549695204915697,2
2021,04,85540,0.5301901628570713,2,0.5319396423262388,2,0.8910784386372524,2
2021,05,23290,0.47128585539181567,2,0.8343299838186832,2,1.0908385081695537,2
2021,05,24550,0.7889272485113229,2,0.8051630003062975,2,1.1051813596838436,2
