year,state,place,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2021,01,03076,1.6106648135192874,1.5725114770982163,1.0797692004738686,2,2,2
2021,01,07000,1.4562017095750073,1.339042690581233,1.1017129397576066,3,3,3
2021,01,35896,1.7837232729307717,1.6030016201400994,1.5012359308015644,3,3,3
2021,01,37000,1.873915860557826,1.9082371418629778,1.8416749894072122,3,3,3
2021,01,50000,1.4540660222720305,1.3028447400519851,1.339220914603044,3,3,3
2021,01,51000,1.6193848847189998,1.2209018504013447,1.1088907167957935,3,3,3
2021,01,77256,1.396090399963076,1.0959277425195761,0.8823092525632276,2,2,2
2021,02,03000,1.550457840518886,1.4462796612898032,1.092617521942814,2,2,2
2021,04,04720,1.5491660954923963,1.3052758660633006,1.2124689389372574,2,2,2
2021,04,07940,1.91920680760383,1.8213829818050418,NA,2,2,NA
2021,04,12000,1.4876995562894069,1.294370633513639,1.33481000205325,3,3,3
2021,04,23620,1.4696935105472222,1.2463068216443816,1.2818029286150094,3,3,3
2021,04,27400,1.6709765238489755,1.776646590138999,2.5520751598617224,1,1,1
2021,04,27820,1.507668320370768,1.207724884064726,1.0756591091947691,1,1,1
2021,04,28380,1.6104050945665955,1.4188576957655594,NA,2,2,NA
2021,04,46000,1.44978704867788,1.3000771227890713,1.267213146393054,2,2,2
2021,04,54050,1.6310584942285653,1.5376222002344175,1.6449570348048785,2,2,2
2021,04,55000,1.4355568494302582,1.1423522794010266,1.0707625055617371,2,2,2
2021,04,65000,1.5157863971634686,1.5218968721305066,1.5813872461643865,3,3,3
2021,04,71510,1.795957894026208,1.926879185928309,2.543701439767115,1,1,1
2021,04,73000,1.3543638495027261,0.8461945396889785,0.9082861608524319,3,3,3
2021,04,77000,1.51711601186795,1.3203639352066612,1.1624184606692682,2,2,2
2021,04,85540,1.865864732725321,1.9180514374505924,1.8994650910986788,2,2,2
2021,05,23290,1.8992401238648797,1.708276600651658,1.320082019977454,2,2,2
2021,05,24550,1.9292946189318265,1.8621737060541406,1.7996793671553906,2,2,2
2021,05,35710,1.9087016911804342,1.7221304305613585,1.6497617348499123,2,2,2
2021,05,41000,1.5552847866941901,1.284991607456485,0.9012551646475847,1,1,1
2021,05,66080,2.1258657105179535,1.8291542002820895,1.48629082663724,3,3,3
2021,06,00562,1.2767604884958843,1.2789147710668463,1.0161013310433662,2,2,2
2021,06,00884,1.3649080984188433,1.040918946264783,0.8934324659231722,2,2,2
2021,06,02000,1.3382855588020246,0.9984116990831736,0.7984910159917569,3,3,3
2021,06,02252,1.2376809632185786,0.7317134726176984,0.5510595531710161,1,1,1
2021,06,02364,1.505749083614219,1.2441679618892476,1.2591467231084887,2,2,2
2021,06,03526,1.2046005109306153,1.0276821941586576,0.7952685874617046,2,2,2
2021,06,04982,1.2926173210912326,1.0189700980410346,0.9583298643538907,2,2,2
2021,06,06000,1.3678806529427163,1.0015144252951467,0.8777776706281933,1,1,1
2021,06,08786,1.463324600048102,1.2307475742439036,1.1287846784066904,3,3,3
2021,06,08954,1.099633241601202,0.7073370903321115,0.5452221637470867,1,1,1
2021,06,11194,1.1870596412693208,0.9485400715259803,0.9263040113209913,1,1,1
2021,06,11530,1.4210485687487857,1.4138558178839014,1.7557973508608764,1,1,1
2021,06,13014,1.2807459976874687,0.9489117291414751,0.7996438112199467,1,1,1
2021,06,13210,0.9881527300014431,1.0444393385583908,NA,2,2,NA
2021,06,13214,1.00152935700512,1.080932456664674,NA,2,2,NA
2021,06,13392,1.2871300510967254,0.994771978151975,0.8257837919424514,1,1,1
2021,06,13588,1.2759081018791798,1.039897602728167,0.7876267316495086,1,1,1
2021,06,14218,1.4309736232094104,1.491438892380078,1.139298956161322,1,1,1
2021,06,15044,1.2910682005193928,1.0909633801586682,0.776801787778656,2,2,2
2021,06,16000,1.2991603740540256,0.9699323733716917,0.9644637625432368,3,3,3
2021,06,16350,0.97833904441110775,0.9850078834145158,1.1590388138666554,2,2,2
2021,06,16532,1.413495402112797,0.9133579457420848,0.9986152350001818,2,2,2
2021,06,17918,1.3570436164334512,1.254111730246623,0.999516411741679,2,2,2
2021,06,19766,1.1204940834948192,0.9054882905951525,0.9483295529106589,1,1,1
2021,06,21712,1.2471783151353282,0.8729575072749574,0.6002713069754146,2,2,2
2021,06,22020,1.2969849258761428,1.5210735254266599,1.5004176545132437,1,1,1
2021,06,22230,1.2677769542647477,0.930499513063714,0.7645478486041658,1,1,1
2021,06,22804,1.2464337980166067,0.8554944890858405,0.7822361460399617,1,1,1
2021,06,23182,1.0857097574242076,0.8014050460794683,0.8850994721883881,1,1,1
2021,06,24638,1.372741736642553,1.26574673664589,0.837337295287189,2,2,2
2021,06,24680,1.301003334757618,0.9206408849251893,0.8749182038543772,1,1,1
2021,06,26000,1.526236051853305,1.3386134792974023,1.3554842424782305,2,2,2
2021,06,27000,1.3581088138571282,0.9644181756320399,0.7893479976349227,3,3,3
2021,06,28000,1.2825423977328043,1.0664175610279467,1.0126712252123167,3,3,3
2021,06,29000,1.2619252610731542,1.0058098982536057,0.8461675505168695,3,3,3
2021,06,30000,1.0968988259055648,0.6352246756510637,0.36888430887284623,2,2,2
2021,06,32548,1.3402509656617878,1.1009152172698513,0.5254080245029679,2,2,2
2021,06,33000,1.3417369036144777,1.0069456877436291,0.9949054087927449,1,1,1
2021,06,33182,1.0923061577521624,1.0140990646201546,0.9707154750239049,2,2,2
2021,06,33434,1.3509996943544804,1.0863243056748142,1.1115500261289641,2,2,2
2021,06,36000,1.4405369872839051,1.1214655276942662,1.0460508338220686,3,3,3
2021,06,36448,1.4602919864151158,1.3191588269427286,1.5602864623567996,2,2,2
2021,06,36546,1.353753879531115,1.004780728544162,0.7435175246717953,1,1,1
2021,06,36770,1.1784419000727702,0.8285909550965385,0.6583665281637898,2,2,2
2021,06,37692,1.4161070586924904,1.1986628172117935,NA,2,2,NA
2021,06,39496,1.2636837108191432,0.9348210273796789,0.8824081334487293,3,3,3
2021,06,39892,1.4333288892585063,1.4723935356569546,1.481130907445952,2,2,2
