year,state,county,state_name,county_name,share_digital_access,share_digital_access_quality
2016,04,013,Arizona,Maricopa County,0.8456221061828337,1
2016,04,015,Arizona,Mohave County,0.8064234883830529,1
2016,04,017,Arizona,Navajo County,0.57942060916426,1
2016,04,019,Arizona,Pima County,0.8468646700013721,1
2016,04,021,Arizona,Pinal County,0.8287823380077369,1
2016,04,023,Arizona,Santa Cruz County,NA,NA
2016,04,025,Arizona,Yavapai County,0.7956445736189213,1
2016,04,027,Arizona,Yuma County,0.7934366104663894,1
2016,05,001,Arkansas,Arkansas County,NA,NA
2016,05,003,Arkansas,Ashley County,NA,NA
2016,05,005,Arkansas,Baxter County,NA,NA
2016,05,007,Arkansas,Benton County,0.5835926090545431,1
2016,05,009,Arkansas,Boone County,NA,NA
2016,05,011,Arkansas,Bradley County,NA,NA
2016,05,013,Arkansas,Calhoun County,NA,NA
2016,05,015,Arkansas,Carroll County,NA,NA
2016,05,017,Arkansas,Chicot County,NA,NA
2016,05,019,Arkansas,Clark County,NA,NA
2016,05,021,Arkansas,Clay County,NA,NA
2016,05,023,Arkansas,Cleburne County,NA,NA
2016,05,025,Arkansas,Cleveland County,NA,NA
2016,05,027,Arkansas,Columbia County,NA,NA
2016,05,029,Arkansas,Conway County,NA,NA
2016,05,031,Arkansas,Craighead County,0.7897922789038756,1
2016,05,033,Arkansas,Crawford County,NA,NA
2016,05,035,Arkansas,Crittenden County,NA,NA
2016,05,037,Arkansas,Cross County,NA,NA
2016,05,039,Arkansas,Dallas County,NA,NA
2016,05,041,Arkansas,Desha County,NA,NA
2016,05,043,Arkansas,Drew County,NA,NA
2016,05,045,Arkansas,Faulkner County,0.7691520334819397,1
2016,05,047,Arkansas,Franklin County,NA,NA
2016,05,049,Arkansas,Fulton County,NA,NA
2016,05,051,Arkansas,Garland County,0.7953394896842962,1
2016,05,053,Arkansas,Grant County,NA,NA
2016,05,055,Arkansas,Greene County,NA,NA
2016,05,057,Arkansas,Hempstead County,NA,NA
2016,05,059,Arkansas,Hot Spring County,NA,NA
2016,05,061,Arkansas,Howard County,NA,NA
2016,05,063,Arkansas,Independence County,NA,NA
2016,05,065,Arkansas,Izard County,NA,NA
2016,05,067,Arkansas,Jackson County,NA,NA
2016,05,069,Arkansas,Jefferson County,0.6398504672897196,1
2016,05,071,Arkansas,Johnson County,NA,NA
2016,05,073,Arkansas,Lafayette County,NA,NA
2016,05,075,Arkansas,Lawrence County,NA,NA
2016,05,077,Arkansas,Lee County,NA,NA
2016,05,079,Arkansas,Lincoln County,NA,NA
2016,05,081,Arkansas,Little River County,NA,NA
2016,05,083,Arkansas,Logan County,NA,NA
2016,05,085,Arkansas,Lonoke County,0.7680328180195237,1
2016,05,087,Arkansas,Madison County,NA,NA
2016,05,089,Arkansas,Marion County,NA,NA
2016,05,091,Arkansas,Miller County,NA,NA
2016,05,093,Arkansas,Mississippi County,NA,NA
2016,05,095,Arkansas,Monroe County,NA,NA
2016,05,097,Arkansas,Montgomery County,NA,NA
2016,05,099,Arkansas,Nevada County,NA,NA
2016,05,101,Arkansas,Newton County,NA,NA
2016,05,103,Arkansas,Ouachita County,NA,NA
2016,05,105,Arkansas,Perry County,NA,NA
2016,05,107,Arkansas,Phillips County,NA,NA
2016,05,109,Arkansas,Pike County,NA,NA
2016,05,111,Arkansas,Poinsett County,NA,NA
2016,05,113,Arkansas,Polk County,NA,NA
2016,05,115,Arkansas,Pope County,NA,NA
2016,05,117,Arkansas,Prairie County,NA,NA
2016,05,119,Arkansas,Pulaski County,0.7679845744647873,1
2016,05,121,Arkansas,Randolph County,NA,NA
2016,05,123,Arkansas,St. Francis County,NA,NA
2016,05,125,Arkansas,Saline County,0.8372875884807821,1
