year,state,place,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,01,03076,0.903913260219342,0.8660863518112902,0.9417401686273938,2
2014,01,07000,0.8577536273513943,0.7927062381808307,0.9228010165219578,3
2014,01,35896,0.9224801816903516,0.8868928344565398,0.9580675289241636,3
2014,01,37000,0.941358039056653,0.9121284529860074,0.9705876251272988,3
2014,01,50000,0.7770815018549055,0.693872639941909,0.8602903637679021,3
2014,01,51000,0.83201797954026,0.7732724924051706,0.8907634666753494,3
2014,01,77256,0.9370862911736448,0.903253031241537,0.9709195511057528,2
2014,02,03000,0.8471292351389734,0.7835667762649239,0.910691694013023,2
2014,04,04720,0.8520169304891371,0.7659599676730855,0.9380738933051886,2
2014,04,07940,0.8266884063128458,0.722097903670708,0.9312789089549836,2
2014,04,12000,0.8793641669964982,0.8380493054454496,0.9206790285475468,3
2014,04,23620,0.935063450325826,0.9056102410395254,0.9645166596121264,3
2014,04,27400,0.936393464043723,0.8988350081741366,0.9739519199133094,1
2014,04,27820,0.8177716196990483,0.7578004406386514,0.8777427987594453,1
2014,04,28380,0.8937137298704136,0.8107473567104512,0.976680103030376,2
2014,04,46000,0.8658806392824671,0.8313255666829034,0.9004357118820308,2
2014,04,54050,0.902773610168794,0.8381440720068292,0.9674031483307588,2
2014,04,55000,0.8238135444459422,0.8069367646107931,0.8406903242810914,2
2014,04,65000,0.7970189043323258,0.746628432118471,0.8474093765461806,3
2014,04,71510,0.8998112871375219,0.7945375244662878,1,1
2014,04,73000,0.9409492705477082,0.9114169428216892,0.970481598273727,3
2014,04,77000,0.8893797804789485,0.8671020167534623,0.9116575442044348,2
2014,04,85540,0.7978941210880375,0.7404346131818447,0.8553536289942303,2
2014,05,23290,0.916832512831256,0.87983032658452065,0.9538346990779912,2
2014,05,24550,0.87752587481518,0.8139876983852697,0.9410640512450902,2
2014,05,35710,0.8703028394150285,0.8133870162604419,0.9272186625696152,2
2014,05,41000,0.8708002382252499,0.8010363123167753,0.9405641641337243,1
2014,05,66080,0.9164070473361812,0.8819171572238663,0.9508969374484962,3
2014,06,00562,0.8911007025761124,0.8014873931405609,0.980714012011664,2
2014,06,00884,0.962061155152888,0.9221134692903404,1,2
2014,06,02000,0.8803004417954644,0.8322030238545918,0.928397859736337,3
2014,06,02252,0.9021784273314136,0.8227475527343371,0.9816093019284904,1
2014,06,02364,0.9000591426458014,0.8469988159355557,0.9531194693560472,2
2014,06,03526,0.8986529440796898,0.8614069544524295,0.93589893370695,2
2014,06,04982,0.9140952581227096,0.866680550340424,0.9615099659049952,2
2014,06,06000,0.99275123558484335,0.9833429541883084,1,1
2014,06,08786,0.90922708231753,0.8465014002292038,0.9719527644058564,3
2014,06,08954,0.93659281894576,0.870946543654791,1,1
2014,06,11194,0.9714129760364676,0.9263620917461723,1,1
2014,06,11530,0.872960421398246,0.8020930751719885,0.9438277676245036,1
2014,06,13014,0.9456967213114756,0.9030878931544968,0.9883055494684544,1
2014,06,13210,0.8826731720997743,0.7974015151616207,0.9679448290379278,2
2014,06,13214,0.8874145556895858,0.7940490202825228,0.9807800910966488,2
2014,06,13392,0.8992698990436655,0.8588469890730717,0.9396928090142592,1
2014,06,13588,0.8316307806010568,0.7679475152145351,0.8953140459875785,1
2014,06,14218,0.9221219858212792,0.8435154359175545,1,1
2014,06,15044,0.8116446948590083,0.74572420188967,0.8775651878283465,2
2014,06,16000,0.8518204548361639,0.793558813652933,0.9100820960193948,3
2014,06,16350,0.9546834047297224,0.9211203558603736,0.9882464535990712,2
2014,06,16532,0.9460457564160988,0.8908663694638317,1,2
2014,06,17918,0.9563055799708168,0.929776432133963,0.9828347278076706,2
2014,06,19766,0.9046201722456332,0.8149748355081818,0.9942655089830844,1
2014,06,21712,0.889079977863351,0.8201856667815768,0.9579742889451252,2
2014,06,22020,0.854278832722707,0.7788377263749414,0.9297199390704726,1
2014,06,22230,0.835188593995783,0.7609789216241999,0.9093982663673662,1
2014,06,22804,0.8043561159484394,0.7203105046367249,0.8884017272601539,1
2014,06,23182,0.807072515666965,0.7188097748245686,0.8953352565093614,1
2014,06,24638,0.8835034013605443,0.7996979208277352,0.9673088818933534,2
2014,06,24680,0.8760494667716539,0.8236171967497125,0.9284817367935952,1
2014,06,26000,0.9255746155564244,0.8640679745658616,0.987081256546987,2
2014,06,27000,0.8273072249581562,0.7884625834401845,0.866151866476128,3
2014,06,28000,0.9540229537824958,0.9161669638643414,0.9918789437006502,3
2014,06,29000,0.8782908958273219,0.815995969071043,0.9405858225836008,3
2014,06,30000,0.9322799696143756,0.8808207395488075,0.9837391996799436,2
2014,06,32548,0.8760011678598898,0.7930323453570345,0.9589699903627452,2
2014,06,33000,0.862024446476783,0.7955961852031873,0.9284527077503788,1
2014,06,33182,0.905135005182204,0.836514411935913,0.973755598428495,2
2014,06,33434,0.9001513163400385,0.8469390873105235,0.9533635453695536,2
2014,06,36000,0.8795018456393867,0.793681793915791,0.9653218973629824,3
2014,06,36448,0.7932064476776316,0.6987234237493928,0.8876894716058704,2
2014,06,36546,0.8839834429697119,0.8088908090347848,0.9590760769046388,1
2014,06,36770,0.9834171714822576,0.9717462699354326,0.9950880730290824,2
2014,06,37692,0.8527990507691767,0.78229311957864,0.9233049819597134,2
2014,06,39496,0.9259931056859478,0.8770947831744904,0.9748914281974052,3
2014,06,39892,0.898409671505106,0.8394464362013955,0.9573729068088164,2
2014,06,40130,0.7841139702742788,0.707653305673656,0.8605746348749015,1
