year,state,place,share_meps20_black,share_meps20_black_quality,share_meps20_hispanic,share_meps20_hispanic_quality,share_meps20_white,share_meps20_white_quality
2022,01,03076,0,1,0,1,0,1
2022,01,07000,0.9269047832720093,1,0.8226059654631083,1,0.11328125,1
2022,01,35896,0,1,0,1,0,1
2022,01,37000,0.5886251236399604,1,0.5788293897882939,1,0.12566789971228937,1
2022,01,50000,0.8632766125840918,1,0.7431340872374798,1,0.6189418680600914,1
2022,01,51000,0.882182052937379,1,0.9376790830945558,1,0.44201995012468825,1
2022,01,77256,0.7817946302402261,1,0.7315010570824524,1,0.2287756925826631,1
2022,02,03000,0.20645905420991925,1,0.15623561895996319,1,0.040776417759107696,1
2022,04,04720,0.38490041685965726,1,0.41354115927910373,1,0.32256596906278434,1
2022,04,07940,0.36876215165262477,1,0.36840034621134626,1,0.20486313337216075,1
2022,04,12000,0.12075061191188469,1,0.16793589452148217,1,0.03065134099616858,1
2022,04,23620,0.11702127659574468,1,0.1614550095724314,1,0.04408307210031348,1
2022,04,27400,0,1,7.054673721340387e-5,1,2.963928984261537e-5,1
2022,04,27820,0.5539074607040071,1,0.5153838394028044,1,0.18699348679958236,1
2022,04,28380,0.15997706422018348,1,0.17499173006946742,1,0.12598298828438453,1
2022,04,46000,0.33925487293362944,1,0.36990491019296,1,0.09207798682725865,1
2022,04,54050,0.4076470588235294,1,0.42820330549138086,1,0.11690626797009776,1
2022,04,55000,0.6346103177530695,1,0.7181268904088723,1,0.16468474288829218,1
2022,04,65000,0.14269406392694065,1,0.1963924477410654,1,0.02091225943324746,1
2022,04,71510,0.1305347901092582,1,0.1340085287846482,1,0.057064233470924756,1
2022,04,73000,0.30535653360627774,1,0.2425773356132442,1,0.08273244781783681,1
2022,04,77000,0.6080905548339209,1,0.6549176077437198,1,0.25694776809929487,1
2022,04,85540,0.5530546623794212,1,0.5938767982294356,1,0.4031630801140783,1
2022,05,23290,0.28,1,0.227997227997228,1,0.10486674391657011,1
2022,05,24550,0.8679369250985546,1,0.8658488326078354,1,0.6180659670164917,1
2022,05,35710,0.8325635103926097,1,0.7796193984039288,1,0.38655689026859225,1
2022,05,41000,0.5868406873016824,1,0.697765019479188,1,0.20751813585403386,1
2022,05,66080,0.6634799235181644,1,0.7951296005903514,1,0.5037978381536664,1
2022,06,00562,0,1,0,1,0,1
2022,06,00884,0.17391304347826086,1,0.18054077070470514,1,0.15137614678899083,1
2022,06,02000,0.204,1,0.2586024070833996,1,0.08704385671242049,1
2022,06,02252,0.22743484224965707,1,0.2586454391230589,1,0.19741935483870968,1
2022,06,02364,0.5249320036264733,1,0.41413784991766645,1,0.2884912745747736,1
2022,06,03526,0.5830974524868581,1,0.5785393619681579,1,0.2803738317757009,1
2022,06,04982,0.39215686274509803,1,0.3760724499523356,1,0.34080717488789236,1
2022,06,06000,0,1,0,1,0,1
2022,06,08786,0.2825278810408922,1,0.2696528152545422,1,0.09663250366032211,1
2022,06,08954,0,1,0.0025996533795493936,1,0.002017000432214378,1
2022,06,11194,0,1,0,1,0,1
2022,06,11530,0.3360323886639676,1,0.24283559577677225,1,0.02631578947368421,1
2022,06,13014,0.2064516129032258,1,0.16675062972292193,1,0.09088711626782693,1
2022,06,13210,0.08346709470304976,1,0.18001330967169477,1,0.06587615283267458,1
2022,06,13214,0,1,0,1,0,1
2022,06,13392,0.02506393861892583,1,0.06704371056670266,1,0.020396912899669238,1
