year,state,county,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2018,01,101,0.8873741172414362,0.7769732694514527,0.9977749650314197,3
2018,01,103,NA,NA,NA,3
2018,01,105,NA,NA,NA,3
2018,01,107,NA,NA,NA,3
2018,01,109,NA,NA,NA,3
2018,01,111,NA,NA,NA,3
2018,01,113,NA,NA,NA,3
2018,01,115,NA,NA,NA,3
2018,01,117,0.9656731757451182,0.9176500693516856,1,3
2018,01,119,NA,NA,NA,3
2018,01,121,NA,NA,NA,3
2018,01,123,NA,NA,NA,3
2018,01,125,0.982542232741432,0.9609756923867483,1,1
2018,01,127,NA,NA,NA,3
2018,01,129,NA,NA,NA,3
2018,01,131,NA,NA,NA,3
2018,01,133,NA,NA,NA,3
2018,02,013,NA,NA,NA,3
2018,02,016,NA,NA,NA,3
2018,02,020,0.9101473922902494,0.796140312261067,1,3
2018,02,050,NA,NA,NA,3
2018,02,060,NA,NA,NA,3
2018,02,063,NA,NA,NA,3
2018,02,066,NA,NA,NA,3
2018,02,068,NA,NA,NA,3
2018,02,070,NA,NA,NA,3
2018,02,090,0.9916247906197654,0.9750183372722228,1,3
2018,02,100,NA,NA,NA,3
2018,02,105,NA,NA,NA,3
2018,02,110,NA,NA,NA,3
2018,02,122,NA,NA,NA,3
2018,02,130,NA,NA,NA,3
2018,02,150,NA,NA,NA,3
2018,02,158,NA,NA,NA,3
2018,02,164,NA,NA,NA,3
2018,02,170,NA,NA,NA,3
2018,02,180,NA,NA,NA,3
2018,02,185,NA,NA,NA,3
2018,02,188,NA,NA,NA,3
2018,02,195,NA,NA,NA,3
2018,02,198,NA,NA,NA,3
2018,02,220,NA,NA,NA,3
2018,02,230,NA,NA,NA,3
2018,02,240,NA,NA,NA,3
2018,02,275,NA,NA,NA,3
2018,02,282,NA,NA,NA,3
2018,02,290,NA,NA,NA,3
2018,04,001,NA,NA,NA,3
2018,04,003,0.9120281509916827,0.8407338948937674,0.983322407089598,3
2018,04,005,0.9789202594429607,0.9612184706149158,0.9966220482710055,1
2018,04,007,NA,NA,NA,3
2018,04,009,NA,NA,NA,3
2018,04,011,NA,NA,NA,3
2018,04,012,NA,NA,NA,3
2018,04,013,0.8922385381573166,0.8690369560903881,0.915440120224245,1
2018,04,015,NA,NA,NA,3
2018,04,017,0.7082849849152936,0.5692105842513031,0.847359385579284,3
2018,04,019,0.8917752808988764,0.8442894187494177,0.9392611430483351,1
2018,04,021,0.7869240247044362,0.644541861439467,0.9293061879694055,3
2018,04,023,NA,NA,NA,3
2018,04,025,0.948535233570863,0.8892935380240784,1,3
2018,04,027,0.9684905660377359,0.9115665759565929,1,3
2018,05,001,NA,NA,NA,3
2018,05,003,NA,NA,NA,3
2018,05,005,NA,NA,NA,3
2018,05,007,0.9098111712663409,0.83883941257031025,0.9807829299623716,3
2018,05,009,NA,NA,NA,3
2018,05,011,NA,NA,NA,3
2018,05,013,NA,NA,NA,3
2018,05,015,NA,NA,NA,3
2018,05,017,NA,NA,NA,3
2018,05,019,NA,NA,NA,3
2018,05,021,NA,NA,NA,3
2018,05,023,NA,NA,NA,3
2018,05,025,NA,NA,NA,3
2018,05,027,NA,NA,NA,3
2018,05,029,NA,NA,NA,3
2018,05,031,0.8322840920757367,0.7122278712770281,0.9523403128744453,3
2018,05,033,NA,NA,NA,3
2018,05,035,NA,NA,NA,3
2018,05,037,NA,NA,NA,3
2018,05,039,NA,NA,NA,3
2018,05,041,NA,NA,NA,3
2018,05,043,NA,NA,NA,3
2018,05,045,0.9630510624801777,0.913032333306588,1,3
2018,05,047,NA,NA,NA,3
2018,05,049,NA,NA,NA,3
2018,05,051,NA,NA,NA,3
2018,05,053,NA,NA,NA,3
2018,05,055,NA,NA,NA,3
2018,05,057,NA,NA,NA,3
2018,05,059,NA,NA,NA,3
2018,05,061,NA,NA,NA,3
2018,05,063,NA,NA,NA,3
2018,05,065,NA,NA,NA,3
2018,05,067,NA,NA,NA,3
2018,05,069,NA,NA,NA,3
2018,05,071,NA,NA,NA,3
2018,05,073,NA,NA,NA,3
2018,05,075,NA,NA,NA,3
2018,05,077,NA,NA,NA,3
2018,05,079,NA,NA,NA,3
2018,05,081,NA,NA,NA,3
2018,05,083,NA,NA,NA,3
2018,05,085,NA,NA,NA,3
2018,05,087,NA,NA,NA,3
2018,05,089,NA,NA,NA,3
2018,05,091,NA,NA,NA,3
2018,05,093,NA,NA,NA,3
2018,05,095,NA,NA,NA,3
2018,05,097,NA,NA,NA,3
2018,05,099,NA,NA,NA,3
2018,05,101,NA,NA,NA,3
2018,05,103,NA,NA,NA,3
2018,05,105,NA,NA,NA,3
2018,05,107,NA,NA,NA,3
2018,05,109,NA,NA,NA,3
2018,05,111,NA,NA,NA,3
2018,05,113,NA,NA,NA,3
2018,05,115,NA,NA,NA,3
2018,05,117,NA,NA,NA,3
2018,05,119,0.941024573094544,0.8914531909044273,0.9905959552846607,3
2018,05,121,NA,NA,NA,3
2018,05,123,NA,NA,NA,3
2018,05,125,NA,NA,NA,3
2018,05,127,NA,NA,NA,3
2018,05,129,NA,NA,NA,3
2018,05,131,0.9216241737488196,0.8323555485986385,1,3
2018,05,133,NA,NA,NA,3
2018,05,135,NA,NA,NA,3
2018,05,137,NA,NA,NA,3
2018,05,139,NA,NA,NA,3
2018,05,141,NA,NA,NA,3
2018,05,143,0.9480271693505304,0.892647128290838,1,1
2018,05,145,0.985286525554982,0.9561029414423734,1,3
2018,05,147,NA,NA,NA,3
2018,05,149,NA,NA,NA,3
2018,06,001,0.9623283909939594,0.941857671243178,0.9827991107447408,1
2018,06,003,NA,NA,NA,3
2018,06,005,NA,NA,NA,3
2018,06,007,0.9705495395202914,0.9183283217447603,1,3
2018,06,009,NA,NA,NA,3
2018,06,011,NA,NA,NA,3
2018,06,013,0.8901790505927697,0.831594885844285,0.9487632153412544,1
2018,06,015,NA,NA,NA,3
2018,06,017,0.8767123287671232,0.7349275792125874,1,3
2018,06,019,0.9091231178033659,0.8652430112497096,0.9530032243570221,1
2018,06,021,NA,NA,NA,3
