year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2018,01,001,all,All,0.8544034090909091,0.7660940282210568,0.9427127899607614,3
2018,01,003,all,All,0.8233636757693975,0.7478834807782174,0.8988438707605776,1
2018,01,005,all,All,0.9012615643397814,0.8600413349328889,0.942481793746674,3
2018,01,007,all,All,0.886893203883495,0.8132198508471765,0.9605665569198135,3
2018,01,009,all,All,0.9213806327900288,0.8535092170626243,0.9892520485174333,2
2018,01,011,all,All,NA,NA,NA,NA
2018,01,013,all,All,0.8592564491654022,0.7945723014999247,0.9239405968308797,3
2018,01,015,all,All,0.9438085327783559,0.899579200107598,0.9880378654491138,1
2018,01,017,all,All,0.8633912522468543,0.7924667682021836,0.934315736291525,3
2018,01,019,all,All,NA,NA,NA,NA
2018,01,021,all,All,0.8633912522468544,0.7924667682021839,0.934315736291525,3
2018,01,023,all,All,NA,NA,NA,NA
2018,01,025,all,All,NA,NA,NA,NA
2018,01,027,all,All,NA,NA,NA,NA
2018,01,029,all,All,NA,NA,NA,NA
2018,01,031,all,All,0.8592564491654022,0.7945723014999247,0.9239405968308797,2
2018,01,033,all,All,0.9703963873557452,0.9461066735940532,0.9946861011174372,3
2018,01,035,all,All,NA,NA,NA,NA
2018,01,037,all,All,NA,NA,NA,NA
2018,01,039,all,All,0.8592564491654022,0.7945723014999247,0.9239405968308797,3
2018,01,041,all,All,NA,NA,NA,NA
2018,01,043,all,All,0.8554484803558191,0.7730770461261003,0.9378199145855379,1
2018,01,045,all,All,0.9052903225806452,0.8593791850252317,0.9512014601360588,3
2018,01,047,all,All,0.886893203883495,0.8132198508471766,0.9605665569198134,3
2018,01,049,all,All,0.729559748427673,0.6083038692015974,0.8508156276537486,2
2018,01,051,all,All,0.8544034090909091,0.7660940282210568,0.9427127899607614,2
2018,01,053,all,All,0.7900278724063178,0.6858944161688418,0.8941613286437937,3
2018,01,055,all,All,0.9028669234060762,0.8376228547178474,0.9681109920943051,1
2018,01,057,all,All,NA,NA,NA,NA
2018,01,059,all,All,0.9703963873557451,0.9461066735940531,0.994686101117437,3
2018,01,061,all,All,0.9052903225806451,0.8593791850252316,0.9512014601360587,3
2018,01,063,all,All,NA,NA,NA,NA
2018,01,065,all,All,NA,NA,NA,NA
2018,01,067,all,All,0.9052903225806452,0.8593791850252316,0.9512014601360589,3
2018,01,069,all,All,0.9052903225806451,0.8593791850252315,0.9512014601360588,2
2018,01,071,all,All,0.7295597484276729,0.6083038692015972,0.8508156276537486,2
2018,01,073,all,All,0.9214458428916857,0.8944109609973471,0.9484807247860244,1
2018,01,075,all,All,NA,NA,NA,NA
2018,01,077,all,All,0.9703963873557451,0.9461066735940531,0.994686101117437,2
2018,01,079,all,All,NA,NA,NA,NA
2018,01,081,all,All,0.9728932123729369,0.9506540823627122,0.9951323423831616,1
2018,01,083,all,All,0.8581641406920217,0.7695428912487732,0.9467853901352703,2
2018,01,085,all,All,NA,NA,NA,NA
2018,01,087,all,All,0.9012615643397813,0.8600413349328889,0.9424817937466737,3
2018,01,089,all,All,0.8972631271621546,0.8565820175919446,0.9379442367323646,1
2018,01,091,all,All,NA,NA,NA,NA
2018,01,093,all,All,0.8678338484978209,0.8172632777730804,0.9184044192225613,3
2018,01,095,all,All,0.820435762584523,0.6962606136024391,0.9446109115666069,1
2018,01,097,all,All,0.8709903769045709,0.8296808829038814,0.9122998709052604,1
2018,01,099,all,All,NA,NA,NA,NA
2018,01,101,all,All,0.8836380933613392,0.8316136910227507,0.9356624956999278,1
2018,01,103,all,All,0.8807947019867549,0.8146557545795938,0.946933649393916,1
2018,01,105,all,All,NA,NA,NA,NA
2018,01,107,all,All,NA,NA,NA,NA
2018,01,109,all,All,0.9012615643397812,0.8600413349328888,0.9424817937466736,3
2018,01,111,all,All,NA,NA,NA,NA
2018,01,113,all,All,0.9012615643397813,0.8600413349328888,0.9424817937466738,2
2018,01,115,all,All,0.9213806327900287,0.8535092170626243,0.9892520485174331,2
2018,01,117,all,All,0.9209098497495827,0.8752918736115441,0.9665278258876212,1
2018,01,119,all,All,NA,NA,NA,NA
2018,01,121,all,All,0.7856761090326029,0.6893990765671878,0.881953141498018,2
2018,01,123,all,All,0.8633912522468545,0.7924667682021839,0.9343157362915252,3
2018,01,125,all,All,0.9348134122715098,0.9045340076731542,0.9650928168698655,1
2018,01,127,all,All,0.815142198308993,0.7413333907946853,0.8889510058233008,2
2018,01,129,all,All,NA,NA,NA,NA
2018,01,131,all,All,NA,NA,NA,NA
2018,01,133,all,All,NA,NA,NA,NA
2018,02,013,all,All,NA,NA,NA,NA
2018,02,016,all,All,NA,NA,NA,NA
2018,02,020,all,All,0.9197116579666915,0.8775742371141517,0.9618490788192313,1
2018,02,050,all,All,0.743668720054757,0.667486067570096,0.8198513725394181,3
2018,02,060,all,All,NA,NA,NA,NA
2018,02,063,all,All,NA,NA,NA,NA
2018,02,066,all,All,NA,NA,NA,NA
2018,02,068,all,All,NA,NA,NA,NA
2018,02,070,all,All,NA,NA,NA,NA
2018,02,090,all,All,0.9666734819055407,0.9305771674393252,1,2
2018,02,100,all,All,NA,NA,NA,NA
2018,02,105,all,All,NA,NA,NA,NA
2018,02,110,all,All,0.9666734819055408,0.9305771674393253,1,3
2018,02,122,all,All,0.8171485050654806,0.7222857747007431,0.9120112354302182,2
2018,02,130,all,All,NA,NA,NA,NA
2018,02,150,all,All,0.7436687200547569,0.6674860675700959,0.819851372539418,3
2018,02,158,all,All,NA,NA,NA,NA
2018,02,164,all,All,NA,NA,NA,NA
2018,02,170,all,All,0.8171485050654805,0.722285774700743,0.9120112354302181,2
2018,02,180,all,All,0.743668720054757,0.6674860675700961,0.819851372539418,3
2018,02,185,all,All,0.743668720054757,0.667486067570096,0.8198513725394181,3
2018,02,188,all,All,NA,NA,NA,NA
2018,02,195,all,All,NA,NA,NA,NA
2018,02,198,all,All,NA,NA,NA,NA
2018,02,220,all,All,NA,NA,NA,NA
2018,02,230,all,All,NA,NA,NA,NA
2018,02,240,all,All,NA,NA,NA,NA
2018,02,275,all,All,NA,NA,NA,NA
2018,02,282,all,All,NA,NA,NA,NA
2018,02,290,all,All,NA,NA,NA,NA
2018,04,001,all,All,0.7635820895522388,0.7166471833752636,0.8105169957292141,2
2018,04,003,all,All,0.85859226379201,0.7978139703183937,0.9193705572656263,2
2018,04,005,all,All,0.9298673429574718,0.902855068456185,0.9568796174587585,1
2018,04,007,all,All,0.8157267672756155,0.7482274905656913,0.8832260439855398,2
2018,04,009,all,All,0.8157267672756155,0.7482274905656913,0.8832260439855398,3
2018,04,011,all,All,NA,NA,NA,NA
2018,04,012,all,All,NA,NA,NA,NA
2018,04,013,all,All,0.8697666132193123,0.8574915546780557,0.8820416717605688,1
