year,state,county,share_in_preschool,share_in_preschool_lb,share_in_preschool_ub,share_in_preschool_quality
2018,01,001,0.3834263632460283,0.2953193873800317,0.4715333391120249,3
2018,01,003,0.36845168800931316,0.2831025430646835,0.4538008329539428,1
2018,01,005,NA,NA,NA,NA
2018,01,007,NA,NA,NA,NA
2018,01,009,0.2595226003047232,0.18730023146984193,0.33174496913960444,2
2018,01,011,NA,NA,NA,NA
2018,01,013,0.33064516129032256,0.23913550022118096,0.42215482235946417,3
2018,01,015,0.35673930589184827,0.22725190121963718,0.48622671056405936,1
2018,01,017,NA,NA,NA,NA
2018,01,019,NA,NA,NA,NA
2018,01,021,0.3247834776815458,0.19088688707950988,0.45868006828358177,3
2018,01,023,NA,NA,NA,NA
2018,01,025,NA,NA,NA,NA
2018,01,027,NA,NA,NA,NA
2018,01,029,NA,NA,NA,NA
2018,01,031,0.3306451612903225,0.239135500221181,0.422154822359464,2
2018,01,033,0.397819472616633,0.2906496738547893,0.5049892713784767,3
2018,01,035,NA,NA,NA,NA
2018,01,037,NA,NA,NA,NA
2018,01,039,0.33064516129032256,0.2391355002211809,0.4221548223594642,3
2018,01,041,NA,NA,NA,NA
2018,01,043,0.23782639378969647,0.15226916452254363,0.3233836230568493,1
2018,01,045,0.37365243639499707,0.30941861927980274,0.4378862535101914,3
2018,01,047,0.4086378737541528,0.3129840622908149,0.5042916852174907,3
2018,01,049,0.28114663726571115,0.1851571545490145,0.3771361199824078,2
2018,01,051,0.38342636324602875,0.29531938738003233,0.47153333911202516,2
2018,01,053,NA,NA,NA,NA
2018,01,055,0.35185894978919124,0.22732867615707453,0.47638922342130796,1
2018,01,057,NA,NA,NA,NA
2018,01,059,NA,NA,NA,NA
2018,01,061,0.37365243639499857,0.3094186192798045,0.4378862535101926,3
2018,01,063,NA,NA,NA,NA
2018,01,065,NA,NA,NA,NA
2018,01,067,0.37365243639499723,0.30941861927980385,0.4378862535101906,3
2018,01,069,0.3736524363949973,0.3094186192798029,0.43788625351019167,2
2018,01,071,0.28114663726571104,0.18515715454901432,0.37713611998240776,2
2018,01,073,0.5181310608286805,0.4680314048940544,0.5682307167633066,1
2018,01,075,NA,NA,NA,NA
2018,01,077,0.397819472616633,0.2906496738547895,0.5049892713784764,2
2018,01,079,NA,NA,NA,NA
2018,01,081,0.4559703619264748,0.3560349541943215,0.555905769658628,1
2018,01,083,0.36184347104006653,0.25615529133875536,0.4675316507413777,2
2018,01,085,NA,NA,NA,NA
2018,01,087,NA,NA,NA,NA
2018,01,089,0.4112896677108147,0.35334342449422296,0.46923591092740646,1
2018,01,091,NA,NA,NA,NA
2018,01,093,0.343206434640207,0.27092528409109423,0.4154875851893198,3
2018,01,095,0.38297282307265645,0.2856521869293204,0.48029345921599254,1
2018,01,097,0.48908730158730157,0.4247239398110951,0.5534506633635081,1
2018,01,099,NA,NA,NA,NA
