state,place,state_name,place_name,share_digital_access,share_digital_access_quality
01,03076,Alabama,Auburn city,0.9066160381001416,1
01,07000,Alabama,Birmingham city,0.839350200812249,1
01,35896,Alabama,Hoover city,0.9574274878478714,1
01,37000,Alabama,Huntsville city,0.9177283320966106,1
01,50000,Alabama,Mobile city,0.8170471998864208,1
01,51000,Alabama,Montgomery city,0.9168178767617011,1
01,77256,Alabama,Tuscaloosa city,0.8351281188404404,1
02,03000,Alaska,Anchorage municipality,0.9556055199533935,1
04,04720,Arizona,Avondale city,0.8899321693254616,1
04,07940,Arizona,Buckeye city,0.9389339214619197,1
04,12000,Arizona,Chandler city,0.9604074518329709,1
04,23620,Arizona,Flagstaff city,0.8546298902336054,1
04,27400,Arizona,Gilbert town,0.9746460288203753,1
04,27820,Arizona,Glendale city,0.8902746844840386,1
04,28380,Arizona,Goodyear city,0.9335053023789052,1
04,46000,Arizona,Mesa city,0.9297248217583756,1
04,54050,Arizona,Peoria city,0.9363364993215739,1
04,55000,Arizona,Phoenix city,0.8972468635876453,1
04,65000,Arizona,Scottsdale city,0.95873090011343165,1
04,71510,Arizona,Surprise city,0.9455970985119206,1
04,73000,Arizona,Tempe city,0.9426216822719183,1
04,77000,Arizona,Tucson city,0.8864799271032295,1
04,85540,Arizona,Yuma city,0.8572047946952308,1
05,23290,Arkansas,Fayetteville city,0.8959441967496045,1
05,24550,Arkansas,Fort Smith city,0.8518052860305573,1
05,35710,Arkansas,Jonesboro city,0.9197855874143618,1
05,41000,Arkansas,Little Rock city,0.905333699281826,1
05,66080,Arkansas,Springdale city,0.9056069288877312,1
06,00562,California,Alameda city,0.9335504885993485,1
06,00884,California,Alhambra city,0.9273251211247981,1
06,02000,California,Anaheim city,0.9310289464985597,1
06,02252,California,Antioch city,0.9436213662208697,1
06,02364,California,Apple Valley town,0.9538585765370862,1
06,03526,California,Bakersfield city,0.9324529152513389,1
06,04982,California,Bellflower city,0.9126641050272174,1
06,06000,California,Berkeley city,0.9324577063674233,1
06,08786,California,Buena Park city,NA,NA
06,08954,California,Burbank city,0.9728482092097783,1
06,11194,California,Carlsbad city,0.9687394634169838,1
06,11530,California,Carson city,0.938076225045372,1
06,13014,California,Chico city,0.9182505954326811,1
06,13210,California,Chino city,0.9597889843951747,1
06,13214,California,Chino Hills city,NA,NA
06,13392,California,Chula Vista city,0.947290231263233,1
06,13588,California,Citrus Heights city,0.9426269089153135,1
06,14218,California,Clovis city,0.9472443543444439,1
06,15044,California,Compton city,0.7438967035786054,1
06,16000,California,Concord city,0.9492605429143435,1
06,16350,California,Corona city,0.9530769726801797,1
06,16532,California,Costa Mesa city,0.966200335758254,1
06,17918,California,Daly City city,0.9691230054026888,1
06,19766,California,Downey city,0.9031221821460775,1
06,21712,California,El Cajon city,0.9283204288266825,1
06,22020,California,Elk Grove city,0.959057726966558,1
06,22230,California,El Monte city,0.8925151585434545,1
06,22804,California,Escondido city,0.9445046607413831,1
06,23182,California,Fairfield city,0.911610583097868,1
06,24638,California,Folsom city,0.9398860021208908,1
06,24680,California,Fontana city,0.9516263552960801,1
06,26000,California,Fremont city,0.9596946885797238,1
06,27000,California,Fresno city,0.8996782079832734,1
06,28000,California,Fullerton city,0.943006871801146,1
06,29000,California,Garden Grove city,0.9279431183341798,1
06,30000,California,Glendale city,0.9188082691528172,1
06,32548,California,Hawthorne city,0.9494445553116477,1
06,33000,California,Hayward city,0.94755873340143,1
06,33182,California,Hemet city,0.8457784431137725,1
06,33434,California,Hesperia city,0.9463116228859302,1
06,36000,California,Huntington Beach city,0.9578129160696398,1
06,36448,California,Indio city,0.8973948288824241,1
06,36546,California,Inglewood city,0.8960732771469608,1
06,36770,California,Irvine city,0.9459327380159047,1
06,37692,California,Jurupa Valley city,0.8839191017810775,1
06,39496,California,Lake Forest city,0.980368865270397,1
06,39892,California,Lakewood city,0.9371158392434988,1
06,40130,California,Lancaster city,0.9042153750870945,1
06,41992,California,Livermore city,0.9604635310156783,1
06,43000,California,Long Beach city,0.9014652121779312,1
06,44000,California,Los Angeles city,0.9160657172325419,1
06,45484,California,Manteca city,0.9041032377714242,1
06,46842,California,Menifee city,0.9127238031093899,1
06,46898,California,Merced city,0.9301121360721512,1
06,47766,California,Milpitas city,0.9463079246482792,1
06,48256,California,Mission Viejo city,0.9644363140270371,1
06,48354,California,Modesto city,0.8995325868807437,1
06,49270,California,Moreno Valley city,0.9579381821517013,1
06,49670,California,Mountain View city,0.965555523094452,1
06,50076,California,Murrieta city,0.9530456159519257,1
06,50258,California,Napa city,0.9280490989814573,1
06,51182,California,Newport Beach city,0.9505560444835587,1
06,52526,California,Norwalk city,0.9094485294117647,1
06,53000,California,Oakland city,0.9042331830538433,1
06,53322,California,Oceanside city,0.9413559689586269,1
06,53896,California,Ontario city,0.9484390050427787,1
06,53980,California,Orange city,0.9620889256408626,1
06,54652,California,Oxnard city,0.9017079121645173,1
06,55156,California,Palmdale city,0.9397463466011322,1
06,56000,California,Pasadena city,0.9266987877436944,1
06,56700,California,Perris city,0.9258431637478564,1
06,57456,California,Pittsburg city,0.9413807189542484,1
06,57792,California,Pleasanton city,0.9566454636759291,1
06,58072,California,Pomona city,0.9263217793611915,1
06,59444,California,Rancho Cordova city,0.9224381563797495,1
06,59451,California,Rancho Cucamonga city,0.9647361007539978,1
06,59920,California,Redding city,0.9205475701574264,1
06,60102,California,Redwood City city,0.954263617574505,1
06,60466,California,Rialto city,0.8822861329913904,1
06,60620,California,Richmond city,0.9084921489569507,1
06,62000,California,Riverside city,0.9389792936671872,1
06,62938,California,Roseville city,0.9437440493778522,1
06,64000,California,Sacramento city,0.9271538396215576,1
06,64224,California,Salinas city,0.9164247517188694,1
06,65000,California,San Bernardino city,0.8724701926016508,1
06,65042,California,San Buenaventura (Ventura) city,0.9397906383384601,1
06,66000,California,San Diego city,0.9438518154125594,1
06,67000,California,San Francisco city,0.9305549415327483,1
06,68000,California,San Jose city,0.9519496044214759,1
06,68084,California,San Leandro city,0.9430118881357087,1
06,68196,California,San Marcos city,0.9191080157183477,1
06,68252,California,San Mateo city,0.9533783606212715,1
06,68378,California,San Ramon city,NA,NA
06,69000,California,Santa Ana city,0.9300822336966915,1
06,69070,California,Santa Barbara city,0.9136112780722365,1
06,69084,California,Santa Clara city,0.9472357756361144,1
06,69088,California,Santa Clarita city,0.9534896356869244,1
06,69196,California,Santa Maria city,0.9102985436053551,1
06,70000,California,Santa Monica city,0.9480886336798722,1
06,70098,California,Santa Rosa city,0.9518860496743254,1
06,72016,California,Simi Valley city,0.9525281572010544,1
06,73080,California,South Gate city,0.8872574308504305,1
06,75000,California,Stockton city,0.9156768764321522,1
06,77000,California,Sunnyvale city,0.9512416199206458,1
06,78120,California,Temecula city,0.9490509768945623,1
06,78582,California,Thousand Oaks city,0.9452463165118923,1
06,80000,California,Torrance city,0.9520057955265779,1
06,80238,California,Tracy city,0.9670212765957447,1
06,80854,California,Tustin city,0.9565919417220532,1
06,81344,California,Upland city,0.9639875531268974,1
06,81554,California,Vacaville city,0.9320393957773734,1
06,81666,California,Vallejo city,0.901925835760553,1
06,82590,California,Victorville city,0.9308538215952192,1
06,82954,California,Visalia city,0.9387333688131985,1
06,82996,California,Vista city,0.9633786711603274,1
06,84200,California,West Covina city,0.9355207600281492,1
06,84550,California,Westminster city,0.9329985602415984,1
06,85292,California,Whittier city,0.9103051401371177,1
08,03455,Colorado,Arvada city,0.9488691453786334,1
08,04000,Colorado,Aurora city,0.9288694301444056,1
08,07850,Colorado,Boulder city,0.9510919786337307,1
08,12815,Colorado,Centennial city,0.9492015709884528,1
08,16000,Colorado,Colorado Springs city,0.9397477836707832,1
08,20000,Colorado,Denver city,0.9136746063497561,1
08,27425,Colorado,Fort Collins city,0.924690313362649,1
08,32155,Colorado,Greeley city,0.8955931690336251,1
08,43000,Colorado,Lakewood city,0.9487145855194123,1
08,45970,Colorado,Longmont city,0.9484362943125596,1
08,46465,Colorado,Loveland city,0.9551282051282052,1
08,62000,Colorado,Pueblo city,0.844002665482008,1
08,77290,Colorado,Thornton city,0.9492487212276215,1
08,83835,Colorado,Westminster city,0.957583601219054,1
09,08000,Connecticut,Bridgeport city,0.8537570224719101,1
09,18430,Connecticut,Danbury city,0.9252265361465706,1
09,37000,Connecticut,Hartford city,0.8669232128482516,1
09,52000,Connecticut,New Haven city,0.906718410652615,1
09,55990,Connecticut,Norwalk city,0.8932750560181472,1
09,73000,Connecticut,Stamford city,0.9278467313740743,1
09,80000,Connecticut,Waterbury city,0.8507622298065984,1
11,50000,District of Columbia,Washington city,0.9162002630210723,1
12,07300,Florida,Boca Raton city,0.927731877643356,1
12,07875,Florida,Boynton Beach city,0.8712958241260128,1
12,10275,Florida,Cape Coral city,0.9288863778724867,1
12,12875,Florida,Clearwater city,0.8338832749020416,1
12,14400,Florida,Coral Springs city,0.9594011842252262,1
12,16475,Florida,Davie town,0.9619994765768124,1
12,16725,Florida,Deerfield Beach city,0.8910932756184807,1
12,17200,Florida,Deltona city,0.9580054088547206,1
12,17935,Florida,Doral city,NA,NA
12,24000,Florida,Fort Lauderdale city,0.8985253905030653,1
12,24125,Florida,Fort Myers city,0.8882078940916891,1
12,25175,Florida,Gainesville city,0.8767379812074308,1
12,30000,Florida,Hialeah city,0.8295071460616548,1
12,32000,Florida,Hollywood city,0.8969792676443916,1
12,32275,Florida,Homestead city,0.8780415867866096,1
12,35000,Florida,Jacksonville city,0.9050586630838793,1
12,36950,Florida,Kissimmee city,0.9122913916251989,1
12,38250,Florida,Lakeland city,0.8848335930320828,1
12,39425,Florida,Largo city,0.8394972443203073,1
