year,state,place,share_meps20_black,share_meps20_black_quality,share_meps20_hispanic,share_meps20_hispanic_quality,share_meps20_white,share_meps20_white_quality
2021,01,03076,0,1,0,1,0,1
2021,01,07000,0,1,0,1,0,1
2021,01,35896,0,1,0,1,0,1
2021,01,37000,0,1,0,1,0,1
2021,01,50000,0,1,0,1,0,1
2021,01,51000,0,1,0,1,0,1
2021,01,77256,0,1,0,1,0,1
2021,02,03000,0,1,0,1,0,1
2021,04,04720,0,1,0,1,0,1
2021,04,07940,0,1,0,1,0,1
2021,04,12000,0,1,0,1,0,1
2021,04,23620,0,1,0,1,0,1
2021,04,27400,0,1,0,1,0,1
2021,04,27820,0,1,0,1,0,1
2021,04,28380,0,1,0,1,0,1
2021,04,46000,0,1,0,1,0,1
2021,04,54050,0,1,0,1,0,1
2021,04,55000,0,1,0,1,0,1
2021,04,65000,0,1,0,1,0,1
2021,04,71510,0,1,0,1,0,1
2021,04,73000,0,1,0,1,0,1
2021,04,77000,0,1,0,1,0,1
2021,04,85540,0,1,0,1,0,1
2021,05,23290,0,1,0,1,0,1
2021,05,24550,0,1,0,1,0,1
2021,05,35710,0,1,0,1,0,1
2021,05,41000,0,1,0,1,0,1
2021,05,66080,0,1,0,1,0,1
2021,06,00562,0,1,0,1,0,1
2021,06,00884,0,1,0,1,0,1
2021,06,02000,0,1,0,1,0,1
2021,06,02252,0,1,0,1,0,1
2021,06,02364,0,1,0,1,0,1
2021,06,03526,0,1,0,1,0,1
2021,06,04982,0,1,0,1,0,1
2021,06,06000,0,1,0,1,0,1
2021,06,08786,0,1,0,1,0,1
2021,06,08954,0,1,0,1,0,1
2021,06,11194,0,1,0,1,0,1
2021,06,11530,0,1,0,1,0,1
2021,06,13014,0,1,0,1,0,1
2021,06,13210,0,1,0,1,0,1
2021,06,13214,0,1,0,1,0,1
2021,06,13392,0,1,0,1,0,1
2021,06,13588,0,1,0,1,0,1
2021,06,14218,0,1,0,1,0,1
2021,06,15044,0,1,0,1,0,1
2021,06,16000,0,1,0,1,0,1
2021,06,16350,0,1,0,1,0,1
2021,06,16532,0,1,0,1,0,1
2021,06,17918,0,1,0,1,0,1
2021,06,19766,0,1,0,1,0,1
2021,06,21712,0,1,0,1,0,1
2021,06,22020,0,1,0,1,0,1
2021,06,22230,0,1,0,1,0,1
2021,06,22804,0,1,0,1,0,1
2021,06,23182,0,1,0,1,0,1
2021,06,24638,0,1,0,1,0,1
2021,06,24680,0,1,0,1,0,1
2021,06,26000,0,1,0,1,0,1
2021,06,27000,0,1,0,1,0,1
2021,06,28000,0,1,0,1,0,1
2021,06,29000,0,1,0,1,0,1
2021,06,30000,0,1,0,1,0,1
2021,06,32548,0,1,0,1,0,1
2021,06,33000,0,1,0,1,0,1
2021,06,33182,0,1,0,1,0,1
2021,06,33434,0,1,0,1,0,1
2021,06,36000,0,1,0,1,0,1
2021,06,36448,0,1,0,1,0,1
2021,06,36546,0,1,0,1,0,1
2021,06,36770,0,1,0,1,0,1
2021,06,37692,0,1,0,1,0,1
2021,06,39496,0,1,0,1,0,1
2021,06,39892,0,1,0,1,0,1
2021,06,40130,0,1,0,1,0,1
2021,06,41992,0,1,0,1,0,1
2021,06,43000,0,1,0,1,0,1
2021,06,44000,0,1,0,1,0,1
2021,06,45484,0,1,0,1,0,1
2021,06,46842,0,1,0,1,0,1
2021,06,46898,0,1,0,1,0,1
2021,06,47766,0,1,0,1,0,1
2021,06,48256,0,1,0,1,0,1
2021,06,48354,0,1,0,1,0,1
2021,06,49270,0,1,0,1,0,1
2021,06,49670,0,1,0,1,0,1
2021,06,50076,0,1,0,1,0,1
2021,06,50258,0,1,0,1,0,1
2021,06,51182,0,1,0,1,0,1
2021,06,52526,0,1,0,1,0,1
2021,06,53000,0,1,0,1,0,1
2021,06,53322,0,1,0,1,0,1
2021,06,53896,0,1,0,1,0,1
2021,06,53980,0,1,0,1,0,1
2021,06,54652,0,1,0,1,0,1
2021,06,55156,0,1,0,1,0,1
2021,06,56000,0,1,0,1,0,1
2021,06,56700,0,1,0,1,0,1
2021,06,57456,0,1,0,1,0,1
2021,06,57792,0,1,0,1,0,1
2021,06,58072,0,1,0,1,0,1
2021,06,59444,0,1,0,1,0,1
2021,06,59451,0,1,0,1,0,1
2021,06,59920,0,1,0,1,0,1
2021,06,60102,0,1,0,1,0,1
2021,06,60466,0,1,0,1,0,1
2021,06,60620,0,1,0,1,0,1
