year,state,place,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,01,03076,all,All,0.903913260219342,0.8660863518112902,0.9417401686273938,2
2014,01,03076,disability,With Disability,NA,NA,NA,NA
2014,01,03076,disability,Without Disability,0.90658315565032,0.8673118354788435,0.9458544758217964,2
2014,01,07000,all,All,0.8577536273513943,0.7927062381808307,0.9228010165219578,3
2014,01,07000,disability,With Disability,NA,NA,NA,NA
2014,01,07000,disability,Without Disability,0.8646741864387042,0.7993417173489845,0.930006655528424,3
2014,01,35896,all,All,0.9224801816903516,0.8868928344565398,0.9580675289241636,3
2014,01,35896,disability,With Disability,NA,NA,NA,NA
2014,01,35896,disability,Without Disability,0.9348341715203318,0.9030194003494928,0.9666489426911709,3
2014,01,37000,all,All,0.941358039056653,0.9121284529860074,0.9705876251272988,3
2014,01,37000,disability,With Disability,NA,NA,NA,NA
2014,01,37000,disability,Without Disability,0.9503246929718602,0.930324889025704,0.9703244969180164,3
2014,01,50000,all,All,0.7770815018549055,0.693872639941909,0.8602903637679021,3
2014,01,50000,disability,With Disability,NA,NA,NA,NA
2014,01,50000,disability,Without Disability,0.784199293946576,0.698996697828163,0.8694018900649889,3
2014,01,51000,all,All,0.83201797954026,0.7732724924051706,0.8907634666753494,3
2014,01,51000,disability,With Disability,NA,NA,NA,NA
2014,01,51000,disability,Without Disability,0.850858672814969,0.7901344815303797,0.9115828640995582,3
2014,01,77256,all,All,0.9370862911736448,0.903253031241537,0.9709195511057528,2
2014,01,77256,disability,With Disability,NA,NA,NA,NA
2014,01,77256,disability,Without Disability,0.952744861758654,0.9249300780331068,0.980559645484201,2
2014,02,03000,all,All,0.8471292351389734,0.7835667762649239,0.910691694013023,2
2014,02,03000,disability,With Disability,NA,NA,NA,NA
2014,02,03000,disability,Without Disability,0.893312281493177,0.8442093891465966,0.9424151738397574,2
2014,04,04720,all,All,0.8520169304891371,0.7659599676730855,0.9380738933051886,2
2014,04,04720,disability,With Disability,NA,NA,NA,NA
2014,04,04720,disability,Without Disability,0.8404230776404802,0.7473308355163294,0.933515319764631,2
2014,04,07940,all,All,0.8266884063128458,0.722097903670708,0.9312789089549836,2
2014,04,07940,disability,With Disability,NA,NA,NA,NA
2014,04,07940,disability,Without Disability,NA,NA,NA,NA
2014,04,12000,all,All,0.8793641669964982,0.8380493054454496,0.9206790285475468,3
2014,04,12000,disability,With Disability,NA,NA,NA,NA
2014,04,12000,disability,Without Disability,0.8991640109610687,0.8584457254642377,0.9398822964578996,3
2014,04,23620,all,All,0.935063450325826,0.9056102410395254,0.9645166596121264,3
2014,04,23620,disability,With Disability,NA,NA,NA,NA
2014,04,23620,disability,Without Disability,0.9371624938635248,0.9073012594109632,0.967023728316086,3
2014,04,27400,all,All,0.936393464043723,0.8988350081741366,0.9739519199133094,1
2014,04,27400,disability,With Disability,NA,NA,NA,NA
2014,04,27400,disability,Without Disability,0.955532850751412,0.9246216135275748,0.9864440879752492,1
2014,04,27820,all,All,0.8177716196990483,0.7578004406386514,0.8777427987594453,1
2014,04,27820,disability,With Disability,NA,NA,NA,NA
2014,04,27820,disability,Without Disability,0.8298579087524139,0.7658533417786221,0.8938624757262058,1
2014,04,28380,all,All,0.8937137298704136,0.8107473567104512,0.976680103030376,2
2014,04,28380,disability,With Disability,NA,NA,NA,NA
2014,04,28380,disability,Without Disability,0.8933127871589847,0.8100169885684089,0.9766085857495604,2
2014,04,46000,all,All,0.8658806392824671,0.8313255666829034,0.9004357118820308,2
2014,04,46000,disability,With Disability,0.7061059808717475,0.5598012375448163,0.8524107241986787,2
2014,04,46000,disability,Without Disability,0.877152878869599,0.8412186261396665,0.9130871315995316,2
2014,04,54050,all,All,0.902773610168794,0.8381440720068292,0.9674031483307588,2
2014,04,54050,disability,With Disability,NA,NA,NA,NA
2014,04,54050,disability,Without Disability,0.9038404606173857,0.838011089094075,0.9696698321406964,2
2014,04,55000,all,All,0.8238135444459422,0.8069367646107931,0.8406903242810914,2
2014,04,55000,disability,With Disability,0.7003708187413128,0.5944832800194949,0.8062583574631307,2
2014,04,55000,disability,Without Disability,0.8308740301139456,0.813948728241666,0.8477993319862251,2
2014,04,65000,all,All,0.7970189043323258,0.746628432118471,0.8474093765461806,3
2014,04,65000,disability,With Disability,NA,NA,NA,NA
2014,04,65000,disability,Without Disability,0.7932400707472405,0.7400598231324718,0.8464203183620091,3
2014,04,71510,all,All,0.8998112871375219,0.7945375244662878,1,1
2014,04,71510,disability,With Disability,NA,NA,NA,NA
2014,04,71510,disability,Without Disability,0.8983211383591424,0.7911328760410128,1,1
2014,04,73000,all,All,0.9409492705477082,0.9114169428216892,0.970481598273727,3
2014,04,73000,disability,With Disability,0.6672818568796105,0.44961053974682264,0.8849531740123984,3
2014,04,73000,disability,Without Disability,0.9555579705007428,0.9274252964979186,0.9836906445035672,3
2014,04,77000,all,All,0.8893797804789485,0.8671020167534623,0.9116575442044348,2
2014,04,77000,disability,With Disability,0.6708808862475437,0.541065704374566,0.8006960681205214,2
2014,04,77000,disability,Without Disability,0.9036042475567848,0.8821783303817878,0.9250301647317818,2
2014,04,85540,all,All,0.7978941210880375,0.7404346131818447,0.8553536289942303,2
2014,04,85540,disability,With Disability,NA,NA,NA,NA
2014,04,85540,disability,Without Disability,0.7979994028068079,0.7392794387573034,0.8567193668563124,2
2014,05,23290,all,All,0.916832512831256,0.87983032658452065,0.9538346990779912,2
2014,05,23290,disability,With Disability,NA,NA,NA,NA
2014,05,23290,disability,Without Disability,0.922273024167211,0.8874017833821042,0.957144264952318,2
2014,05,24550,all,All,0.87752587481518,0.8139876983852697,0.9410640512450902,2
2014,05,24550,disability,With Disability,NA,NA,NA,NA
2014,05,24550,disability,Without Disability,0.8770333609043287,0.806066307949603,0.9480004138590544,2
2014,05,35710,all,All,0.8703028394150285,0.8133870162604419,0.9272186625696152,2
2014,05,35710,disability,With Disability,NA,NA,NA,NA
2014,05,35710,disability,Without Disability,0.9064882266760504,0.8643099617504949,0.9486664916016058,2
2014,05,41000,all,All,0.8708002382252499,0.8010363123167753,0.9405641641337243,1
2014,05,41000,disability,With Disability,NA,NA,NA,NA
2014,05,41000,disability,Without Disability,0.876749444787018,0.8052471614699939,0.948251728104042,1
2014,05,66080,all,All,0.9164070473361812,0.8819171572238663,0.9508969374484962,3
2014,05,66080,disability,With Disability,NA,NA,NA,NA
2014,05,66080,disability,Without Disability,0.9217552244792776,0.8894472075630856,0.9540632413954694,3
2014,06,00562,all,All,0.8911007025761124,0.8014873931405609,0.980714012011664,2
2014,06,00562,disability,With Disability,NA,NA,NA,NA
2014,06,00562,disability,Without Disability,0.9001196172248804,0.8098802181506383,0.9903590162991226,2
2014,06,00884,all,All,0.962061155152888,0.9221134692903404,1,2
2014,06,00884,disability,With Disability,NA,NA,NA,NA
2014,06,00884,disability,Without Disability,0.9698375870069604,0.9336530027229344,1,2
2014,06,02000,all,All,0.8803004417954644,0.8322030238545918,0.928397859736337,3
2014,06,02000,disability,With Disability,NA,NA,NA,NA
2014,06,02000,disability,Without Disability,0.8809794291390942,0.8322876154988341,0.9296712427793544,3
2014,06,02252,all,All,0.9021784273314136,0.8227475527343371,0.9816093019284904,1
2014,06,02252,disability,With Disability,NA,NA,NA,NA
2014,06,02252,disability,Without Disability,0.903340484060661,0.8183547583073519,0.98832620981397,1
2014,06,02364,all,All,0.9000591426458014,0.8469988159355557,0.9531194693560472,2
2014,06,02364,disability,With Disability,NA,NA,NA,NA
2014,06,02364,disability,Without Disability,0.901333475475216,0.845146195597331,0.9575207553531008,2
2014,06,03526,all,All,0.8986529440796898,0.8614069544524295,0.93589893370695,2
2014,06,03526,disability,With Disability,NA,NA,NA,NA
2014,06,03526,disability,Without Disability,0.909400850331794,0.8735580816476344,0.9452436190159538,2
2014,06,04982,all,All,0.9140952581227096,0.866680550340424,0.9615099659049952,2
2014,06,04982,disability,With Disability,NA,NA,NA,NA
2014,06,04982,disability,Without Disability,0.911152944846358,0.8612683294802286,0.9610375602124874,2
2014,06,06000,all,All,0.99275123558484335,0.9833429541883084,1,1
2014,06,06000,disability,With Disability,NA,NA,NA,NA
2014,06,06000,disability,Without Disability,0.9969579178637824,0.9899715849892916,1,1
2014,06,08786,all,All,0.90922708231753,0.8465014002292038,0.9719527644058564,3
2014,06,08786,disability,With Disability,NA,NA,NA,NA
2014,06,08786,disability,Without Disability,0.9071564058636457,0.8430414896165981,0.9712713221106932,3
2014,06,08954,all,All,0.93659281894576,0.870946543654791,1,1
2014,06,08954,disability,With Disability,NA,NA,NA,NA
2014,06,08954,disability,Without Disability,0.9752883031301482,0.9464311335225464,1,1
2014,06,11194,all,All,0.9714129760364676,0.9263620917461723,1,1
2014,06,11194,disability,With Disability,NA,NA,NA,NA
2014,06,11194,disability,Without Disability,0.9716736906752144,0.921841382290953,1,1
2014,06,11530,all,All,0.872960421398246,0.8020930751719885,0.9438277676245036,1
2014,06,11530,disability,With Disability,NA,NA,NA,NA
2014,06,11530,disability,Without Disability,0.8692317032269036,0.7960663825580071,0.9423970238958,1
2014,06,13014,all,All,0.9456967213114756,0.9030878931544968,0.9883055494684544,1
2014,06,13014,disability,With Disability,NA,NA,NA,NA
2014,06,13014,disability,Without Disability,0.9654614139233676,0.9247669136552986,1,1
2014,06,13210,all,All,0.8826731720997743,0.7974015151616207,0.9679448290379278,2
2014,06,13210,disability,With Disability,NA,NA,NA,NA
2014,06,13210,disability,Without Disability,0.8820934016912233,0.7912589483873648,0.9729278549950818,2
2014,06,13214,all,All,0.8874145556895858,0.7940490202825228,0.9807800910966488,2
2014,06,13214,disability,With Disability,NA,NA,NA,NA
2014,06,13214,disability,Without Disability,0.8861429832303619,0.7868899938435024,0.9853959726172212,2
2014,06,13392,all,All,0.8992698990436655,0.8588469890730717,0.9396928090142592,1
2014,06,13392,disability,With Disability,NA,NA,NA,NA
2014,06,13392,disability,Without Disability,0.9040678717297872,0.8611913612378836,0.9469443822216908,1
2014,06,13588,all,All,0.8316307806010568,0.7679475152145351,0.8953140459875785,1
2014,06,13588,disability,With Disability,NA,NA,NA,NA
2014,06,13588,disability,Without Disability,0.8355719995021585,0.7673489043183155,0.9037950946860016,1
2014,06,14218,all,All,0.9221219858212792,0.8435154359175545,1,1
2014,06,14218,disability,With Disability,NA,NA,NA,NA
2014,06,14218,disability,Without Disability,0.9234577184872236,0.8411251082644051,1,1
2014,06,15044,all,All,0.8116446948590083,0.74572420188967,0.8775651878283465,2
2014,06,15044,disability,With Disability,NA,NA,NA,NA
2014,06,15044,disability,Without Disability,0.8100521107843206,0.7431990162251401,0.8769052053435011,2
2014,06,16000,all,All,0.8518204548361639,0.793558813652933,0.9100820960193948,3
2014,06,16000,disability,With Disability,NA,NA,NA,NA
2014,06,16000,disability,Without Disability,0.8512246736919349,0.791768033135152,0.9106813142487178,3
2014,06,16350,all,All,0.9546834047297224,0.9211203558603736,0.9882464535990712,2
2014,06,16350,disability,With Disability,NA,NA,NA,NA
2014,06,16350,disability,Without Disability,0.9559238933684449,0.9221214943612404,0.989726292375649,2
2014,06,16532,all,All,0.9460457564160988,0.8908663694638317,1,2
2014,06,16532,disability,With Disability,NA,NA,NA,NA
2014,06,16532,disability,Without Disability,0.9477048145858687,0.8915511334727104,1,2
2014,06,17918,all,All,0.9563055799708168,0.929776432133963,0.9828347278076706,2
2014,06,17918,disability,With Disability,NA,NA,NA,NA
2014,06,17918,disability,Without Disability,0.956063345126276,0.929238342340974,0.9828883479115782,2
2014,06,19766,all,All,0.9046201722456332,0.8149748355081818,0.9942655089830844,1
2014,06,19766,disability,With Disability,NA,NA,NA,NA
2014,06,19766,disability,Without Disability,0.8996013711988853,0.806941889210085,0.9922608531876856,1
2014,06,21712,all,All,0.889079977863351,0.8201856667815768,0.9579742889451252,2
