"year","state","place","share_digital_access","share_digital_access_quality"
2018,"01","03076",0.662826537314941,2
2018,"01","07000",0.50053327142306,3
2018,"01","35896",0.742909112237141,3
2018,"01","37000",0.689924442498093,3
2018,"01","50000",0.526599688981584,3
2018,"01","51000",0.627024287682665,3
2018,"01","77256",0.546706706777872,2
2018,"02","03000",0.756909241109985,2
2018,"04","04720",0.65519947428521,2
2018,"04","07940",0.668909387240964,2
2018,"04","12000",0.789565194136427,3
2018,"04","23620",0.576508164819359,3
2018,"04","27400",0.864817054324801,1
2018,"04","27820",0.634949491084613,1
2018,"04","28380",0.78197602712465,2
2018,"04","46000",0.662962734465745,2
2018,"04","54050",0.754144456280519,2
2018,"04","55000",0.644420846238511,2
2018,"04","65000",0.792117192191414,3
2018,"04","71510",0.803676334540509,1
2018,"04","73000",0.75921071076526,3
2018,"04","77000",0.635259525103207,2
2018,"04","85540",0.550073830782606,2
2018,"05","23290",0.586569023529823,2
2018,"05","24550",0.53116764373689,2
2018,"05","35710",0.531193023904104,2
2018,"05","41000",0.56535548586291,1
2018,"05","66080",0.581587720583574,3
2018,"06","00562",0.76291515819298,2
2018,"06","00884",0.731447914916092,2
2018,"06","02000",0.712856913730317,3
2018,"06","02252",0.703670043333256,1
2018,"06","02364",0.697755405007123,2
2018,"06","03526",0.641323315348018,2
2018,"06","04982",0.615857367695227,2
2018,"06","06000",0.812124918772218,1
2018,"06","08786",0.77300484677349,3
2018,"06","08954",0.697621004277557,1
2018,"06","11194",0.861684612408728,1
2018,"06","11530",0.684449223529538,1
2018,"06","13014",0.736957097457627,1
2018,"06","13210",0.800134666431333,2
2018,"06","13214",0.809218726084009,2
2018,"06","13392",0.727825567292462,1
2018,"06","13588",0.734068778466398,1
2018,"06","14218",0.715723117839905,1
2018,"06","15044",0.490384035089537,2
2018,"06","16000",0.798464541126856,3
2018,"06","16350",0.763482225164726,2
2018,"06","16532",0.77656917720944,2
2018,"06","17918",0.81446505327606,2
2018,"06","19766",0.679068113963365,1
2018,"06","21712",0.782038520945325,2
2018,"06","22020",0.812223669737856,1
2018,"06","22230",0.482158106357731,1
2018,"06","22804",0.718198833953912,1
2018,"06","23182",0.735508081930439,1
2018,"06","24638",0.836793402694539,2
2018,"06","24680",0.680848612459836,1
2018,"06","26000",0.869985175553897,2
2018,"06","27000",0.607328598302893,3
2018,"06","28000",0.741731096893119,3
2018,"06","29000",0.706245778582981,3
2018,"06","30000",0.723015063066511,2
2018,"06","32548",0.641901138407213,2
2018,"06","33000",0.744643427712526,1
2018,"06","33182",0.656219459710605,2
2018,"06","33434",0.698216409889615,2
2018,"06","36000",0.81441823804374,3
2018,"06","36448",0.57562308032569,2
2018,"06","36546",0.614940352289823,1
2018,"06","36770",0.837956459549503,2
2018,"06","37692",0.741444721543187,2
2018,"06","39496",0.84003305209152,3
2018,"06","39892",0.769623700789213,2
2018,"06","40130",0.632288131763346,1
2018,"06","41992",0.873890970031546,2
2018,"06","43000",0.701841364251714,2
2018,"06","44000",0.678396159067499,1
2018,"06","45484",0.736880063194601,3
2018,"06","46842",0.758084998267914,2
2018,"06","46898",0.592615216544927,2
2018,"06","47766",0.863736444493645,2
2018,"06","48256",0.86174171111652,1
2018,"06","48354",0.669723085336663,1
2018,"06","49270",0.72589867118346,1
2018,"06","49670",0.846668687174824,2
2018,"06","50076",0.829470527641846,2
2018,"06","50258",0.733969652471855,2
2018,"06","51182",0.827329051635491,3
2018,"06","52526",0.649072528579977,1
2018,"06","53000",0.700485835195508,3
2018,"06","53322",0.818734618652517,2
2018,"06","53896",0.678436004062818,1
2018,"06","53980",0.796320913721586,2
2018,"06","54652",0.725208889024495,1
2018,"06","55156",0.720172873113692,1
2018,"06","56000",0.736980209683766,3
2018,"06","56700",0.704634074152608,2
2018,"06","57456",0.747718759004899,2
2018,"06","57792",0.873890970031546,3
2018,"06","58072",0.641951533266974,1
2018,"06","59444",0.740607935503527,2
2018,"06","59451",0.79694706663921,1
2018,"06","59920",0.611033856457701,2
2018,"06","60102",0.819922851808916,2
2018,"06","60466",0.63448799700889,2
2018,"06","60620",0.666559017921785,2
2018,"06","62000",0.69567042921913,2
2018,"06","62938",0.811554726729643,1
2018,"06","64000",0.6985975865143,2
2018,"06","64224",0.53675009035056,1
2018,"06","65000",0.555113194369895,3
2018,"06","65042",0.756280574849423,1
2018,"06","66000",0.791460426973833,1
2018,"06","67000",0.768538263710294,2
2018,"06","68000",0.802699427811398,1
2018,"06","68084",0.762873499637092,2
2018,"06","68196",0.766062760762382,2
2018,"06","68252",0.841186433123719,2
2018,"06","68378",0.891586661617624,2
2018,"06","69000",0.651916659822374,2
2018,"06","69070",0.799010247169253,2
2018,"06","69084",0.868508279288462,1
2018,"06","69088",0.822621944304974,1
2018,"06","69196",0.65873223457721,2
2018,"06","70000",0.815080336500165,3
2018,"06","70098",0.720385037112419,1
2018,"06","72016",0.801017991846248,1
2018,"06","73080",0.566692610789512,2
2018,"06","75000",0.596560309902037,3
2018,"06","77000",0.855663159300605,3
2018,"06","78120",0.848295778643652,1
2018,"06","78582",0.841741632567659,1
2018,"06","80000",0.819602987152482,2
2018,"06","80238",0.737331553126746,2
2018,"06","80854",0.8391782284101,3
2018,"06","81344",0.68381878628492,2
2018,"06","81554",0.735711404347623,2
2018,"06","81666",0.710163067818231,1
2018,"06","82590",0.690986780525213,2
2018,"06","82954",0.645747532195855,1
2018,"06","82996",0.821139388997202,2
2018,"06","84200",0.746970053233391,2
