year,state,county,subgroup_type,subgroup,share_hs_degree,share_hs_degree_lb,share_hs_degree_ub,share_hs_degree_quality
2014,01,055,gender,Female,0.956439393939394,0.8823291694593213,1,1
2014,01,055,gender,Male,0.7226277372262774,0.5214387246862113,0.9238167497663434,1
2014,01,057,all,All,0.9092364334880744,0.8564792639211,0.9619936030550486,3
2014,01,057,gender,Female,NA,NA,NA,NA
2014,01,057,gender,Male,NA,NA,NA,NA
2014,01,059,all,All,0.9137442437123626,0.8734939408726454,0.9539945465520798,3
2014,01,059,gender,Female,NA,NA,NA,NA
2014,01,059,gender,Male,NA,NA,NA,NA
2014,01,061,all,All,0.8838163631700436,0.8369519531907995,0.9306807731492878,3
2014,01,061,gender,Female,NA,NA,NA,NA
2014,01,061,gender,Male,NA,NA,NA,NA
2014,01,063,all,All,NA,NA,NA,NA
2014,01,063,gender,Female,NA,NA,NA,NA
2014,01,063,gender,Male,NA,NA,NA,NA
2014,01,065,all,All,0.9161536206391088,0.8716085628829071,0.9606986783953106,3
2014,01,065,gender,Female,NA,NA,NA,NA
2014,01,065,gender,Male,NA,NA,NA,NA
2014,01,067,all,All,NA,NA,NA,NA
2014,01,067,gender,Female,NA,NA,NA,NA
2014,01,067,gender,Male,NA,NA,NA,NA
2014,01,069,all,All,0.8838163631700436,0.8369519531907995,0.9306807731492878,2
2014,01,069,gender,Female,0.88134765625,0.8208292338600552,0.9418660786399448,2
2014,01,069,gender,Male,0.8865478119935171,0.8182569039027975,0.9548387200842366,2
2014,01,071,all,All,0.7892590074779061,0.68623001916739,0.8922879957884222,2
2014,01,071,gender,Female,NA,NA,NA,NA
2014,01,071,gender,Male,0.6910148674854558,0.5367032694818931,0.8453264654890186,2
2014,01,073,all,All,0.8836135230001847,0.8470703144933894,0.92015673150698,1
2014,01,073,gender,Female,0.9080103359173126,0.8588066676844076,0.9572140041502176,1
2014,01,073,gender,Male,0.8554072893845848,0.7946720792918671,0.9161424994773024,1
2014,01,075,all,All,0.9092364334880744,0.8564792639211,0.9619936030550486,3
2014,01,075,gender,Female,NA,NA,NA,NA
2014,01,075,gender,Male,NA,NA,NA,NA
2014,01,077,all,All,0.9137442437123628,0.8734939408726455,0.95399454655208,2
2014,01,077,gender,Female,0.9331926863572432,0.8812337426733392,0.9851516300411474,2
2014,01,077,gender,Male,0.8940042826552462,0.8303706105978291,0.9576379547126632,2
2014,01,079,all,All,NA,NA,NA,NA
