year,state,place,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality
2018,01,03076,0,1,0,1,0,1
2018,01,07000,.92304868,1,.74661511,1,.1241453,1
2018,01,35896,0,1,0,1,0,1
2018,01,37000,.54209018,1,.50092763,1,.11735256,1
2018,01,50000,.81642747,1,.67467397,1,.51477468,1
2018,01,51000,.79346573,1,.87202513,1,.36781609,1
2018,01,77256,.62544268,1,.66179156,1,.099255584,1
2018,02,03000,.33878967,1,.28864142,1,.21668881,1
2018,04,04720,.50735664,1,.50945354,1,.33994016,1
2018,04,07940,.43404636,1,.4861809,1,.26498953,1
2018,04,12000,.10571428,1,.16503547,1,.017545298,1
2018,04,23620,.17431192,1,.18080357,1,.042926829,1
2018,04,27400,0,1,0,1,0,1
2018,04,27820,.58244205,1,.60290647,1,.20506942,1
2018,04,28380,.14416777,1,.11785617,1,.035849653,1
2018,04,46000,.3993074,1,.43742323,1,.13238122,1
2018,04,54050,.46501768,1,.5313068,1,.15043384,1
2018,04,55000,.67695463,1,.78227425,1,.20099299,1
2018,04,65000,.17817163,1,.28673649,1,.02442809,1
2018,04,71510,.082234778,1,.11115538,1,.034462575,1
2018,04,73000,.40084389,1,.34253022,1,.12004082,1
2018,04,77000,.62080967,1,.68916196,1,.26892838,1
2018,04,85540,.6195122,1,.65731353,1,.43049815,1
2018,05,23290,.22580644,1,.18799368,1,.11643462,1
2018,05,24550,.83292079,1,.89650738,1,.5821256,1
2018,05,35710,.78879225,1,.66713387,1,.36519885,1
2018,05,41000,.67850429,1,.75025952,1,.24147254,1
2018,05,66080,.66666669,1,.78290993,1,.45120811,1
2018,06,00562,0,1,0,1,0,1
2018,06,00884,.77777779,1,.75836581,1,.72014928,1
2018,06,02000,.68068832,1,.77091521,1,.30818936,1
2018,06,02252,.58281904,1,.67229682,1,.56647396,1
2018,06,02364,.83834279,1,.77099234,1,.66195416,1
2018,06,03526,.81327599,1,.81162679,1,.40314415,1
2018,06,04982,.92399406,1,.95071363,1,.69122809,1
2018,06,06000,.01943095,1,.0035559067,1,.00068728521,1
2018,06,08786,.67409474,1,.71748579,1,.39865622,1
2018,06,08954,0,1,.0028708135,1,.00083951309,1
2018,06,11194,0,1,0,1,0,1
2018,06,11530,.92814559,1,.85089374,1,.81620556,1
2018,06,13014,.28818443,1,.34780234,1,.18072289,1
2018,06,13210,.30628273,1,.60037506,1,.34906831,1
2018,06,13214,.046511628,1,.011456628,1,.0029282577,1
2018,06,13392,.17217484,1,.40002123,1,.14315937,1
2018,06,13588,.72126436,1,.65075034,1,.51717371,1
2018,06,14218,.18292683,1,.18764034,1,.081530467,1
2018,06,15044,.99767101,1,.99842912,1,1,1
2018,06,16000,.40562913,1,.52115339,1,.12781955,1
2018,06,16350,.12746757,1,.28294787,1,.057726361,1
2018,06,16532,.42553192,1,.64328343,1,.24601063,1
2018,06,17918,.035211269,1,.062003665,1,.029605264,1
2018,06,19766,.44615385,1,.40662983,1,.32762095,1
2018,06,21712,.55948371,1,.46576563,1,.2832956,1
2018,06,22020,.051337153,1,.033613447,1,.015449128,1
2018,06,22230,1,1,1,1,1,1
2018,06,22804,.50687623,1,.64889109,1,.13305204,1
2018,06,23182,.30016312,1,.37743318,1,.11910322,1
2018,06,24638,0,1,0,1,0,1
2018,06,24680,.65992647,1,.85317105,1,.57591432,1
2018,06,26000,.047685836,1,.041387025,1,.025816649,1
2018,06,27000,.81479388,1,.83978611,1,.40556648,1
2018,06,28000,.30363035,1,.44286931,1,.1056701,1
2018,06,29000,.81578946,1,.90693307,1,.41110709,1
2018,06,30000,.4107143,1,.66206092,1,.45371079,1
2018,06,32548,.76186889,1,.75174016,1,.201726,1
2018,06,33000,.54400003,1,.68459314,1,.4313364,1
2018,06,33182,.97517169,1,.9609437,1,.91497642,1
2018,06,33434,.95172411,1,.92223722,1,.86406672,1
2018,06,36000,.052884616,1,.11400954,1,.0057931244,1
2018,06,36448,.67415732,1,.77898943,1,.36581594,1
2018,06,36546,.90270489,1,.94697064,1,.52542371,1
2018,06,36770,0,1,0,1,0,1
2018,06,37692,.67281103,1,.8897016,1,.72874492,1
2018,06,39496,.073529415,1,.34628671,1,.058209959,1
2018,06,39892,.24860933,1,.35567531,1,.09440928,1
2018,06,40130,.86641747,1,.82913566,1,.62370902,1
2018,06,41992,.03960396,1,.068989873,1,.0071673417,1
2018,06,43000,.71547234,1,.72922695,1,.14185639,1
2018,06,44000,.82139808,1,.93083876,1,.29475927,1
2018,06,45484,.11895161,1,.24723116,1,.12513812,1
2018,06,46842,.23803191,1,.27595013,1,.12305962,1
2018,06,46898,.88143831,1,.85618442,1,.68165678,1
2018,06,47766,.024154589,1,.10577865,1,.016161617,1
2018,06,48256,0,1,0,1,0,1
