year,state,county,meps20_total,meps20_total_quality,meps20_white,meps20_white_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality
2015,01,019,.6778025,1,.67962855,1,.8125,1,.55813956,1
2015,01,027,.51516682,1,.50748301,1,.47337279,1,.5625,1
2016,01,025,.85865724,1,.88748336,1,.83868241,1,.84615386,1
2017,01,031,.59107918,1,.60857189,1,.55497104,1,.58536583,1
2016,01,009,.49897686,1,.47206554,1,.37951806,1,.67576563,1
2017,01,087,1,1,1,1,1,1,1,2
2017,01,111,1,1,1,1,1,1,1,1
2014,01,095,.63791519,1,.59310669,1,.54261363,1,.79395533,1
2018,01,009,.41785011,1,.3977226,1,.19553073,1,.5660131,1
2018,01,089,.18359323,1,.064001486,1,.36531219,1,.34472635,1
2017,01,129,1,1,1,1,1,1,1,2
2016,01,057,1,1,1,1,1,1,1,1
2015,01,109,1.0007199,1,1,1,1,1,1,1
2014,01,113,.90999788,1,.89174479,1,.94336349,1,.88195992,1
2017,01,035,.7479592,1,.39116204,1,.92682928,1,.74468082,1
2014,01,023,1,1,1,1,1,1,1,3
2018,01,071,.72333634,1,.70910907,1,.66472304,1,.68541664,1
2014,01,105,.51677853,1,.63636363,3,.51511413,1,.5,3
2016,01,043,.47416508,1,.4635798,1,.51020408,1,.55731225,1
2018,01,079,.7102102,1,.71552974,1,.83160084,1,.68456376,1
2015,01,121,.79715186,1,.74059379,1,.86838222,1,.86507934,1
2016,01,031,.55548763,1,.58281821,1,.48243803,1,.55673385,1
2017,01,107,1,1,1,1,1,1,1,1
2014,01,059,.77923828,1,.82641238,1,.53125,1,.66803843,1
2016,01,055,.46682951,1,.35991341,1,.76304275,1,.76727271,1
2017,01,039,.87968087,1,.86874741,1,.91111112,1,.95327103,1
2014,01,099,1.0005451,1,1,1,1,1,1,2
2015,01,111,.80175161,1,.82810688,1,.74093819,1,.7235294,1
2015,01,051,.39419183,1,.38291979,1,.4065299,1,.47222221,1
2016,01,089,.23988156,1,.14151807,1,.39396131,1,.39243218,1
2017,01,065,1,1,1,1,1,1,1,1
2017,01,099,1,1,1,1,1,1,1,2
2015,01,033,.42839566,1,.41283637,1,.49720323,1,.43816254,1
2016,01,127,.6848253,1,.69336641,1,.61915123,1,.68281937,1
2018,01,029,.41799363,1,.39718804,1,.55752212,1,.69411767,1
2018,01,043,.36285421,1,.35330907,1,.40769231,1,.41268462,1
2014,01,021,.79404044,1,.79142857,1,.77815318,1,.79542983,1
2017,01,071,.84702337,1,.83261251,1,.77286136,1,.83850932,1
2017,01,015,.57898331,1,.52756113,1,.67967445,1,.65660375,1
2016,01,123,.8509109,1,.85363126,1,.83491272,1,.90310079,1
2018,01,065,1,1,1,1,1,1,1,1
2015,01,105,1,1,1,3,1,1,1,3
2016,01,013,1,1,1,1,1,1,1,1
2015,01,053,.74600637,1,.65065205,1,.85168934,1,.76068377,1
2014,01,047,1.0004258,1,1,1,1,1,1,2
2015,01,131,1.0005574,1,1,3,1,1,1,3
2015,01,123,.70525438,1,.63356447,1,.80945271,1,.82969433,1
2015,01,119,.66582912,1,1,3,.65941101,1,1,3
2018,01,113,.69732404,1,.68908674,1,.70348608,1,.70619237,1
2015,01,113,.69975913,1,.61152416,1,.76917279,1,.6745562,1
2015,01,069,.59270132,1,.50053871,1,.72884679,1,.53157896,1
2015,01,043,.41404834,1,.39461073,1,.71818179,1,.57668066,1
2015,01,031,.33530191,1,.35007825,1,.3180851,1,.26537585,1
2015,01,023,.75986624,1,.62993765,1,.81937438,1,.90909094,3
2015,01,011,1.0006649,1,1,1,1,1,1,1
2015,01,005,1.0002664,1,1,1,1,1,1,1
2015,01,077,.2950162,1,.23634596,1,.53864032,1,.53947371,1
2015,01,017,.77150947,1,.66613501,1,.85514206,1,.76666665,1
2014,01,005,.94404477,1,.99274707,1,.9208135,1,.92424244,1
2017,01,017,.68707484,1,.55103147,1,.7833876,1,.7912088,1
2014,01,019,1.0002471,1,1,1,1,1,1,1
2014,01,091,.83069462,1,.78120619,1,.8640818,1,.77011496,1
2015,01,039,.40621018,1,.37522694,1,.52474326,1,.53488374,1
2018,01,031,.54731327,1,.58092487,1,.50541711,1,.47863248,1
2018,01,017,.68344522,1,.54243958,1,.77673084,1,.79166669,1
2017,01,109,1,1,1,1,1,1,1,1
2016,01,073,.44185367,1,.09321408,1,.70553613,1,.5153026,1
2017,01,113,.7908147,1,.82570016,1,.78181821,1,.77142859,1
2017,01,081,.27623567,1,.2647059,1,.31144097,1,.36363637,1
2017,01,047,.97637433,1,.99869454,1,.97399151,1,1,2
2016,01,075,1,1,1,1,1,1,1,1
2015,01,091,.81678212,1,.7729885,1,.84696907,1,.76249999,1
2015,01,089,.16573943,1,.062777199,1,.3352648,1,.33106339,1
2014,01,063,1.0016,1,1,3,1,1,1,3
2016,01,017,.68150759,1,.53579175,1,.78241307,1,.79746836,1
2014,01,057,1,1,1,1,1,1,1,2
2016,01,069,.6594128,1,.5408929,1,.82937539,1,.58518517,1
2016,01,095,.62772715,1,.53932673,1,.63973796,1,.86147279,1
2016,01,007,.72227287,1,.66968328,1,.88598901,1,.79347825,1
2017,01,011,1,1,1,2,1,1,1,1
2018,01,073,.46448973,1,.10507168,1,.73526621,1,.55642021,1
2015,01,009,.49871576,1,.47284472,1,.37333333,1,.67214239,1
2018,01,131,1,1,1,3,1,1,1,3
2018,01,015,.49570629,1,.43047792,1,.62903225,1,.56024629,1
2016,01,059,.79289556,1,.84753579,1,.63333333,1,.67554766,1
2015,01,075,1.0004256,1,1,1,1,1,1,1
2016,01,047,1,1,1,1,1,1,1,2
2016,01,103,.49187842,1,.42391729,1,.56055015,1,.71300447,1
2017,01,045,.93298805,1,.89980996,1,.98438311,1,.96416938,1
2017,01,009,.41291922,1,.38978022,1,.28651685,1,.56401837,1
2015,01,049,.89146274,1,.94570595,1,.98039216,1,.76377535,1
2018,01,129,1,1,1,1,1,1,1,2
2015,01,047,.88904673,1,.71658415,1,.91106784,1,.90909094,2
2015,01,083,.25674456,1,.23303057,1,.23632611,1,.44900578,1
2014,01,049,.93998677,1,.9689967,1,.98963732,1,.86430758,1
2018,01,107,.78090334,1,.59027028,1,.90426999,1,.73958331,1
2018,01,105,1,1,1,3,1,1,1,3
2015,01,001,.10244665,1,.073898412,1,.19545455,1,.012244898,1
2015,01,071,.66670799,1,.64903843,1,.62295079,1,.59850377,1
2016,01,121,.71736747,1,.64740407,1,.80619824,1,.80071175,1
