year,state,place,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality,meps20_total,meps20_total_quality
2018,01,0103076,0,1,0,1,0,1,0,1
2018,01,0107000,0.92304868,1,0.74661511,1,0.1241453,1,0.78350896,1
2018,01,0135896,0,1,0,1,0,1,0,1
2018,01,0137000,0.54209018,1,0.50092763,1,0.11735256,1,0.34638926,1
2018,01,0150000,0.81642747,1,0.67467397,1,0.51477468,1,0.72054577,1
2018,01,0151000,0.79346573,1,0.87202513,1,0.36781609,1,0.73393017,1
2018,01,0177256,0.62544268,1,0.66179156,1,0.099255584,1,0.43576416,1
2018,02,0203000,0.33878967,1,0.28864142,1,0.21668881,1,0.27993909,1
2018,04,0404720,0.50735664,1,0.50945354,1,0.33994016,1,0.47617236,1
2018,04,0407940,0.43404636,1,0.4861809,1,0.26498953,1,0.3913227,1
2018,04,0412000,0.10571428,1,0.16503547,1,0.017545298,1,0.068368845,1
2018,04,0423620,0.17431192,1,0.18080357,1,0.042926829,1,0.12830894,1
2018,04,0427400,0,1,0,1,0,1,0,1
2018,04,0427820,0.58244205,1,0.60290647,1,0.20506942,1,0.43487063,1
2018,04,0428380,0.14416777,1,0.11785617,1,0.035849653,1,0.080992624,1
2018,04,0446000,0.3993074,1,0.43742323,1,0.13238122,1,0.28460771,1
2018,04,0454050,0.46501768,1,0.5313068,1,0.15043384,1,0.2799904,1
2018,04,0455000,0.67695463,1,0.78227425,1,0.20099299,1,0.60744911,1
2018,04,0465000,0.17817163,1,0.28673649,1,0.02442809,1,0.082942642,1
2018,04,0471510,0.082234778,1,0.11115538,1,0.034462575,1,0.062148027,1
2018,04,0473000,0.40084389,1,0.34253022,1,0.12004082,1,0.27901736,1
2018,04,0477000,0.62080967,1,0.68916196,1,0.26892838,1,0.54756695,1
2018,04,0485540,0.6195122,1,0.65731353,1,0.43049815,1,0.61361903,1
2018,05,0523290,0.22580644,1,0.18799368,1,0.11643462,1,0.14166667,1
2018,05,0524550,0.83292079,1,0.89650738,1,0.5821256,1,0.73949903,1
2018,05,0535710,0.78879225,1,0.66713387,1,0.36519885,1,0.54471165,1
2018,05,0541000,0.67850429,1,0.75025952,1,0.24147254,1,0.54882789,1
2018,05,0566080,0.66666669,1,0.78290993,1,0.45120811,1,0.66926956,1
2018,06,0600562,0,1,0,1,0,1,0,1
2018,06,0600884,0.77777779,1,0.75836581,1,0.72014928,1,0.69120091,1
2018,06,0602000,0.68068832,1,0.77091521,1,0.30818936,1,0.67883086,1
2018,06,0602252,0.58281904,1,0.67229682,1,0.56647396,1,0.60651523,1
2018,06,0602364,0.83834279,1,0.77099234,1,0.66195416,1,0.72100335,1
2018,06,0603526,0.81327599,1,0.81162679,1,0.40314415,1,0.69502169,1
2018,06,0604982,0.92399406,1,0.95071363,1,0.69122809,1,0.93192488,1
2018,06,0606000,0.01943095,1,0.0035559067,1,6.8728521e-4,1,0.0043933447,1
2018,06,0608786,0.67409474,1,0.71748579,1,0.39865622,1,0.6297251,1
2018,06,0608954,0,1,0.0028708135,1,8.3951309e-4,1,0.0015172504,1
2018,06,0611194,0,1,0,1,0,1,0,1
2018,06,0611530,0.92814559,1,0.85089374,1,0.81620556,1,0.83997327,1
2018,06,0613014,0.28818443,1,0.34780234,1,0.18072289,1,0.23838091,1
2018,06,0613210,0.30628273,1,0.60037506,1,0.34906831,1,0.51485938,1
2018,06,0613214,0.046511628,1,0.011456628,1,0.0029282577,1,0.0070825582,1
2018,06,0613392,0.17217484,1,0.40002123,1,0.14315937,1,0.3098571,1
2018,06,0613588,0.72126436,1,0.65075034,1,0.51717371,1,0.5822137,1
2018,06,0614218,0.18292683,1,0.18764034,1,0.081530467,1,0.12948237,1
2018,06,0615044,0.99767101,1,0.99842912,1,1,1,0.99835658,1
2018,06,0616000,0.40562913,1,0.52115339,1,0.12781955,1,0.38251504,1
2018,06,0616350,0.12746757,1,0.28294787,1,0.057726361,1,0.1938726,1
2018,06,0616532,0.42553192,1,0.64328343,1,0.24601063,1,0.51771343,1
2018,06,0617918,0.035211269,1,0.062003665,1,0.029605264,1,0.039146278,1
2018,06,0619766,0.44615385,1,0.40662983,1,0.32762095,1,0.40190637,1
2018,06,0621712,0.55948371,1,0.46576563,1,0.2832956,1,0.35198149,1
2018,06,0622230,1,1,1,1,1,1,1,1
2018,06,0622020,0.051337153,1,0.033613447,1,0.015449128,1,0.031119756,1
2018,06,0622804,0.50687623,1,0.64889109,1,0.13305204,1,0.49149799,1
2018,06,0623182,0.30016312,1,0.37743318,1,0.11910322,1,0.2590718,1
2018,06,0624638,0,1,0,1,0,1,0,1
2018,06,0624680,0.65992647,1,0.85317105,1,0.57591432,1,0.80584794,1
2018,06,0626000,0.047685836,1,0.041387025,1,0.025816649,1,0.012189352,1
2018,06,0627000,0.81479388,1,0.83978611,1,0.40556648,1,0.75137609,1
2018,06,0628000,0.30363035,1,0.44286931,1,0.1056701,1,0.26136309,1
2018,06,0629000,0.81578946,1,0.90693307,1,0.41110709,1,0.84107941,1
2018,06,0630000,0.4107143,1,0.66206092,1,0.45371079,1,0.49895895,1
2018,06,0632548,0.76186889,1,0.75174016,1,0.201726,1,0.68630451,1
2018,06,0633000,0.54400003,1,0.68459314,1,0.4313364,1,0.64476836,1
2018,06,0633182,0.97517169,1,0.9609437,1,0.91497642,1,0.94832164,1
2018,06,0633434,0.95172411,1,0.92223722,1,0.86406672,1,0.91258162,1
2018,06,0636000,0.052884616,1,0.11400954,1,0.0057931244,1,0.038207825,1
2018,06,0636448,0.67415732,1,0.77898943,1,0.36581594,1,0.73652053,1
2018,06,0636546,0.90270489,1,0.94697064,1,0.52542371,1,0.92432636,1
2018,06,0636770,0,1,0,1,0,1,0,1
2018,06,0637692,0.67281103,1,0.8897016,1,0.72874492,1,0.85730511,1
2018,06,0639496,0.073529415,1,0.34628671,1,0.058209959,1,0.18391514,1
2018,06,0639892,0.24860933,1,0.35567531,1,0.09440928,1,0.28815889,1
2018,06,0640130,0.86641747,1,0.82913566,1,0.62370902,1,0.8032977,1
2018,06,0641992,0.03960396,1,0.068989873,1,0.0071673417,1,0.028577678,1
2018,06,0643000,0.71547234,1,0.72922695,1,0.14185639,1,0.62052017,1
2018,06,0644000,0.82139808,1,0.93083876,1,0.29475927,1,0.85529745,1
2018,06,0645484,0.11895161,1,0.24723116,1,0.12513812,1,0.18679917,1
2018,06,0646842,0.23803191,1,0.27595013,1,0.12305962,1,0.20560053,1
2018,06,0646898,0.88143831,1,0.85618442,1,0.68165678,1,0.82374084,1
2018,06,0647766,0.024154589,1,0.10577865,1,0.016161617,1,0.034211561,1
2018,06,0648256,0,1,0,1,0,1,0,1
2018,06,0648354,0.6768769,1,0.75764543,1,0.49457002,1,0.6722101,1
2018,06,0649270,0.99140263,1,0.99387509,1,0.98465568,1,0.99290168,1
2018,06,0649670,0.0090909088,1,0.094923645,1,0.0068623712,1,0.034751039,1
2018,06,0650076,0,1,0,1,0,1,0,1
2018,06,0650258,0.16470589,1,0.3444812,1,0.11319112,1,0.25344291,1
2018,06,0651182,0,1,0,1,0,1,0,1
2018,06,0652526,0.93841642,1,0.884413,1,0.85340315,1,0.88739353,1
2018,06,0653000,0.66356361,1,0.84305763,1,0.17699777,1,0.68084145,1
2018,06,0653322,0.40927258,1,0.39992651,1,0.12991142,1,0.30201277,1
2018,06,0653896,0.37621832,1,0.76615852,1,0.2373078,1,0.67172801,1
2018,06,0653980,0.41975307,1,0.59966528,1,0.19935691,1,0.50890499,1
2018,06,0654652,0.63505155,1,0.7668553,1,0.71274835,1,0.75788194,1
2018,06,0655156,0.91425741,1,0.92094934,1,0.61531937,1,0.88219714,1
2018,06,0656000,0.25100806,1,0.29963681,1,0.089158647,1,0.22756448,1
2018,06,0656700,0.9481982,1,0.94603282,1,0.94911736,1,0.94685644,1
2018,06,0657456,0.59585494,1,0.62452108,1,0.5842185,1,0.60407728,1
2018,06,0657792,0,1,0,1,0,1,0,1
2018,06,0658072,0.79571104,1,0.89344472,1,0.66318929,1,0.86309683,1
2018,06,0659444,0.85089684,1,0.87335801,1,0.67385352,1,0.73602039,1
2018,06,0659451,0.15077139,1,0.21035598,1,0.075218476,1,0.14897323,1
2018,06,0659920,0.55744684,1,0.53754264,1,0.37969205,1,0.43406376,1
2018,06,0660102,0.26027396,1,0.34604716,1,0.037491705,1,0.22319846,1
2018,06,0660466,1,1,1,1,1,1,1,1
2018,06,0660620,0.76298058,1,0.8791635,1,0.36278448,1,0.81065679,1
2018,06,0662000,0.57107371,1,0.68878567,1,0.33657858,1,0.59223998,1
2018,06,0662938,0.017377567,1,0.074040219,1,0.013838311,1,0.027658636,1
2018,06,0664000,0.71203995,1,0.70081037,1,0.40860939,1,0.61053395,1
2018,06,0664224,0.54655868,1,0.71890587,1,0.37979206,1,0.68667305,1
2018,06,0665000,0.9823103,1,0.98591071,1,0.95587188,1,0.98217249,1
2018,06,0666000,0.61075002,1,0.61762172,1,0.078307211,1,0.37770909,1
2018,06,0667000,0.28081092,1,0.28387538,1,0.053279631,1,0.20518954,1
2018,06,0668000,0.22737102,1,0.46031496,1,0.044649322,1,0.28910947,1
2018,06,0668084,0.33212474,1,0.34881499,1,0.24332978,1,0.32148975,1
2018,06,0668196,0.070234112,1,0.18275829,1,0.028464666,1,0.10094775,1
2018,06,0668252,0.03846154,1,0.059768066,1,0.02153432,1,0.039396416,1
2018,06,0668378,0,1,0,1,0,1,0,1
2018,06,0669000,0.60986549,1,0.8876527,1,0.12946729,1,0.80590945,1
2018,06,0669070,0.096774191,1,0.28501087,1,0.032630615,1,0.1802398,1
2018,06,0669084,0,1,0,1,0,1,0,1
2018,06,0669088,0,1,0,1,0,1,0,1
2018,06,0669196,0.56321841,1,0.84722388,1,0.18738347,1,0.75676125,1
2018,06,0670000,0,1,0,1,0,1,0,1
2018,06,0670098,0.18991597,1,0.40925416,1,0.065883502,1,0.26121032,1
2018,06,0672016,0.0039467192,1,0.10091358,1,0.010423247,1,0.040517747,1
2018,06,0673080,1,1,1,1,1,1,1,1
2018,06,0675000,0.77968234,1,0.83113098,1,0.53948241,1,0.76712924,1
2018,06,0677000,0,1,0,1,0,1,0,1
2018,06,0678120,0.3078261,1,0.26144812,1,0.21522367,1,0.22167067,1
2018,06,0678582,0.050925925,1,0.070180304,1,0.005725896,1,0.027907411,1
2018,06,0680000,0.11877394,1,0.14267032,1,0.011980831,1,0.06327384,1
2018,06,0680238,0.17821783,1,0.31593132,1,0.12640885,1,0.2279,1
2018,06,0680854,0.44444445,1,0.68948877,1,0.24803862,1,0.53633547,1
2018,06,0681344,0.3897883,1,0.37273327,1,0.12952381,1,0.29623735,1
2018,06,0681554,0.16625917,1,0.24181548,1,0.068446845,1,0.14513579,1
2018,06,0681666,0.52646673,1,0.5890612,1,0.48615092,1,0.52747256,1
2018,06,0665042,0.13592233,1,0.21807601,1,0.079159692,1,0.15374182,1
