year,state,place,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,meps20_white,meps20_white_quality
2022,01,03076,,,,,,
2022,01,07000,,,,,,
2022,01,35896,,,,,,
2022,01,37000,,,,,,
2022,01,50000,,,,,,
2022,01,51000,,,,,,
2022,01,77256,,,,,,
2022,02,03000,,,,,,
2022,04,04720,,,,,,
2022,04,07940,,,,,,
2022,04,12000,,,,,,
2022,04,23620,,,,,,
2022,04,27400,,,,,,
2022,04,27820,,,,,,
2022,04,28380,,,,,,
2022,04,46000,,,,,,
2022,04,54050,,,,,,
2022,04,55000,,,,,,
2022,04,65000,,,,,,
2022,04,71510,,,,,,
2022,04,73000,,,,,,
2022,04,77000,,,,,,
2022,04,85540,,,,,,
2022,05,23290,,,,,,
2022,05,24550,,,,,,
2022,05,35710,,,,,,
2022,05,41000,,,,,,
2022,05,66080,,,,,,
2022,06,00562,,,,,,
2022,06,00884,,,,,,
2022,06,02000,,,,,,
2022,06,02252,,,,,,
2022,06,02364,,,,,,
2022,06,03526,,,,,,
2022,06,04982,,,,,,
2022,06,06000,,,,,,
2022,06,08786,,,,,,
2022,06,08954,,,,,,
2022,06,11194,,,,,,
2022,06,11530,,,,,,
2022,06,13014,,,,,,
2022,06,13210,,,,,,
2022,06,13214,,,,,,
2022,06,13392,,,,,,
2022,06,13588,,,,,,
2022,06,14218,,,,,,
2022,06,15044,,,,,,
2022,06,16000,,,,,,
2022,06,16350,,,,,,
2022,06,16532,,,,,,
2022,06,17918,,,,,,
2022,06,19766,,,,,,
2022,06,21712,,,,,,
2022,06,22020,,,,,,
2022,06,22230,,,,,,
2022,06,22804,,,,,,
2022,06,23182,,,,,,
2022,06,24638,,,,,,
2022,06,24680,,,,,,
2022,06,26000,,,,,,
2022,06,27000,,,,,,
2022,06,28000,,,,,,
2022,06,29000,,,,,,
2022,06,30000,,,,,,
2022,06,32548,,,,,,
2022,06,33000,,,,,,
2022,06,33182,,,,,,
2022,06,33434,,,,,,
2022,06,36000,,,,,,
2022,06,36448,,,,,,
2022,06,36546,,,,,,
2022,06,36770,,,,,,
2022,06,37692,,,,,,
2022,06,39496,,,,,,
2022,06,39892,,,,,,
2022,06,40130,,,,,,
2022,06,41992,,,,,,
2022,06,43000,,,,,,
2022,06,44000,,,,,,
2022,06,45484,,,,,,
2022,06,46842,,,,,,
2022,06,46898,,,,,,
2022,06,47766,,,,,,
2022,06,48256,,,,,,
2022,06,48354,,,,,,
2022,06,49270,,,,,,
2022,06,49670,,,,,,
2022,06,50076,,,,,,
2022,06,50258,,,,,,
2022,06,51182,,,,,,
2022,06,52526,,,,,,
2022,06,53000,,,,,,
2022,06,53322,,,,,,
2022,06,53896,,,,,,
2022,06,53980,,,,,,
2022,06,54652,,,,,,
2022,06,55156,,,,,,
2022,06,56000,,,,,,
2022,06,56700,,,,,,
2022,06,57456,,,,,,
2022,06,57792,,,,,,
2022,06,58072,,,,,,
2022,06,59444,,,,,,
2022,06,59451,,,,,,
2022,06,59920,,,,,,
2022,06,60102,,,,,,
2022,06,60466,,,,,,
2022,06,60620,,,,,,
2022,06,62000,,,,,,
2022,06,62938,,,,,,
2022,06,64000,,,,,,
2022,06,64224,,,,,,
2022,06,65000,,,,,,
2022,06,65042,,,,,,
2022,06,66000,,,,,,
2022,06,67000,,,,,,
2022,06,68000,,,,,,
2022,06,68084,,,,,,
2022,06,68196,,,,,,
2022,06,68252,,,,,,
2022,06,68378,,,,,,
2022,06,69000,,,,,,
2022,06,69070,,,,,,
2022,06,69084,,,,,,
2022,06,69088,,,,,,
2022,06,69196,,,,,,
2022,06,70000,,,,,,
2022,06,70098,,,,,,
2022,06,72016,,,,,,
2022,06,73080,,,,,,
2022,06,75000,,,,,,
2022,06,77000,,,,,,
2022,06,78120,,,,,,
2022,06,78582,,,,,,
2022,06,80000,,,,,,
2022,06,80238,,,,,,
2022,06,80854,,,,,,
2022,06,81344,,,,,,
2022,06,81554,,,,,,
2022,06,81666,,,,,,
2022,06,82590,,,,,,
2022,06,82954,,,,,,
2022,06,82996,,,,,,
2022,06,84200,,,,,,
2022,06,84550,,,,,,
2022,06,85292,,,,,,
2022,08,03455,,,,,,
2022,08,04000,,,,,,
2022,08,07850,,,,,,
2022,08,12815,,,,,,
2022,08,16000,,,,,,
2022,08,20000,,,,,,
2022,08,27425,,,,,,
2022,08,32155,,,,,,
2022,08,43000,,,,,,
2022,08,45970,,,,,,
2022,08,46465,,,,,,
2022,08,62000,,,,,,
2022,08,77290,,,,,,
2022,08,83835,,,,,,
2022,09,08000,,,,,,
2022,09,18430,,,,,,
2022,09,37000,,,,,,
2022,09,52000,,,,,,
2022,09,55990,,,,,,
2022,09,73000,,,,,,
2022,09,80000,,,,,,
2022,11,50000,,,,,,
2022,12,07300,,,,,,
2022,12,07875,,,,,,
2022,12,10275,,,,,,
2022,12,12875,,,,,,
2022,12,14400,,,,,,
2022,12,16475,,,,,,
2022,12,16725,,,,,,
2022,12,17200,,,,,,
2022,12,17935,,,,,,
2022,12,24000,,,,,,
2022,12,24125,,,,,,
2022,12,25175,,,,,,
2022,12,30000,,,,,,
2022,12,32000,,,,,,
2022,12,32275,,,,,,
2022,12,35000,,,,,,
2022,12,36950,,,,,,
2022,12,38250,,,,,,
2022,12,39425,,,,,,
2022,12,43975,,,,,,
2022,12,45000,,,,,,
2022,12,45025,,,,,,
2022,12,45060,,,,,,
2022,12,45975,,,,,,
2022,12,49675,,,,,,
2022,12,53000,,,,,,
2022,12,54000,,,,,,
2022,12,54200,,,,,,
2022,12,55775,,,,,,
2022,12,57425,,,,,,
2022,12,58050,,,,,,
2022,12,58715,,,,,,
2022,12,63000,,,,,,
2022,12,69700,,,,,,
2022,12,70600,,,,,,
2022,12,71000,,,,,,
2022,12,76600,,,,,,
2022,13,03440,,,,,,
2022,13,04000,,,,,,
2022,13,04204,,,,,,
2022,13,19000,,,,,,
2022,13,42425,,,,,,
2022,13,49008,,,,,,
2022,13,67284,,,,,,
2022,13,68516,,,,,,
2022,13,69000,,,,,,
2022,13,72122,,,,,,
2022,13,80508,,,,,,
2022,15,71550,,,,,,
2022,16,08830,,,,,,
2022,16,52120,,,,,,
2022,16,56260,,,,,,
2022,17,02154,,,,,,
2022,17,03012,,,,,,
2022,17,06613,,,,,,
2022,17,12385,,,,,,
2022,17,14000,,,,,,
2022,17,14351,,,,,,
2022,17,23074,,,,,,
2022,17,24582,,,,,,
2022,17,38570,,,,,,
2022,17,51622,,,,,,
2022,17,59000,,,,,,
2022,17,65000,,,,,,
2022,17,68003,,,,,,
2022,17,72000,,,,,,
2022,17,79293,,,,,,
2022,18,05860,,,,,,
2022,18,10342,,,,,,
2022,18,22000,,,,,,
2022,18,23278,,,,,,
2022,18,25000,,,,,,
2022,18,31000,,,,,,
2022,18,36003,,,,,,
2022,18,71000,,,,,,
2022,19,12000,,,,,,
2022,19,19000,,,,,,
2022,19,21000,,,,,,
2022,19,73335,,,,,,
2022,20,36000,,,,,,
2022,20,38900,,,,,,
2022,20,52575,,,,,,
2022,20,53775,,,,,,
2022,20,71000,,,,,,
2022,20,79000,,,,,,
2022,21,46027,,,,,,
2022,21,48006,,,,,,
2022,22,05000,,,,,,
2022,22,40735,,,,,,
2022,22,41155,,,,,,
2022,22,55000,,,,,,
2022,22,70000,,,,,,
2022,24,04000,,,,,,
2022,24,30325,,,,,,
2022,25,07000,,,,,,
2022,25,09000,,,,,,
2022,25,11000,,,,,,
2022,25,23000,,,,,,
2022,25,34550,,,,,,
2022,25,37000,,,,,,
2022,25,37490,,,,,,
2022,25,45000,,,,,,
2022,25,45560,,,,,,
2022,25,55745,,,,,,
2022,25,62535,,,,,,
2022,25,67000,,,,,,
2022,25,82000,,,,,,
2022,26,03000,,,,,,
2022,26,21000,,,,,,
2022,26,22000,,,,,,
2022,26,27440,,,,,,
2022,26,29000,,,,,,
2022,26,34000,,,,,,
2022,26,46000,,,,,,
2022,26,49000,,,,,,
2022,26,69035,,,,,,
2022,26,74900,,,,,,
2022,26,76460,,,,,,
2022,26,80700,,,,,,
2022,26,84000,,,,,,
2022,26,86000,,,,,,
2022,26,88940,,,,,,
2022,27,06616,,,,,,
2022,27,07966,,,,,,
2022,27,17000,,,,,,
2022,27,43000,,,,,,
2022,27,51730,,,,,,
2022,27,54880,,,,,,
2022,27,58000,,,,,,
2022,27,71428,,,,,,
2022,28,36000,,,,,,
2022,29,15670,,,,,,
2022,29,35000,,,,,,
2022,29,38000,,,,,,
2022,29,41348,,,,,,
2022,29,54074,,,,,,
2022,29,65000,,,,,,
2022,29,70000,,,,,,
2022,30,06550,,,,,,
2022,31,28000,,,,,,
2022,31,37000,,,,,,
2022,32,31900,,,,,,
2022,32,40000,,,,,,
2022,32,51800,,,,,,
2022,32,60600,,,,,,
2022,32,68400,,,,,,
2022,33,45140,,,,,,
2022,33,50260,,,,,,
2022,34,13690,,,,,,
2022,34,21000,,,,,,
2022,34,36000,,,,,,
2022,34,51000,,,,,,
2022,34,57000,,,,,,
2022,34,74000,,,,,,
2022,35,02000,,,,,,
2022,35,39380,,,,,,
2022,35,63460,,,,,,
2022,35,70500,,,,,,
2022,36,01000,,,,,,
2022,36,11000,,,,,,
2022,36,50617,,,,,,
2022,36,51000,,,,,,
2022,36,63000,,,,,,
2022,36,73000,,,,,,
2022,36,84000,,,,,,
2022,37,02140,,,,,,
2022,37,10740,,,,,,
