year,state,city,city_name,meps20_total,meps20_total_quality,meps20_white,meps20_white_quality,meps20_black,meps20_black_quality,meps20_hispanic,meps20_hispanic_quality,statename,state_abbr
2018,06,0623182,Fairfield,.2590718,1,.11910322,1,.30016312,1,.37743318,1,California,CA
2018,06,0624638,Folsom,0,1,0,1,0,1,0,1,California,CA
2018,06,0624680,Fontana,.80584794,1,.57591432,1,.65992647,1,.85317105,1,California,CA
2018,06,0626000,Fremont,.012189352,1,.025816649,1,.047685836,1,.041387025,1,California,CA
2018,06,0627000,Fresno,.75137609,1,.40556648,1,.81479388,1,.83978611,1,California,CA
2018,06,0628000,Fullerton,.26136309,1,.1056701,1,.30363035,1,.44286931,1,California,CA
2018,06,0629000,Garden Grove,.84107941,1,.41110709,1,.81578946,1,.90693307,1,California,CA
2018,06,0630000,Glendale,.49895895,1,.45371079,1,.4107143,1,.66206092,1,California,CA
2018,06,0632548,Hawthorne,.68630451,1,.201726,1,.76186889,1,.75174016,1,California,CA
2018,06,0633000,Hayward,.64476836,1,.4313364,1,.54400003,1,.68459314,1,California,CA
2018,06,0633182,Hemet,.94832164,1,.91497642,1,.97517169,1,.9609437,1,California,CA
2018,06,0633434,Hesperia,.91258162,1,.86406672,1,.95172411,1,.92223722,1,California,CA
2018,06,0636000,Huntington Beach,.038207825,1,.0057931244,1,.052884616,1,.11400954,1,California,CA
2018,06,0636448,Indio,.73652053,1,.36581594,1,.67415732,1,.77898943,1,California,CA
2018,06,0636546,Inglewood,.92432636,1,.52542371,1,.90270489,1,.94697064,1,California,CA
2018,06,0636770,Irvine,0,1,0,1,0,1,0,1,California,CA
2018,06,0637692,Jurupa Valley,.85730511,1,.72874492,1,.67281103,1,.8897016,1,California,CA
2018,06,0639496,Lake Forest,.18391514,1,.058209959,1,.073529415,1,.34628671,1,California,CA
2018,06,0639892,Lakewood,.28815889,1,.09440928,1,.24860933,1,.35567531,1,California,CA
2018,06,0640130,Lancaster,.8032977,1,.62370902,1,.86641747,1,.82913566,1,California,CA
2018,06,0641992,Livermore,.028577678,1,.0071673417,1,.03960396,1,.068989873,1,California,CA
2018,06,0643000,Long Beach,.62052017,1,.14185639,1,.71547234,1,.72922695,1,California,CA
2018,06,0644000,Los Angeles,.85529745,1,.29475927,1,.82139808,1,.93083876,1,California,CA
2018,06,0645484,Manteca,.18679917,1,.12513812,1,.11895161,1,.24723116,1,California,CA
2018,06,0646842,Menifee,.20560053,1,.12305962,1,.23803191,1,.27595013,1,California,CA
2018,06,0646898,Merced,.82374084,1,.68165678,1,.88143831,1,.85618442,1,California,CA
2018,06,0647766,Milpitas,.034211561,1,.016161617,1,.024154589,1,.10577865,1,California,CA
2018,06,0648256,Mission Viejo,0,1,0,1,0,1,0,1,California,CA
2018,06,0648354,Modesto,.6722101,1,.49457002,1,.6768769,1,.75764543,1,California,CA
2018,06,0649270,Moreno Valley,.99290168,1,.98465568,1,.99140263,1,.99387509,1,California,CA
2018,06,0649670,Mountain View,.034751039,1,.0068623712,1,.0090909088,1,.094923645,1,California,CA
2018,06,0650076,Murrieta,0,1,0,1,0,1,0,1,California,CA
2018,06,0650258,Napa,.25344291,1,.11319112,1,.16470589,1,.3444812,1,California,CA
2018,06,0651182,Newport Beach,0,1,0,1,0,1,0,1,California,CA
2018,06,0652526,Norwalk,.88739353,1,.85340315,1,.93841642,1,.884413,1,California,CA
2018,06,0653000,Oakland,.68084145,1,.17699777,1,.66356361,1,.84305763,1,California,CA
2018,06,0653322,Oceanside,.30201277,1,.12991142,1,.40927258,1,.39992651,1,California,CA
2018,06,0653896,Ontario,.67172801,1,.2373078,1,.37621832,1,.76615852,1,California,CA
2018,06,0653980,Orange,.50890499,1,.19935691,1,.41975307,1,.59966528,1,California,CA
2018,06,0654652,Oxnard,.75788194,1,.71274835,1,.63505155,1,.7668553,1,California,CA
2018,06,0655156,Palmdale,.88219714,1,.61531937,1,.91425741,1,.92094934,1,California,CA
2018,06,0656000,Pasadena,.22756448,1,.089158647,1,.25100806,1,.29963681,1,California,CA
2018,06,0656700,Perris,.94685644,1,.94911736,1,.9481982,1,.94603282,1,California,CA
2018,06,0657456,Pittsburg,.60407728,1,.5842185,1,.59585494,1,.62452108,1,California,CA
