year,state,county,state_name,county_name,population,rate_injury_death,rate_injury_death_lb,rate_injury_death_ub,rate_injury_death_se,rate_injury_death_quality
2014,01,001,Alabama,Autauga County,NA,77.7,67.1,88.3,5.4,1
2014,01,003,Alabama,Baldwin County,NA,67.3,62,72.6,2.7,1
2014,01,005,Alabama,Barbour County,NA,61.3,49.1,75.6,6.6,1
2014,01,007,Alabama,Bibb County,NA,81.1,65,99.9,8.6,1
2014,01,009,Alabama,Blount County,NA,90.4,79.2,101.6,5.7,1
2014,01,011,Alabama,Bullock County,NA,89.1,65.9,117.8,12.7,1
2014,01,013,Alabama,Butler County,NA,82.7,65.7,102.6,9.1,1
2014,01,015,Alabama,Calhoun County,NA,72.3,65.3,79.3,3.6,1
2014,01,017,Alabama,Chambers County,NA,74.5,61.1,88,6.9,1
2014,01,019,Alabama,Cherokee County,NA,99.7,81.7,117.7,9.2,1
2014,01,021,Alabama,Chilton County,NA,84,71.7,96.3,6.3,1
2014,01,023,Alabama,Choctaw County,NA,119.2,93.3,150.2,14,1
2014,01,025,Alabama,Clarke County,NA,86.1,69.9,102.4,8.3,1
2014,01,027,Alabama,Clay County,NA,61.9,44.8,83.4,9.4,1
2014,01,029,Alabama,Cleburne County,NA,88.2,68.1,112.4,10.9,1
2014,01,031,Alabama,Coffee County,NA,60.3,50.7,69.9,4.9,1
2014,01,033,Alabama,Colbert County,NA,66.4,56.7,76.1,5,1
2014,01,035,Alabama,Conecuh County,NA,97.5,73.8,126.3,13,1
2014,01,037,Alabama,Coosa County,NA,99.2,74.5,129.5,13.5,1
2014,01,039,Alabama,Covington County,NA,62.5,51.2,73.9,5.8,1
2014,01,041,Alabama,Crenshaw County,NA,75.1,55.5,99.2,10.7,1
2014,01,043,Alabama,Cullman County,NA,78.8,70,87.5,4.5,1
2014,01,045,Alabama,Dale County,NA,60.7,50.9,70.6,5,1
2014,01,047,Alabama,Dallas County,NA,87.4,74.3,100.4,6.7,1
2014,01,049,Alabama,DeKalb County,NA,83,73.5,92.6,4.9,1
2014,01,051,Alabama,Elmore County,NA,71.4,63,79.7,4.3,1
2014,01,053,Alabama,Escambia County,NA,96.7,82.8,110.7,7.1,1
2014,01,055,Alabama,Etowah County,NA,72.1,64.7,79.5,3.8,1
2014,01,057,Alabama,Fayette County,NA,90.1,70.8,113.2,10.5,1
2014,01,059,Alabama,Franklin County,NA,120.6,103.5,137.7,8.7,1
2014,01,061,Alabama,Geneva County,NA,75,60.1,90,7.6,1
2014,01,063,Alabama,Greene County,NA,83.5,57.1,117.8,14.8,1
2014,01,065,Alabama,Hale County,NA,72.7,54.1,95.6,10.2,1
2014,01,067,Alabama,Henry County,NA,64.7,48.4,84.6,8.9,1
2014,01,069,Alabama,Houston County,NA,64.1,57.2,71.1,3.5,1
2014,01,071,Alabama,Jackson County,NA,89.8,78.2,101.4,5.9,1
2014,01,073,Alabama,Jefferson County,NA,75.8,72.8,78.8,1.5,1
2014,01,075,Alabama,Lamar County,NA,68.3,49.8,91.4,10.2,1
2014,01,077,Alabama,Lauderdale County,NA,64.4,57,71.8,3.8,1
2014,01,079,Alabama,Lawrence County,NA,104.5,88.9,120.1,7.9,1
2014,01,081,Alabama,Lee County,NA,51.6,46,57.2,2.9,1
2014,01,083,Alabama,Limestone County,NA,60.3,52.9,67.7,3.8,1
2014,01,085,Alabama,Lowndes County,NA,98.5,72.6,130.6,14.3,1
2014,01,087,Alabama,Macon County,NA,81.1,63.7,101.8,9.4,1
2014,01,089,Alabama,Madison County,NA,56.3,52.7,59.9,1.8,1
2014,01,091,Alabama,Marengo County,NA,68.7,53.5,86.9,8.3,1
2014,01,093,Alabama,Marion County,NA,95.8,80.2,111.4,8,1
2014,01,095,Alabama,Marshall County,NA,76,68,83.9,4.1,1
2014,01,097,Alabama,Mobile County,NA,78.8,74.9,82.7,2,1
2014,01,099,Alabama,Monroe County,NA,69.2,54.1,87.2,8.1,1
2014,01,101,Alabama,Montgomery County,NA,62.3,57.7,66.9,2.4,1
2014,01,103,Alabama,Morgan County,NA,71.1,64.3,78,3.5,1
2014,01,105,Alabama,Perry County,NA,77.9,54.5,107.8,12.9,1
2014,01,107,Alabama,Pickens County,NA,82.5,65.5,102.6,9.2,1
2014,01,109,Alabama,Pike County,NA,72.7,59.2,86.2,6.9,1
2014,01,111,Alabama,Randolph County,NA,94.9,76.4,113.4,9.4,1
2014,01,113,Alabama,Russell County,NA,77.2,66.9,87.5,5.3,1
2014,01,115,Alabama,St. Clair County,NA,91.9,82.7,101.1,4.7,1
2014,01,117,Alabama,Shelby County,NA,61.7,56.8,66.7,2.5,1
2014,01,119,Alabama,Sumter County,NA,75.5,55.4,100.3,11,1
2014,01,121,Alabama,Talladega County,NA,76.3,67.7,84.9,4.4,1
2014,01,123,Alabama,Tallapoosa County,NA,70.7,58.9,82.4,6,1
2014,01,125,Alabama,Tuscaloosa County,NA,64.5,59.2,69.7,2.7,1
2014,01,127,Alabama,Walker County,NA,140.7,127.6,153.9,6.7,1
2014,01,129,Alabama,Washington County,NA,104.2,83.1,129,11.3,1
2014,01,131,Alabama,Wilcox County,NA,124.5,95.5,159.6,15.9,1
2014,01,133,Alabama,Winston County,NA,97.7,79.5,115.8,9.3,1
2014,02,013,Alaska,Aleutians East Borough,NA,NA,NA,NA,NA,NA
2014,02,016,Alaska,Aleutians West Census Area,NA,NA,NA,NA,NA,NA
2014,02,020,Alaska,Anchorage Municipality,NA,74.1,69.4,78.8,2.4,1
2014,02,050,Alaska,Bethel Census Area,NA,151,122.8,179.1,14.4,1
2014,02,060,Alaska,Bristol Bay Borough,NA,NA,102,365.7,61.4,NA
2014,02,068,Alaska,Denali Borough,NA,NA,NA,NA,NA,NA
2014,02,070,Alaska,Dillingham Census Area,NA,233.3,170.8,311.3,34.2,1
2014,02,090,Alaska,Fairbanks North Star Borough,NA,73.6,65,82.2,4.4,1
2014,02,100,Alaska,Haines Borough,NA,NA,30.2,137.7,24.4,NA
2014,02,105,Alaska,Hoonah-Angoon Census Area,NA,NA,NA,NA,NA,NA
2014,02,110,Alaska,Juneau City and Borough,NA,68.3,54.8,81.9,6.9,1
2014,02,122,Alaska,Kenai Peninsula Borough,NA,89.4,77.8,100.9,5.9,1
2014,02,130,Alaska,Ketchikan Gateway Borough,NA,80.6,59.8,106.2,11.4,1
2014,02,150,Alaska,Kodiak Island Borough,NA,84.1,59.8,115,13.4,1
2014,02,158,Alaska,Kusilvak Census Area,NA,260.7,205.4,326.4,30,1
2014,02,164,Alaska,Lake and Peninsula Borough,NA,NA,51.3,196.9,34,NA
2014,02,170,Alaska,Matanuska-Susitna Borough,NA,92.3,82.5,102.1,5,1
2014,02,180,Alaska,Nome Census Area,NA,179.8,139.9,227.5,21.6,1
2014,02,185,Alaska,North Slope Borough,NA,103,63.7,157.4,22.7,2
2014,02,188,Alaska,Northwest Arctic Borough,NA,127.9,91.4,174.1,20.1,1
2014,02,195,Alaska,Petersburg Borough,NA,NA,NA,NA,NA,NA
2014,02,198,Alaska,Prince of Wales-Hyder Census Area,NA,NA,NA,NA,NA,NA
2014,02,220,Alaska,Sitka City and Borough,NA,72.9,49.6,103.5,13.1,1
2014,02,230,Alaska,Skagway Municipality,NA,NA,0,0,0,NA
2014,02,240,Alaska,Southeast Fairbanks Census Area,NA,89,59.6,127.8,16.6,1
2014,02,261,Alaska,Valdez-Cordova Census Area,NA,76.9,51.9,109.7,14,1
2014,02,275,Alaska,Wrangell City and Borough,NA,NA,NA,NA,NA,NA
2014,02,282,Alaska,Yakutat City and Borough,NA,NA,NA,NA,NA,NA
2014,02,290,Alaska,Yukon-Koyukuk Census Area,NA,254.9,196.3,325.5,31.8,1
2014,04,001,Arizona,Apache County,NA,192,176.8,207.3,7.8,1
2014,04,003,Arizona,Cochise County,NA,73,66.4,79.7,3.4,1
2014,04,005,Arizona,Coconino County,NA,104.4,96,112.7,4.3,1
2014,04,007,Arizona,Gila County,NA,118.1,103.6,132.6,7.4,1
2014,04,009,Arizona,Graham County,NA,81.3,67.9,94.7,6.8,1
2014,04,011,Arizona,Greenlee County,NA,83.5,58.2,116.2,14.2,1
2014,04,012,Arizona,La Paz County,NA,134.8,107.4,162.3,14,1
2014,04,013,Arizona,Maricopa County,NA,67,65.9,68.2,0.6,1
2014,04,015,Arizona,Mohave County,NA,106.7,99.9,113.5,3.5,1
2014,04,017,Arizona,Navajo County,NA,151.4,140.3,162.5,5.6,1
2014,04,019,Arizona,Pima County,NA,74.2,71.8,76.7,1.2,1
2014,04,021,Arizona,Pinal County,NA,63.6,60,67.3,1.9,1
2014,04,023,Arizona,Santa Cruz County,NA,44.8,36,53.6,4.5,1
2014,04,025,Arizona,Yavapai County,NA,102.9,96.4,109.5,3.3,1
2014,04,027,Arizona,Yuma County,NA,55.3,50.6,60,2.4,1
2014,05,001,Arkansas,Arkansas County,NA,103.4,83.4,126.8,10.8,1
2014,05,003,Arkansas,Ashley County,NA,94.9,75.7,114,9.8,1
2014,05,005,Arkansas,Baxter County,NA,88.5,74.3,102.7,7.2,1
2014,05,007,Arkansas,Benton County,NA,60.4,55.8,64.9,2.3,1
2014,05,009,Arkansas,Boone County,NA,71,58.7,83.3,6.3,1
2014,05,011,Arkansas,Bradley County,NA,87.7,64.7,116.3,12.7,1
2014,05,013,Arkansas,Calhoun County,NA,79.7,49.3,121.8,17.5,2
2014,05,015,Arkansas,Carroll County,NA,98.3,80.8,115.7,8.9,1
2014,05,017,Arkansas,Chicot County,NA,68,47.6,94.1,11.3,1
2014,05,019,Arkansas,Clark County,NA,79.6,63.3,98.8,8.8,1
2014,05,021,Arkansas,Clay County,NA,81.7,62.4,105.2,10.6,1
2014,05,023,Arkansas,Cleburne County,NA,92.3,74.9,109.6,8.8,1
2014,05,025,Arkansas,Cleveland County,NA,86.7,59.7,121.7,15,1
2014,05,027,Arkansas,Columbia County,NA,87.6,70.7,104.5,8.6,1
2014,05,029,Arkansas,Conway County,NA,105.6,85.5,125.8,10.3,1
2014,05,031,Arkansas,Craighead County,NA,67.6,60.2,75,3.8,1
2014,05,033,Arkansas,Crawford County,NA,77.9,67.8,88,5.2,1
2014,05,035,Arkansas,Crittenden County,NA,74,62.7,85.2,5.7,1
2014,05,037,Arkansas,Cross County,NA,85.8,67.2,107.8,10.1,1
2014,05,039,Arkansas,Dallas County,NA,70.4,46.4,102.5,13.5,1
2014,05,041,Arkansas,Desha County,NA,87.1,65,114.2,12.1,1
2014,05,043,Arkansas,Drew County,NA,64.1,48.8,82.7,8.4,1
2014,05,045,Arkansas,Faulkner County,NA,65.8,58.9,72.7,3.5,1
2014,05,047,Arkansas,Franklin County,NA,109.6,88.1,134.7,11.5,1
2014,05,049,Arkansas,Fulton County,NA,87,63.2,116.8,13.1,1
2014,05,051,Arkansas,Garland County,NA,112.8,103.1,122.5,5,1
2014,05,053,Arkansas,Grant County,NA,89.3,70.5,111.6,10.2,1
2014,05,055,Arkansas,Greene County,NA,87.8,75.2,100.4,6.4,1
2014,05,057,Arkansas,Hempstead County,NA,86.4,69.7,105.8,8.9,1
2014,05,059,Arkansas,Hot Spring County,NA,92.4,77.6,107.2,7.6,1
2014,05,061,Arkansas,Howard County,NA,74.7,55.3,98.8,10.7,1
2014,05,063,Arkansas,Independence County,NA,77.4,64.7,90.2,6.5,1
2014,05,065,Arkansas,Izard County,NA,94.5,71.6,122.4,12.6,1
2014,05,067,Arkansas,Jackson County,NA,93.8,75.2,115.7,10,1
2014,05,069,Arkansas,Jefferson County,NA,78.9,69.8,88,4.7,1
2014,05,071,Arkansas,Johnson County,NA,74.9,60.3,91.9,7.8,1
2014,05,073,Arkansas,Lafayette County,NA,130.2,94.2,175.4,19.9,1
2014,05,075,Arkansas,Lawrence County,NA,84.2,65.4,106.8,10.2,1
2014,05,077,Arkansas,Lee County,NA,84.4,61.1,113.6,12.9,1
2014,05,079,Arkansas,Lincoln County,NA,54.5,38.6,74.9,8.9,1
2014,05,081,Arkansas,Little River County,NA,70.7,51.6,94.6,10.6,1
