year,state,county,rate_injury_death,rate_injury_death_lb,rate_injury_death_ub,rate_injury_death_quality
2014,01,001,77.7,67.1,88.3,1
2014,01,003,67.3,62,72.6,1
2014,01,005,61.3,49.1,75.6,1
2014,01,007,81.1,65,99.9,1
2014,01,009,90.4,79.2,101.6,1
2014,01,011,89.1,65.9,117.8,1
2014,01,013,82.7,65.7,102.6,1
2014,01,015,72.3,65.3,79.3,1
2014,01,017,74.5,61.1,88,1
2014,01,019,99.7,81.7,117.7,1
2014,01,021,84,71.7,96.3,1
2014,01,023,119.2,93.3,150.2,1
2014,01,025,86.1,69.9,102.4,1
2014,01,027,61.9,44.8,83.4,1
2014,01,029,88.2,68.1,112.4,1
2014,01,031,60.3,50.7,69.9,1
2014,01,033,66.4,56.7,76.1,1
2014,01,035,97.5,73.8,126.3,1
2014,01,037,99.2,74.5,129.5,1
2014,01,039,62.5,51.2,73.9,1
2014,01,041,75.1,55.5,99.2,1
2014,01,043,78.8,70,87.5,1
2014,01,045,60.7,50.9,70.6,1
2014,01,047,87.4,74.3,100.4,1
2014,01,049,83,73.5,92.6,1
2014,01,051,71.4,63,79.7,1
2014,01,053,96.7,82.8,110.7,1
2014,01,055,72.1,64.7,79.5,1
2014,01,057,90.1,70.8,113.2,1
2014,01,059,120.6,103.5,137.7,1
2014,01,061,75,60.1,90,1
2014,01,063,83.5,57.1,117.8,1
2014,01,065,72.7,54.1,95.6,1
2014,01,067,64.7,48.4,84.6,1
2014,01,069,64.1,57.2,71.1,1
2014,01,071,89.8,78.2,101.4,1
2014,01,073,75.8,72.8,78.8,1
2014,01,075,68.3,49.8,91.4,1
2014,01,077,64.4,57,71.8,1
2014,01,079,104.5,88.9,120.1,1
2014,01,081,51.6,46,57.2,1
2014,01,083,60.3,52.9,67.7,1
2014,01,085,98.5,72.6,130.6,1
2014,01,087,81.1,63.7,101.8,1
2014,01,089,56.3,52.7,59.9,1
2014,01,091,68.7,53.5,86.9,1
2014,01,093,95.8,80.2,111.4,1
2014,01,095,76,68,83.9,1
2014,01,097,78.8,74.9,82.7,1
2014,01,099,69.2,54.1,87.2,1
2014,01,101,62.3,57.7,66.9,1
2014,01,103,71.1,64.3,78,1
2014,01,105,77.9,54.5,107.8,1
2014,01,107,82.5,65.5,102.6,1
2014,01,109,72.7,59.2,86.2,1
2014,01,111,94.9,76.4,113.4,1
2014,01,113,77.2,66.9,87.5,1
2014,01,115,91.9,82.7,101.1,1
2014,01,117,61.7,56.8,66.7,1
2014,01,119,75.5,55.4,100.3,1
2014,01,121,76.3,67.7,84.9,1
2014,01,123,70.7,58.9,82.4,1
2014,01,125,64.5,59.2,69.7,1
2014,01,127,140.7,127.6,153.9,1
