year,state,county,ratio_population_pc_physician,ratio_population_pc_physician_quality
2014,08,041,1723,1
2014,08,043,1938,1
2014,08,045,1223,1
2014,08,047,2926,2
2014,08,049,1818,1
2014,08,051,1310,1
2014,08,053,0,3
2014,08,055,923,1
2014,08,057,1396,3
2014,08,059,1230,1
2014,08,061,1402,3
2014,08,063,2691,2
2014,08,065,1226,1
2014,08,067,1019,1
2014,08,069,1158,1
2014,08,071,1561,1
2014,08,073,2755,2
2014,08,075,1502,1
2014,08,077,938,1
2014,08,079,698,3
2014,08,081,2155,1
2014,08,083,1074,1
2014,08,085,1460,1
2014,08,087,2179,1
2014,08,089,1422,1
2014,08,091,926,1
2014,08,093,5448,2
2014,08,095,1091,2
2014,08,097,1175,1
2014,08,099,3008,1
2014,08,101,1445,1
2014,08,103,745,1
2014,08,105,967,1
2014,08,107,852,1
2014,08,109,2065,2
2014,08,111,720,3
2014,08,113,1568,1
2014,08,115,1174,2
2014,08,117,1225,1
2014,08,119,1376,1
2014,08,121,4780,3
2014,08,123,2072,1
2014,08,125,1020,1
2014,09,001,1108,1
2014,09,003,1066,1
2014,09,005,1555,1
2014,09,007,1352,1
2014,09,009,1094,1
2014,09,011,1495,1
2014,09,013,1846,1
2014,09,015,1950,1
2014,10,001,2123,1
2014,10,003,1210,1
2014,10,005,1517,1
2014,11,001,882,1
2014,12,001,676,1
2014,12,003,2084,1
2014,12,005,1826,1
2014,12,007,2670,1
2014,12,009,1339,1
2014,12,011,1383,1
2014,12,013,2422,1
2014,12,015,1518,1
2014,12,017,1764,1
2014,12,019,1693,1
2014,12,021,1459,1
2014,12,023,2423,1
2014,12,027,2693,1
2014,12,029,5302,2
2014,12,031,1154,1
2014,12,033,1546,1
2014,12,035,2134,1
2014,12,037,2954,2
2014,12,039,4628,1
2014,12,041,2833,1
2014,12,043,NA,NA
2014,12,045,3189,1
2014,12,047,4683,2
2014,12,049,5494,1
2014,12,051,2750,1
2014,12,053,1759,1
2014,12,055,1559,1
2014,12,057,1199,1
2014,12,059,3930,1
2014,12,061,1392,1
2014,12,063,2568,1
2014,12,065,4683,2
2014,12,067,8835,3
2014,12,069,1416,1
2014,12,071,1584,1
2014,12,073,1240,1
2014,12,075,3961,1
2014,12,077,NA,NA
2014,12,079,6173,2
2014,12,081,1813,1
2014,12,083,1713,1
2014,12,085,1434,1
2014,12,086,1234,1
2014,12,087,1455,1
2014,12,089,2394,1
2014,12,091,1293,1
2014,12,093,1957,1
2014,12,095,1220,1
2014,12,097,2264,1
2014,12,099,1260,1
2014,12,101,1758,1
2014,12,103,1106,1
2014,12,105,1971,1
2014,12,107,2577,1
2014,12,109,1079,1
2014,12,111,2466,1
2014,12,113,1486,1
2014,12,115,1306,1
2014,12,117,1302,1
2014,12,119,2932,1
2014,12,121,4891,1
2014,12,123,2823,1
2014,12,125,2532,1
2014,12,127,1418,1
2014,12,129,3492,1
2014,12,131,1923,1
2014,12,133,4075,1
2014,13,001,1854,1
2014,13,003,NA,NA
2014,13,005,1880,1
2014,13,007,NA,NA
2014,13,009,1766,1
2014,13,011,6098,2
2014,13,013,4578,1
2014,13,015,2212,1
2014,13,017,1940,1
2014,13,019,6233,2
2014,13,021,810,1
2014,13,023,3199,2
2014,13,025,4604,1
2014,13,027,5139,2
2014,13,029,1474,1
2014,13,031,1848,1
2014,13,033,2839,1
2014,13,035,3895,1
2014,13,037,3232,2
2014,13,039,3252,1
2014,13,043,2722,2
2014,13,045,2194,1
2014,13,047,2263,1
2014,13,049,4299,2
2014,13,051,1186,1
2014,13,053,5918,2
2014,13,055,24939,3
2014,13,057,2817,1
2014,13,059,1440,1
2014,13,061,3102,3
2014,13,063,3223,1
2014,13,065,6831,3
2014,13,067,1445,1
2014,13,069,1647,1
2014,13,071,2305,1
2014,13,073,865,1
2014,13,075,1913,1
2014,13,077,2054,1
2014,13,079,12387,3
2014,13,081,1274,1
2014,13,083,5463,2
2014,13,085,1640,1
2014,13,087,2268,1
2014,13,089,940,1
2014,13,091,2098,1
2014,13,093,14188,3
2014,13,095,1062,1
2014,13,097,2352,1
2014,13,099,1748,1
2014,13,101,NA,NA
2014,13,103,4263,1
2014,13,105,1944,1
2014,13,107,2069,1
2014,13,109,2724,1
2014,13,111,1397,1
2014,13,113,877,1
2014,13,115,801,1
2014,13,117,2491,1
2014,13,119,3711,1
2014,13,121,948,1
2014,13,123,1602,1
2014,13,125,3053,3
2014,13,127,1712,1
2014,13,129,2156,1
2014,13,131,2536,1
2014,13,133,1649,1
2014,13,135,1672,1
2014,13,137,1823,1
2014,13,139,1630,1
2014,13,141,4254,2
2014,13,143,1909,1
2014,13,145,1934,1
2014,13,147,2820,1
2014,13,149,5802,2
2014,13,151,1962,1
2014,13,153,1962,1
2014,13,155,3035,2
2014,13,157,1628,1
2014,13,159,2686,1
2014,13,161,3715,2
2014,13,163,2712,1
2014,13,165,4562,2
2014,13,167,4850,2
2014,13,169,4798,1
2014,13,171,2276,1
2014,13,173,10373,3
2014,13,175,997,1
2014,13,177,1460,1
2014,13,179,2964,1
2014,13,181,3811,2
2014,13,183,NA,NA
2014,13,185,1924,1
2014,13,187,2598,1
2014,13,189,1644,1
2014,13,191,14214,3
2014,13,193,13792,3
2014,13,195,7078,2
2014,13,197,8797,3
2014,13,199,3028,1
2014,13,201,1986,2
2014,13,205,1898,1
2014,13,207,1803,1
2014,13,209,NA,NA
2014,13,211,1632,1
2014,13,213,7882,1
2014,13,215,1080,1
2014,13,217,2880,1
2014,13,219,924,1
2014,13,221,7336,2
2014,13,223,7095,1
2014,13,225,3846,1
2014,13,227,2307,1
2014,13,229,2374,1
2014,13,231,5928,2
2014,13,233,3164,1
2014,13,235,1435,1
2014,13,237,4238,1
2014,13,239,NA,NA
2014,13,241,1805,1
2014,13,243,3656,2
2014,13,245,1043,1
2014,13,247,1272,1
2014,13,249,NA,NA
2014,13,251,7042,2
2014,13,253,965,1
2014,13,255,1939,1
2014,13,257,1416,1
2014,13,259,1915,2
2014,13,261,1420,1
2014,13,263,6390,3
2014,13,265,0,3
2014,13,267,4204,1
2014,13,269,NA,NA
2014,13,271,2753,1
2014,13,273,NA,NA
2014,13,275,1070,1
2014,13,277,925,1
2014,13,279,1137,1
2014,13,281,1110,1
2014,13,283,NA,NA
2014,13,285,1985,1
2014,13,287,2718,2
2014,13,289,NA,NA
2014,13,291,1099,1
2014,13,293,1875,1
2014,13,295,4013,1
2014,13,297,2368,1
2014,13,299,1225,1
2014,13,301,1840,2
2014,13,303,1290,1
2014,13,305,2723,1
2014,13,307,NA,NA
2014,13,309,NA,NA
2014,13,311,3996,1
2014,13,313,1726,1
2014,13,315,4424,2
2014,13,317,1988,1
2014,13,319,9326,3
2014,13,321,4188,1
2014,15,001,1339,1
2014,15,003,1136,1
2014,15,005,0,3
2014,15,007,1215,1
2014,15,009,1080,1
2014,16,001,1131,1
2014,16,003,1930,2
2014,16,005,1366,1
2014,16,007,1191,1
2014,16,009,1303,1
2014,16,011,2663,1
2014,16,013,1023,1
2014,16,015,3412,2
2014,16,017,1485,1
2014,16,019,2263,1
2014,16,021,1098,1
2014,16,023,2622,3
2014,16,025,0,3
2014,16,027,3224,1
2014,16,029,2279,2
2014,16,031,1308,1
2014,16,033,0,3
2014,16,035,778,1
2014,16,037,NA,NA
2014,16,039,1864,1
2014,16,041,2170,1
2014,16,043,12867,3
2014,16,045,1874,1
2014,16,047,2511,1
2014,16,049,1622,1
2014,16,051,3860,1
2014,16,053,2535,1
2014,16,055,1292,1
2014,16,057,1280,1
2014,16,059,2575,2
2014,16,061,3838,3
2014,16,063,5316,3
2014,16,065,1585,1
2014,16,067,3387,1
2014,16,069,1334,1
2014,16,071,4184,3
2014,16,073,11353,3
2014,16,075,2537,1
2014,16,077,2539,2
2014,16,079,2478,1
2014,16,081,2068,1
2014,16,083,1471,1
2014,16,085,546,1
2014,16,087,1670,1
2014,17,001,1196,1
2014,17,003,7492,3
2014,17,005,1727,1
2014,17,007,1924,1
2014,17,009,6832,3
2014,17,011,1991,1
2014,17,013,2478,2
2014,17,015,4905,2
2014,17,017,13156,3
2014,17,019,1197,1
2014,17,021,2607,1
2014,17,023,2697,1
2014,17,025,6760,2
2014,17,027,2524,1
2014,17,029,1568,1
2014,17,031,1062,1
2014,17,033,2155,1
2014,17,035,NA,NA
2014,17,037,2704,1
2014,17,039,2714,1
2014,17,041,3978,1
2014,17,043,752,1
2014,17,045,3568,1
2014,17,047,NA,NA
2014,17,049,1320,1
2014,17,051,5468,2
2014,17,053,1711,1
2014,17,055,2627,1
2014,17,057,3001,1
2014,17,059,5291,3
2014,17,061,3358,1
2014,17,063,3362,1
2014,17,065,2074,1
2014,17,067,2652,1
2014,17,069,1376,2
2014,17,071,6916,3
2014,17,073,2920,1
2014,17,075,2063,1
2014,17,077,865,1
2014,17,079,9623,3
2014,17,081,1482,1
2014,17,083,3224,1
2014,17,085,2225,1
2014,17,087,12601,3
2014,17,089,2344,1
2014,17,091,2370,1
2014,17,093,2960,1
2014,17,095,1488,1
2014,17,097,919,1
2014,17,099,2418,1
2014,17,101,4130,2
2014,17,103,1336,1
2014,17,105,1895,1
2014,17,107,2975,1
2014,17,109,1992,1
2014,17,111,1862,1
2014,17,113,1674,1
2014,17,115,1117,1
2014,17,117,3573,1
2014,17,119,2004,1
2014,17,121,2269,1
2014,17,123,NA,NA
2014,17,125,4633,2
2014,17,127,4968,2
2014,17,129,2514,1
2014,17,131,5315,2
2014,17,133,2409,1
2014,17,135,2097,1
2014,17,137,2183,1
2014,17,139,3709,1
2014,17,141,1796,1
2014,17,143,822,1
2014,17,145,1970,1
2014,17,147,2054,1
2014,17,149,2289,1
2014,17,151,NA,NA
2014,17,153,NA,NA
2014,17,155,5814,3
2014,17,157,2191,1
2014,17,159,2677,1
2014,17,161,1826,1
2014,17,163,1714,1
2014,17,165,1295,1
2014,17,167,884,1
2014,17,169,7330,3
2014,17,171,5204,3
2014,17,173,3150,1
2014,17,175,5813,3
2014,17,177,2322,1
2014,17,179,2154,1
2014,17,181,1342,1
2014,17,183,2215,1
2014,17,185,2310,1
2014,17,187,2234,1
2014,17,189,4779,2
2014,17,191,2363,1
2014,17,193,3594,2
2014,17,195,1777,1
2014,17,197,1767,1
2014,17,199,1136,1
2014,17,201,1342,1
2014,17,203,1781,1
2014,18,001,2899,1
2014,18,003,1475,1
2014,18,005,1294,1
2014,18,007,8700,3
2014,18,009,1772,1
2014,18,011,508,1
2014,18,013,2494,1
2014,18,015,4981,2
2014,18,017,2135,1
2014,18,019,2240,1
2014,18,021,2214,1
2014,18,023,3642,1
2014,18,025,NA,NA
2014,18,027,2046,1
2014,18,029,2063,1
2014,18,031,2411,1
2014,18,033,1695,1
