year,state,county,subgroup_type,subgroup,share_digital_access,share_digital_access_lb,share_digital_access_ub,share_digital_access_quality
2018,01,001,all,All,0.8399568192629999,0.8161505766644944,0.8637630618615055,1
2018,01,001,race-ethnicity,Other Races and Ethnicities,0.8878071395456653,0.6249356740390729,1,3
2018,01,001,race-ethnicity,Black,0.674581139301101,0.5970117026369127,0.7521505759652893,1
2018,01,001,race-ethnicity,Hispanic,0.9357798165137615,0.8686316611360532,1,1
2018,01,001,race-ethnicity,White,0.878578902311424,0.8546935809969824,0.9024642236258654,1
2018,01,003,all,All,0.8302818721263037,0.8155721986424218,0.8449915456101855,1
2018,01,003,race-ethnicity,Other Races and Ethnicities,0.8702634011090573,0.733865648452621,1,2
2018,01,003,race-ethnicity,Black,0.7274789029535865,0.6591065176407218,0.7958512882664512,1
2018,01,003,race-ethnicity,Hispanic,0.7941966684578183,0.7067396846810797,0.881653652234557,1
2018,01,003,race-ethnicity,White,0.8393143900336382,0.8240949171837549,0.8545338628835214,1
2018,01,005,all,All,0.649156542260292,0.6096866997565679,0.6886263847640159,1
2018,01,005,race-ethnicity,Other Races and Ethnicities,0.696137339055794,0.4436246767962348,0.9486500013153532,3
2018,01,005,race-ethnicity,Black,0.5997728133282847,0.5270247407896751,0.6725208858668944,1
2018,01,005,race-ethnicity,Hispanic,0.6110552763819096,0.36796749705976695,0.8541430557040521,3
2018,01,005,race-ethnicity,White,0.6910248363668968,0.6404936368613731,0.7415560358724205,1
2018,01,007,all,All,0.7282736347621844,0.6731185684003614,0.7834287011240073,1
2018,01,007,race-ethnicity,Other Races and Ethnicities,0.4860335195530726,0,1,3
2018,01,007,race-ethnicity,Black,0.6217199272538322,0.41679242466957434,0.82664742983809,3
2018,01,007,race-ethnicity,Hispanic,0.3900862068965517,0.12816397652237713,0.6520084372707263,3
2018,01,007,race-ethnicity,White,0.7559117503656753,0.7070409348838657,0.8047825658474849,1
2018,01,009,all,All,0.7434415607159118,0.7178181335825328,0.7690649878492909,1
2018,01,009,race-ethnicity,Other Races and Ethnicities,0.8870220162224797,0.649156525015303,1,3
2018,01,009,race-ethnicity,Black,0.21994134897360704,0.031259749173270124,0.40862294877394395,2
2018,01,009,race-ethnicity,Hispanic,0.6496197718631179,0.5250343823315266,0.7742051613947092,2
2018,01,009,race-ethnicity,White,0.7454382564815153,0.7207562539436042,0.7701202590194265,1
2018,01,011,all,All,0.6198347107438017,0.5445410371107404,0.6951283843768629,1
2018,01,011,race-ethnicity,Other Races and Ethnicities,0.8729281767955801,0,1,3
2018,01,011,race-ethnicity,Black,0.5954849717810736,0.5025929018439343,0.6883770417182129,1
2018,01,011,race-ethnicity,Hispanic,1,0,1,3
2018,01,011,race-ethnicity,White,0.6856738925541942,0.5660757615256583,0.80527202358273,2
2018,01,013,all,All,0.6504085672232655,0.6081987730564845,0.6926183613900465,1
2018,01,013,race-ethnicity,Other Races and Ethnicities,0.9676258992805755,0.7391008543520515,1,3
2018,01,013,race-ethnicity,Black,0.5736227045075125,0.5036052996128298,0.6436401094021952,1
2018,01,013,race-ethnicity,Hispanic,0.6716417910447762,0.04922197523023186,1,3
2018,01,013,race-ethnicity,White,0.7009446959259988,0.644430439643729,0.7574589522082686,1
2018,01,015,all,All,0.7755612308681442,0.7583356734181439,0.7927867883181446,1
2018,01,015,race-ethnicity,Other Races and Ethnicities,0.7535101404056163,0.6130785778032235,0.8939417030080089,2
2018,01,015,race-ethnicity,Black,0.6839144110220174,0.6349838019626158,0.7328450200814192,1
2018,01,015,race-ethnicity,Hispanic,0.7800920319689998,0.6427345758851507,0.9174494880528489,2
2018,01,015,race-ethnicity,White,0.801814834297738,0.7799918499578253,0.8236378186376507,1
2018,01,017,all,All,0.72759200336195,0.6936506152291734,0.7615333914947264,1
2018,01,017,race-ethnicity,Other Races and Ethnicities,0.875,0.6241999845634782,1,3
